TimestepsSoFar,J,ReturnMean,AvgRet,Iteration,BatchSize,AvgEpLen,StepSize,MinEpLen,NatGradInftyNorm,NumTrajectories,NatGrad2Norm,ReturnMax,VarJ
3204,-95.0095428966096,-95.0095428966096,-124.34259361542283,1,100,32.04,0.001,12,1.241352,100,1.5215114,-79.72730046187708,0.09982817896570728
2700,-94.40016353579375,-94.7048532162017,-119.62615125907413,2,100,27.0,0.001,11,1.3696858,200,1.8369445,-79.72730046187708,0.13932732074195037
3599,-94.34071266883362,-94.58347303374566,-126.3826720645233,3,100,35.99,0.001,12,2.0140955,300,3.223424,-74.21852155230653,0.18595350800040195
4561,-95.05966632378771,-94.70252135625618,-133.65783876588554,4,100,45.61,0.001,11,2.9741883,400,3.5274634,-74.21852155230653,0.13228452057635987
2555,-95.06594819530906,-94.77520672406675,-118.97481784584376,5,100,25.55,0.001,11,2.3803024,500,2.7357178,-74.21852155230653,0.09249317884970484
3746,-95.09342992654123,-94.82824392447918,-128.90519638961723,6,100,37.46,0.001,12,1.4963688,600,1.929847,-70.12767638623984,0.18568204619594866
3408,-94.39914727186866,-94.76694440267768,-123.65011097283745,7,100,34.08,0.001,11,3.335714,700,3.5194893,-44.12697679305488,0.3556278283182326
3087,-94.22781540230136,-94.69955327763064,-122.72320923722037,8,100,30.87,0.001,14,2.3118649,800,3.1751714,-44.12697679305488,0.47321189979823525
3606,-95.46493153376227,-94.7845953060897,-127.98095522021602,9,100,36.06,0.001,12,1.8694109,900,3.0201144,-44.12697679305488,0.10234730428875656
3488,-94.13635205353975,-94.71977098083471,-125.62406946636591,10,100,34.88,0.001,11,1.2200997,1000,2.1187582,-40.02622685637548,0.5250771899372957
2796,-94.41946525199255,-94.69247046003089,-120.53424932813842,11,100,27.96,0.001,12,1.2795819,1100,1.5902784,-40.02622685637548,0.28171148437556776
3840,-95.23825190226988,-94.73795224688413,-129.09668665795527,12,100,38.4,0.001,12,1.7204638,1200,2.3581195,-40.02622685637548,0.07464211800131666
3723,-94.56142724613959,-94.72437340067302,-127.52177637803723,13,100,37.23,0.001,11,1.6822609,1300,2.1085687,-40.02622685637548,0.32055768507383786
3529,-94.62371501561087,-94.71718351602571,-126.75866060405264,14,100,35.29,0.001,12,1.4428612,1400,1.7114342,-40.02622685637548,0.16295285128199788
3004,-94.62018086220917,-94.71071667243797,-121.9127859639112,15,100,30.04,0.001,12,1.7840793,1500,2.529005,-40.02622685637548,0.16584632119470352
4162,-94.18403809500552,-94.67779926134841,-124.88523848140204,16,100,41.62,0.001,11,1.8183472,1600,3.2026694,-0.5299831241168244,1.0275462724311826
4338,-95.3191972109771,-94.71552855250306,-131.91333222761872,17,100,43.38,0.001,11,3.0813925,1700,4.639459,-0.5299831241168244,0.2091234372131326
3167,-94.19659522185125,-94.68669892302239,-121.73807671392147,18,100,31.67,0.001,12,3.3715806,1800,3.8321025,-0.5299831241168244,0.35666734018983315
2573,-95.02487139424464,-94.70449747413934,-119.11260202918722,19,100,25.73,0.001,11,0.96700954,1900,1.5479794,-0.5299831241168244,0.11341721298408082
2957,-94.37273076673384,-94.68790913876909,-121.99909973163436,20,100,29.57,0.001,11,2.4606485,2000,4.0160546,-0.5299831241168244,0.23950317658739084
2662,-95.3322801758525,-94.7185934738683,-120.22119378896159,21,100,26.62,0.001,12,1.648391,2100,1.9006163,-0.5299831241168244,0.13583133396657707
2787,-94.10605992460263,-94.69075103981076,-119.79233531184151,22,100,27.87,0.001,11,1.094957,2200,1.4387699,-0.5299831241168244,0.5895842872892699
3521,-95.22490779669103,-94.71397524663163,-127.29773182773873,23,100,35.21,0.001,11,1.5891402,2300,2.4181867,-0.5299831241168244,0.135669438515584
3453,-95.09745552396713,-94.72995359152063,-126.36824741378484,24,100,34.53,0.001,12,1.3539569,2400,1.9463056,-0.5299831241168244,0.1848275055531849
2508,-94.15739741550605,-94.70705134448004,-116.95103642544252,25,100,25.08,0.001,12,1.6111429,2500,2.4575233,-0.5299831241168244,0.6913107889916611
2837,-94.34800674263269,-94.69324193671667,-120.61891749335766,26,100,28.37,0.001,10,2.719008,2600,3.0996518,-0.5299831241168244,0.23523572105554774
3750,-93.62156321622686,-94.6535501322541,-121.05835827841652,27,100,37.5,0.001,12,1.4613204,2700,2.2941165,-0.5299831241168244,1.025740335945706
2687,-94.71580131267841,-94.65577338869781,-119.78049087699485,28,100,26.87,0.001,11,2.3043938,2800,3.0371735,-0.5299831241168244,0.1323331924153807
3452,-95.7306027607275,-94.69283647049194,-127.71887359542409,29,100,34.52,0.001,11,2.7188628,2900,2.9411736,-0.5299831241168244,0.09385045711357876
2714,-93.68923761906696,-94.65938317544446,-118.73182748435792,30,100,27.14,0.001,11,1.0983256,3000,1.7745994,-0.5299831241168244,0.2382178771335226
3278,-95.11900279438657,-94.67420961476518,-125.21621622585903,31,100,32.78,0.001,11,2.2603312,3100,3.4255247,-0.5299831241168244,0.1226739278109989
3913,-94.68233308726893,-94.67446347328088,-128.5783101962864,32,100,39.13,0.001,10,0.6660405,3200,0.9177745,-0.5299831241168244,0.14372524221613128
3010,-94.33492425627881,-94.66417440609902,-122.42895599185289,33,100,30.1,0.001,10,2.5790105,3300,2.714925,-0.5299831241168244,0.1876588901611406
4183,-94.00289312413622,-94.64472495662952,-128.62491681491858,34,100,41.83,0.001,12,1.2543498,3400,1.8984044,-0.5299831241168244,0.20404230667813675
4117,-93.77609782557779,-94.61990703859948,-126.71672875439214,35,100,41.17,0.001,11,1.1883283,3500,1.609192,-0.5299831241168244,0.5885506215281161
4434,-94.53279292558935,-94.61748720212697,-133.83652164885999,36,100,44.34,0.001,11,4.152896,3600,5.404962,-0.5299831241168244,0.2639711801903079
3610,-94.31800457705027,-94.6093930771249,-126.58410567772842,37,100,36.1,0.001,11,2.9296913,3700,3.110651,-0.5299831241168244,0.13964654498780762
2656,-95.19965117505302,-94.62492618496512,-120.1118152721166,38,100,26.56,0.001,12,2.4812665,3800,2.8488169,-0.5299831241168244,0.11900279032412941
3260,-95.39175005273188,-94.64458833542068,-125.39056880731401,39,100,32.6,0.001,11,1.7029946,3900,2.1029706,-0.5299831241168244,0.0910470418193421
3705,-94.63698183511244,-94.64439817291297,-124.12178311340675,40,100,37.05,0.001,12,5.204315,4000,5.813986,-0.5299831241168244,0.724725541344932
