TimestepsSoFar,J,ReturnMean,AvgRet,Iteration,BatchSize,AvgEpLen,StepSize,MinEpLen,NatGradInftyNorm,NumTrajectories,NatGrad2Norm,ReturnMax,VarJ
2999,-92.97041583498616,-94.60356933540255,-115.30644084225423,41,100,29.99,0.001,13,2.3815222,4100,3.7638707,1.4123193079930239,1.153043331536293
2347,-95.18628594472032,-94.6174435403863,-117.00800486797063,42,100,23.47,0.001,11,3.012705,4200,4.918973,1.4123193079930239,0.10166874952680964
3488,-94.41546557452916,-94.61274637838963,-122.50007338770243,43,100,34.88,0.001,13,1.6836612,4300,2.4369414,1.4123193079930239,0.24403932680367535
2511,-95.15783545733746,-94.62513476654755,-118.69709224404643,44,100,25.11,0.001,11,1.2181973,4400,2.123128,1.4123193079930239,0.08741723952679538
2441,-94.76702314625587,-94.62828784165218,-117.44716800571462,45,100,24.41,0.001,11,3.2509189,4500,4.874882,1.4123193079930239,0.12027856794066917
3557,-94.60128239736645,-94.6277007667764,-125.60359177883993,46,100,35.57,0.001,11,1.0898762,4600,1.6082681,1.4123193079930239,0.6606140185144825
3594,-94.86447768928136,-94.6327385736382,-127.06457199415028,47,100,35.94,0.001,11,1.3061924,4700,1.3594892,1.4123193079930239,0.19118335976796705
2355,-94.80101965723999,-94.63624442954657,-116.69859354374339,48,100,23.55,0.001,11,1.3043184,4800,1.7143207,1.4123193079930239,0.09984949811232888
3441,-95.36065710769164,-94.6510283617536,-127.0704193796887,49,100,34.41,0.001,12,2.413833,4900,3.8503106,1.4123193079930239,0.07956476272267858
3006,-94.76797315373722,-94.65336725759329,-122.08605566832331,50,100,30.06,0.001,12,1.3242224,5000,1.8493397,1.4123193079930239,0.09206040197793941
