ReturnMean,NatGrad2Norm,TimestepsSoFar,NatGradInftyNorm,Iteration,VarJ,NumTrajectories,StepSize,AvgEpLen,MinEpLen,AvgRet,ReturnMax,BatchSize,J
-94.53544024789937,2.4009686,3260,1.6774778,1,0.09639581092330542,100,0.01,32.6,11,-123.46724675443689,-82.19644013632856,100,-94.53544024789937
-94.65107505075113,1.8870493,3145,1.4150672,2,0.09958752008783951,200,0.01,31.45,11,-123.54623738510384,-81.9786711117062,100,-94.76670985360293
-94.70948924267454,2.2836115,3086,1.9895934,3,0.12542444824376625,300,0.01,30.86,11,-123.91663912143453,-79.84728908527653,100,-94.8263176265213
-94.57406391710064,3.4740896,3453,2.1651182,4,0.43318503390926416,400,0.01,34.53,12,-125.43086466243099,-44.02219248343047,100,-94.16778794037904
-94.78825953755884,4.583833,3868,3.4944386,5,0.1090304333894246,500,0.01,38.68,12,-130.76164168923205,-44.02219248343047,100,-95.64504201939157
-94.70559278317911,4.172106,4181,3.5920343,6,0.3226891053762922,600,0.01,41.81,11,-131.75470460619826,-44.02219248343047,100,-94.29225901128048
-94.60021145164106,3.8990822,3268,2.6014779,7,0.2074019706418268,700,0.01,32.68,12,-122.80133801220683,-44.02219248343047,100,-93.96792346241266
-94.53629590963264,4.54999,3395,3.3720992,8,0.9804745692178138,800,0.01,33.95,12,-123.93493346475314,-16.02579314547051,100,-94.08888711557385
-94.47956760909419,1.4334913,5370,1.270185,9,0.3881271844675389,900,0.01,53.7,10,-140.48639721423274,-16.02579314547051,100,-94.02574120478663
-94.37264636492236,1.9027733,3282,1.8369923,10,0.8611255450692568,1000,0.01,32.82,12,-122.233938415926,-16.02579314547051,100,-93.41035516737578
-94.43123714566366,2.4046712,3889,2.1486204,11,0.10445538157880428,1100,0.01,38.89,12,-129.91341384002882,-16.02579314547051,100,-95.01714495307668
-94.37771887168677,1.4194881,2781,1.101539,12,0.6501359911351179,1200,0.01,27.81,11,-118.38491341040634,-16.02579314547051,100,-93.78901785794076
-94.38011534124651,2.3850942,3733,1.5084159,13,0.47286277830777,1300,0.01,37.33,11,-125.6922264506828,-16.02579314547051,100,-94.40887297596355
-94.25500033345628,4.3771706,3545,3.049271,14,0.8437208504646305,1400,0.01,35.45,12,-123.82752742192685,-16.02579314547051,100,-92.62850523218353
-94.1924989542993,1.4064397,4654,0.8367789,15,0.25685886183405787,1500,0.01,46.54,13,-132.45066793460214,-16.02579314547051,100,-93.31747964610089
-94.1334166207572,2.774354,3297,1.4990457,16,0.27894844918779077,1600,0.01,32.97,12,-123.01980090420395,-16.02579314547051,100,-93.2471816176261
-94.00468002229675,2.6584573,5787,1.9271367,17,0.9093933517963222,1700,0.01,57.87,12,-135.72521235095198,-16.02579314547051,100,-91.94489444692994
-93.88036181948951,2.7137113,3477,2.6450515,18,0.935983804743829,1800,0.01,34.77,11,-121.07200493871304,-16.02579314547051,100,-91.76695237176635
-93.87976440960003,2.7558067,2613,2.3523383,19,0.3635126462251909,1900,0.01,26.13,11,-117.74676131715019,-16.02579314547051,100,-93.86901103158901
-93.78166841203789,2.820095,3552,2.1038063,20,1.3663010130255975,2000,0.01,35.52,12,-117.02435957314532,-16.02579314547051,100,-91.91784445835765
-93.60991988129449,1.6137413,3048,0.9196892,21,1.2661440740967165,2100,0.01,30.48,11,-116.4284798777166,-16.02579314547051,100,-90.17494926642595
-93.43478065817233,2.3019555,5599,1.5171992,22,1.7476506437877686,2200,0.01,55.99,12,-127.4045331969877,-16.02579314547051,100,-89.75685697260711
-93.28937923367388,1.7677444,4320,1.2494476,23,1.2161339085905492,2300,0.01,43.2,12,-121.49650747340942,-16.02579314547051,100,-90.09054789470824
-93.23336710502282,2.1676955,4846,1.6194997,24,0.8290548426204788,2400,0.01,48.46,12,-126.74460091954865,-16.02579314547051,100,-91.94508814604814
-93.2074492621734,4.6478496,5245,4.0040345,25,0.3838524285137044,2500,0.01,52.45,11,-134.9529885400984,-16.02579314547051,100,-92.5854210337875
-93.14514458150393,0.6155722,4658,0.43593067,26,0.5884295477480768,2600,0.01,46.58,11,-129.3229853719771,-16.02579314547051,100,-91.58752756476719
-93.08051401763463,3.1095922,3653,2.3435204,27,0.655228214855354,2700,0.01,36.53,11,-121.91648398356949,-16.02579314547051,100,-91.40011935703264
-93.05334403683412,1.7300634,3955,1.4952232,28,0.6113314722406781,2800,0.01,39.55,12,-124.53386451615103,-16.02579314547051,100,-92.31975455522081
-92.97814595938588,3.9897375,6023,3.0223517,29,1.5778400285251988,2900,0.01,60.23,12,-132.91970388160107,-4.17235332782489,100,-90.87259979083508
-92.92203295279512,4.1204433,4580,3.0005229,30,1.5094536549768682,3000,0.01,45.8,11,-125.74867213911189,-4.17235332782489,100,-91.29475576166259
-92.79785379637381,2.6075444,5282,1.8636155,31,1.8990448559575628,3100,0.01,52.82,12,-127.30510662386547,-4.17235332782489,100,-89.07247910373572
-92.68413970867277,3.995834,5053,3.1698072,32,1.5424266300811633,3200,0.01,50.53,13,-122.75372472437344,-4.17235332782489,100,-89.15900298993971
-92.64329963223543,2.1917257,3706,1.8140922,33,0.8478198940250558,3300,0.01,37.06,11,-122.9400885608367,-4.17235332782489,100,-91.33641718624041
