AvgRet,AvgEpLen,BatchSize,NumTrajectories,NatGradInftyNorm,J,TimestepsSoFar,ReturnMax,VarJ,NatGrad2Norm,Iteration,MinEpLen,StepSize,ReturnMean
-122.83189992684625,31.27,100,100,2.365573,-94.57584696257175,3127,-49.34884157170744,0.3694545723684746,3.3178053,1,11,0.1,-94.57584696257175
-124.28895667074386,37.98,100,200,1.9277494,-93.13970086445606,3798,-25.740569644025342,0.8652065525015952,2.3182104,2,11,0.1,-93.85777391351388
-133.45772703274514,38.2,100,300,2.1697447,-96.7655275216157,3820,-25.740569644025342,0.15776911792628578,2.5845213,3,14,0.1,-94.8270251162145
-177.7682451696924,93.9,100,400,1.7677768,-96.39160302064742,9390,-25.740569644025342,0.09061340090441992,2.263234,4,14,0.1,-95.21816959232272
-125.29831391707592,39.08,100,500,1.0263002,-91.98243889797634,3908,-25.740569644025342,0.6515789073339061,1.5175967,5,12,0.1,-94.57102345345346
-113.25080730806934,38.36,100,600,2.094973,-89.20576961483836,3836,2.404832712477494,2.970506959430891,2.7465,6,12,0.1,-93.67681448035094
-119.03095375072084,32.11,100,700,2.960904,-90.5000514030567,3211,2.404832712477494,0.850371001527737,3.6153407,7,12,0.1,-93.22299118359462
-108.29775997842384,30.62,100,800,2.5399156,-83.66323688797162,3062,2.404832712477494,2.052264718534707,3.8105185,8,12,0.1,-92.02802189664173
-107.39100003907689,23.12,100,900,3.8917532,-88.16275245596496,2312,2.404832712477494,1.161645173884551,4.4241147,9,11,0.1,-91.59854751434433
-109.29442660259059,19.42,100,1000,2.0419652,-92.08910274361835,1942,2.404832712477494,0.2802795137864065,2.2683318,10,11,0.1,-91.64760303727174
-109.19207237655226,18.47,100,1100,1.2801065,-92.66160973446941,1847,2.404832712477494,0.20068864930018063,1.8042246,11,11,0.1,-91.73978546428971
-109.53005194151203,18.92,100,1200,1.3998613,-92.60230710288837,1892,2.404832712477494,0.1797082372032734,1.8111467,12,11,0.1,-91.81166226750625
-112.1265283740981,19.62,100,1300,2.5360343,-94.19624596594343,1962,2.404832712477494,0.07818993732730799,2.5987492,13,11,0.1,-91.99509178277064
-109.13291325778658,19.19,100,1400,1.916575,-92.00539478068372,1919,2.404832712477494,0.17296319457164178,2.2419422,14,11,0.1,-91.99582771119302
-108.01408378939786,19.76,100,1500,1.8055623,-90.83160677684482,1976,2.404832712477494,0.5815964933103465,2.586684,15,11,0.1,-91.91821298223644
-108.19644884167293,17.67,100,1600,1.448503,-92.47126278221248,1767,2.404832712477494,0.17203336565443647,1.7120892,16,11,0.1,-91.95277859473495
-108.07978627934273,16.7,100,1700,1.9278378,-93.12294261204104,1670,2.404832712477494,0.07845900560873897,2.7270806,17,11,0.1,-92.02161177222357
-107.94655130133289,18.92,100,1800,1.8485454,-91.38817199137794,1892,2.404832712477494,0.5017984860371745,2.7611787,18,11,0.1,-91.98642067328768
-107.76844403501484,20.43,100,1900,1.7512646,-90.19244208277793,2043,2.404832712477494,0.7392143645759441,1.828313,19,12,0.1,-91.89200074747139
-108.1283540407509,17.97,100,2000,2.856388,-92.25488294620328,1797,2.404832712477494,0.33235329637318534,3.4977586,20,12,0.1,-91.91014485740799
-107.69257589000799,17.7,100,2100,1.3516141,-92.00288613228497,1770,2.404832712477494,0.2361046928060598,2.028705,21,11,0.1,-91.9145611085926
-107.28606292701215,20.35,100,2200,2.9565783,-89.64087472044527,2035,2.404832712477494,0.633792114818877,2.983094,22,10,0.1,-91.81121172731318
-108.98612332266256,26.71,100,2300,3.4806595,-86.40301342598048,2671,2.404832712477494,1.0217416846290877,3.676123,23,11,0.1,-91.5760726707335
-117.51194883953717,119.84,100,2400,2.30707,-66.09424499600142,11984,26.032447098073394,4.975928319672697,2.9398797,24,13,0.1,-90.514329850953
-200.72837357413266,313.69,100,2500,1.8293916,-62.776732490224596,31369,26.032447098073394,5.500998332904348,2.3131003,25,21,0.1,-89.40482595652385
-124.37792276396776,155.43,100,2600,0.7734699,-61.922375096288235,15543,26.032447098073394,3.7467122699451867,0.9418392,26,19,0.1,-88.34780861574556
-101.78234210194543,143.34,100,2700,3.305299,-57.473966178145446,14334,26.032447098073394,5.427945672630541,3.6829748,27,18,0.1,-87.20433296990852
-276.3796582402889,351.83,100,2800,2.0952208,-75.79959452365186,35183,26.032447098073394,4.745205595028666,2.4138682,28,36,0.1,-86.79702088254221
-140.16678787514823,166.87,100,2900,2.742059,-63.29256826869483,16687,26.032447098073394,4.970583654174325,2.8980248,29,15,0.1,-85.98652251654748
-222.74882509317192,350.18,100,3000,1.4887897,-60.83127611822065,35018,26.032447098073394,4.138505809645489,2.0674853,30,25,0.1,-85.14801430326992
-129.82495842835698,190.72,100,3100,1.2303153,-58.41014127075923,19072,26.032447098073394,3.6105367255264778,1.9179018,31,16,0.1,-84.2855022699631
-168.33323971797122,313.05,100,3200,2.2570546,-57.18698543284554,31305,26.032447098073394,5.136471995739014,2.5987492,32,20,0.1,-83.4386736188032
-134.93195689845146,265.33,100,3300,1.2960764,-50.82959701221824,26533,26.032447098073394,4.266806436100626,1.6753503,33,19,0.1,-82.45051978224001
-176.3454163168338,361.81,100,3400,1.0699703,-50.41574625927946,36181,26.032447098073394,4.703277188709215,1.4551327,34,38,0.1,-81.50832056097647
-159.54334533818803,289.35,100,3500,1.6641008,-52.277283236753846,28935,26.032447098073394,4.7369879168440345,1.8106142,35,20,0.1,-80.67314806599869
-103.76616481137907,150.02,100,3600,1.7388874,-54.61355995908866,15002,26.032447098073394,3.9233352550347944,1.9528251,36,15,0.1,-79.9492706185845
-110.52250283406684,181.2,100,3700,1.1592808,-52.36234858649734,18120,26.032447098073394,4.515367256603545,1.3375281,37,19,0.1,-79.20367813123082
