TimestepsSoFar,InvPendulum_std3_higher,ReturnMax,InvPendulum_mu1_higher,AvgRet,J,AvgEpLen,ActionIn1,InvPendulum_mu3_higher,NatGrad2Norm,InvPendulum_std1_higher,MinEpLen,Iteration,NatGradInftyNorm,InvPendulum_mu0_higher,ReturnMean,InvPendulum_std2_higher,StepSize,NumTrajectories,VarJ,BatchSize,InvPendulum_mu2_higher,InvPendulum_std0_higher
184642,0.14999999,-106.64823084896236,-0.85018635,-205.34737904175603,-205.34737904175603,167.85636363636362,-1.1167014,0.32332185,13.68845,0.14999999,14,11,11.271266,-0.21712199,-228.57136175011232,0.14999999,0.0001,1100,129.9191115972952,100,-0.36385784,0.14999999
201415,0.14999999,-106.64823084896236,-0.8499847,-225.50756007529483,-225.50756007529483,167.84583333333333,-0.8708955,0.32288104,20.02071,0.14999999,14,12,17.41229,-0.21651505,-228.31604494387756,0.14999999,0.0001,1200,198.22254229103265,100,-0.36498496,0.14999999
218753,0.14999999,-104.39934058125388,-0.84983724,-234.2587560275483,-234.2587560275483,168.27153846153846,-1.1027336,0.32280967,20.285988,0.14999999,12,13,17.968418,-0.21554059,-228.77317656569838,0.14999999,0.0001,1300,216.38388635311117,100,-0.3667262,0.14999999
233860,0.14999999,-104.39934058125388,-0.849477,-220.21301571556955,-220.21301571556955,167.04285714285714,-1.3022289,0.32237476,19.60901,0.14999999,12,14,19.018433,-0.21478716,-228.16173650497487,0.14999999,0.0001,1400,172.57054665166902,100,-0.36852303,0.14999999
246324,0.14999999,-104.39934058125388,-0.8496552,-196.22790278024982,-196.22790278024982,164.216,-0.92487526,0.32193285,12.296926,0.14999999,12,15,9.2652855,-0.21475433,-226.03281425665986,0.14999999,0.0001,1500,125.27492458241437,100,-0.37042487,0.14999999
260178,0.14999999,-104.39934058125388,-0.84909534,-205.51675292299092,-205.51675292299092,162.61125,-1.3722456,0.3216296,15.179705,0.14999999,12,16,13.6447935,-0.21425602,-224.7505604233056,0.14999999,0.0001,1600,134.81931008116348,100,-0.3713514,0.14999999
275499,0.14999999,-104.39934058125388,-0.84859055,-220.3333196905817,-220.3333196905817,162.05823529411765,-0.53050077,0.32135087,17.624702,0.14999999,12,17,12.690533,-0.21392451,-224.49072273314533,0.14999999,0.0001,1700,158.34435121892594,100,-0.37271586,0.14999999
289092,0.14999999,-104.39934058125388,-0.8481977,-202.28402802903435,-202.28402802903435,160.60666666666665,-0.64146435,0.32112134,11.097325,0.14999999,12,18,8.42522,-0.21278927,-223.25701747180582,0.14999999,0.0001,1800,150.74421711614468,100,-0.3739849,0.14999999
301530,0.14999999,-104.39934058125388,-0.8481104,-198.08059405958141,-198.08059405958141,158.7,-0.84226847,0.3213893,11.93853,0.14999999,12,19,10.936092,-0.21212426,-221.93194255537298,0.14999999,0.0001,1900,139.05259665958033,100,-0.3748274,0.14999999
315540,0.14999999,-104.39934058125388,-0.8476631,-209.96330928948208,-209.96330928948208,157.77,-1.0681405,0.32122046,17.863583,0.14999999,12,20,15.776015,-0.21215189,-221.3335108920784,0.14999999,0.0001,2000,153.51543467762338,100,-0.375921,0.14999999
327250,0.14999999,-104.39934058125388,-0.8478244,-194.57638876422493,-194.57638876422493,155.83333333333334,-0.6575979,0.32102874,9.820829,0.14999999,12,21,9.004711,-0.21135221,-220.0593622193235,0.14999999,0.0001,2100,123.54617731689476,100,-0.37749863,0.14999999
338226,0.14999999,-104.39934058125388,-0.84761083,-186.16275698851084,-186.16275698851084,153.73909090909092,-0.7293062,0.32097754,8.484681,0.14999999,12,22,6.5653114,-0.21102756,-218.51860743610473,0.14999999,0.0001,2200,95.28035798538869,100,-0.3783991,0.14999999
352885,0.14999999,-104.39934058125388,-0.847355,-209.7571066740833,-209.7571066740833,153.4282608695652,-0.88284737,0.32132444,17.24195,0.14999999,12,23,15.293214,-0.2107065,-218.1376726203647,0.14999999,0.0001,2300,162.42204825098986,100,-0.37905565,0.14999999
368907,0.14999999,-104.39934058125388,-0.8468797,-222.07890785503523,-222.07890785503523,153.71125,-0.8351803,0.3217629,18.326832,0.14999999,12,24,16.269972,-0.2102419,-218.3018907551426,0.14999999,0.0001,2400,189.85439421260114,100,-0.38058499,0.14999999
381654,0.14999999,-104.39934058125388,-0.84715,-199.30738948284036,-199.30738948284036,152.6616,-1.3585048,0.3214568,13.009253,0.14999999,12,25,8.449445,-0.20950375,-217.54211070425055,0.14999999,0.0001,2500,164.79200403979132,100,-0.38221198,0.14999999
395052,0.14999999,-104.39934058125388,-0.8466818,-203.61282710021217,-203.61282710021217,151.94307692307692,-1.1815705,0.3209327,13.768183,0.14999999,12,26,10.972891,-0.20865881,-217.0063690271721,0.14999999,0.0001,2600,138.7494515034309,100,-0.38290808,0.14999999
409670,0.14999999,-104.39934058125388,-0.84633654,-208.7192856685345,-208.7192856685345,151.72962962962964,-0.95690846,0.32109913,19.95637,0.14999999,12,27,15.884778,-0.20792077,-216.69944001388924,0.14999999,0.0001,2700,167.86591253088187,100,-0.38400537,0.14999999
423772,0.14999999,-104.39934058125388,-0.84596485,-206.78186514976483,-206.78186514976483,151.34714285714287,-1.5093268,0.3221895,17.55781,0.14999999,12,28,14.234026,-0.20755719,-216.3452409115991,0.14999999,0.0001,2800,152.10126726867585,100,-0.38559383,0.14999999
435556,0.14999999,-104.39934058125388,-0.845526,-189.2824446067435,-189.2824446067435,150.19172413793103,-1.0579284,0.3218757,8.5973215,0.14999999,12,29,6.5563745,-0.20668219,-215.4120410390179,0.14999999,0.0001,2900,123.76004971855134,100,-0.38701722,0.14999999
445658,0.14999999,-104.39934058125388,-0.8454182,-181.49522037397008,-181.49522037397008,148.55266666666665,-0.71740806,0.32184252,8.256775,0.14999999,12,30,5.4624066,-0.20602655,-214.28148035018293,0.14999999,0.0001,3000,106.4959565810925,100,-0.3875618,0.14999999
456369,0.14999999,-104.39934058125388,-0.845627,-183.31418427326574,-183.31418427326574,147.2158064516129,-1.2814791,0.32144946,9.641483,0.14999999,12,31,8.306705,-0.20559612,-213.28253531544365,0.14999999,0.0001,3100,96.50579504122736,100,-0.38810804,0.14999999
468843,0.14999999,-104.39934058125388,-0.84521216,-195.92119104848848,-195.92119104848848,146.5134375,-1.3195695,0.3215068,17.227993,0.14999999,12,32,11.594889,-0.20534277,-212.73999330710132,0.14999999,0.0001,3200,127.23353995478284,100,-0.38893872,0.14999999
479905,0.14999999,-104.39934058125388,-0.8443032,-184.30392390691858,-184.30392390691858,145.4257575757576,-1.5724329,0.32218167,7.5601454,0.14999999,12,33,7.2623386,-0.20475806,-211.87829423436852,0.14999999,0.0001,3300,109.46318393069649,100,-0.3900982,0.14999999
