ReturnMean,InvPendulum_mu0_higher,ActionIn1,ReturnMax,NatGrad2Norm,InvPendulum_std0_higher,MinEpLen,BatchSize,StepSize,InvPendulum_mu1_higher,Iteration,AvgRet,NatGradInftyNorm,NumTrajectories,InvPendulum_mu3_higher,VarJ,InvPendulum_std3_higher,InvPendulum_std1_higher,InvPendulum_mu2_higher,InvPendulum_std2_higher,AvgEpLen,J,TimestepsSoFar
-119.09445548566059,0.29397818,-0.5202003,-75.60661133736042,5.3619657,0.14999999,12,100,0.001,-0.72437155,20,-118.30950792191283,3.3879037,2000,-0.25732774,0.8083383394315617,0.14999999,0.14999999,0.5575517,0.14999999,29.315,-118.30950792191283,58630
-119.09015055357764,0.29661646,-0.20373166,-75.60661133736042,2.7074916,0.14999999,12,100,0.001,-0.72332346,21,-119.00405191191881,2.2587333,2100,-0.25429234,0.8060012332842971,0.14999999,0.14999999,0.5609396,0.14999999,29.27285714285714,-119.00405191191881,61473
-119.02599158658653,0.29715896,-0.20349354,-75.60661133736042,1.8787258,0.14999999,12,100,0.001,-0.7219332,22,-117.67865327977277,1.7325321,2200,-0.2565511,0.7736022483024528,0.14999999,0.14999999,0.560902,0.14999999,29.24,-117.67865327977277,64328
-118.9911940967639,0.2964938,0.035665512,-75.60661133736042,3.1901126,0.14999999,12,100,0.001,-0.72020066,23,-118.22564932066663,2.1130862,2300,-0.2562933,0.8969117157231052,0.14999999,0.14999999,0.56076396,0.14999999,29.24434782608696,-118.22564932066663,67262
-118.97946331657295,0.29568717,-0.58441937,-75.60661133736042,3.0181859,0.14999999,12,100,0.001,-0.7182897,24,-118.7096553721806,2.3370426,2400,-0.25510624,0.7041312205052573,0.14999999,0.14999999,0.56287706,0.14999999,29.206666666666667,-118.7096553721806,70096
-118.85039888883708,0.2971726,-0.2971611,-75.60661133736042,2.5537457,0.14999999,12,100,0.001,-0.71595263,25,-115.75285262317637,1.5564132,2500,-0.254127,0.8961493570638828,0.14999999,0.14999999,0.5621826,0.14999999,29.1384,-115.75285262317637,72846
-118.8030686757632,0.29872903,0.1513041,-75.60661133736042,3.6682866,0.14999999,12,100,0.001,-0.716682,26,-117.61981334891635,3.1411123,2600,-0.25284433,1.010088099436944,0.14999999,0.14999999,0.56079626,0.14999999,29.144615384615385,-117.61981334891635,75776
-118.82253214198751,0.30060053,0.2196827,-75.60661133736042,2.8132207,0.14999999,12,100,0.001,-0.7164156,27,-119.32858226381929,2.1445076,2700,-0.24970323,0.7857738601288631,0.14999999,0.14999999,0.5606688,0.14999999,29.088148148148147,-119.32858226381929,78538
-118.84288829182293,0.29937983,-0.15992764,-75.60661133736042,3.9250996,0.14999999,12,100,0.001,-0.71427107,28,-119.39250433737972,2.936926,2800,-0.24981403,1.154686023658586,0.14999999,0.14999999,0.5593224,0.14999999,29.03892857142857,-119.39250433737972,81309
-118.83746320085014,0.2969498,-0.20652789,-75.60661133736042,3.8489883,0.14999999,12,100,0.001,-0.71133417,29,-118.68556065361203,3.571607,2900,-0.249434,0.8387937149445098,0.14999999,0.14999999,0.5601776,0.14999999,29.040344827586207,-118.68556065361203,84217
-118.82094933413704,0.29605198,0.23318571,-75.60661133736042,2.8383505,0.14999999,12,100,0.001,-0.71023786,30,-118.34204719945724,2.3679385,3000,-0.2530056,2.4074783405474447,0.14999999,0.14999999,0.5599532,0.14999999,29.042,-118.34204719945724,87126
-118.79033877526996,0.29527524,0.18838814,-75.60661133736042,4.9870653,0.14999999,12,100,0.001,-0.7107948,31,-117.87202200925736,2.9994817,3100,-0.2517664,0.9052620268594489,0.14999999,0.14999999,0.5623211,0.14999999,29.003548387096775,-117.87202200925736,89911
-118.79227216980955,0.29577473,-0.18350524,-75.60661133736042,1.2380617,0.14999999,12,100,0.001,-0.7077953,32,-118.85220740053691,0.8555625,3200,-0.25472078,0.9683476016825489,0.14999999,0.14999999,0.5649472,0.14999999,28.9909375,-118.85220740053691,92771
-118.81061101674271,0.2966303,-0.057938844,-75.60661133736042,3.9697165,0.14999999,11,100,0.001,-0.7079693,33,-119.3974541186038,3.6632934,3300,-0.25414115,0.5526713463595403,0.14999999,0.14999999,0.5656064,0.14999999,28.991818181818182,-119.3974541186038,95673
-118.78167395985628,0.29732382,0.44225472,-75.60661133736042,2.6053479,0.14999999,11,100,0.001,-0.70664454,34,-117.82675108260408,2.1551652,3400,-0.25446194,0.8595158132551728,0.14999999,0.14999999,0.5692697,0.14999999,28.951470588235296,-117.82675108260408,98435
-118.75698366721261,0.29947898,-0.5661366,-75.60661133736042,2.277592,0.14999999,11,100,0.001,-0.70686245,35,-117.91751371732758,1.9727608,3500,-0.25304326,0.735542053490634,0.14999999,0.14999999,0.56898165,0.14999999,28.921714285714287,-117.91751371732758,101226
-118.79033398512067,0.29877824,-0.061288297,-75.60661133736042,7.258193,0.14999999,11,100,0.001,-0.7062963,36,-119.957595111903,6.0538654,3600,-0.25234747,0.7888638164563951,0.14999999,0.14999999,0.5709544,0.14999999,28.930555555555557,-119.957595111903,104150
-118.81631058434483,0.3015645,-0.35129166,-75.60661133736042,4.594333,0.14999999,11,100,0.001,-0.70024246,37,-119.75146815641425,4.3093867,3700,-0.2550253,1.0489733754864912,0.14999999,0.14999999,0.5699065,0.14999999,28.964594594594594,-119.75146815641425,107169
