InvPendulum_std1_higher,InvPendulum_mu1_higher,InvPendulum_std2_higher,InvPendulum_std3_higher,TimestepsSoFar,Iteration,MinEpLen,AvgRet,NatGradInftyNorm,InvPendulum_mu3_higher,ActionIn1,BatchSize,InvPendulum_std0_higher,NumTrajectories,ReturnMean,InvPendulum_mu2_higher,J,AvgEpLen,InvPendulum_mu0_higher,VarJ,NatGrad2Norm,StepSize,ReturnMax
0.14999999,-0.85142165,0.14999999,0.14999999,18083,1,19,-240.7315883439512,21.00378,0.32162514,-1.2503288,100,0.14999999,100,-240.7315883439512,-0.3480244,-240.7315883439512,180.83,-0.22476089,191.9498748370405,21.570786,2.0,-112.92435437602366
0.14999999,-4.7104545,0.14999999,0.14999999,19733,2,10,-108.23990120555398,1.5569863,-0.47665432,-38.805523,100,0.14999999,200,-174.4857447747526,-42.355587,-108.23990120555398,98.665,8.776942,0.08017281100245015,2.1172516,2.0,-103.38079335382693
0.14999999,-7.824427,0.14999999,0.14999999,21394,3,10,-108.70372454358917,2.3725638,-1.2256387,-46.434982,100,0.14999999,300,-152.55840469769814,-44.689003,-108.70372454358917,71.31333333333333,7.2841635,0.10190328967781424,2.712197,2.0,-103.38079335382693
0.14999999,-9.021001,0.14999999,0.14999999,22985,4,10,-107.65061740180512,2.5811818,-1.8797894,-50.72597,100,0.14999999,400,-141.33145787372487,-49.43413,-107.65061740180512,57.4625,9.530964,0.08525131578665507,4.244963,2.0,-101.9649561866502
0.14999999,-13.398585,0.14999999,0.14999999,24613,5,10,-107.82679142645749,3.7645922,2.8036094,-53.365166,100,0.14999999,500,-134.6305245842714,-54.596497,-107.82679142645749,49.226,11.612159,0.05062759127875309,4.877456,2.0,-101.9649561866502
0.14999999,-5.869401,0.14999999,0.14999999,26242,6,10,-108.2742992321596,4.203878,-3.1734266,-52.251064,100,0.14999999,600,-130.2378203589194,-53.577435,-108.2742992321596,43.736666666666665,10.305926,0.09043815924179924,5.0071287,2.0,-101.9649561866502
0.14999999,2.5383549,0.14999999,0.14999999,27839,7,10,-107.85634022544872,3.0023322,-1.0462883,-36.25262,100,0.14999999,700,-127.0404660541379,-53.064163,-107.85634022544872,39.77,15.2865715,0.08138194000052223,4.6244097,2.0,-101.9649561866502
0.14999999,-3.4663095,0.14999999,0.14999999,29483,8,10,-108.2643744497928,3.6068814,2.6629643,-44.75875,100,0.14999999,800,-124.69345460359476,-53.642143,-108.2643744497928,36.85375,9.33745,0.08562699378402838,4.5601506,2.0,-101.9649561866502
0.14999999,-2.738198,0.14999999,0.14999999,31095,9,10,-107.7105526578828,1.6120734,-2.833403,-57.41028,100,0.14999999,900,-122.80646549851566,-54.27565,-107.7105526578828,34.55,2.1236873,0.07995004899717964,1.9344037,2.0,-101.9649561866502
0.14999999,-2.5594528,0.14999999,0.14999999,32710,10,10,-108.23642332980982,2.7017477,-1.0145316,-53.121807,100,0.14999999,1000,-121.34946128164506,-55.385742,-108.23642332980982,32.71,5.347834,0.07635617047540222,2.821435,2.0,-101.9649561866502
