MinEpLen,NumTrajectories,InvPendulum_mu0_higher,BatchSize,VarJ,ReturnMax,InvPendulum_std1_higher,NatGrad2Norm,InvPendulum_std2_higher,InvPendulum_std3_higher,TimestepsSoFar,J,InvPendulum_mu2_higher,InvPendulum_mu1_higher,ReturnMean,InvPendulum_std0_higher,AvgRet,Iteration,StepSize,InvPendulum_mu3_higher,AvgEpLen,NatGradInftyNorm,ActionIn1
19,100,-0.22476089,100,191.9498748370405,-112.92435437602366,0.14999999,21.570786,0.14999999,0.14999999,18083,-240.7315883439512,-0.3480244,-0.85142165,-240.7315883439512,0.14999999,-240.7315883439512,1,0.01,0.32162514,180.83,21.00378,-1.2503288
12,200,-0.17975238,100,13.560315322921237,-104.73514720234829,0.14999999,4.2235503,0.14999999,0.14999999,22989,-135.49423561372788,-0.5580622,-0.8707168,-188.11291197883955,0.14999999,-135.49423561372788,2,0.01,0.31763375,114.945,4.0333114,-1.3306652
12,300,-0.17106564,100,21.733960023861425,-104.73514720234829,0.14999999,8.313225,0.14999999,0.14999999,28041,-137.96656218346405,-0.5983953,-0.87888926,-171.39746204704772,0.14999999,-137.96656218346405,3,0.01,0.32148466,93.47,7.8600774,-1.3069439
12,400,-0.14676735,100,2.1034007754041424,-104.1470217693076,0.14999999,5.9957223,0.14999999,0.14999999,31311,-124.28093520809756,-0.67699605,-0.8684803,-159.61833033731017,0.14999999,-124.28093520809756,4,0.01,0.31564203,78.2775,4.289907,-1.2986155
12,500,-0.12846898,100,1.0453933310960526,-104.1470217693076,0.14999999,5.88806,0.14999999,0.14999999,34191,-121.32631605512285,-0.7198951,-0.8916385,-151.95992748087272,0.14999999,-121.32631605512285,5,0.01,0.34536415,68.382,4.722848,-1.1804899
12,600,-0.1358246,100,0.9734359774984219,-104.1470217693076,0.14999999,6.0554657,0.14999999,0.14999999,37088,-120.49267288689262,-0.7236557,-0.84441006,-146.71538504854266,0.14999999,-120.49267288689262,6,0.01,0.31118596,61.81333333333333,5.253487,-1.3294302
12,700,-0.108186185,100,0.9843571059108257,-104.12551379651654,0.14999999,4.695614,0.14999999,0.14999999,39609,-118.08043689011576,-0.7284291,-0.7918752,-142.62467816876742,0.14999999,-118.08043689011576,7,0.01,0.32215348,56.58428571428571,2.938179,-1.2734345
12,800,-0.13756797,100,0.9257559840589594,-103.83580998466806,0.14999999,4.691388,0.14999999,0.14999999,42241,-118.80564268566064,-0.74353164,-0.8196854,-139.64729873337907,0.14999999,-118.80564268566064,8,0.01,0.3405951,52.80125,3.3438406,-1.0109012
12,900,-0.17100638,100,0.5234583345897179,-103.75880247194537,0.14999999,2.7124631,0.14999999,0.14999999,44847,-117.9496828890371,-0.7555387,-0.8099134,-137.2364525284522,0.14999999,-117.9496828890371,9,0.01,0.3115585,49.83,2.2097428,-1.1116133
12,1000,-0.14890896,100,0.705134239691531,-103.75880247194537,0.14999999,2.8834248,0.14999999,0.14999999,47403,-117.38281187646672,-0.7669938,-0.8071908,-135.25108846325364,0.14999999,-117.38281187646672,10,0.01,0.32199,47.403,2.7594612,-0.91101867
12,1100,-0.14262183,100,0.7458308885419709,-103.75880247194537,0.14999999,2.8129709,0.14999999,0.14999999,49994,-118.69173197658692,-0.76616997,-0.80173695,-133.74569241901122,0.14999999,-118.69173197658692,11,0.01,0.34958464,45.449090909090906,2.3920999,-1.369801
12,1200,-0.15061617,100,1.5453362725015671,-103.71022048844605,0.14999999,2.3240798,0.14999999,0.14999999,52627,-118.90107364874764,-0.7769886,-0.79556334,-132.50864085482257,0.14999999,-118.90107364874764,12,0.01,0.32566363,43.85583333333334,2.0874288,-1.1597964
11,1300,-0.14722203,100,0.9292304571266176,-103.71022048844605,0.14999999,2.6913538,0.14999999,0.14999999,55131,-117.61986628375782,-0.7978629,-0.7924146,-131.3633505032022,0.14999999,-117.61986628375782,13,0.01,0.31655517,42.40846153846154,2.191084,-1.4143836
11,1400,-0.15888226,100,0.5732104092150945,-103.71022048844605,0.14999999,5.16886,0.14999999,0.14999999,57499,-116.52916665041008,-0.8000295,-0.77050376,-130.3037659422885,0.14999999,-116.52916665041008,14,0.01,0.30637684,41.07071428571429,3.3394628,-1.614855
11,1500,-0.1781817,100,0.4784969674475864,-103.71022048844605,0.14999999,1.7945725,0.14999999,0.14999999,59777,-115.29718245758134,-0.8320043,-0.7832181,-129.30332704330803,0.14999999,-115.29718245758134,15,0.01,0.2729822,39.851333333333336,1.4621232,-1.3323956
11,1600,-0.18079351,100,0.487709094294135,-103.71022048844605,0.14999999,3.9293687,0.14999999,0.14999999,62049,-115.12273745238087,-0.82739705,-0.7685968,-128.41704019387507,0.14999999,-115.12273745238087,16,0.01,0.26402563,38.780625,2.3880854,-1.7719343
11,1700,-0.19800526,100,0.3791271793891676,-102.65172863330795,0.14999999,4.116976,0.14999999,0.14999999,64303,-114.31180476264541,-0.8481623,-0.744716,-127.58732046262625,0.14999999,-114.31180476264541,17,0.01,0.24833295,37.82529411764706,2.8601367,-0.9591713
11,1800,-0.1694039,100,0.34397804388174164,-102.65172863330795,0.14999999,2.6421654,0.14999999,0.14999999,66406,-112.99120552008839,-0.85939443,-0.7180701,-126.77642518804082,0.14999999,-112.99120552008839,18,0.01,0.24194978,36.89222222222222,2.60793,-1.0325325
11,1900,-0.16729136,100,0.4729602946244553,-102.65172863330795,0.14999999,3.0702872,0.14999999,0.14999999,68574,-113.89445808996024,-0.83331513,-0.718308,-126.0984269197208,0.14999999,-113.89445808996024,19,0.01,0.24561782,36.09157894736842,2.6597784,-1.2018923
11,2000,-0.19388914,100,0.28574555268075547,-102.65172863330795,0.14999999,3.1593938,0.14999999,0.14999999,70740,-113.18299061016782,-0.82720304,-0.7086208,-125.45265510424314,0.14999999,-113.18299061016782,20,0.01,0.23541857,35.37,2.6013339,-1.4479194
11,2100,-0.1857238,100,0.30663887810925544,-102.65172863330795,0.14999999,1.9083582,0.14999999,0.14999999,72892,-113.3308061484263,-0.85321635,-0.72307956,-124.87542420158523,0.14999999,-113.3308061484263,21,0.01,0.22865434,34.71047619047619,1.5151991,-1.0753168
11,2200,-0.19507779,100,0.2248551819094837,-102.65172863330795,0.14999999,3.4895227,0.14999999,0.14999999,74967,-112.85827753268545,-0.8468027,-0.7079276,-124.32919026208975,0.14999999,-112.85827753268545,22,0.01,0.22621135,34.07590909090909,2.4161196,-1.136843
