InvPendulum_std1_higher,TimestepsSoFar,InvPendulum_std2_higher,AvgRet,InvPendulum_std0_higher,InvPendulum_mu2_higher,InvPendulum_mu3_higher,InvPendulum_mu1_higher,NumTrajectories,ActionIn1,J,Iteration,NatGrad2Norm,ReturnMax,InvPendulum_mu0_higher,InvPendulum_std3_higher,AvgEpLen,MinEpLen,BatchSize,StepSize,ReturnMean,NatGradInftyNorm,VarJ
0.14999999,18083,0.14999999,-240.7315883439512,0.14999999,-0.3480244,0.32162514,-0.85142165,100,-1.2503288,-240.7315883439512,1,21.570786,-112.92435437602366,-0.22476089,0.14999999,180.83,19,100,1.0,-240.7315883439512,21.00378,191.9498748370405
0.14999999,19733,0.14999999,-108.23990120555398,0.14999999,-21.351805,-0.07751459,-2.780938,200,-19.973934,-108.23990120555398,2,2.1172493,-103.38079335382693,4.2760906,0.14999999,98.665,10,100,1.0,-174.4857447747526,1.5569826,0.08017281100245015
0.14999999,21394,0.14999999,-108.70372454358917,0.14999999,-22.518513,-0.45200682,-4.3379207,300,-23.758818,-108.70372454358917,3,2.7122102,-103.38079335382693,3.5297008,0.14999999,71.31333333333333,10,100,1.0,-152.55840469769814,2.3725772,0.10190328967781424
0.14999999,22985,0.14999999,-107.65061740180512,0.14999999,-24.89109,-0.7790817,-4.9362073,400,-25.87529,-107.65061740180512,4,4.244965,-101.9649561866502,4.653105,0.14999999,57.4625,10,100,1.0,-141.33145787372487,2.5811813,0.08525131578665507
0.14999999,24613,0.14999999,-107.82679142645749,0.14999999,-27.472271,1.5626179,-7.125004,500,-27.126806,-107.82679142645749,5,4.8774576,-101.9649561866502,5.693702,0.14999999,49.226,10,100,1.0,-134.6305245842714,3.7645955,0.05062759127875309
0.14999999,26242,0.14999999,-108.2742992321596,0.14999999,-26.962746,-1.4259003,-3.3604083,600,-26.645191,-108.2742992321596,6,5.0071273,-101.9649561866502,5.0405884,0.14999999,43.736666666666665,10,100,1.0,-130.2378203589194,4.203878,0.09043815924179924
0.14999999,27839,0.14999999,-107.85634022544872,0.14999999,-26.706097,-0.36233127,0.8434696,700,-18.661152,-107.85634022544872,7,4.6244106,-101.9649561866502,7.530906,0.14999999,39.77,10,100,1.0,-127.0404660541379,3.0023313,0.08138194000052223
0.14999999,29483,0.14999999,-108.2643744497928,0.14999999,-26.995087,1.4922942,-2.1588616,800,-22.756023,-108.2643744497928,8,4.560154,-101.9649561866502,4.556342,0.14999999,36.85375,10,100,1.0,-124.69345460359476,3.6068838,0.08562699378402838
0.14999999,31095,0.14999999,-107.7105526578828,0.14999999,-27.311844,-1.255891,-1.7948053,900,-29.099794,-107.7105526578828,9,1.9344097,-101.9649561866502,0.94945836,0.14999999,34.55,10,100,1.0,-122.80646549851566,1.6120734,0.07995004899717964
0.14999999,32710,0.14999999,-108.23642332980982,0.14999999,-27.866913,-0.34645683,-1.7054315,1000,-26.867184,-108.23642332980982,10,2.821438,-101.9649561866502,2.5615318,0.14999999,32.71,10,100,1.0,-121.34946128164506,2.7017467,0.07635617047540222
