InvPendulum_std0_higher,InvPendulum_mu1_higher,StepSize,BatchSize,InvPendulum_mu3_higher,InvPendulum_mu0_higher,ReturnMax,InvPendulum_std1_higher,AvgEpLen,NatGrad2Norm,InvPendulum_std2_higher,AvgRet,ActionIn1,ReturnMean,MinEpLen,NatGradInftyNorm,TimestepsSoFar,Iteration,InvPendulum_std3_higher,InvPendulum_mu2_higher,J,VarJ,NumTrajectories
0.14999999,-0.4217885,0.001,100,-0.06532505,0.8060292,-103.58715795603078,0.14999999,21.59,3.8764853,0.14999999,-114.47419054839072,1.7787482,-114.47419054839072,11,3.5983,2159,1,0.14999999,0.41005367,-114.47419054839072,1.0217815169825926,100
0.14999999,-0.42226633,0.001,100,-0.061726753,0.8057913,-103.31314189310326,0.14999999,22.585,3.828507,0.14999999,-115.75178563380301,0.63850635,-115.11298809109687,11,2.96659,4517,2,0.14999999,0.4087141,-115.75178563380301,1.215473382678622,200
0.14999999,-0.42258257,0.001,100,-0.059609212,0.8069195,-100.14920301013184,0.14999999,22.38,3.2843578,0.14999999,-114.31029709329576,0.21082097,-114.84542442516317,11,2.8345,6714,3,0.14999999,0.41168067,-114.31029709329576,0.7365665821700853,300
0.14999999,-0.4211401,0.001,100,-0.056774713,0.80773586,-100.14920301013184,0.14999999,22.0675,3.689166,0.14999999,-113.80387895872735,0.79437655,-114.5850380585542,11,2.3486428,8827,4,0.14999999,0.41175506,-113.80387895872735,0.5641449726343477,400
0.14999999,-0.42122623,0.001,100,-0.059123356,0.80565083,-100.14920301013184,0.14999999,22.526,5.2263165,0.14999999,-117.03951175778192,0.34200346,-115.07593279839976,11,4.2334924,11263,5,0.14999999,0.40982142,-117.03951175778192,1.5043421483762287,500
0.14999999,-0.41699275,0.001,100,-0.058692973,0.8061145,-100.14920301013184,0.14999999,22.273333333333333,1.8594627,0.14999999,-113.57045329311578,0.2741592,-114.82501954751909,11,1.3976724,13364,6,0.14999999,0.41282004,-113.57045329311578,0.7210309224605784,600
0.14999999,-0.4177482,0.001,100,-0.0572953,0.80578196,-100.14920301013184,0.14999999,22.327142857142857,2.4657962,0.14999999,-115.76661485925932,0.8841573,-114.95953316348198,11,2.0300927,15629,7,0.14999999,0.41372713,-115.76661485925932,0.5465098624343663,700
0.14999999,-0.41672966,0.001,100,-0.05823293,0.80781204,-100.14920301013184,0.14999999,22.08375,2.1719847,0.14999999,-113.31150154374662,0.97052926,-114.75352921101505,11,1.5673265,17667,8,0.14999999,0.41393277,-113.31150154374662,0.6693739882950978,800
0.14999999,-0.41722274,0.001,100,-0.059651513,0.8078863,-100.14920301013184,0.14999999,22.216666666666665,2.4140906,0.14999999,-115.28241086141915,0.99661064,-114.81229383883775,11,2.3511646,19995,9,0.14999999,0.41236544,-115.28241086141915,0.9795632761708856,900
0.14999999,-0.41713232,0.001,100,-0.059448563,0.81023747,-100.14920301013184,0.14999999,22.141,3.5803726,0.14999999,-114.02965296052153,0.8883152,-114.73402975100612,11,2.576442,22141,10,0.14999999,0.41186494,-114.02965296052153,0.8934444068967206,1000
0.14999999,-0.41753092,0.001,100,-0.060321517,0.807661,-100.14920301013184,0.14999999,22.150909090909092,1.8822033,0.14999999,-114.87471401261199,0.64224756,-114.74681922933392,11,1.6951958,24366,11,0.14999999,0.41415843,-114.87471401261199,0.8477923630744434,1100
0.14999999,-0.4192261,0.001,100,-0.0603582,0.80795795,-100.14920301013184,0.14999999,22.141666666666666,2.070393,0.14999999,-114.51098785041253,0.9053691,-114.72716661442382,10,1.9166871,26570,12,0.14999999,0.41491967,-114.51098785041253,0.8746941341084231,1200
0.14999999,-0.41934618,0.001,100,-0.06227489,0.8077352,-100.14920301013184,0.14999999,22.05923076923077,3.1077716,0.14999999,-113.70294073502528,0.8714388,-114.64838000831624,10,2.0335047,28677,13,0.14999999,0.4156605,-113.70294073502528,0.8666217048574656,1300
0.14999999,-0.41731268,0.001,100,-0.06111363,0.8089203,-100.14920301013184,0.14999999,22.166428571428572,1.5271951,0.14999999,-114.67514331070007,0.73579085,-114.65029167277223,10,0.88661224,31033,14,0.14999999,0.41399616,-114.67514331070007,1.3872562415559262,1400
0.14999999,-0.41657317,0.001,100,-0.060227018,0.8084183,-100.14920301013184,0.14999999,22.163333333333334,3.0727983,0.14999999,-113.91408597917028,0.94930756,-114.60121129319874,10,2.4881237,33245,15,0.14999999,0.4131317,-113.91408597917028,0.8087375628127438,1500
0.14999999,-0.41596904,0.001,100,-0.058699973,0.8109064,-100.14920301013184,0.14999999,22.09125,3.2452252,0.14999999,-113.3724221195382,0.81533086,-114.52441196984496,10,3.1779017,35346,16,0.14999999,0.41238704,-113.3724221195382,0.4937033522341616,1600
0.14999999,-0.41914696,0.001,100,-0.05896052,0.8105395,-100.14920301013184,0.14999999,22.12,3.7743924,0.14999999,-115.41800187457139,0.68797046,-114.57697608188771,10,2.4627771,37604,17,0.14999999,0.41190752,-115.41800187457139,1.5609160476197435,1700
0.14999999,-0.41711593,0.001,100,-0.061423298,0.812176,-100.14920301013184,0.14999999,22.147222222222222,5.0539837,0.14999999,-115.17627698858023,0.77516437,-114.61027057670395,10,3.9243724,39865,18,0.14999999,0.41073385,-115.17627698858023,1.1476411309790917,1800
0.14999999,-0.41319156,0.001,100,-0.062978685,0.81260085,-100.14920301013184,0.14999999,22.117894736842103,2.5640056,0.14999999,-114.34895018119158,0.4981572,-114.59651687167698,10,2.0012398,42024,19,0.14999999,0.41348016,-114.34895018119158,0.729637045026109,1900
0.14999999,-0.41519278,0.001,100,-0.06285283,0.81310993,-100.0305250131488,0.14999999,22.139,1.6055465,0.14999999,-114.81462874942068,0.3993552,-114.60742246556416,10,1.1830524,44278,20,0.14999999,0.4149948,-114.81462874942068,0.9299346723415443,2000
0.14999999,-0.41400972,0.001,100,-0.062300768,0.81403077,-100.0305250131488,0.14999999,22.135238095238094,5.6827645,0.14999999,-114.88100021097124,0.5750749,-114.62044997725022,10,4.1633096,46484,21,0.14999999,0.4148353,-114.88100021097124,1.1592323705337555,2100
0.14999999,-0.41315755,0.001,100,-0.06646408,0.81764716,-100.0305250131488,0.14999999,22.112727272727273,5.887945,0.14999999,-114.33020109656081,1.10881,-114.6072568463098,10,5.5079174,48648,22,0.14999999,0.41591048,-114.33020109656081,0.8265984010599634,2200
0.14999999,-0.41866547,0.001,100,-0.06730439,0.8176859,-99.8374963276363,0.14999999,22.148260869565217,2.9793334,0.14999999,-114.59095671595735,0.46877462,-114.60654814499013,10,2.2971492,50941,23,0.14999999,0.41781393,-114.59095671595735,1.0746673657696575,2300
0.14999999,-0.41690513,0.001,100,-0.06756669,0.81834316,-99.8374963276363,0.14999999,22.159166666666668,3.6461737,0.14999999,-115.06668149730115,1.157978,-114.6257203680031,10,2.8461838,53182,24,0.14999999,0.4201111,-115.06668149730115,1.202538908401459,2400
0.14999999,-0.41405895,0.001,100,-0.06709365,0.8161163,-99.8374963276363,0.14999999,22.1176,5.7375216,0.14999999,-112.99180790729322,0.37120482,-114.56036386957469,10,4.887995,55294,25,0.14999999,0.42021653,-112.99180790729322,0.8169727601685313,2500
0.14999999,-0.41336295,0.001,100,-0.066314965,0.81893337,-99.8374963276363,0.14999999,22.127307692307692,3.02775,0.14999999,-114.66369375294863,0.6636558,-114.56433809585829,10,2.5524096,57531,26,0.14999999,0.41532853,-114.66369375294863,1.6759457517257161,2600
0.14999999,-0.41591537,0.001,100,-0.06648604,0.82050294,-99.8374963276363,0.14999999,22.135925925925925,3.031015,0.14999999,-114.67873598344472,1.0150987,-114.5685750546578,10,2.421448,59767,27,0.14999999,0.41572818,-114.67873598344472,0.8280245980417249,2700
0.14999999,-0.41419417,0.001,100,-0.06654922,0.8180815,-99.8374963276363,0.14999999,22.167857142857144,2.3991287,0.14999999,-115.07250793320131,0.11228204,-114.58657265746292,10,1.7085286,62070,28,0.14999999,0.41632578,-115.07250793320131,1.9753513915365601,2800
0.14999999,-0.41387436,0.001,100,-0.06484069,0.8196491,-99.8374963276363,0.14999999,22.11793103448276,2.503865,0.14999999,-113.48153839893524,0.7716565,-114.54846802785852,10,1.8467004,64142,29,0.14999999,0.41579932,-113.48153839893524,0.48149785854048655,2900
0.14999999,-0.41572106,0.001,100,-0.06560001,0.8189328,-99.8374963276363,0.14999999,22.125,4.9433365,0.14999999,-114.29448376817892,0.9775195,-114.54000188586919,10,4.3786387,66375,30,0.14999999,0.4171295,-114.29448376817892,0.7326740398800566,3000
