NatGrad2Norm,InvPendulum_mu1_higher,ReturnMax,AvgRet,StepSize,J,InvPendulum_std2_higher,BatchSize,VarJ,InvPendulum_std0_higher,InvPendulum_mu0_higher,NatGradInftyNorm,InvPendulum_mu2_higher,Iteration,InvPendulum_std3_higher,MinEpLen,ActionIn1,TimestepsSoFar,AvgEpLen,ReturnMean,NumTrajectories,InvPendulum_mu3_higher,InvPendulum_std1_higher
3.8764853,-0.4217885,-103.58715795603078,-114.47419054839072,0.01,-114.47419054839072,0.14999999,100,1.0217815169825926,0.14999999,0.8060292,3.5983,0.41005367,1,0.14999999,11,1.7787482,2159,21.59,-114.47419054839072,100,-0.06532505,0.14999999
3.6013608,-0.42656657,-100.61834263826951,-117.63595472851607,0.01,-117.63595472851607,0.14999999,100,1.7152176288458876,0.14999999,0.8036506,2.9031615,0.39665776,2,0.14999999,11,0.65239376,4626,23.13,-116.05507263845338,200,-0.029342052,0.14999999
3.1138792,-0.4283208,-100.61834263826951,-114.6403068506331,0.01,-114.6403068506331,0.14999999,100,1.0373854328793526,0.14999999,0.81534034,2.614279,0.42568937,3,0.14999999,11,0.27551126,6831,22.77,-115.5834840425133,300,-0.011610221,0.14999999
3.6254158,-0.41269797,-100.61834263826951,-115.0622760139285,0.01,-115.0622760139285,0.14999999,100,0.8481783211370316,0.14999999,0.8215169,2.2233925,0.42767864,4,0.14999999,11,0.9038306,9033,22.5825,-115.45318203536709,400,0.014532568,0.14999999
5.1363544,-0.41357034,-100.61834263826951,-117.63999883684491,0.01,-117.63999883684491,0.14999999,100,1.5465683707957139,0.14999999,0.7998589,3.9801788,0.4089653,5,0.14999999,11,0.39443332,11498,22.996,-115.89054539566266,500,-0.007701356,0.14999999
2.0376155,-0.37376857,-100.61834263826951,-112.47952214468245,0.01,-112.47952214468245,0.14999999,100,0.40374292851739946,0.14999999,0.804412,1.4473668,0.4405542,6,0.14999999,11,0.4003599,13455,22.425,-115.32204152049928,600,-0.0017481069,0.14999999
2.4204693,-0.38494056,-100.61834263826951,-113.94658957769923,0.01,-113.94658957769923,0.14999999,100,0.7389602718192256,0.14999999,0.8002097,1.9546579,0.4485058,7,0.14999999,11,1.0161922,15546,22.208571428571428,-115.1255483858136,700,0.012725562,0.14999999
1.997444,-0.37459648,-100.61834263826951,-112.88077833987128,0.01,-112.88077833987128,0.14999999,100,0.4820749292737382,0.14999999,0.81975627,1.4912223,0.45153067,8,0.14999999,11,1.123801,17602,22.0025,-114.84495213007078,800,0.0033634892,0.14999999
2.2879078,-0.38012677,-100.61834263826951,-114.49201483751577,0.01,-114.49201483751577,0.14999999,100,0.81795581819237,0.14999999,0.81843746,2.197971,0.43661845,9,0.14999999,11,1.1195141,19845,22.05,-114.80573687534246,900,-0.008648189,0.14999999
3.6635711,-0.37816715,-100.61834263826951,-113.58455464653521,0.01,-113.58455464653521,0.14999999,100,0.556043488934304,0.14999999,0.84041715,2.6160328,0.43228498,10,0.14999999,11,1.0328907,21902,21.902,-114.68361865246173,1000,-0.0044380287,0.14999999
1.8828331,-0.384931,-100.61834263826951,-113.8197211849163,0.01,-113.8197211849163,0.14999999,100,0.6036148737980932,0.14999999,0.81425685,1.7126752,0.45561212,11,0.14999999,11,0.77053994,24021,21.837272727272726,-114.60508251904851,1100,-0.012678654,0.14999999
