InvPendulum_mu3_higher,InvPendulum_std2_higher,ActionIn1,InvPendulum_mu1_higher,AvgRet,InvPendulum_mu2_higher,BatchSize,Iteration,VarJ,StepSize,NatGrad2Norm,J,InvPendulum_std1_higher,NatGradInftyNorm,ReturnMax,ReturnMean,InvPendulum_mu0_higher,NumTrajectories,TimestepsSoFar,AvgEpLen,InvPendulum_std0_higher,InvPendulum_std3_higher,MinEpLen
-0.24478999,0.14999999,-0.3919974,-0.74013203,-119.68763207232995,0.561099,100,1,0.8844233455683249,2.0,2.4549313,-119.68763207232995,0.14999999,2.2294436,-97.60241650347758,-119.68763207232995,0.278299,100,2916,29.16,0.14999999,0.14999999,13
-1.3963536,0.14999999,5.8238544,3.718755,-106.70852891406238,0.7086485,100,2,0.050089541481442804,2.0,2.2585144,-106.70852891406238,0.14999999,1.7294039,-97.60241650347758,-113.19808049319616,1.9745317,200,4379,21.895,0.14999999,0.14999999,11
-0.6197386,0.14999999,-0.63342303,0.92993546,-107.89808262786802,-2.7501593,100,3,0.08456264273487447,2.0,3.8708436,-107.89808262786802,0.14999999,2.7536697,-97.60241650347758,-111.43141453808678,1.730494,300,5971,19.903333333333332,0.14999999,0.14999999,10
4.887601,0.14999999,9.732814,5.1371436,-112.63725670459918,-0.12973332,100,4,0.16104406478850802,2.0,4.2235665,-112.63725670459918,0.14999999,3.5618827,-97.60241650347758,-111.7328750797149,-0.51354265,400,7787,19.4675,0.14999999,0.14999999,10
3.9108245,0.14999999,12.086356,12.260909,-107.70462601114944,-4.4662437,100,5,0.11203668219023294,2.0,3.1378949,-107.70462601114944,0.14999999,2.7124836,-97.60241650347758,-110.92722526600183,0.40656453,500,9336,18.672,0.14999999,0.14999999,10
6.9844265,0.14999999,8.741499,6.835942,-110.2332889462052,-4.7180777,100,6,0.18962800462109528,2.0,2.4781404,-110.2332889462052,0.14999999,1.8464797,-97.60241650347758,-110.81156921270235,-0.26038277,600,11153,18.588333333333335,0.14999999,0.14999999,10
8.303647,0.14999999,11.230991,7.3250566,-109.57496042674278,-7.7092643,100,7,0.2518507964678872,2.0,3.8364415,-109.57496042674278,0.14999999,3.5733213,-97.60241650347758,-110.63491081470815,3.4325767,700,12898,18.425714285714285,0.14999999,0.14999999,10
1.1570044,0.14999999,7.7534604,8.061396,-108.0728050650875,-7.6857486,100,8,0.08010319735197088,2.0,3.3171434,-108.0728050650875,0.14999999,2.7573695,-97.60241650347758,-110.31464759600556,6.1262507,800,14510,18.1375,0.14999999,0.14999999,10
-2.405533,0.14999999,8.448853,13.576135,-108.25374657030699,-8.520916,100,9,0.09570582014184308,2.0,3.4796588,-108.25374657030699,0.14999999,2.2177446,-97.60241650347758,-110.08565859315019,5.665559,900,16119,17.91,0.14999999,0.14999999,10
-6.1637297,0.14999999,2.2583447,9.140646,-108.08536266432417,-9.719137,100,10,0.09049844579623093,2.0,2.2139797,-108.08536266432417,0.14999999,1.2949162,-97.60241650347758,-109.88562900026757,9.298569,1000,17715,17.715,0.14999999,0.14999999,10
