VarJ,Iteration,ReturnMean,InvPendulum_std1_higher,AvgEpLen,BatchSize,InvPendulum_std3_higher,NumTrajectories,InvPendulum_std0_higher,J,ActionIn1,InvPendulum_mu1_higher,InvPendulum_mu3_higher,StepSize,InvPendulum_mu2_higher,AvgRet,TimestepsSoFar,NatGrad2Norm,InvPendulum_mu0_higher,ReturnMax,InvPendulum_std2_higher,NatGradInftyNorm,MinEpLen
1.0217815169825926,1,-114.47419054839072,0.14999999,21.59,100,0.14999999,100,0.14999999,-114.47419054839072,1.7787482,-0.4217885,-0.06532505,1.0,0.41005367,-114.47419054839072,2159,3.8764853,0.8060292,-103.58715795603078,0.14999999,3.5983,11
1.9885368249243285,2,-119.18947341004547,0.14999999,25.065,100,0.14999999,200,0.14999999,-123.90475627170022,2.1800108,-0.8995943,3.532975,1.0,-0.92953616,-123.90475627170022,5013,3.4660892,0.5681722,-103.58715795603078,0.14999999,2.408626,11
38.11799927796084,3,-127.30098585345864,0.14999999,32.85,100,0.14999999,300,0.14999999,-143.52401074028495,6.3279834,-1.9208397,5.941601,1.0,0.85191435,-143.52401074028495,9855,5.108309,1.9808954,-103.58715795603078,0.14999999,4.2266235,11
4.064137907904835,4,-126.92565739564789,0.14999999,31.9375,100,0.14999999,400,0.14999999,-125.79967202221566,14.850619,-2.0987737,10.168224,1.0,2.2469177,-125.79967202221566,12775,4.112224,4.4814506,-103.58715795603078,0.14999999,2.8565536,11
4.38373872258575,5,-127.1782160858095,0.14999999,31.812,100,0.14999999,500,0.14999999,-128.18845084645596,7.2618756,-2.2737412,7.74619,1.0,-0.60963583,-128.18845084645596,15906,4.3348246,2.792182,-103.58715795603078,0.14999999,3.6091068,11
1.3716854530417835,6,-125.94874900304266,0.14999999,30.51,100,0.14999999,600,0.14999999,-119.80141358920851,14.26323,1.3353655,8.753055,1.0,1.5489807,-119.80141358920851,18306,2.4731145,3.094919,-103.58715795603078,0.14999999,1.7946836,11
2.0918123723669773,7,-125.56531556650499,0.14999999,30.03,100,0.14999999,700,0.14999999,-123.26471494727893,15.289461,-0.15766406,10.547738,1.0,2.1811454,-123.26471494727893,21021,1.9501384,2.5785503,-103.58715795603078,0.14999999,1.8127602,11
2.1563935964976766,8,-125.13384953829828,0.14999999,29.55,100,0.14999999,800,0.14999999,-122.11358734085111,17.16182,0.35727644,10.047495,1.0,2.1419904,-122.11358734085111,23640,2.8825884,4.3913107,-103.58715795603078,0.14999999,2.675281,11
2.6675496911428547,9,-124.44067944018268,0.14999999,28.805555555555557,100,0.14999999,900,0.14999999,-118.89531865525797,13.068977,-0.15602523,9.104824,1.0,-0.5332906,-118.89531865525797,25925,2.136093,4.400236,-103.58715795603078,0.14999999,1.5601137,11
17.253341011140215,10,-124.20828118389653,0.14999999,28.556,100,0.14999999,1000,0.14999999,-122.1166968773211,13.410753,-0.5967639,9.696484,1.0,-1.7921103,-122.1166968773211,28556,2.931844,5.96035,-103.58715795603078,0.14999999,2.4595513,11
3.0910911895152884,11,-124.06766261937398,0.14999999,28.315454545454546,100,0.14999999,1100,0.14999999,-122.6614769741485,10.600775,-1.3187175,9.046551,1.0,-0.5261376,-122.6614769741485,31147,2.298386,3.5007987,-103.58715795603078,0.14999999,2.2582457,11
51.779223101296054,12,-125.61988861057641,0.14999999,29.85,100,0.14999999,1200,0.14999999,-142.69437451380324,8.399283,-3.5769632,8.643061,1.0,-0.40785885,-142.69437451380324,35820,1.6858552,3.5789685,-103.58715795603078,0.14999999,1.4384563,11
6.462874769473766,13,-126.38435126848348,0.14999999,30.551538461538463,100,0.14999999,1300,0.14999999,-135.55790316336837,5.714073,-4.2726965,8.105881,1.0,-1.8463151,-135.55790316336837,39717,3.5292873,3.5975394,-103.58715795603078,0.14999999,2.3753397,11
0.6737729207827198,14,-125.70441982233801,0.14999999,29.95357142857143,100,0.14999999,1400,0.14999999,-116.86531102244676,7.358121,-2.4346957,9.875986,1.0,-4.221655,-116.86531102244676,41935,2.1655197,4.1471853,-103.58715795603078,0.14999999,1.7006443,11
0.5822489964789077,15,-125.22498683594429,0.14999999,29.624666666666666,100,0.14999999,1500,0.14999999,-118.5129250264322,6.5025063,-2.5949419,11.125798,1.0,-5.9222994,-118.5129250264322,44437,3.2930868,3.6893919,-103.58715795603078,0.14999999,2.2875314,11
0.4707609709113054,16,-124.5779394291485,0.14999999,29.075625,100,0.14999999,1600,0.14999999,-114.87222832721147,9.466152,-2.5108125,13.124456,1.0,-7.191121,-114.87222832721147,46521,3.5563216,5.976923,-103.58715795603078,0.14999999,3.4041219,11
0.6185916328516572,17,-124.18051562623891,0.14999999,28.791764705882354,100,0.14999999,1700,0.14999999,-117.82173477968554,4.514901,-5.914934,13.131496,1.0,-8.039545,-117.82173477968554,48946,3.6331847,5.394253,-103.13948638477505,0.14999999,2.3025208,11
0.3555381656583894,18,-123.60508015231994,0.14999999,28.383333333333333,100,0.14999999,1800,0.14999999,-113.82267709569767,3.0989337,-4.434109,10.828976,1.0,-10.034561,-113.82267709569767,51090,4.0665655,6.707835,-103.13948638477505,0.14999999,3.168721,11
0.4477975591391798,19,-123.05016454262365,0.14999999,27.936842105263157,100,0.14999999,1900,0.14999999,-113.06168356809019,7.9244733,-1.2653883,10.004495,1.0,-7.6533957,-113.06168356809019,53080,2.593799,7.090516,-102.2403976510759,0.14999999,2.3516147,11
