AvgRet,StepSize,InvPendulum_std3_higher,InvPendulum_mu3_higher,ReturnMax,AvgEpLen,NatGradInftyNorm,InvPendulum_std0_higher,InvPendulum_std2_higher,BatchSize,Iteration,InvPendulum_std1_higher,NatGrad2Norm,ReturnMean,InvPendulum_mu2_higher,VarJ,NumTrajectories,InvPendulum_mu1_higher,TimestepsSoFar,ActionIn1,InvPendulum_mu0_higher,MinEpLen,J
-114.47419054839072,0.0001,0.14999999,-0.06532505,-103.58715795603078,21.59,3.5983,0.14999999,0.14999999,100,1,0.14999999,3.8764853,-114.47419054839072,0.41005367,1.0217815169825926,100,-0.4217885,2159,1.7787482,0.8060292,11,-114.47419054839072
-114.94977094768,0.0001,0.14999999,-0.06496522,-103.58715795603078,21.93,2.5867841,0.14999999,0.14999999,100,2,0.14999999,3.5084972,-114.71198074803537,0.4099197,0.683388399693125,200,-0.4218363,4386,0.6371177,0.8060054,11,-114.94977094768
-114.2006627203602,0.0001,0.14999999,-0.06476511,-100.27930949075638,21.946666666666665,2.770349,0.14999999,0.14999999,100,3,0.14999999,3.189388,-114.54154140547699,0.4101784,0.737107732902243,300,-0.4218835,6584,0.20406574,0.8061234,11,-114.2006627203602
-114.77579727512217,0.0001,0.14999999,-0.064488076,-100.27930949075638,21.8725,2.107582,0.14999999,0.14999999,100,4,0.14999999,3.5576692,-114.60010537288828,0.41020375,0.5524868227228611,400,-0.42174652,8749,0.7829677,0.80619806,11,-114.77579727512217
-114.65127859973698,0.0001,0.14999999,-0.06469883,-100.27930949075638,21.856,3.8681276,0.14999999,0.14999999,100,5,0.14999999,4.8086333,-114.61034001825803,0.40999973,0.6619754151658295,500,-0.42174414,10928,0.33643436,0.8059968,10,-114.65127859973698
-113.66797507406608,0.0001,0.14999999,-0.06462253,-100.27930949075638,21.713333333333335,1.2546009,0.14999999,0.14999999,100,6,0.14999999,1.8064388,-114.45327919422603,0.4102718,0.7854698113501237,600,-0.42135733,13028,0.26124114,0.8060388,10,-113.66797507406608
-114.28158815328914,0.0001,0.14999999,-0.06449707,-100.27930949075638,21.75,1.9196616,0.14999999,0.14999999,100,7,0.14999999,2.3834114,-114.4287519026636,0.41036436,0.6803032691922879,700,-0.42144382,15225,0.87012494,0.80600977,10,-114.28158815328914
-114.18453062503599,0.0001,0.14999999,-0.06458736,-100.27930949075638,21.725,1.4373451,0.14999999,0.14999999,100,8,0.14999999,1.981353,-114.39822424296017,0.41038737,0.6532067809981964,800,-0.42133763,17380,0.9544111,0.80620176,10,-114.18453062503599
-114.94868436615836,0.0001,0.14999999,-0.06471478,-100.27930949075638,21.804444444444446,2.171229,0.14999999,0.14999999,100,9,0.14999999,2.2870011,-114.45938647887107,0.41024363,0.932795616674542,900,-0.4213855,19624,0.9835868,0.80621034,10,-114.94868436615836
-114.59542136374428,0.0001,0.14999999,-0.06469041,-100.27930949075638,21.824,2.5944953,0.14999999,0.14999999,100,10,0.14999999,3.7600975,-114.4729899673584,0.41018325,1.0774447591249485,1000,-0.42135513,21824,0.87335885,0.8064275,10,-114.59542136374428
-112.87298036094913,0.0001,0.14999999,-0.0648101,-100.27930949075638,21.695454545454545,1.5744252,0.14999999,0.14999999,100,11,0.14999999,1.7703601,-114.32753454859392,0.4104427,0.5779425279929947,1100,-0.42142415,23865,0.628682,0.806193,10,-112.87298036094913
-114.45470156524256,0.0001,0.14999999,-0.06480543,-100.27930949075638,21.694166666666668,1.8749092,0.14999999,0.14999999,100,12,0.14999999,2.0129158,-114.3381317999813,0.41051024,0.6522758247018614,1200,-0.4215816,26033,0.8924364,0.8062374,10,-114.45470156524256
-113.64980887229493,0.0001,0.14999999,-0.06499293,-100.27930949075638,21.653076923076924,2.0971913,0.14999999,0.14999999,100,13,0.14999999,3.25743,-114.28518388246697,0.4105628,0.6306996941881569,1300,-0.4215939,28149,0.859828,0.80618787,10,-113.64980887229493
-114.50708176429752,0.0001,0.14999999,-0.064865574,-100.27930949075638,21.68285714285714,0.9538921,0.14999999,0.14999999,100,14,0.14999999,1.4753374,-114.30103373116913,0.4103883,1.3195168757626834,1400,-0.4213842,30356,0.72175133,0.8063122,10,-114.50708176429752
-113.80881255166304,0.0001,0.14999999,-0.06477982,-100.27930949075638,21.666666666666668,2.1170676,0.14999999,0.14999999,100,15,0.14999999,2.8191183,-114.26821898586876,0.4102929,0.8011584984390828,1500,-0.42131904,32500,0.9350313,0.8062795,10,-113.80881255166304
-114.40147450339546,0.0001,0.14999999,-0.06461705,-100.27930949075638,21.675,2.9556563,0.14999999,0.14999999,100,16,0.14999999,3.015882,-114.27654745571417,0.41022578,0.7603023414695756,1600,-0.42125857,34680,0.7975478,0.8064912,10,-114.40147450339546
-115.59012704766565,0.0001,0.14999999,-0.06465139,-100.27930949075638,21.752352941176472,2.5670693,0.14999999,0.14999999,100,17,0.14999999,3.6503432,-114.35381684347603,0.41019225,0.8275396072357085,1700,-0.42155415,36979,0.67407286,0.8064552,10,-115.59012704766565
-116.24113125684346,0.0001,0.14999999,-0.0649081,-100.27930949075638,21.820555555555554,3.8582444,0.14999999,0.14999999,100,18,0.14999999,5.045707,-114.45866764421866,0.4100832,1.2614476950443443,1800,-0.42137042,39277,0.761201,0.80660254,10,-116.24113125684346
-115.36819669157713,0.0001,0.14999999,-0.065040626,-100.27930949075638,21.868947368421054,1.9983009,0.14999999,0.14999999,100,19,0.14999999,2.8377748,-114.50653759407963,0.41037753,1.2025647755549496,1900,-0.4209846,41551,0.47924057,0.80664176,10,-115.36819669157713
-116.08689939771419,0.0001,0.14999999,-0.0650297,-100.27930949075638,21.96,1.1220869,0.14999999,0.14999999,100,20,0.14999999,1.46114,-114.58555568426135,0.41056708,1.0889533032513548,2000,-0.42118442,43920,0.38035825,0.80670923,10,-116.08689939771419
-116.22512911224389,0.0001,0.14999999,-0.06496678,-100.27930949075638,21.993809523809524,4.271972,0.14999999,0.14999999,100,21,0.14999999,5.757382,-114.66363060940337,0.41057804,0.9367650406518454,2100,-0.4210722,46187,0.553836,0.80677766,10,-116.22512911224389
-112.9891675397804,0.0001,0.14999999,-0.06539398,-100.27930949075638,21.95909090909091,5.544114,0.14999999,0.14999999,100,22,0.14999999,5.964087,-114.58751865169324,0.41068038,0.9473140263946064,2200,-0.42097464,48310,1.0863225,0.8071368,10,-112.9891675397804
-115.03047207704108,0.0001,0.14999999,-0.06549876,-100.27930949075638,21.964347826086957,2.171127,0.14999999,0.14999999,100,23,0.14999999,2.8107395,-114.60677749627357,0.41087273,0.9875390791826476,2300,-0.42152905,50518,0.45024523,0.80715567,10,-115.03047207704108
-114.18519492264119,0.0001,0.14999999,-0.065518804,-100.27930949075638,21.93166666666667,2.661282,0.14999999,0.14999999,100,24,0.14999999,3.4549973,-114.58921155570555,0.41108984,0.8207075844516636,2400,-0.42136446,52636,1.1354239,0.8072218,10,-114.18519492264119
-113.11768154519474,0.0001,0.14999999,-0.06547536,-96.6340923923422,21.8808,4.963082,0.14999999,0.14999999,100,25,0.14999999,5.789099,-114.53035035528512,0.41108382,0.561161246319353,2500,-0.42109832,54702,0.34754056,0.8070058,10,-113.11768154519474
-114.42851651329532,0.0001,0.14999999,-0.065390185,-96.6340923923422,21.873846153846152,2.629663,0.14999999,0.14999999,100,26,0.14999999,3.2123945,-114.52643366905475,0.41058752,0.7823312587349959,2600,-0.42103952,56872,0.64051497,0.8072853,10,-114.42851651329532
-115.02435618606262,0.0001,0.14999999,-0.06537142,-96.6340923923422,21.886666666666667,2.3622952,0.14999999,0.14999999,100,27,0.14999999,3.0708656,-114.54487524375874,0.41062054,0.8129224406117799,2700,-0.4213025,59094,0.9926814,0.80746585,10,-115.02435618606262
-114.61918207921244,0.0001,0.14999999,-0.06538543,-96.6340923923422,21.904285714285713,1.8226948,0.14999999,0.14999999,100,28,0.14999999,2.6155734,-114.54752905931066,0.41066915,0.9164863240728589,2800,-0.42111292,61332,0.09001857,0.80722964,10,-114.61918207921244
-113.5702644134075,0.0001,0.14999999,-0.06520929,-96.6340923923422,21.89448275862069,1.9479746,0.14999999,0.14999999,100,29,0.14999999,2.5719023,-114.51383027841746,0.41060498,0.5188221631764494,2900,-0.42111993,63494,0.7466108,0.8074119,10,-113.5702644134075
-114.62729282459763,0.0001,0.14999999,-0.06528783,-90.17932753586115,21.928333333333335,4.3222046,0.14999999,0.14999999,100,30,0.14999999,4.863086,-114.51761236329011,0.41074243,0.8017587038556845,3000,-0.42131472,65785,0.95427406,0.8073559,10,-114.62729282459763
-115.39568942235019,0.0001,0.14999999,-0.064855605,-90.17932753586115,21.940645161290323,3.2305737,0.14999999,0.14999999,100,31,0.14999999,4.291191,-114.54593742971142,0.4108596,1.296773674529335,3100,-0.42112696,68016,0.6899979,0.8073822,10,-115.39568942235019
-114.10185831109277,0.0001,0.14999999,-0.06490342,-90.17932753586115,21.9378125,1.159355,0.14999999,0.14999999,100,32,0.14999999,1.9281723,-114.5320599572546,0.41111097,0.7455490229312083,3200,-0.42124662,70201,0.94553465,0.8077053,10,-114.10185831109277
-114.60642022065282,0.0001,0.14999999,-0.06501936,-90.17932753586115,21.936060606060607,2.9683437,0.14999999,0.14999999,100,33,0.14999999,3.2869077,-114.53431329856969,0.41103646,0.6363344805601816,3300,-0.42114377,72389,0.7123257,0.8077925,10,-114.60642022065282
-113.29161238350059,0.0001,0.14999999,-0.0648862,-90.17932753586115,21.893529411764707,2.471402,0.14999999,0.14999999,100,34,0.14999999,2.896317,-114.49776327165588,0.4110661,0.5528359879527993,3400,-0.42118007,74438,0.7161198,0.8080893,10,-113.29161238350059
-114.99883471588791,0.0001,0.14999999,-0.06496208,-90.17932753586115,21.888857142857145,4.10777,0.14999999,0.14999999,100,35,0.14999999,4.27981,-114.51207959863396,0.4109362,0.9459207318352061,3500,-0.4211667,76611,0.6173435,0.80833644,10,-114.99883471588791
-114.8886913928535,0.0001,0.14999999,-0.06499203,-90.17932753586115,21.901666666666667,1.373868,0.14999999,0.14999999,100,36,0.14999999,1.9222583,-114.52254103736227,0.410996,0.9960857539822954,3600,-0.42075592,78846,1.0749792,0.80823666,10,-114.8886913928535
-114.52086151802254,0.0001,0.14999999,-0.06512942,-90.17932753586115,21.923783783783783,2.9363015,0.14999999,0.14999999,100,37,0.14999999,3.9452152,-114.52249564494768,0.4108825,1.0414522173358147,3700,-0.42072317,81118,0.7227999,0.80817246,10,-114.52086151802254
-115.08948209229122,0.0001,0.14999999,-0.06525092,-90.17932753586115,21.948947368421052,1.6384562,0.14999999,0.14999999,100,38,0.14999999,2.5579622,-114.53741634093039,0.41066486,1.1090872081955179,3800,-0.42063773,83406,1.0223308,0.8084661,10,-115.08948209229122
-114.71892865229705,0.0001,0.14999999,-0.06508707,-90.17932753586115,21.945384615384615,2.2013762,0.14999999,0.14999999,100,39,0.14999999,2.5658276,-114.54207050276031,0.41065875,0.9980486671446314,3900,-0.42050037,85587,0.6680029,0.80832577,10,-114.71892865229705
-116.70688180865245,0.0001,0.14999999,-0.06486694,-90.17932753586115,21.99175,1.2767608,0.14999999,0.14999999,100,40,0.14999999,1.816046,-114.59619078540761,0.41078433,3.2760812891205275,4000,-0.4205182,87967,1.0027953,0.80836153,10,-116.70688180865245
-115.24463144955804,0.0001,0.14999999,-0.06499461,-90.17932753586115,22.00609756097561,2.780226,0.14999999,0.14999999,100,41,0.14999999,3.3316526,-114.6120064113625,0.41086325,1.4066492397799315,4100,-0.42058858,90225,0.090145156,0.8084357,10,-115.24463144955804
-114.76466833403276,0.0001,0.14999999,-0.065079495,-90.17932753586115,22.004285714285714,3.3218875,0.14999999,0.14999999,100,42,0.14999999,4.523194,-114.61564121904514,0.41114128,0.7770815096487405,4200,-0.42070556,92418,0.8117362,0.80854887,10,-114.76466833403276
-114.93957860416016,0.0001,0.14999999,-0.06520662,-90.17932753586115,22.011162790697675,3.2594,0.14999999,0.14999999,100,43,0.14999999,4.0930185,-114.62317464660595,0.4108948,0.6370922027540182,4300,-0.42037338,94648,0.1984844,0.80868053,10,-114.93957860416016
-115.04436326314097,0.0001,0.14999999,-0.0652776,-90.17932753586115,22.007727272727273,1.1004168,0.14999999,0.14999999,100,44,0.14999999,1.4918876,-114.63274711516358,0.41088977,0.8156928513025754,4400,-0.42004743,96834,0.8909256,0.8084434,10,-115.04436326314097
-115.298389594154,0.0001,0.14999999,-0.065387644,-90.17932753586115,22.010444444444445,2.6975012,0.14999999,0.14999999,100,45,0.14999999,3.773548,-114.64753917025223,0.41092223,0.5683100606374711,4500,-0.42013076,99047,0.6687902,0.8084898,10,-115.298389594154
-113.17094405554042,0.0001,0.14999999,-0.06565739,-90.17932753586115,21.993695652173912,2.6445162,0.14999999,0.14999999,100,46,0.14999999,3.6011171,-114.61543927645414,0.4110435,0.5562356576551644,4600,-0.41993082,101171,0.59548914,0.80836755,10,-113.17094405554042
-114.4032582797339,0.0001,0.14999999,-0.065473266,-90.17932753586115,21.997659574468084,3.4539695,0.14999999,0.14999999,100,47,0.14999999,3.8765576,-114.61092478716223,0.41116226,0.685148231852241,4700,-0.42019528,103389,1.1749727,0.8082592,10,-114.4032582797339
-113.4349737339699,0.0001,0.14999999,-0.065474704,-90.17932753586115,21.981458333333332,3.4519093,0.14999999,0.14999999,100,48,0.14999999,4.4781027,-114.58642580688739,0.4110211,0.7773651553313825,4800,-0.42030042,105511,1.16011,0.8086046,10,-113.4349737339699
-114.53812966872329,0.0001,0.14999999,-0.065361686,-90.17932753586115,21.99612244897959,2.6999714,0.14999999,0.14999999,100,49,0.14999999,3.4544413,-114.58544017141466,0.41078222,0.745501737884646,4900,-0.42019305,107781,1.1322068,0.80894977,10,-114.53812966872329
-114.27288347528446,0.0001,0.14999999,-0.06548404,-90.17932753586115,22.0062,2.4056666,0.14999999,0.14999999,100,50,0.14999999,3.4099066,-114.57918903749206,0.41105223,0.7057177567028332,5000,-0.4202932,110031,0.85013115,0.8088034,10,-114.27288347528446
