ActionIn1,InvPendulum_mu1_higher,NatGradInftyNorm,ReturnMax,InvPendulum_std0_higher,NumTrajectories,AvgEpLen,StepSize,InvPendulum_mu3_higher,InvPendulum_std3_higher,VarJ,BatchSize,Iteration,InvPendulum_std1_higher,InvPendulum_std2_higher,AvgRet,NatGrad2Norm,ReturnMean,J,InvPendulum_mu0_higher,TimestepsSoFar,InvPendulum_mu2_higher,MinEpLen
-2.1377952,-0.45693675,1.0822275,11.634517010751145,0.14999999,100,44.9,2.0,-0.8075896,0.14999999,2.4431217381725356,100,1,0.14999999,0.14999999,-99.88856848344018,1.5812865,-99.88856848344018,-99.88856848344018,-0.35728163,4490,-0.10657271,14
3.3669617,1.6019593,2.615882,11.634517010751145,0.14999999,200,30.6,2.0,-1.0397179,0.14999999,0.06861784929544866,100,2,0.14999999,0.14999999,-108.1136656480866,3.2839942,-104.0011170657634,-108.1136656480866,0.6546803,6120,2.0578823,11
9.087772,-0.73363125,2.180965,11.634517010751145,0.14999999,300,25.68,2.0,-1.7038776,0.14999999,0.07691468855515263,100,3,0.14999999,0.14999999,-107.3749723460306,3.4239018,-105.12573549251914,-107.3749723460306,5.886444,7704,5.199702,11
4.565451,3.6282988,2.2791061,11.634517010751145,0.14999999,400,23.13,2.0,-3.3226347,0.14999999,0.05245909169370408,100,4,0.14999999,0.14999999,-106.89283005947942,3.4110234,-105.5675091342592,-106.89283005947942,1.7129073,9252,2.4019887,11
-7.146655,-0.9299135,3.0249562,11.634517010751145,0.14999999,500,23.344,2.0,-7.390812,0.14999999,0.2510256633100024,100,5,0.14999999,0.14999999,-105.94703620746954,4.0472736,-105.64341454890126,-105.94703620746954,-1.2895067,11672,2.847489,11
7.9056683,3.4496841,1.776992,11.634517010751145,0.14999999,600,22.05,2.0,-5.614883,0.14999999,0.07449314250439183,100,6,0.14999999,0.14999999,-107.78262810065262,2.619658,-105.99995014085982,-107.78262810065262,4.7604055,13230,5.4137034,11
5.8810754,-0.10429978,3.2304966,11.634517010751145,0.14999999,700,21.147142857142857,2.0,-4.347786,0.14999999,0.07747531052726458,100,7,0.14999999,0.14999999,-107.2557197335919,3.990274,-106.1793457969644,-107.2557197335919,2.3892922,14803,8.169046,11
1.0416594,-6.5652933,2.316249,11.634517010751145,0.14999999,800,21.295,2.0,-3.923699,0.14999999,0.2874388577196101,100,8,0.14999999,0.14999999,-109.5400146823742,3.666543,-106.59942940764064,-109.5400146823742,-0.2595775,17036,12.009404,11
1.4340831,-8.893229,1.5698786,11.634517010751145,0.14999999,900,21.775555555555556,2.0,-1.4871821,0.14999999,0.2193024503775987,100,9,0.14999999,0.14999999,-113.25390992641627,1.7571069,-107.33881613194903,-113.25390992641627,-4.837592,19598,16.641903,11
5.465022,-8.185521,2.9815345,11.634517010751145,0.14999999,1000,21.97,2.0,-2.5314953,0.14999999,0.145833022541143,100,10,0.14999999,0.14999999,-110.31220089552545,3.5035126,-107.63615460830668,-110.31220089552545,-3.8888116,21970,19.78166,11
-1.9883544,-11.459984,2.2275312,11.634517010751145,0.14999999,1100,22.33,2.0,-2.307123,0.14999999,0.12661361139336472,100,11,0.14999999,0.14999999,-117.19129643026892,3.2770822,-108.5048038648487,-117.19129643026892,-2.2251537,24563,13.818591,11
0.7435943,-15.915047,1.6814744,11.634517010751145,0.14999999,1200,22.511666666666667,2.0,0.07155514,0.14999999,0.1154192459675974,100,12,0.14999999,0.14999999,-118.21085739174889,1.977495,-109.31364165875706,-118.21085739174889,-1.043924,27014,17.825594,11
1.1314383,-16.833578,1.986564,11.634517010751145,0.14999999,1300,22.636923076923075,2.0,-0.024607502,0.14999999,0.11379894641688677,100,13,0.14999999,0.14999999,-116.84143729006777,3.1212406,-109.89270286116556,-116.84143729006777,-2.9092848,29428,21.188543,11
-2.2382216,-20.301565,2.1014383,11.634517010751145,0.14999999,1400,23.02642857142857,2.0,3.9485207,0.14999999,0.26304097723843844,100,14,0.14999999,0.14999999,-122.77349369303272,3.2716856,-110.81275934915607,-122.77349369303272,-4.198213,32237,18.10722,11
-6.1026754,-23.684683,4.847016,11.634517010751145,0.14999999,1500,23.368,2.0,0.3442011,0.14999999,0.19241543010779766,100,15,0.14999999,0.14999999,-122.01957343169062,5.907422,-111.55988028799172,-122.01957343169062,-5.043745,35052,22.310097,11
-12.26226,-33.378716,1.0158381,11.634517010751145,0.14999999,1600,23.8025,2.0,2.5674193,0.14999999,0.22918103366926482,100,16,0.14999999,0.14999999,-124.78959886409865,1.6506808,-112.3867376989984,-124.78959886409865,-8.605277,38084,27.600567,11
-13.196716,-35.302277,2.8775063,11.634517010751145,0.14999999,1700,24.38705882352941,2.0,4.5990953,0.14999999,0.3376492802329424,100,17,0.14999999,0.14999999,-128.3538083835949,4.525884,-113.32597715103348,-128.3538083835949,-8.547198,41458,25.849049,11
-9.964049,-41.05729,3.127315,11.634517010751145,0.14999999,1800,24.796666666666667,2.0,8.675658,0.14999999,0.3907927885546951,100,18,0.14999999,0.14999999,-126.30074579690394,4.458159,-114.04679763135962,-126.30074579690394,-9.42238,44634,31.455297,11
-16.316092,-42.261414,2.1355634,11.634517010751145,0.14999999,1900,25.327368421052633,2.0,2.4210281,0.14999999,0.32862480857911885,100,19,0.14999999,0.14999999,-129.523150493257,2.79959,-114.8613425188279,-129.523150493257,-4.44796,48122,27.688927,11
-18.68222,-44.208282,3.5183065,11.634517010751145,0.14999999,2000,25.8075,2.0,3.901934,0.14999999,0.31695824534003225,100,20,0.14999999,0.14999999,-129.60650115057902,4.63221,-115.59860045041546,-129.60650115057902,-8.719087,51615,30.35818,11
-35.053616,-45.067516,3.6521835,11.634517010751145,0.14999999,2100,27.296666666666667,2.0,0.45567274,0.14999999,0.5216734376587386,100,21,0.14999999,0.14999999,-151.14753183623935,5.120687,-117.29140670688327,-151.14753183623935,-13.587407,57323,23.321566,11
-35.734188,-40.135036,4.075039,11.634517010751145,0.14999999,2200,34.99909090909091,2.0,4.7110906,0.14999999,104.81632693489229,100,22,0.14999999,0.14999999,-280.9547970658439,4.8169622,-124.73065172319964,-280.9547970658439,-20.891773,76998,20.305937,11
-19.971994,-37.977543,2.671071,11.634517010751145,0.14999999,2300,36.29565217391304,2.0,12.861168,0.14999999,0.5037153526526635,100,23,0.14999999,0.14999999,-158.72908891060294,3.3999288,-126.2088446443911,-158.72908891060294,-16.2948,83480,21.081694,11
-21.159367,-35.060875,6.2615023,11.634517010751145,0.14999999,2400,38.585,2.0,11.796121,0.14999999,2.333366026120331,100,24,0.14999999,0.14999999,-185.29702247595088,8.600828,-128.67085205403941,-185.29702247595088,-13.456085,92604,15.739552,11
8.886539,-24.25794,1.9404483,11.634517010751145,0.14999999,2500,38.0584,2.0,15.927034,0.14999999,0.2496859335062049,100,25,0.14999999,0.14999999,-120.87633167857102,2.1246462,-128.35907123902066,-120.87633167857102,-11.153154,95146,28.262556,11
2.5602026,-25.928852,1.6952015,11.634517010751145,0.14999999,2600,37.652692307692305,2.0,15.494997,0.14999999,0.2255431502105219,100,26,0.14999999,0.14999999,-122.8115016401508,2.469895,-128.1457031775257,-122.8115016401508,-15.034051,97897,28.134027,11
7.417034,-28.315933,3.5283456,11.634517010751145,0.14999999,2700,37.26481481481481,2.0,18.8854,0.14999999,0.2763879707085024,100,27,0.14999999,0.14999999,-122.47142925427144,4.4433417,-127.9355448840718,-122.47142925427144,-13.208338,100615,30.102608,11
6.1589727,-31.711308,2.537083,11.634517010751145,0.14999999,2800,36.900357142857146,2.0,14.702191,0.14999999,0.2419569071321467,100,28,0.14999999,0.14999999,-122.62726823557067,4.416254,-127.74596357519678,-122.62726823557067,-6.1516466,103321,29.717339,11
14.631399,-27.48694,5.1313806,11.634517010751145,0.14999999,2900,36.47724137931034,2.0,19.776358,0.14999999,0.3412707622915941,100,29,0.14999999,0.14999999,-119.36963363743658,7.586161,-127.45712461182575,-119.36963363743658,-10.750707,105784,33.360058,11
35.698544,-17.224178,3.1295433,11.634517010751145,0.14999999,3000,35.97533333333333,2.0,23.376938,0.14999999,0.20686393984206322,100,30,0.14999999,0.14999999,-115.61343173751744,5.3042054,-127.0623348493488,-115.61343173751744,-0.76106834,107926,29.878963,11
39.185303,-20.659218,3.327482,11.634517010751145,0.14999999,3100,35.52129032258065,2.0,29.548983,0.14999999,0.24196119262322732,100,31,0.14999999,0.14999999,-116.32618916771337,3.354546,-126.71600756929605,-116.32618916771337,-5.6055045,110116,36.13805,11
34.420055,-20.250364,5.8831983,11.634517010751145,0.14999999,3200,35.08875,2.0,22.894018,0.14999999,0.14203145980146864,100,32,0.14999999,0.14999999,-115.70281748634864,7.5414677,-126.37184537920395,-115.70281748634864,-5.0234127,112284,36.604294,11
