StepSize,InvPendulum_std2_higher,Iteration,InvPendulum_mu3_higher,NatGrad2Norm,TimestepsSoFar,BatchSize,InvPendulum_std0_higher,ReturnMax,NatGradInftyNorm,VarJ,AvgRet,InvPendulum_std1_higher,AvgEpLen,InvPendulum_mu1_higher,InvPendulum_mu0_higher,J,InvPendulum_mu2_higher,InvPendulum_std3_higher,ActionIn1,ReturnMean,NumTrajectories,MinEpLen
0.0001,0.14999999,11,-0.52250487,2.1562133,92312,100,0.14999999,7.693013712136885,2.0695484,13.042753555955692,-111.32302179751065,0.14999999,83.92,-0.35088438,-0.74814194,-111.32302179751065,0.20952566,0.14999999,-1.630932,-110.3620246343244,1100,13
0.0001,0.14999999,12,-0.52256274,3.1383376,100894,100,0.14999999,7.693013712136885,2.4797177,19.095886124602103,-108.62718339349574,0.14999999,84.07833333333333,-0.35067743,-0.74814147,-108.62718339349574,0.20950805,0.14999999,-1.0768614,-110.217454530922,1200,13
0.0001,0.14999999,13,-0.52268964,6.114307,110950,100,0.14999999,7.693013712136885,5.9569764,22.2173003736198,-111.90255749851569,0.14999999,85.34615384615384,-0.35074174,-0.748012,-111.90255749851569,0.20926008,0.14999999,-1.4552782,-110.34707783612151,1300,13
0.0001,0.14999999,14,-0.5232853,4.1651936,119478,100,0.14999999,7.693013712136885,3.0527883,12.872011175077835,-111.56952704541722,0.14999999,85.34142857142857,-0.3506973,-0.7479213,-111.56952704541722,0.20916633,0.14999999,-1.622503,-110.43439563678548,1400,13
0.0001,0.14999999,15,-0.5235906,4.8857102,128707,100,0.14999999,7.693013712136885,4.0677295,10.446335200841668,-113.81747298089472,0.14999999,85.80466666666666,-0.35059667,-0.7481219,-113.81747298089472,0.20899336,0.14999999,-1.327214,-110.65993412639278,1500,13
0.0001,0.14999999,16,-0.52366143,2.7690058,138075,100,0.14999999,7.693013712136885,2.4107816,19.45573583942747,-111.28581006025107,0.14999999,86.296875,-0.3501899,-0.7483375,-111.28581006025107,0.2088459,0.14999999,-0.8726104,-110.69905137225891,1600,13
0.0001,0.14999999,17,-0.52390254,6.241457,147465,100,0.14999999,7.693013712136885,5.4569855,19.42102940163042,-114.11080092602366,0.14999999,86.74411764705883,-0.35023,-0.7482707,-114.11080092602366,0.20873417,0.14999999,-1.5177339,-110.89974252248038,1700,13
0.0001,0.14999999,18,-0.5244482,6.0612826,156619,100,0.14999999,7.693013712136885,5.470874,23.34464157825482,-115.18264309271791,0.14999999,87.01055555555556,-0.350221,-0.7485326,-115.18264309271791,0.20858221,0.14999999,-1.6031163,-111.13768144304913,1800,13
0.0001,0.14999999,19,-0.5249953,1.5200759,165169,100,0.14999999,7.693013712136885,1.1099062,19.21711600693611,-109.12388434548627,0.14999999,86.93105263157895,-0.3503313,-0.74868345,-109.12388434548627,0.20840009,0.14999999,-1.0808868,-111.03169212212477,1900,13
0.0001,0.14999999,20,-0.5250547,4.2537622,172380,100,0.14999999,7.693013712136885,3.1961606,8.14543448765146,-106.34557745305669,0.14999999,86.19,-0.35022032,-0.7485995,-106.34557745305669,0.20838514,0.14999999,-1.1961958,-110.79738638867137,2000,13
