ReturnMax,MinEpLen,VarJ,NatGrad2Norm,StepSize,BatchSize,AvgRet,Iteration,InvPendulum_std2_higher,ActionIn1,AvgEpLen,TimestepsSoFar,InvPendulum_mu3_higher,NumTrajectories,InvPendulum_mu2_higher,InvPendulum_std0_higher,J,InvPendulum_mu0_higher,NatGradInftyNorm,InvPendulum_std3_higher,InvPendulum_std1_higher,InvPendulum_mu1_higher,ReturnMean
-103.58715795603078,11,1.0217815169825926,3.8764853,2.0,100,-114.47419054839072,1,0.14999999,1.7787482,21.59,2159,-0.06532505,100,0.41005367,0.14999999,-114.47419054839072,0.8060292,3.5983,0.14999999,0.14999999,-0.4217885,-114.47419054839072
-103.58715795603078,11,1.035761892331848,3.6557631,2.0,100,-121.61798778277968,2,0.14999999,3.7230582,24.325,4865,7.1312747,200,-2.269126,0.14999999,-121.61798778277968,0.3303152,2.5789,0.14999999,0.14999999,-1.3774002,-118.0460891655852
-103.58715795603078,11,8.45472332677548,4.048888,2.0,100,-132.78743548962285,3,0.14999999,13.111542,28.17,8451,12.289075,300,1.7217867,0.14999999,-132.78743548962285,2.9801524,3.8154774,0.14999999,0.14999999,-3.353885,-122.95987127359773
-103.58715795603078,11,16.20184170147631,3.519792,2.0,100,-128.08245814974953,4,0.14999999,25.244755,29.1825,11673,19.920029,400,1.845726,0.14999999,-128.08245814974953,5.111865,2.1341145,0.14999999,0.14999999,-1.685665,-124.24051799263569
-103.58715795603078,11,3.6241233124822894,5.017413,2.0,100,-127.49356132554885,5,0.14999999,11.760476,29.562,14781,16.007334,500,-2.422503,0.14999999,-127.49356132554885,1.2285948,4.187054,0.14999999,0.14999999,-2.6598294,-124.89112665921832
-103.58715795603078,11,2.0840416594898103,2.4237978,2.0,100,-119.27869627118915,6,0.14999999,28.177208,28.565,17139,19.020334,600,2.1870308,0.14999999,-119.27869627118915,1.7246538,1.9315118,0.14999999,0.14999999,5.714279,-123.95572159454677
-103.58715795603078,11,1.4370338696902152,1.8557705,2.0,100,-121.19427615734769,7,0.14999999,30.205915,28.084285714285713,19659,22.883358,700,3.3442583,0.14999999,-121.19427615734769,0.53926015,1.5866643,0.14999999,0.14999999,3.2993472,-123.56122938923264
-103.58715795603078,11,17.760580578557693,2.9487195,2.0,100,-124.7986783510504,8,0.14999999,32.592064,28.28125,22625,21.499023,800,2.6904511,0.14999999,-124.7986783510504,3.7125888,2.152069,0.14999999,0.14999999,4.4662566,-123.71591050945986
-103.58715795603078,11,0.9794263388638474,2.3409119,2.0,100,-117.58480495965081,9,0.14999999,24.340515,27.557777777777776,24802,17.743181,900,-1.613687,0.14999999,-117.58480495965081,4.6324453,1.9067949,0.14999999,0.14999999,3.3253407,-123.03467655948108
-103.58715795603078,11,1.119365392600524,3.555481,2.0,100,-117.97855888419987,10,0.14999999,26.175426,27.065,27065,18.87834,1000,-4.0034246,0.14999999,-117.97855888419987,8.446035,2.9763727,0.14999999,0.14999999,2.7116838,-122.52906479195296
-103.58715795603078,11,10.65409284803717,2.8495438,2.0,100,-126.36323873843781,11,0.14999999,20.624887,27.323636363636364,30056,17.668905,1100,-0.6314559,0.14999999,-126.36323873843781,2.49329,2.647936,0.14999999,0.14999999,1.1958675,-122.8776260598152
-103.58715795603078,11,18.393285532704052,2.1742802,2.0,100,-135.7238862742294,12,0.14999999,19.022926,28.273333333333333,33928,18.307175,1200,1.0181807,0.14999999,-135.7238862742294,3.635501,1.9679804,0.14999999,0.14999999,-4.1000047,-123.94814774434973
-103.58715795603078,11,36.460099071089076,5.022722,2.0,100,-153.3189737737351,13,0.14999999,12.6564,30.41,39533,14.371214,1300,0.81892264,0.14999999,-153.3189737737351,3.2292008,3.3057792,0.14999999,0.14999999,-5.892602,-126.20744205430245
-103.58715795603078,11,0.731483579807857,2.1207335,2.0,100,-118.21990753438638,14,0.14999999,18.542847,29.882857142857144,41836,17.764399,1400,-5.792636,0.14999999,-118.21990753438638,6.632947,1.7377756,0.14999999,0.14999999,-0.053164005,-125.63690387430846
-103.58715795603078,11,0.5176648442093652,3.2581048,2.0,100,-115.47515018974276,15,0.14999999,16.329556,29.31,43965,19.91811,1500,-9.268187,0.14999999,-115.47515018974276,5.5052986,2.1959572,0.14999999,0.14999999,-0.030225514,-124.95945362867073
