InvPendulum_mu1_higher,InvPendulum_std2_higher,J,MinEpLen,NatGradInftyNorm,AvgEpLen,NatGrad2Norm,InvPendulum_std3_higher,InvPendulum_std0_higher,InvPendulum_mu2_higher,ActionIn1,NumTrajectories,InvPendulum_mu3_higher,AvgRet,Iteration,StepSize,InvPendulum_mu0_higher,ReturnMax,VarJ,BatchSize,ReturnMean,InvPendulum_std1_higher,TimestepsSoFar
-0.74013203,0.14999999,-119.68763207232995,13,2.2294436,29.16,2.4549313,0.14999999,0.14999999,0.561099,-0.3919974,100,-0.24478999,-119.68763207232995,1,0.01,0.278299,-97.60241650347758,0.8844233455683249,100,-119.68763207232995,0.14999999,2916
-0.7178376,0.14999999,-118.73319065875218,13,1.3432293,28.79,1.6557169,0.14999999,0.14999999,0.5618367,0.6985048,200,-0.2505478,-118.73319065875218,2,0.01,0.28678018,-95.84630129489628,0.8209238346970829,100,-119.21041136554106,0.14999999,5758
-0.727311,0.14999999,-118.16984663188487,13,3.0384645,29.123333333333335,4.36076,0.14999999,0.14999999,0.54840446,-0.063942224,300,-0.24962771,-118.16984663188487,3,0.01,0.28854674,-95.84630129489628,0.9948769299652485,100,-118.86355645432234,0.14999999,8737
-0.69692636,0.14999999,-117.95573294176776,12,4.08244,28.8275,4.656761,0.14999999,0.14999999,0.56650966,0.26793468,400,-0.22800727,-117.95573294176776,4,0.01,0.2750133,-82.57270093206475,0.8911476188080854,100,-118.6366005761837,0.14999999,11531
-0.65610194,0.14999999,-115.85295143580913,12,2.6182265,28.584,3.0344973,0.14999999,0.14999999,0.5486827,-0.089734,500,-0.23924054,-115.85295143580913,5,0.01,0.28262404,-82.57270093206475,0.6505513218586317,100,-118.07987074810877,0.14999999,14292
-0.68228424,0.14999999,-118.37308146842724,11,2.3073149,28.341666666666665,2.7352257,0.14999999,0.14999999,0.54849696,-0.17868677,600,-0.22418447,-118.37308146842724,6,0.01,0.27969375,-82.57270093206475,0.809789953189496,100,-118.1287392014952,0.14999999,17005
-0.67346543,0.14999999,-119.96037219955687,11,4.2033753,28.35,4.679671,0.14999999,0.14999999,0.53705394,-0.17619608,700,-0.2215271,-119.96037219955687,7,0.01,0.3027669,-82.57270093206475,0.9235285173092823,100,-118.39040105836115,0.14999999,19845
-0.66379297,0.14999999,-117.28770673001776,11,3.232526,28.29625,3.943935,0.14999999,0.14999999,0.5448239,0.031201571,800,-0.26356086,-117.28770673001776,8,0.01,0.31917322,-82.57270093206475,0.9117066342960236,100,-118.25256426731823,0.14999999,22637
-0.6314677,0.14999999,-116.6061443888901,11,2.679354,28.157777777777778,3.952434,0.14999999,0.14999999,0.5458697,0.08043665,900,-0.28612316,-116.6061443888901,9,0.01,0.3185493,-82.57270093206475,1.7023218989201623,100,-118.06962872527065,0.14999999,25342
-0.6470297,0.14999999,-115.660136853055,11,1.5558289,27.966,2.0740044,0.14999999,0.14999999,0.5513711,-0.35835654,1000,-0.3100363,-115.660136853055,10,0.01,0.34534284,-82.57270093206475,0.6218430557240713,100,-117.82867953804909,0.14999999,27966
