Iteration,TimestepsSoFar,InvPendulum_mu3_higher,InvPendulum_mu1_higher,AvgEpLen,ReturnMean,InvPendulum_mu2_higher,InvPendulum_std2_higher,StepSize,ActionIn1,VarJ,ReturnMax,AvgRet,InvPendulum_std3_higher,NumTrajectories,NatGrad2Norm,MinEpLen,InvPendulum_std0_higher,InvPendulum_std1_higher,InvPendulum_mu0_higher,BatchSize,NatGradInftyNorm,J
21,61021,-0.35525143,-23.491653,29.05761904761905,-118.62372826807011,10.882592,0.14999999,1.0,-19.727825,0.8138380452762416,11.634517010751145,-156.34707002408214,0.14999999,2100,5.0978837,10,0.14999999,0.14999999,-6.5875797,100,3.7203572,-156.34707002408214
22,87036,1.8289255,-21.052675,39.56181818181818,-128.26408429243554,9.687553,0.14999999,1.0,-19.568537,140.02822933758512,11.634517010751145,-330.7115608041095,0.14999999,2200,5.3803983,10,0.14999999,0.14999999,-10.307937,100,4.482706,-330.7115608041095
23,91864,3.7729065,-21.353195,39.94086956521739,-128.8929881047547,11.920188,0.14999999,1.0,-11.12784,0.9120403100555134,11.634517010751145,-142.72887197577623,0.14999999,2300,2.7412024,10,0.14999999,0.14999999,-5.8252306,100,1.7990203,-142.72887197577623
24,96966,3.5395548,-19.703495,40.4025,-129.58640571543742,10.121168,0.14999999,1.0,-10.82062,0.8448221886835138,11.634517010751145,-145.5350107611406,0.14999999,2400,6.2873306,10,0.14999999,0.14999999,-4.5997715,100,4.6271334,-145.5350107611406
25,99686,5.04116,-15.819826,39.8744,-129.29619706190385,14.7483015,0.14999999,1.0,0.36247492,0.2577447566665012,11.634517010751145,-122.33118937709806,0.14999999,2500,2.0545526,10,0.14999999,0.14999999,-3.7152028,100,1.8687434,-122.33118937709806
26,102671,4.7418575,-16.586128,39.488846153846154,-129.13652663537525,14.51986,0.14999999,1.0,-3.014277,0.19902864418706653,11.634517010751145,-125.14476597215953,0.14999999,2600,2.4710374,10,0.14999999,0.14999999,-5.583946,100,1.6972553,-125.14476597215953
27,105558,6.4391127,-17.80781,39.095555555555556,-128.94485238542904,15.391045,0.14999999,1.0,-0.62144566,0.3048274546901693,11.634517010751145,-123.9613218868273,0.14999999,2700,4.4809065,10,0.14999999,0.14999999,-4.597091,100,3.5260403,-123.9613218868273
28,108466,4.383596,-19.655685,38.737857142857145,-128.77886103965085,15.315093,0.14999999,1.0,-1.4256525,0.2858396409892022,11.634517010751145,-124.2970947036395,0.14999999,2800,4.3715353,10,0.14999999,0.14999999,-1.0710509,100,2.7018192,-124.2970947036395
29,111079,7.085415,-17.67932,38.30310344827586,-128.5247752626415,17.09321,0.14999999,1.0,2.9830928,0.24440819289681864,11.634517010751145,-121.41037350637997,0.14999999,2900,7.77295,10,0.14999999,0.14999999,-3.2488399,100,5.3351226,-121.41037350637997
30,113413,9.014463,-12.344196,37.80433333333333,-128.17543251505967,15.331019,0.14999999,1.0,14.193186,0.20775485057209664,11.634517010751145,-118.04449283518701,0.14999999,3000,5.56397,10,0.14999999,0.14999999,1.7640109,100,3.2582927,-118.04449283518701
31,115842,12.272757,-14.192696,37.36838709677419,-127.88095150199315,18.519869,0.14999999,1.0,15.527786,0.1887296938958974,11.634517010751145,-119.04652110999747,0.14999999,3100,3.3120904,10,0.14999999,0.14999999,-0.8351383,100,3.2928345,-119.04652110999747
32,118103,8.979922,-14.095268,36.9071875,-127.54149512286031,18.54614,0.14999999,1.0,13.133232,0.20304009925165206,11.634517010751145,-117.01834736974175,0.14999999,3200,7.693351,10,0.14999999,0.14999999,-0.49308482,100,5.921504,-117.01834736974175
33,120550,9.325416,-18.926601,36.53030303030303,-127.30264315346183,17.732327,0.14999999,1.0,13.374556,0.3407826873469672,11.634517010751145,-119.6593801327112,0.14999999,3300,1.2820939,10,0.14999999,0.14999999,5.428419,100,1.0671817,-119.6593801327112
34,123073,8.258234,-18.224777,36.197941176470586,-127.08906190406722,17.628397,0.14999999,1.0,13.134969,0.28558383133543347,11.634517010751145,-120.04088067404544,0.14999999,3400,4.19444,10,0.14999999,0.14999999,5.4675183,100,2.4029024,-120.04088067404544
35,125629,10.626899,-17.193064,35.894,-126.9185207632997,15.225494,0.14999999,1.0,11.595072,0.4081876762789845,11.634517010751145,-121.1201219772032,0.14999999,3500,3.4275818,10,0.14999999,0.14999999,3.199396,100,2.2286458,-121.1201219772032
36,128248,12.355425,-14.964418,35.62444444444444,-126.75697056229824,13.735745,0.14999999,1.0,15.578152,0.5320134883005401,11.634517010751145,-121.10271352724683,0.14999999,3600,2.9950728,10,0.14999999,0.14999999,4.4541073,100,2.5933762,-121.10271352724683
37,130636,13.0167885,-13.783063,35.307027027027026,-126.53619910877035,14.377508,0.14999999,1.0,20.414555,0.5039699525638356,11.634517010751145,-118.58842678176677,0.14999999,3700,4.509791,10,0.14999999,0.14999999,7.0474834,100,3.1782923,-118.58842678176677
38,133292,9.838496,-16.960335,35.07684210526316,-126.41849946210617,14.048639,0.14999999,1.0,13.9286,0.43348212544091197,11.634517010751145,-122.06361253553165,0.14999999,3800,3.6664207,10,0.14999999,0.14999999,6.8645496,100,2.8374107,-122.06361253553165
39,135829,7.0010853,-18.48759,34.827948717948715,-126.26579698604493,14.957074,0.14999999,1.0,11.277267,0.38456578787995044,11.634517010751145,-120.46310289571714,0.14999999,3900,3.0712962,10,0.14999999,0.14999999,8.3592,100,2.077211,-120.46310289571714
40,138205,4.9238744,-17.606466,34.55125,-126.0693762770984,16.32753,0.14999999,1.0,10.716764,0.2525262660849605,11.634517010751145,-118.40896862818387,0.14999999,4000,3.298744,10,0.14999999,0.14999999,6.789636,100,2.5101187,-118.40896862818387
41,140522,6.6031003,-18.798525,34.273658536585366,-125.87392587558716,18.837648,0.14999999,1.0,13.968412,0.24947046945818696,11.634517010751145,-118.05590981513775,0.14999999,4100,7.112986,10,0.14999999,0.14999999,7.3729124,100,5.3547974,-118.05590981513775
42,142655,8.54873,-16.405624,33.96547619047619,-125.6036696061757,22.360329,0.14999999,1.0,27.503874,0.176075373127907,11.634517010751145,-114.52316256030618,0.14999999,4200,2.1698675,10,0.14999999,0.14999999,12.72771,100,1.451692,-114.52316256030618
43,144771,8.753913,-17.557838,33.66767441860465,-125.34463801786956,23.46993,0.14999999,1.0,28.879982,0.1220973118590726,11.634517010751145,-114.46531130901178,0.14999999,4300,4.0344977,10,0.14999999,0.14999999,14.179401,100,2.9802516,-114.46531130901178
44,147054,11.142583,-20.53809,33.42136363636364,-125.15582026449393,22.583635,0.14999999,1.0,28.607357,0.2473660106128729,11.634517010751145,-117.03665686934072,0.14999999,4400,1.4463869,10,0.14999999,0.14999999,15.130195,100,1.315205,-117.03665686934072
45,149336,11.639193,-20.202347,33.18577777777778,-124.97078857273242,22.637737,0.14999999,1.0,28.393694,0.24792069190576346,11.634517010751145,-116.82939413522664,0.14999999,4500,3.254358,10,0.14999999,0.14999999,13.81499,100,2.8519595,-116.82939413522664
46,151688,11.974112,-19.547092,32.97565217391304,-124.82256552548832,19.785778,0.14999999,1.0,24.338465,0.3246878883758174,11.634517010751145,-118.15252839950331,0.14999999,4600,5.537153,10,0.14999999,0.14999999,12.4309225,100,5.2708755,-118.15252839950331
47,154383,13.332834,-20.562366,32.84744680851064,-124.77760395841301,14.514902,0.14999999,1.0,19.604418,0.7644422126723647,11.634517010751145,-122.70937187294952,0.14999999,4700,2.9725869,10,0.14999999,0.14999999,12.398917,100,2.175944,-122.70937187294952
48,157454,13.048703,-20.667656,32.80291666666667,-124.80302709331703,12.338958,0.14999999,1.0,19.251362,1.3485355772652545,11.634517010751145,-125.99791443380673,0.14999999,4800,2.2809381,10,0.14999999,0.14999999,14.401346,100,1.5498005,-125.99791443380673
49,160500,13.865811,-21.820404,32.755102040816325,-124.83295242986955,13.235786,0.14999999,1.0,21.718065,1.2380609414023283,11.634517010751145,-126.26936858439036,0.14999999,4900,3.1259737,10,0.14999999,0.14999999,15.951147,100,1.9682784,-126.26936858439036
50,163298,15.834089,-22.860556,32.6596,-124.81342683497527,15.093224,0.14999999,1.0,23.316582,0.7130309006674288,11.634517010751145,-123.85667268515488,0.14999999,5000,3.3138855,10,0.14999999,0.14999999,14.782557,100,2.8760788,-123.85667268515488
