Iteration,ReturnMean,NatGradInftyNorm,J,InvPendulum_std1_higher,VarJ,StepSize,InvPendulum_mu1_higher,InvPendulum_mu2_higher,ActionIn1,AvgRet,ReturnMax,MinEpLen,NumTrajectories,InvPendulum_std2_higher,InvPendulum_std3_higher,InvPendulum_mu3_higher,AvgEpLen,InvPendulum_std0_higher,BatchSize,InvPendulum_mu0_higher,NatGrad2Norm,TimestepsSoFar
1,-108.89924047406988,2.3024366,-108.89924047406988,0.14999999,5.240870760127406,0.01,-0.3516885,0.21010771,-1.6026189,-108.89924047406988,-43.64646492871437,15,100,0.14999999,0.14999999,-0.5202909,78.67,0.14999999,100,-0.74931115,3.6689935,7867
2,-109.45413795333714,1.1672329,-110.00903543260438,0.14999999,17.494214382663678,0.01,-0.37471288,0.20076542,-1.01313,-110.00903543260438,-43.64646492871437,13,200,0.14999999,0.14999999,-0.5359283,83.815,0.14999999,100,-0.72730607,1.643268,16763
3,-111.37877357074181,5.146132,-115.22804480555122,0.14999999,28.537510562711276,0.01,-0.38576514,0.20120361,-1.5989757,-115.22804480555122,-43.64646492871437,13,300,0.14999999,0.14999999,-0.5393114,84.07,0.14999999,100,-0.71563375,5.6123533,25221
4,-110.25335035911688,2.941902,-106.87708072424208,0.14999999,5.882935503661222,0.01,-0.3777867,0.21929343,-1.8058002,-106.87708072424208,-7.841568055005581,13,400,0.14999999,0.14999999,-0.59077275,82.4075,0.14999999,100,-0.7261545,3.4517903,32963
5,-108.46238265753445,0.98249656,-101.29851185120471,0.14999999,1.3333606732075658,0.01,-0.36464402,0.21986945,-1.0901325,-101.29851185120471,-7.841568055005581,13,500,0.14999999,0.14999999,-0.62019175,76.238,0.14999999,100,-0.71378744,1.4500403,38119
6,-107.78040476773322,2.5141764,-104.37051531872714,0.14999999,4.190993402928267,0.01,-0.3711605,0.22969441,-1.7362994,-104.37051531872714,-7.841568055005581,12,600,0.14999999,0.14999999,-0.62651634,75.06333333333333,0.14999999,100,-0.7081958,3.1177835,45038
7,-107.42554199376767,3.045461,-105.29636534997445,0.14999999,0.7728362642418911,0.01,-0.34601873,0.21440257,-1.4046364,-105.29636534997445,-7.841568055005581,12,700,0.14999999,0.14999999,-0.6252135,71.51714285714286,0.14999999,100,-0.6979776,3.7624793,50062
8,-106.9069324141405,2.9662058,-103.2766653567502,0.14999999,1.3930437079517966,0.01,-0.35794872,0.21631145,-1.8606544,-103.2766653567502,-7.841568055005581,12,800,0.14999999,0.14999999,-0.65566814,69.635,0.14999999,100,-0.67947966,4.881302,55708
9,-106.35067969267561,4.7351403,-101.90065792095636,0.14999999,0.6723165802111553,0.01,-0.32896104,0.20025654,-2.0327811,-101.90065792095636,-7.841568055005581,12,900,0.14999999,0.14999999,-0.6853302,67.01222222222222,0.14999999,100,-0.65935934,5.274525,60311
10,-106.08436411716701,2.5336273,-103.68752393758979,0.14999999,1.1006331848256594,0.01,-0.3240992,0.17862423,-1.890528,-103.68752393758979,-7.841568055005581,12,1000,0.14999999,0.14999999,-0.6379788,66.015,0.14999999,100,-0.66631,2.913837,66015
11,-105.81347932604207,1.0837778,-103.10463141479268,0.14999999,1.5536820480289208,0.01,-0.33646482,0.17170818,-1.6651611,-103.10463141479268,-7.841568055005581,12,1100,0.14999999,0.14999999,-0.64050424,65.19636363636364,0.14999999,100,-0.64097375,1.618872,71716
12,-105.80865610059496,1.8183401,-105.75560062067662,0.14999999,7.3600188646808276,0.01,-0.32562706,0.17431626,-1.0918999,-105.75560062067662,-7.841568055005581,12,1200,0.14999999,0.14999999,-0.6298023,64.5825,0.14999999,100,-0.645799,2.0899093,77499
13,-105.62908917303672,2.741749,-103.47428604233787,0.14999999,0.8658628189137721,0.01,-0.3321118,0.15613286,-1.4875677,-103.47428604233787,-7.841568055005581,12,1300,0.14999999,0.14999999,-0.63065463,64.04076923076923,0.14999999,100,-0.6378392,2.7994626,83253
14,-105.46539488300901,2.1875715,-103.33736911264891,0.14999999,1.1375804304916874,0.01,-0.32984892,0.1533044,-1.686564,-103.33736911264891,-7.841568055005581,12,1400,0.14999999,0.14999999,-0.6580721,63.29857142857143,0.14999999,100,-0.64218193,2.741734,88618
15,-105.38076877619955,2.1098316,-104.196003280867,0.14999999,0.5741619658058128,0.01,-0.32804906,0.14085542,-1.4339428,-104.196003280867,-7.841568055005581,12,1500,0.14999999,0.14999999,-0.66879344,62.26133333333333,0.14999999,100,-0.6640577,3.0820677,93392
16,-105.27934175659192,1.5943797,-103.75793646247726,0.14999999,1.0290083562095385,0.01,-0.30695075,0.13111436,-0.97841656,-103.75793646247726,-7.841568055005581,12,1600,0.14999999,0.14999999,-0.66069824,61.706875,0.14999999,100,-0.68261445,1.8639616,98731
17,-105.14759437816573,2.4654558,-103.03963632334677,0.14999999,0.8346348987881055,0.01,-0.32289454,0.12244317,-1.6428457,-103.03963632334677,-7.841568055005581,12,1700,0.14999999,0.14999999,-0.65988374,60.826470588235296,0.14999999,100,-0.6784458,3.3060985,103405
18,-105.07918165383589,2.0411413,-103.9161653402285,0.14999999,0.7118634317374934,0.01,-0.3336325,0.11577854,-1.7873755,-103.9161653402285,-7.841568055005581,12,1800,0.14999999,0.14999999,-0.6845383,60.25277777777778,0.14999999,100,-0.69648635,3.2334743,108455
19,-104.98686111752447,1.6545191,-103.32509146391887,0.14999999,1.522062474750291,0.01,-0.34862623,0.10396783,-1.327638,-103.32509146391887,-7.841568055005581,12,1900,0.14999999,0.14999999,-0.70494974,59.88473684210526,0.14999999,100,-0.71275306,1.8550696,113781
20,-104.82610422073577,2.7757044,-101.77172318175067,0.14999999,0.8680867309545713,0.01,-0.34233758,0.09962698,-1.4211112,-101.77172318175067,-7.841568055005581,12,2000,0.14999999,0.14999999,-0.68840456,59.2845,0.14999999,100,-0.70928967,3.8766897,118569
21,-104.78184116291418,1.1972622,-103.89658000648227,0.14999999,0.7147995896897895,0.01,-0.32732853,0.08945489,-1.621555,-103.89658000648227,-7.841568055005581,12,2100,0.14999999,0.14999999,-0.66831285,58.904761904761905,0.14999999,100,-0.7370467,1.932776,123700
22,-104.69514592997298,3.0794206,-102.87454603820814,0.14999999,1.0460893252974595,0.01,-0.33930117,0.09749532,-1.7865041,-102.87454603820814,-7.841568055005581,12,2200,0.14999999,0.14999999,-0.6738375,58.79636363636364,0.14999999,100,-0.72542566,3.1130133,129352
23,-104.52308421623684,3.0547042,-100.73772651404168,0.14999999,4.788808564724447,0.01,-0.37009537,0.09519954,-1.9514455,-100.73772651404168,91.30379333561136,12,2300,0.14999999,0.14999999,-0.6777781,58.63391304347826,0.14999999,100,-0.7254763,3.4406366,134858
24,-104.40200334488974,1.6173636,-101.61714330390606,0.14999999,1.108625753577009,0.01,-0.38314325,0.12574658,-1.559422,-101.61714330390606,91.30379333561136,12,2400,0.14999999,0.14999999,-0.6688313,58.58541666666667,0.14999999,100,-0.72485715,2.0500624,140605
25,-104.31265058440627,1.3534398,-102.16818433280359,0.14999999,1.089286828599265,0.01,-0.39245123,0.13264127,-2.2877398,-102.16818433280359,91.30379333561136,12,2500,0.14999999,0.14999999,-0.6526576,58.5716,0.14999999,100,-0.72980833,1.697308,146429
26,-104.3512976980183,1.2834702,-105.31747553831846,0.14999999,1.881188084866908,0.01,-0.3864456,0.13880505,-1.5492061,-105.31747553831846,91.30379333561136,12,2600,0.14999999,0.14999999,-0.6471037,58.84269230769231,0.14999999,100,-0.7162739,2.0054836,152991
27,-104.24102005882534,4.9753075,-101.37380143980837,0.14999999,2.149941846484841,0.01,-0.37819195,0.12607752,-1.4516659,-101.37380143980837,91.30379333561136,12,2700,0.14999999,0.14999999,-0.65993845,58.702962962962964,0.14999999,100,-0.7189858,5.4276977,158498
28,-104.34722707798461,2.5384688,-107.21481659528524,0.14999999,13.841889782841244,0.01,-0.37507936,0.14666663,-1.8098431,-107.21481659528524,91.30379333561136,12,2800,0.14999999,0.14999999,-0.6101854,59.013214285714284,0.14999999,100,-0.71290123,3.1729887,165237
29,-104.24434080750072,3.38007,-101.3635252339511,0.14999999,1.8770688344500568,0.01,-0.37344018,0.1528126,-1.0879374,-101.3635252339511,91.30379333561136,12,2900,0.14999999,0.14999999,-0.6281282,59.08137931034483,0.14999999,100,-0.68751657,4.2263803,171336
30,-104.18552754058891,1.877477,-102.47994280014666,0.14999999,1.8970676946714946,0.01,-0.38928512,0.17064802,-1.4531393,-102.47994280014666,91.30379333561136,12,3000,0.14999999,0.14999999,-0.61949235,59.05566666666667,0.14999999,100,-0.7213173,2.6015923,177167
31,-104.12101718977897,2.2755566,-102.18570666548153,0.14999999,1.7574903168149154,0.01,-0.3751387,0.15950483,-1.429713,-102.18570666548153,91.30379333561136,12,3100,0.14999999,0.14999999,-0.61928254,59.39967741935484,0.14999999,100,-0.70254254,2.6830258,184139
32,-104.27123505855135,3.8606834,-108.92798899049478,0.14999999,9.111017149247083,0.01,-0.37534788,0.13674927,-1.003027,-108.92798899049478,91.30379333561136,12,3200,0.14999999,0.14999999,-0.6194382,59.7053125,0.14999999,100,-0.7167545,4.8881855,191057
33,-104.31304533705149,2.483349,-105.65097424905608,0.14999999,7.592270800021578,0.01,-0.36431324,0.13700983,-1.7096123,-105.65097424905608,91.30379333561136,12,3300,0.14999999,0.14999999,-0.647315,59.60848484848485,0.14999999,100,-0.7553613,2.5841982,196708
34,-104.34725685495572,0.78189075,-105.47623694579539,0.14999999,6.907152991115308,0.01,-0.33947974,0.14143114,-1.8937843,-105.47623694579539,91.30379333561136,12,3400,0.14999999,0.14999999,-0.64218336,60.003235294117644,0.14999999,100,-0.7576469,1.3443128,204011
35,-104.33008318244296,2.454166,-103.7461783170093,0.14999999,2.218890491261209,0.01,-0.34716672,0.14544167,-1.8257322,-103.7461783170093,91.30379333561136,12,3500,0.14999999,0.14999999,-0.65000224,59.906,0.14999999,100,-0.75098294,2.7200446,209671
36,-104.29383633236456,3.7050383,-103.02519657961953,0.14999999,1.9801436026137573,0.01,-0.35051954,0.15229663,-1.7297387,-103.02519657961953,91.30379333561136,12,3600,0.14999999,0.14999999,-0.6745439,59.82666666666667,0.14999999,100,-0.7420757,3.8089733,215376
37,-104.27152682899052,0.77115405,-103.46838470752587,0.14999999,0.8787401041159089,0.01,-0.35878247,0.15310803,-1.6678133,-103.46838470752587,91.30379333561136,12,3700,0.14999999,0.14999999,-0.7115943,59.55756756756757,0.14999999,100,-0.7390487,1.3321197,220363
38,-104.22284711224202,4.901104,-102.4216975925475,0.14999999,0.5407541774688128,0.01,-0.35220855,0.14784162,-2.0737338,-102.4216975925475,91.30379333561136,12,3800,0.14999999,0.14999999,-0.7193058,59.2978947368421,0.14999999,100,-0.7321905,5.1712036,225332
39,-104.17347287816462,2.1347196,-102.29725198322296,0.14999999,1.5175192800592316,0.01,-0.3509905,0.19685265,-1.1813812,-102.29725198322296,91.30379333561136,12,3900,0.14999999,0.14999999,-0.73559076,59.1074358974359,0.14999999,100,-0.7345078,2.7959359,230519
40,-104.14595015984892,4.205424,-103.07256414553699,0.14999999,0.8203762319056703,0.01,-0.34520563,0.18001114,-1.5055065,-103.07256414553699,91.30379333561136,12,4000,0.14999999,0.14999999,-0.73857766,58.7725,0.14999999,100,-0.71316063,4.4026613,235090
41,-104.05974552860367,1.807997,-100.61156027879322,0.14999999,1.3903527023607858,0.01,-0.3562565,0.1379569,-1.6609061,-100.61156027879322,91.30379333561136,12,4100,0.14999999,0.14999999,-0.74311054,58.5490243902439,0.14999999,100,-0.7183678,2.535401,240051
42,-104.02725605675509,2.57864,-102.69518771096389,0.14999999,0.5997109675715512,0.01,-0.35096428,0.13903145,-1.0562215,-102.69518771096389,91.30379333561136,12,4200,0.14999999,0.14999999,-0.72503054,58.24452380952381,0.14999999,100,-0.7014333,3.0722485,244627
43,-103.9937926334698,1.4038788,-102.5883288554867,0.14999999,0.7408484896852765,0.01,-0.35248923,0.16481785,-1.336676,-102.5883288554867,91.30379333561136,12,4300,0.14999999,0.14999999,-0.71641666,57.91348837209302,0.14999999,100,-0.71566033,1.8909186,249028
44,-103.94849071833256,0.75215316,-102.00050836743202,0.14999999,0.891432184819391,0.01,-0.36218095,0.1717359,-1.5922402,-102.00050836743202,91.30379333561136,12,4400,0.14999999,0.14999999,-0.70237786,57.70431818181818,0.14999999,100,-0.7199825,0.96276987,253899
45,-103.91027796589525,0.7908216,-102.22891685865348,0.14999999,1.076490631432091,0.01,-0.36304766,0.17350155,-2.1208196,-102.22891685865348,91.30379333561136,12,4500,0.14999999,0.14999999,-0.6966989,57.516,0.14999999,100,-0.712461,1.2413611,258822
46,-103.89157256498959,3.4228375,-103.04982952423441,0.14999999,0.76905102866797,0.01,-0.3567508,0.16759492,-1.3950849,-103.04982952423441,91.30379333561136,12,4600,0.14999999,0.14999999,-0.7046071,57.334782608695654,0.14999999,100,-0.7165864,4.5516567,263740
47,-103.86754079398916,0.4724935,-102.76207932796991,0.14999999,0.44960027946269254,0.01,-0.3225224,0.15923727,-1.184933,-102.76207932796991,91.30379333561136,12,4700,0.14999999,0.14999999,-0.7333133,57.06723404255319,0.14999999,100,-0.71909255,0.6791517,268216
48,-103.84462083587368,3.5269606,-102.76738280444606,0.14999999,0.9885594386169647,0.01,-0.325176,0.15451233,-1.5206141,-102.76738280444606,91.30379333561136,12,4800,0.14999999,0.14999999,-0.73649085,56.869375,0.14999999,100,-0.7165116,4.573952,272973
49,-103.79875204929391,4.1176553,-101.59705029346534,0.14999999,0.7524627393112792,0.01,-0.36044562,0.13731068,-1.4363313,-101.59705029346534,91.30379333561136,12,4900,0.14999999,0.14999999,-0.7327118,56.69122448979592,0.14999999,100,-0.73970604,4.5225005,277787
50,-103.7994480283863,3.0450416,-103.83355100391248,0.14999999,0.6507559136544607,0.01,-0.3660458,0.17848724,-2.238694,-103.83355100391248,91.30379333561136,12,5000,0.14999999,0.14999999,-0.74738294,56.4798,0.14999999,100,-0.74986416,4.0459557,282399
