NatGradInftyNorm,AvgEpLen,J,InvPendulum_std1_higher,ActionIn1,InvPendulum_mu0_higher,InvPendulum_mu3_higher,ReturnMax,NatGrad2Norm,NumTrajectories,InvPendulum_std2_higher,InvPendulum_mu2_higher,ReturnMean,InvPendulum_mu1_higher,InvPendulum_std0_higher,TimestepsSoFar,MinEpLen,VarJ,Iteration,StepSize,BatchSize,AvgRet,InvPendulum_std3_higher
0.8871841,40.865625,-102.11085917292179,0.14999999,-2.1795094,-0.36156446,-0.80524206,11.634517010751145,1.3463817,1600,0.14999999,-0.0921709,-102.51364063535675,-0.474278,0.14999999,65385,11,0.5476308496214966,16,0.001,100,-102.11085917292179,0.14999999
2.5589237,40.741176470588236,-103.51658535619502,0.14999999,-1.5292662,-0.36157304,-0.80440325,11.634517010751145,3.9898698,1700,0.14999999,-0.09273835,-102.57263738364135,-0.4751652,0.14999999,69260,11,0.48405475235323664,17,0.001,100,-103.51658535619502,0.14999999
1.8314492,41.202777777777776,-98.17057316151187,0.14999999,-1.3479943,-0.36202276,-0.802754,104.8749255362669,2.9626193,1800,0.14999999,-0.09017943,-102.32807826018973,-0.4777046,0.14999999,74165,11,6.385878024816751,18,0.001,100,-98.17057316151187,0.14999999
1.7556298,41.19157894736842,-101.25630524393381,0.14999999,-1.4514635,-0.36019132,-0.80440855,104.8749255362669,2.3625636,1900,0.14999999,-0.09120791,-102.27166915407098,-0.47898033,0.14999999,78264,11,0.6396070697241599,19,0.001,100,-101.25630524393381,0.14999999
2.7688506,41.285,-102.75505233807081,0.14999999,-1.7509377,-0.36194694,-0.80373263,104.8749255362669,3.6197777,2000,0.14999999,-0.09025332,-102.29583831327098,-0.480044,0.14999999,82570,11,0.5005059564589956,20,0.001,100,-102.75505233807081,0.14999999
2.5571053,41.29142857142857,-103.76846964946915,0.14999999,-1.9183,-0.3638264,-0.80504316,104.8749255362669,3.312886,2100,0.14999999,-0.093022175,-102.36596361499471,-0.48047572,0.14999999,86712,11,0.4771807431687858,21,0.001,100,-103.76846964946915,0.14999999
1.126815,41.231818181818184,-102.39655079926636,0.14999999,-1.4673343,-0.3663835,-0.8038522,104.8749255362669,1.3620707,2200,0.14999999,-0.09378139,-102.36735394155251,-0.47891316,0.14999999,90710,11,0.554159898740921,22,0.001,100,-102.39655079926636,0.14999999
1.5345749,41.28,-102.47078121601551,0.14999999,-1.3861727,-0.36652565,-0.80312485,104.8749255362669,1.9481417,2300,0.14999999,-0.09490821,-102.37185077957263,-0.47910368,0.14999999,94944,11,0.6338635140258468,23,0.001,100,-102.47078121601551,0.14999999
3.1363308,41.20708333333334,-101.04422783749183,0.14999999,-1.921987,-0.3657364,-0.8034655,104.8749255362669,4.4350166,2400,0.14999999,-0.09644278,-102.31653315698594,-0.4782662,0.14999999,98897,11,0.6410141514431511,24,0.001,100,-101.04422783749183,0.14999999
1.6042162,41.3732,-99.7188588483698,0.14999999,-1.6281109,-0.365117,-0.80231243,118.67034085172052,2.1424384,2500,0.14999999,-0.09330645,-102.2126261846413,-0.47541672,0.14999999,103433,11,5.631007440976588,25,0.001,100,-99.7188588483698,0.14999999
1.4356145,41.30384615384615,-102.09963211125506,0.14999999,-1.8444328,-0.36644116,-0.80180275,118.67034085172052,2.2556064,2600,0.14999999,-0.093248345,-102.20828025874182,-0.47702095,0.14999999,107390,11,0.7096159859138974,26,0.001,100,-102.09963211125506,0.14999999
2.890387,41.58296296296297,-103.06875340457069,0.14999999,-1.7834437,-0.36572036,-0.8003671,118.67034085172052,3.6185684,2700,0.14999999,-0.09233834,-102.24014963451327,-0.47831675,0.14999999,112274,11,0.972578420781205,27,0.001,100,-103.06875340457069,0.14999999
2.0522418,41.54892857142857,-102.39773055617135,0.14999999,-2.1345131,-0.36282998,-0.802064,118.67034085172052,3.4872186,2800,0.14999999,-0.092333764,-102.24577752457247,-0.4796807,0.14999999,116337,11,0.96385273555821,28,0.001,100,-102.39773055617135,0.14999999
4.1405993,41.52655172413793,-100.37844696035665,0.14999999,-2.0011504,-0.3646707,-0.80001175,118.67034085172052,6.1420226,2900,0.14999999,-0.09048696,-102.1813868154616,-0.47860828,0.14999999,120427,11,0.7300183687870444,29,0.001,100,-100.37844696035665,0.14999999
2.8940015,41.56666666666667,-102.25536316009968,0.14999999,-1.2975265,-0.36067513,-0.7983838,118.67034085172052,5.0018773,3000,0.14999999,-0.09188879,-102.1838526936162,-0.4744677,0.14999999,124700,11,0.547600197071528,30,0.001,100,-102.25536316009968,0.14999999
2.951522,41.59,-102.58451861813779,0.14999999,-1.9611044,-0.36303917,-0.7956725,118.67034085172052,2.9777155,3100,0.14999999,-0.08899479,-102.1967774008588,-0.47639218,0.14999999,128929,11,0.7687883855838943,31,0.001,100,-102.58451861813779,0.14999999
4.9229736,41.8040625,-102.61387928247537,0.14999999,-1.5315676,-0.36303446,-0.798624,118.67034085172052,6.829291,3200,0.14999999,-0.08873875,-102.20981183465933,-0.47669172,0.14999999,133773,11,1.7706949663740323,32,0.001,100,-102.61387928247537,0.14999999
0.9368311,41.92636363636364,-102.39454668131805,0.14999999,-1.9124982,-0.35834968,-0.79823637,118.67034085172052,0.9530692,3300,0.14999999,-0.089291975,-102.21540986031566,-0.4816147,0.14999999,138357,11,1.3283154222309523,33,0.001,100,-102.39454668131805,0.14999999
2.1950715,41.908529411764704,-101.51251661886877,0.14999999,-1.7227794,-0.35839757,-0.7991732,118.67034085172052,3.5614662,3400,0.14999999,-0.08913339,-102.19473652968487,-0.48167166,0.14999999,142489,11,0.6152433784435586,34,0.001,100,-101.51251661886877,0.14999999
1.8286054,41.83228571428572,-102.29416188122492,0.14999999,-1.9931056,-0.3602485,-0.7969781,118.67034085172052,2.7283006,3500,0.14999999,-0.091153555,-102.19757725401459,-0.48107272,0.14999999,146413,11,0.549685512611566,35,0.001,100,-102.29416188122492,0.14999999
2.2377284,41.76027777777778,-101.06978956688751,0.14999999,-1.7291613,-0.35934255,-0.795572,118.67034085172052,2.5894163,3600,0.14999999,-0.09229456,-102.16624981826106,-0.4792441,0.14999999,150337,11,0.627917312977696,36,0.001,100,-101.06978956688751,0.14999999
3.1097157,41.781621621621625,-101.51936760317734,0.14999999,-1.9661416,-0.3571048,-0.7947031,118.67034085172052,3.639067,3700,0.14999999,-0.09166366,-102.14876651515068,-0.47850606,0.14999999,154592,11,1.3583755301084108,37,0.001,100,-101.51936760317734,0.14999999
2.1824923,41.754473684210524,-103.39658352696928,0.14999999,-1.5898935,-0.35711733,-0.79658645,118.67034085172052,2.9208848,3800,0.14999999,-0.09182326,-102.18160380493539,-0.48161578,0.14999999,158667,11,0.6138822032348614,38,0.001,100,-103.39658352696928,0.14999999
1.6649334,41.90717948717949,-100.2863511094286,0.14999999,-2.2809854,-0.35582933,-0.79876894,118.67034085172052,2.4985728,3900,0.14999999,-0.091044396,-102.13300758197366,-0.48284164,0.14999999,163438,11,2.951481501426244,39,0.001,100,-100.2863511094286,0.14999999
2.3007703,41.907,-102.74052693779396,0.14999999,-1.4476306,-0.35749426,-0.7999855,118.67034085172052,3.2153616,4000,0.14999999,-0.08964046,-102.14819556586917,-0.48270106,0.14999999,167628,11,0.4770975346010192,40,0.001,100,-102.74052693779396,0.14999999
4.590892,41.87268292682927,-103.17420547662054,0.14999999,-1.7734597,-0.3569877,-0.7983058,118.67034085172052,6.150279,4100,0.14999999,-0.08733969,-102.17322019783873,-0.48410353,0.14999999,171678,11,0.43976313618949014,41,0.001,100,-103.17420547662054,0.14999999
1.539765,41.86785714285714,-103.77057785262214,0.14999999,-1.4425857,-0.35239682,-0.7965784,118.67034085172052,2.2564347,4200,0.14999999,-0.08417722,-102.21125252295262,-0.48216334,0.14999999,175845,11,0.7136874015873533,42,0.001,100,-103.77057785262214,0.14999999
2.8479848,41.77813953488372,-101.65886990708549,0.14999999,-1.6793318,-0.35085705,-0.79649043,118.67034085172052,3.6773083,4300,0.14999999,-0.08312822,-102.19840641560688,-0.4834332,0.14999999,179646,11,0.5384330600092153,43,0.001,100,-101.65886990708549,0.14999999
1.3776934,41.83386363636364,-101.79397316077608,0.14999999,-1.425367,-0.35002148,-0.79439676,118.67034085172052,1.5295066,4400,0.14999999,-0.08370259,-102.18921475072436,-0.4862812,0.14999999,184069,11,0.6070311871499462,44,0.001,100,-101.79397316077608,0.14999999
2.181954,42.10888888888889,-101.252655920008,0.14999999,-1.2109405,-0.35139918,-0.7937336,118.67034085172052,2.5225894,4500,0.14999999,-0.08367538,-102.168402332264,-0.48625204,0.14999999,189490,11,0.7147959051714571,45,0.001,100,-101.252655920008,0.14999999
4.352381,42.151739130434784,-101.81845692018771,0.14999999,-2.0225427,-0.352447,-0.79326606,118.67034085172052,4.6442146,4600,0.14999999,-0.08585733,-102.1607948233058,-0.48571724,0.14999999,193898,11,0.5552302972957901,46,0.001,100,-101.81845692018771,0.14999999
3.038007,42.2304255319149,-106.36534579356461,0.14999999,-1.8014121,-0.35258058,-0.79201496,118.67034085172052,4.38644,4700,0.14999999,-0.090209715,-102.25025335458791,-0.4867382,0.14999999,198483,11,15.548296527354559,47,0.001,100,-106.36534579356461,0.14999999
0.97258574,42.27520833333333,-102.83757903473008,0.14999999,-1.5956268,-0.35104805,-0.7947777,118.67034085172052,1.8055079,4800,0.14999999,-0.09324772,-102.26248930625754,-0.48656467,0.14999999,202921,11,0.6698232403323064,48,0.001,100,-102.83757903473008,0.14999999
1.963927,42.25714285714286,-101.8651037731092,0.14999999,-1.2379487,-0.35007545,-0.79382676,118.67034085172052,3.122752,4900,0.14999999,-0.09238782,-102.25437939741776,-0.48738334,0.14999999,207060,11,1.7372413213036375,49,0.001,100,-101.8651037731092,0.14999999
2.0591812,42.2914,-100.60675251133397,0.14999999,-1.254907,-0.35080838,-0.79186285,118.67034085172052,2.2341356,5000,0.14999999,-0.09062214,-102.2214268596961,-0.48887992,0.14999999,211457,11,0.8839542619558671,50,0.001,100,-100.60675251133397,0.14999999
