InvPendulum_mu2_higher,NumTrajectories,InvPendulum_mu3_higher,InvPendulum_mu0_higher,TimestepsSoFar,MinEpLen,Iteration,ActionIn1,NatGrad2Norm,AvgRet,InvPendulum_mu1_higher,BatchSize,InvPendulum_std3_higher,AvgEpLen,StepSize,VarJ,InvPendulum_std2_higher,NatGradInftyNorm,ReturnMax,InvPendulum_std0_higher,J,InvPendulum_std1_higher,ReturnMean
0.561099,100,-0.24478999,0.278299,2916,13,1,-0.3919974,2.4549313,-119.68763207232995,-0.74013203,100,0.14999999,29.16,0.1,0.8844233455683249,0.14999999,2.2294436,-97.60241650347758,0.14999999,-119.68763207232995,0.14999999,-119.68763207232995
0.56847644,200,-0.30236816,0.36311063,5222,11,2,0.9303046,1.8398046,-112.12670389467834,-0.51718765,100,0.14999999,26.11,0.1,0.5537175301121295,0.14999999,1.550458,-91.8284520578539,0.14999999,-112.12670389467834,0.14999999,-115.90716798350414
0.41343063,300,-0.28650996,0.3545411,8383,11,3,-0.057069927,4.1743426,-116.71779105214915,-0.61457705,100,0.14999999,27.94333333333333,0.1,1.2214837596412795,0.14999999,2.9071639,-77.89813171409799,0.14999999,-116.71779105214915,0.14999999,-116.17737567305247
0.58524287,400,-0.08605823,0.21299607,10394,11,4,0.7396654,4.3974147,-112.81893489147426,-0.32386068,100,0.14999999,25.985,0.1,0.38970689803233727,0.14999999,3.8525562,-77.89813171409799,0.14999999,-112.81893489147426,0.14999999,-115.33776547765792
0.4022113,500,-0.1710201,0.2780468,12139,11,5,0.54493475,3.1567245,-108.61789168906938,0.06139496,100,0.14999999,24.278,0.1,0.1243901800180568,0.14999999,2.673307,-77.89813171409799,0.14999999,-108.61789168906938,0.14999999,-113.99379071994021
0.3892706,600,-0.0075543225,0.24206245,14273,10,6,0.3174342,2.5008335,-113.44243481897806,-0.20593575,100,0.14999999,23.788333333333334,0.1,0.5452913718752492,0.14999999,2.1112142,-77.89813171409799,0.14999999,-113.44243481897806,0.14999999,-113.90189806977986
0.27917603,700,0.018663276,0.4531839,16665,10,7,0.49590495,4.8063583,-117.49498695987042,-0.13409388,100,0.14999999,23.807142857142857,0.1,2.058156356841234,0.14999999,4.1881623,-77.89813171409799,0.14999999,-117.49498695987042,0.14999999,-114.41519648264993
0.4102138,800,-0.40015295,0.6255828,18408,10,8,0.68944347,3.4422452,-107.73440316473047,-0.04075844,100,0.14999999,23.01,0.1,0.11829400653603357,0.14999999,2.8347447,-77.89813171409799,0.14999999,-107.73440316473047,0.14999999,-113.58009731791
0.35849717,900,-0.586817,0.6007901,20034,10,9,0.7487947,3.4880207,-107.60039263011413,0.24271604,100,0.14999999,22.26,0.1,0.07352982964403224,0.14999999,2.2643416,-77.89813171409799,0.14999999,-107.60039263011413,0.14999999,-112.9156856859327
0.3067049,1000,-0.7801083,0.7749926,22056,10,10,0.019866645,2.2668955,-106.97646280862521,0.016281888,100,0.14999999,22.056,0.1,0.1380714324534591,0.14999999,1.3103713,-77.89813171409799,0.14999999,-106.97646280862521,0.14999999,-112.32176339820194
