BatchSize,ReturnMean,MinEpLen,AvgEpLen,InvPendulum_std2_higher,ReturnMax,VarJ,NatGrad2Norm,J,NatGradInftyNorm,InvPendulum_mu0_higher,InvPendulum_std0_higher,StepSize,TimestepsSoFar,InvPendulum_mu3_higher,NumTrajectories,AvgRet,InvPendulum_std1_higher,ActionIn1,Iteration,InvPendulum_std3_higher,InvPendulum_mu1_higher,InvPendulum_mu2_higher
100,-99.88856848344018,14,44.9,0.14999999,11.634517010751145,2.4431217381725356,1.5812865,-99.88856848344018,1.0822275,-0.35728163,0.14999999,0.0001,4490,-0.8075896,100,-99.88856848344018,0.14999999,-2.1377952,1,0.14999999,-0.45693675,-0.10657271
100,-101.62869938825783,13,43.44,0.14999999,11.634517010751145,0.5164087527172194,3.3413138,-103.3688302930755,2.508127,-0.35723102,0.14999999,0.0001,8688,-0.8076012,200,-103.3688302930755,0.14999999,-1.6359727,2,0.14999999,-0.4568338,-0.10646449
100,-102.04203726635951,13,42.54666666666667,0.14999999,11.634517010751145,0.7523983110715782,3.1350124,-102.86871302256284,2.07608,-0.3569802,0.14999999,0.0001,12764,-0.8076252,300,-102.86871302256284,0.14999999,-1.2887034,3,0.14999999,-0.4569525,-0.106279895
100,-101.90420594010988,13,42.1,0.14999999,11.634517010751145,0.6979609732603135,3.3848453,-101.49071196136096,2.4436493,-0.3571878,0.14999999,0.0001,16840,-0.80770195,400,-101.49071196136096,0.14999999,-1.58318,4,0.14999999,-0.456772,-0.106409125
100,-102.11508606019116,11,41.656,0.14999999,11.634517010751145,0.46734712103273657,3.7315242,-102.95860654051624,2.885148,-0.35733867,0.14999999,0.0001,20828,-0.8078791,500,-102.95860654051624,0.14999999,-2.1125278,5,0.14999999,-0.45701638,-0.10638215
100,-102.29967738673338,11,40.99166666666667,0.14999999,11.634517010751145,0.7812651137217823,3.2439094,-103.22263401944454,2.1268463,-0.35705015,0.14999999,0.0001,24595,-0.80781275,600,-103.22263401944454,0.14999999,-1.8311868,6,0.14999999,-0.4568327,-0.106248476
100,-102.25095363287947,11,41.18714285714286,0.14999999,57.19495882438955,3.0289031035615817,4.631495,-101.95861110975602,3.8962255,-0.35720295,0.14999999,0.0001,28831,-0.8077398,700,-101.95861110975602,0.14999999,-1.9532369,7,0.14999999,-0.4570454,-0.10607147
100,-102.3698986340854,11,40.97625,0.14999999,57.19495882438955,0.7005698827437705,3.890793,-103.20251364252681,2.3199484,-0.35733378,0.14999999,0.0001,32781,-0.8076574,800,-103.20251364252681,0.14999999,-1.9474754,8,0.14999999,-0.45743504,-0.10587451
100,-102.45197618329325,11,40.742222222222225,0.14999999,57.19495882438955,0.3585012668465658,1.6379503,-103.10859657695617,1.4875813,-0.35756576,0.14999999,0.0001,36668,-0.8075175,900,-103.10859657695617,0.14999999,-1.7181334,9,0.14999999,-0.45759088,-0.10564277
100,-102.5695942715895,11,40.515,0.14999999,57.19495882438955,0.3259101994766825,3.444073,-103.62815706625568,2.8817952,-0.3575368,0.14999999,0.0001,40515,-0.8075786,1000,-103.62815706625568,0.14999999,-1.4389982,10,0.14999999,-0.45757955,-0.105494015
100,-102.74670926629888,11,40.35545454545454,0.14999999,57.19495882438955,0.40100608540985,3.0813434,-104.51785921339275,2.1521032,-0.35746083,0.14999999,0.0001,44391,-0.80756706,1100,-104.51785921339275,0.14999999,-1.5432467,11,0.14999999,-0.45775178,-0.105782196
100,-102.8321221730808,11,40.32833333333333,0.14999999,57.19495882438955,0.5428440606648431,1.8035364,-103.77166414768193,1.4311386,-0.3574317,0.14999999,0.0001,48394,-0.8074613,1200,-103.77166414768193,0.14999999,-1.9230349,12,0.14999999,-0.45796698,-0.10559089
