Iteration,InvPendulum_std3_higher,InvPendulum_mu3_higher,InvPendulum_mu0_higher,TimestepsSoFar,InvPendulum_std1_higher,InvPendulum_mu1_higher,NatGradInftyNorm,ReturnMax,ActionIn1,MinEpLen,AvgEpLen,J,InvPendulum_std0_higher,InvPendulum_mu2_higher,StepSize,InvPendulum_std2_higher,ReturnMean,BatchSize,NumTrajectories,AvgRet,NatGrad2Norm,VarJ
1,0.14999999,-0.8075896,-0.35728163,4490,0.14999999,-0.45693675,1.0822275,11.634517010751145,-2.1377952,14,44.9,-99.88856848344018,0.14999999,-0.10657271,0.1,0.14999999,-99.88856848344018,100,100,-99.88856848344018,1.5812865,2.4431217381725356
2,0.14999999,-0.819196,-0.30668354,7737,0.14999999,-0.35399193,2.5762198,11.634517010751145,-1.3860636,11,38.685,-102.90707336959328,0.14999999,0.0016500354,0.1,0.14999999,-101.3978209265167,100,200,-102.90707336959328,3.324742,0.42966121876516467
3,0.14999999,-0.84330356,-0.049061567,11979,0.14999999,-0.48592412,1.85749,11.634517010751145,-0.775694,11,39.93,-101.42956333372831,0.14999999,0.16346084,0.1,0.14999999,-101.40840172892058,100,300,-101.42956333372831,3.0539594,0.6976200364733764
4,0.14999999,-0.9224546,-0.23481056,15513,0.14999999,-0.3046605,2.532337,11.634517010751145,-1.2937258,11,38.7825,-105.13801513202117,0.14999999,0.023308769,0.1,0.14999999,-102.34080507969571,100,400,-105.13801513202117,3.5690262,0.5226106712223393
5,0.14999999,-1.1220781,-0.38168663,19456,0.14999999,-0.55789423,2.7095566,11.634517010751145,-2.3794827,11,38.912,-102.1677990066665,0.14999999,0.06608802,0.1,0.14999999,-102.30620386508988,100,500,-102.1677990066665,3.4577444,0.7432699763947964
6,0.14999999,-1.0554805,-0.110730976,22822,0.14999999,-0.3769392,2.0087197,11.634517010751145,-1.485632,11,38.03666666666667,-103.36491297018459,0.14999999,0.16076133,0.1,0.14999999,-102.48265538260567,100,600,-103.36491297018459,2.768564,0.4954298398048519
7,0.14999999,-0.9951794,-0.2322295,26904,0.14999999,-0.5778112,3.314059,11.634517010751145,-1.7358387,11,38.434285714285714,-102.34322704616176,0.14999999,0.29455897,0.1,0.14999999,-102.46273704882796,100,700,-102.34322704616176,4.0533776,0.4830251395683425
8,0.14999999,-0.9654434,-0.36070848,32193,0.14999999,-0.9092171,2.1675975,11.634517010751145,-1.967429,11,40.24125,-103.19891260535591,0.14999999,0.48711476,0.1,0.14999999,-102.55475899339395,100,800,-103.19891260535591,3.1850188,0.8727558852492957
9,0.14999999,-0.87518555,-0.5774682,39535,0.14999999,-0.9888809,1.4641719,14.836892780049212,-1.7443218,11,43.92777777777778,-108.28575386915162,0.14999999,0.6870294,0.1,0.14999999,-103.19153620181147,100,900,-108.28575386915162,2.0980701,3.966740709421892
10,0.14999999,-1.0145417,-0.55836564,44332,0.14999999,-0.9360044,3.0330179,14.836892780049212,-1.3862743,11,44.332,-107.8191897022994,0.14999999,0.8334466,0.1,0.14999999,-103.65430155186026,100,1000,-107.8191897022994,3.406273,0.9460355362053146
11,0.14999999,-1.0121515,-0.48439214,50636,0.14999999,-1.0722291,1.9777265,51.351423956003316,-1.8533128,11,46.03272727272727,-101.82766704654523,0.14999999,0.5301448,0.1,0.14999999,-103.48824386955891,100,1100,-101.82766704654523,2.775571,3.538158169140232
12,0.14999999,-0.90293247,-0.4446509,57364,0.14999999,-1.2700018,3.928287,51.351423956003316,-2.1257687,11,47.803333333333335,-117.67196695629386,0.14999999,0.6864003,0.1,0.14999999,-104.67022079345348,100,1200,-117.67196695629386,4.765944,24.95548450189628
13,0.14999999,-1.2957611,-0.2718855,62098,0.14999999,-1.2464784,1.6334722,51.351423956003316,-2.211381,11,47.76769230769231,-105.14710477596576,0.14999999,0.89237744,0.1,0.14999999,-104.70690417672367,100,1300,-105.14710477596576,2.443093,0.6632388708454618
14,0.14999999,-1.1647156,-0.31679556,67593,0.14999999,-1.3640153,2.146026,51.351423956003316,-1.9106797,11,48.28071428571429,-107.18114680803585,0.14999999,0.7290302,0.1,0.14999999,-104.88363579324596,100,1400,-107.18114680803585,2.7775114,1.6054792917738345
15,0.14999999,-1.3793182,-0.33563653,73043,0.14999999,-1.4816768,3.9923368,51.351423956003316,-2.3661757,11,48.69533333333333,-105.59200566666857,0.14999999,0.85900027,0.1,0.14999999,-104.93086045147413,100,1500,-105.59200566666857,4.675057,1.0287191244473437
16,0.14999999,-1.3002065,-0.48496038,79349,0.14999999,-1.8809105,0.8478397,53.15291408732283,-3.078352,11,49.593125,-110.74809502517809,0.14999999,1.0339797,0.1,0.14999999,-105.29443761233063,100,1600,-110.74809502517809,0.9620725,4.813980062075583
