MinEpLen,ReturnMax,InvPendulum_std1_higher,InvPendulum_mu1_higher,VarJ,NatGrad2Norm,AvgEpLen,NatGradInftyNorm,TimestepsSoFar,AvgRet,NumTrajectories,InvPendulum_std0_higher,InvPendulum_mu2_higher,ActionIn1,InvPendulum_std3_higher,J,InvPendulum_mu0_higher,InvPendulum_mu3_higher,ReturnMean,Iteration,InvPendulum_std2_higher,BatchSize,StepSize
13,-97.60241650347758,0.14999999,-0.74013203,0.8844233455683249,2.4549313,29.16,2.2294436,2916,-119.68763207232995,100,0.14999999,0.561099,-0.3919974,0.14999999,-119.68763207232995,0.278299,-0.24478999,-119.68763207232995,1,0.14999999,100,1.0
10,-97.60241650347758,0.14999999,1.4893115,0.059669813658924556,2.2762558,22.245,1.7258961,4449,-106.98076049354306,200,0.14999999,0.63487375,3.2483022,0.14999999,-106.98076049354306,1.1264154,-0.8205718,-113.3341962829365,2,0.14999999,100,1.0
10,-97.60241650347758,0.14999999,0.07397783,0.09012480344647474,3.8488889,20.236666666666668,2.7040253,6071,-107.78009605290221,300,0.14999999,-1.0910224,-0.374292,0.14999999,-107.78009605290221,0.96924543,-0.40253824,-111.48282953959175,3,0.14999999,100,1.0
10,-97.60241650347758,0.14999999,2.1829982,0.22872799853930117,4.212586,19.91,3.471896,7964,-113.71168790618118,400,0.14999999,0.21127284,4.850908,0.14999999,-113.71168790618118,-0.1961956,2.301487,-112.0400441312391,4,0.14999999,100,1.0
10,-97.60241650347758,0.14999999,5.654894,0.08153410259310774,3.2192645,18.92,2.7287002,9460,-107.49896703339837,500,0.14999999,-2.0860796,5.477817,0.14999999,-107.49896703339837,0.16541013,1.7692907,-111.13182871167095,5,0.14999999,100,1.0
10,-97.60241650347758,0.14999999,2.9261937,0.42777226270294827,2.4743252,18.95,1.8309481,11370,-111.45694944325578,600,0.14999999,-2.2746768,3.7977626,0.14999999,-111.45694944325578,-0.18401843,3.4306726,-111.18601550026843,6,0.14999999,100,1.0
10,-97.60241650347758,0.14999999,3.0722964,0.22424429281641578,3.9243808,18.812857142857144,3.6621475,13169,-110.41332601876131,700,0.14999999,-3.8449636,4.7156696,0.14999999,-110.41332601876131,1.6469297,3.9624314,-111.07563128862455,7,0.14999999,100,1.0
10,-97.60241650347758,0.14999999,3.4724836,0.07984131590591852,3.3385725,18.4675,2.7346091,14774,-107.84122252246307,800,0.14999999,-3.878455,2.9878983,0.14999999,-107.84122252246307,2.9990277,0.3002839,-110.67133019285437,8,0.14999999,100,1.0
10,-97.60241650347758,0.14999999,6.207093,0.09546352449505306,3.4499185,18.162222222222223,2.2251961,16346,-108.30208090950875,900,0.14999999,-4.3914146,3.1824813,0.14999999,-108.30208090950875,2.7629733,-1.5297787,-110.40808027248264,9,0.14999999,100,1.0
10,-97.60241650347758,0.14999999,3.9818966,0.11736557177931922,2.1926599,17.954,1.3115842,17954,-108.28349912977156,1000,0.14999999,-4.8682647,-0.026925564,0.14999999,-108.28349912977156,4.558155,-3.4007082,-110.1956221582115,10,0.14999999,100,1.0
