MinEpLen,InvPendulum_std0_higher,InvPendulum_mu3_higher,J,InvPendulum_mu1_higher,Iteration,ReturnMean,TimestepsSoFar,NumTrajectories,VarJ,NatGrad2Norm,ActionIn1,AvgRet,BatchSize,InvPendulum_mu2_higher,NatGradInftyNorm,ReturnMax,AvgEpLen,StepSize,InvPendulum_std1_higher,InvPendulum_mu0_higher,InvPendulum_std3_higher,InvPendulum_std2_higher
11,0.14999999,-0.06532505,-114.47419054839072,-0.4217885,1,-114.47419054839072,2159,100,1.0217815169825926,3.8764853,1.7787482,-114.47419054839072,100,0.41005367,3.5983,-103.58715795603078,21.59,0.1,0.14999999,0.8060292,0.14999999,0.14999999
11,0.14999999,0.29450494,-127.44103414386973,-0.4695691,2,-120.95761234613023,5375,200,2.6128249141603117,4.5025325,0.79126805,-127.44103414386973,100,0.27609468,3.2433476,-103.58715795603078,26.875,0.1,0.14999999,0.7822435,0.14999999,0.14999999
11,0.14999999,0.545277,-118.14012117236862,-0.51185954,3,-120.01844862154304,7723,300,0.7613791184603853,3.4514332,1.0717759,-118.14012117236862,100,0.6004294,3.1747932,-103.58715795603078,25.743333333333332,0.1,0.14999999,0.96351635,0.14999999,0.14999999
11,0.14999999,0.8627564,-120.15204024423839,-0.39837375,4,-120.05184652721685,10258,400,1.3145441687048491,3.905398,2.157026,-120.15204024423839,100,0.60252,2.3233347,-103.58715795603078,25.645,0.1,0.14999999,1.0373229,0.14999999,0.14999999
11,0.14999999,0.6304229,-127.1340826647834,-0.41167712,5,-121.46829375473017,13408,500,3.5731429298415573,5.7361045,1.0219488,-127.1340826647834,100,0.37849772,4.5496097,-103.58715795603078,26.816,0.1,0.14999999,0.8178245,0.14999999,0.14999999
11,0.14999999,0.69838756,-113.53444867032724,0.04328385,6,-120.14598624066302,15440,600,0.5927427422648129,2.3175685,1.8838696,-113.53444867032724,100,0.71112466,1.4789909,-103.32174154431779,25.733333333333334,0.1,0.14999999,0.90016305,0.14999999,0.14999999
11,0.14999999,0.84628665,-115.18451359527911,-0.096363395,7,-119.4372044341796,17611,700,0.46694173681395335,2.047966,2.5438666,-115.18451359527911,100,0.80814725,1.7897902,-103.32174154431779,25.158571428571427,0.1,0.14999999,0.84610415,0.14999999,0.14999999
11,0.14999999,0.78023535,-112.48111732732305,-0.023108512,8,-118.56769354582254,19516,800,0.2772842673086091,2.0030808,2.827487,-112.48111732732305,100,0.8215301,1.6280532,-103.32174154431779,24.395,0.1,0.14999999,1.0250832,0.14999999,0.14999999
11,0.14999999,0.68500525,-114.27585390727107,-0.08917675,9,-118.09082247487237,21570,900,0.44165655853595603,2.3589532,2.519306,-114.27585390727107,100,0.6587248,2.0953515,-103.02321732617511,23.966666666666665,0.1,0.14999999,1.0115196,0.14999999,0.14999999
11,0.14999999,0.7244948,-116.10925597514363,-0.110741824,10,-117.89266582489951,23741,1000,0.8649477892865133,3.4331698,2.5377505,-116.10925597514363,100,0.5601492,2.519822,-103.02321732617511,23.741,0.1,0.14999999,1.2210547,0.14999999,0.14999999
11,0.14999999,0.6116343,-113.09749547219461,-0.19000047,11,-117.45674124738088,25723,1100,0.3198659137811672,2.0128074,2.0371575,-113.09749547219461,100,0.74817073,1.8884046,-103.02321732617511,23.384545454545453,0.1,0.14999999,0.96907246,0.14999999,0.14999999
11,0.14999999,0.6315259,-115.03962622175362,-0.37884092,12,-117.25531499524529,27882,1200,0.43995222535791406,1.8934298,2.2259152,-115.03962622175362,100,0.8000193,1.7551829,-103.02321732617511,23.235,0.1,0.14999999,1.011135,0.14999999,0.14999999
11,0.14999999,0.4560076,-113.6492255674731,-0.41306365,13,-116.97792350080124,29927,1300,0.2855805285090929,2.8704138,1.9533252,-113.6492255674731,100,0.8260905,1.8324296,-103.02321732617511,23.02076923076923,0.1,0.14999999,0.9546266,0.14999999,0.14999999
11,0.14999999,0.5779186,-113.60066115191843,-0.26246288,14,-116.73669047588105,31916,1400,0.32099232590039894,2.025711,2.0103996,-113.60066115191843,100,0.64284754,1.4940201,-103.02321732617511,22.797142857142855,0.1,0.14999999,1.0607958,0.14999999,0.14999999
11,0.14999999,0.6982302,-118.37675461255341,-0.2572654,15,-116.84602808499255,34301,1500,1.122996179220343,3.2798712,2.1348627,-118.37675461255341,100,0.49344552,2.4461896,-103.02321732617511,22.867333333333335,0.1,0.14999999,0.9958944,0.14999999,0.14999999
11,0.14999999,0.88409054,-119.38206508349954,-0.22394745,16,-117.00453039739924,36706,1600,0.9738511640073659,3.5779538,2.3508859,-119.38206508349954,100,0.38352296,3.325884,-103.02321732617511,22.94125,0.1,0.14999999,1.2405133,0.14999999,0.14999999
11,0.14999999,0.8979421,-124.1045733848341,-0.55653584,17,-117.4221799848954,39481,1700,1.880529824082355,3.6721914,1.7620299,-124.1045733848341,100,0.25343394,2.340653,-103.02321732617511,23.224117647058822,0.1,0.14999999,1.2235587,0.14999999,0.14999999
11,0.14999999,0.66387683,-122.64770553199997,-0.40975636,18,-117.71248695973453,42128,1800,2.0656294408398916,4.8013873,1.7409171,-122.64770553199997,100,0.07220706,3.9506176,-103.02321732617511,23.404444444444444,0.1,0.14999999,1.3837959,0.14999999,0.14999999
11,0.14999999,0.5985815,-114.27775622010962,-0.014694601,19,-117.53171165764901,44095,1900,0.45115540642478685,2.7869215,2.1092443,-114.27775622010962,100,0.32930315,2.4203327,-103.02321732617511,23.207894736842107,0.1,0.14999999,1.447808,0.14999999,0.14999999
11,0.14999999,0.6406491,-116.72537176557266,-0.25672787,20,-117.49139466304521,46309,2000,1.0945222228425884,1.8239251,1.9565058,-116.72537176557266,100,0.45999226,1.1305735,-103.02321732617511,23.1545,0.1,0.14999999,1.4632962,0.14999999,0.14999999
11,0.14999999,0.75370646,-116.31027265764868,-0.15006602,21,-117.43515075802631,48431,2100,0.5307664773032361,5.437166,2.3748734,-116.31027265764868,100,0.40642852,3.9308925,-103.02321732617511,23.062380952380952,0.1,0.14999999,1.5422851,0.14999999,0.14999999
10,0.14999999,0.3606172,-112.50071298891055,-0.07562458,22,-117.21085813215741,50360,2200,0.41643303635021456,5.798216,3.0192475,-112.50071298891055,100,0.4754238,5.5791287,-103.02321732617511,22.89090909090909,0.1,0.14999999,1.9039572,0.14999999,0.14999999
10,0.14999999,0.28886506,-116.05463254173227,-0.6335375,23,-117.16058745431286,52601,2300,1.3530414623701525,2.663114,1.8874729,-116.05463254173227,100,0.61588633,2.246112,-103.02321732617511,22.87,0.1,0.14999999,1.8970141,0.14999999,0.14999999
10,0.14999999,0.31825045,-112.91655083370149,-0.5135576,24,-116.98375259512072,54603,2400,0.663141651402526,3.2087321,3.0184004,-112.91655083370149,100,0.84049755,2.3036358,-103.02321732617511,22.75125,0.1,0.14999999,1.9692144,0.14999999,0.14999999
10,0.14999999,0.36750954,-111.36755822332925,-0.283194,25,-116.75910482024905,56449,2500,0.39225284097361646,5.838027,2.2486954,-111.36755822332925,100,0.79140383,5.048363,-102.80905503358773,22.5796,0.1,0.14999999,1.7569515,0.14999999,0.14999999
10,0.14999999,0.48542327,-114.94933114804967,-0.22066054,26,-116.68949814054909,58493,2600,1.2099343898838775,3.5781214,2.4784126,-114.94933114804967,100,0.2865675,2.9362502,-102.80905503358773,22.497307692307693,0.1,0.14999999,2.0180106,0.14999999,0.14999999
10,0.14999999,0.5493731,-115.69730041285175,-0.51428556,27,-116.65275007656027,60545,2700,0.5866063977944413,2.9051268,2.724489,-115.69730041285175,100,0.22568345,2.3557284,-102.80905503358773,22.424074074074074,0.1,0.14999999,2.2024488,0.14999999,0.14999999
10,0.14999999,0.56953835,-115.03680916193701,-0.34554297,28,-116.59503790103801,62561,2800,0.5931013212066049,2.9469528,1.7704461,-115.03680916193701,100,0.22095647,2.1499515,-102.80905503358773,22.343214285714286,0.1,0.14999999,1.966876,0.14999999,0.14999999
10,0.14999999,0.7845335,-116.00093107466057,-0.3651298,29,-116.57455145874916,64607,2900,0.5575656345739874,2.4715574,2.6791713,-116.00093107466057,100,0.110513665,1.9999825,-102.59909868239056,22.278275862068966,0.1,0.14999999,2.134331,0.14999999,0.14999999
10,0.14999999,0.7153295,-117.37925929690829,-0.565128,30,-116.60137505335446,66802,3000,1.0906573300129865,5.4104557,2.672022,-117.37925929690829,100,0.2237193,5.0106606,-102.59909868239056,22.267333333333333,0.1,0.14999999,2.0753229,0.14999999,0.14999999
10,0.14999999,1.2163956,-116.88783412827598,-0.36943692,31,-116.61061566867453,68912,3100,0.6988130672630138,4.359366,3.1661654,-116.88783412827598,100,0.28157416,3.5245836,-102.59909868239056,22.22967741935484,0.1,0.14999999,2.079894,0.14999999,0.14999999
10,0.14999999,1.2077857,-118.02618882397277,-0.550417,32,-116.65485232977757,71156,3200,0.8728868564512077,1.8367045,3.7657843,-118.02618882397277,100,0.46319443,1.1826082,-102.59909868239056,22.23625,0.1,0.14999999,2.4323525,0.14999999,0.14999999
10,0.14999999,1.1489649,-116.0556027014981,-0.45526516,33,-116.63669325013275,73205,3300,0.5415289700980859,3.674232,3.535707,-116.0556027014981,100,0.3449336,3.078208,-102.59909868239056,22.183333333333334,0.1,0.14999999,2.5174139,0.14999999,0.14999999
10,0.14999999,1.3322463,-117.33860148862881,-0.52732414,34,-116.65733761008849,75381,3400,1.3485512602595293,2.968572,3.9198906,-117.33860148862881,100,0.3067031,2.3504932,-102.59909868239056,22.170882352941177,0.1,0.14999999,2.8252347,0.14999999,0.14999999
10,0.14999999,1.2798277,-115.67584785807801,-0.54761684,35,-116.62929504574534,77407,3500,0.5792707413200416,3.724232,3.8110127,-115.67584785807801,100,0.13431834,3.5454211,-102.59909868239056,22.116285714285713,0.1,0.14999999,3.060284,0.14999999,0.14999999
10,0.14999999,1.3022381,-113.63222396497252,-0.19307473,36,-116.54604307127946,79251,3600,0.2838663414304601,2.0531008,4.5338097,-113.63222396497252,100,0.13465588,1.6669066,-102.59909868239056,22.014166666666668,0.1,0.14999999,2.9484959,0.14999999,0.14999999
10,0.14999999,1.1968387,-114.85650806749423,-0.20604375,37,-116.50037996306904,81220,3700,0.5410766292236984,4.504285,3.8412728,-114.85650806749423,100,-0.032034785,3.2077615,-102.59909868239056,21.951351351351352,0.1,0.14999999,2.892915,0.14999999,0.14999999
10,0.14999999,1.1035916,-113.25970718136483,-0.15259801,38,-116.41509910039261,83061,3800,0.45632875310733145,3.0641856,4.07757,-113.25970718136483,100,-0.35281095,2.008122,-102.59909868239056,21.85815789473684,0.1,0.14999999,3.1902986,0.14999999,0.14999999
10,0.14999999,1.3044038,-112.65609809254042,-0.01343447,39,-116.31871445916563,84861,3900,0.31881979419430595,2.5674055,3.8279495,-112.65609809254042,100,-0.41309115,2.4297583,-102.25968407516208,21.75923076923077,0.1,0.14999999,3.0154655,0.14999999,0.14999999
10,0.14999999,1.5473796,-114.13469661975834,-0.060102385,40,-116.26411401318045,86773,4000,0.4217270984847007,1.838481,4.4512568,-114.13469661975834,100,-0.3523852,1.1535841,-102.25968407516208,21.69325,0.1,0.14999999,3.0473301,0.14999999,0.14999999
10,0.14999999,1.4388416,-114.43941718801086,-0.1754608,41,-116.21960921256655,88703,4100,0.44859945604160273,2.8718145,3.389898,-114.43941718801086,100,-0.36907622,1.8587971,-102.25968407516208,21.63487804878049,0.1,0.14999999,3.1391642,0.14999999,0.14999999
10,0.14999999,1.380627,-114.38397125612275,-0.35426927,42,-116.17590354693694,90636,4200,0.6268140278264462,4.2109346,4.1722302,-114.38397125612275,100,-0.18319651,2.833787,-102.25968407516208,21.58,0.1,0.14999999,3.2512379,0.14999999,0.14999999
10,0.14999999,1.2844543,-112.49279351251806,-0.070890576,43,-116.09024982520626,92436,4300,0.3607036387232472,3.6597755,3.583137,-112.49279351251806,100,-0.4576641,2.687385,-102.00489706808442,21.496744186046513,0.1,0.14999999,3.3627484,0.14999999,0.14999999
10,0.14999999,1.237336,-111.66807525552409,0.19784793,44,-115.98974585771349,94145,4400,0.21076698902825183,1.406222,4.2112455,-111.66807525552409,100,-0.5041502,1.1950456,-102.00489706808442,21.39659090909091,0.1,0.14999999,3.1232946,0.14999999,0.14999999
10,0.14999999,1.1728442,-113.4060975011375,0.07834337,45,-115.93233144978956,96048,4500,0.4780959755124905,3.3377473,3.8344698,-113.4060975011375,100,-0.51081973,2.5881128,-102.00489706808442,21.344,0.1,0.14999999,3.1592052,0.14999999,0.14999999
10,0.14999999,0.9140329,-110.86057236447367,0.23059934,46,-115.8220758175001,97712,4600,0.19259776480683086,3.8171692,3.5615385,-110.86057236447367,100,-0.46546224,2.9805386,-102.00489706808442,21.241739130434784,0.1,0.14999999,3.0207021,0.14999999,0.14999999
10,0.14999999,1.1113931,-112.83909694562381,-0.06745452,47,-115.75860818192825,99522,4700,0.30455446179338497,4.2689724,3.993272,-112.83909694562381,100,-0.39734578,3.5034556,-102.00489706808442,21.174893617021276,0.1,0.14999999,2.9054596,0.14999999,0.14999999
10,0.14999999,1.1319486,-113.00362863725566,-0.2037161,48,-115.70121277474759,101380,4800,0.3988557709119984,4.7909527,4.0116816,-113.00362863725566,100,-0.59861547,3.5390937,-102.00489706808442,21.120833333333334,0.1,0.14999999,3.2558053,0.14999999,0.14999999
10,0.14999999,1.2725357,-112.41602379844704,-0.12938797,49,-115.63416810176186,103224,4900,0.38827411750200563,2.9799986,4.271223,-112.41602379844704,100,-0.8796689,2.222865,-102.00489706808442,21.06612244897959,0.1,0.14999999,3.6097145,0.14999999,0.14999999
10,0.14999999,1.199206,-112.49578794247662,-0.26167572,50,-115.57140049857615,105034,5000,0.4036252927512657,3.229819,3.8774033,-112.49578794247662,100,-0.65738237,2.378182,-102.00489706808442,21.0068,0.1,0.14999999,3.4812026,0.14999999,0.14999999
