InvPendulum_mu0_higher,StepSize,InvPendulum_mu1_higher,InvPendulum_mu2_higher,InvPendulum_std1_higher,BatchSize,NumTrajectories,InvPendulum_std3_higher,TimestepsSoFar,Iteration,VarJ,NatGradInftyNorm,AvgEpLen,ActionIn1,ReturnMax,J,InvPendulum_std2_higher,AvgRet,NatGrad2Norm,InvPendulum_std0_higher,ReturnMean,InvPendulum_mu3_higher,MinEpLen
-0.73668987,0.001,-0.34442806,0.2029658,0.14999999,100,1100,0.14999999,87576,11,7.905591644805965,1.6596738,79.61454545454545,-1.6374311,84.80593586603136,-105.17049098546995,0.14999999,-105.17049098546995,1.9064718,0.14999999,-109.61077430292933,-0.5403526,13
-0.73750067,0.001,-0.3427684,0.20309934,0.14999999,100,1200,0.14999999,93548,12,14.456434686695056,1.9302207,77.95666666666666,-1.0820575,84.80593586603136,-108.92532813823624,0.14999999,-108.92532813823624,2.5704422,0.14999999,-109.55365378920489,-0.53989995,13
-0.7361911,0.001,-0.34308374,0.20116912,0.14999999,100,1300,0.14999999,101542,13,9.627958055673751,4.5978518,78.10923076923076,-1.4621333,84.80593586603136,-109.69862736193016,0.14999999,-109.69862736193016,4.6778326,0.14999999,-109.56480560249148,-0.5409329,13
-0.7357496,0.001,-0.34279814,0.20048693,0.14999999,100,1400,0.14999999,109302,14,8.055875544430988,2.476189,78.07285714285715,-1.633357,84.80593586603136,-108.71994911327485,0.14999999,-108.71994911327485,3.8507085,0.14999999,-109.50445871040456,-0.54553074,13
-0.7382258,0.001,-0.34181422,0.19871499,0.14999999,100,1500,0.14999999,116386,15,4.654150832036807,2.82846,77.59066666666666,-1.342896,84.80593586603136,-106.4277784755572,0.14999999,-106.4277784755572,3.6488774,0.14999999,-109.29934669474807,-0.5476728,13
-0.740195,0.001,-0.33898577,0.19752036,0.14999999,100,1600,0.14999999,123890,16,12.286198074718111,1.4109783,77.43125,-0.8886982,84.80593586603136,-109.76593416548141,0.14999999,-109.76593416548141,2.2178707,0.14999999,-109.32850841166892,-0.5477704,13
-0.73926497,0.001,-0.33962518,0.19623415,0.14999999,100,1700,0.14999999,131441,17,6.012107580900061,3.865873,77.31823529411764,-1.5359023,84.80593586603136,-108.45454611391911,0.14999999,-108.45454611391911,4.451443,0.14999999,-109.27709886474244,-0.54918134,13
-0.74136484,0.001,-0.34004924,0.19570388,0.14999999,100,1800,0.14999999,139239,18,14.024749831238045,4.200812,77.355,-1.6272542,84.80593586603136,-109.35300091981148,0.14999999,-109.35300091981148,4.9612875,0.14999999,-109.2813156455796,-0.55304724,13
-0.743024,0.001,-0.34088957,0.19383073,0.14999999,100,1900,0.14999999,145768,19,10.956498760377015,1.7498066,76.72,-1.1126077,84.80593586603136,-109.35660454884213,0.14999999,-109.35660454884213,1.8774981,0.14999999,-109.28527821943553,-0.55724806,13
-0.7425411,0.001,-0.33913976,0.1933841,0.14999999,100,2000,0.14999999,152448,20,3.907507175774204,3.12013,76.224,-1.2260766,84.80593586603136,-107.09757342590376,0.14999999,-107.09757342590376,4.1050787,0.14999999,-109.17589297975894,-0.5570734,13
-0.7456612,0.001,-0.3371185,0.19193862,0.14999999,100,2100,0.14999999,160273,21,11.036349162991062,1.8642818,76.32047619047619,-1.4252659,84.80593586603136,-107.64398616691774,0.14999999,-107.64398616691774,2.746235,0.14999999,-109.10294503629032,-0.55610305,13
-0.74379694,0.001,-0.33788115,0.1922919,0.14999999,100,2200,0.14999999,168227,22,16.166531530239812,2.5950453,76.46681818181818,-1.5927573,84.80593586603136,-109.6361624489614,0.14999999,-109.6361624489614,3.7078705,0.14999999,-109.12718219141172,-0.557936,13
-0.7436511,0.001,-0.34047619,0.19114631,0.14999999,100,2300,0.14999999,174434,23,1.0725347820263458,2.982776,75.84086956521739,-1.7265956,84.80593586603136,-102.59044136099524,0.14999999,-102.59044136099524,3.1521232,0.14999999,-108.84297606835015,-0.56031936,13
-0.7433517,0.001,-0.3414092,0.1941291,0.14999999,100,2400,0.14999999,180293,24,4.903329053570836,0.8242675,75.12208333333334,-1.3590075,84.80593586603136,-107.33055650652743,0.14999999,-107.33055650652743,1.2519432,0.14999999,-108.77995858660752,-0.56003875,13
-0.7440695,0.001,-0.34124026,0.19471574,0.14999999,100,2500,0.14999999,188402,25,5.70861729571808,1.61559,75.3608,-2.0952723,84.80593586603136,-105.6961395624447,0.14999999,-105.6961395624447,2.0447516,0.14999999,-108.65660582564101,-0.5592145,13
-0.74245393,0.001,-0.3402888,0.19537455,0.14999999,100,2600,0.14999999,196038,26,6.5722125835274525,1.871831,75.39923076923077,-1.3852518,84.80593586603136,-108.18782192608751,0.14999999,-108.18782192608751,2.3585017,0.14999999,-108.6385756756582,-0.55969566,13
-0.7426051,0.001,-0.33906412,0.19464236,0.14999999,100,2700,0.14999999,202377,27,1.2160309320160807,3.9874196,74.95444444444445,-1.2692215,84.80593586603136,-104.4352951414887,0.14999999,-104.4352951414887,4.5764375,0.14999999,-108.4828986188371,-0.5615675,13
-0.7419419,0.001,-0.33817062,0.1965933,0.14999999,100,2800,0.14999999,209761,28,17.99993476894108,2.8818178,74.91464285714285,-1.6994431,84.80593586603136,-113.02347923801737,0.14999999,-113.02347923801737,4.0148816,0.14999999,-108.64506221237924,-0.55758005,13
-0.7390601,0.001,-0.33775076,0.19688095,0.14999999,100,2900,0.14999999,216887,29,2.201984922126457,2.799296,74.78862068965518,-0.9919238,84.80593586603136,-104.52017647116492,0.14999999,-104.52017647116492,3.3743632,0.14999999,-108.50282477302703,-0.5603288,13
-0.7418594,0.001,-0.3386634,0.19852619,0.14999999,100,3000,0.14999999,223854,30,3.41955559885875,1.8196939,74.618,-1.3359153,84.80593586603136,-106.29218498651626,0.14999999,-106.29218498651626,2.8393364,0.14999999,-108.42913678014332,-0.56022614,13
-0.7400397,0.001,-0.33690965,0.19724998,0.14999999,100,3100,0.14999999,230924,31,1.5679895335071101,2.0827441,74.4916129032258,-1.3323946,84.80593586603136,-105.20488377390716,0.14999999,-105.20488377390716,2.6038911,0.14999999,-108.32512861865185,-0.5604412,13
-0.74153143,0.001,-0.3366705,0.19516723,0.14999999,100,3200,0.14999999,238930,32,24.385958107142233,4.5432644,74.665625,-0.8721115,84.80593586603136,-114.74435234057619,0.14999999,-114.74435234057619,6.1099877,0.14999999,-108.52572935996199,-0.56084114,13
-0.7450994,0.001,-0.3347175,0.19478533,0.14999999,100,3300,0.14999999,246641,33,18.665821735367587,2.7387297,74.73969696969696,-1.5300485,84.80593586603136,-104.22499081818212,0.14999999,-104.22499081818212,2.8054743,0.14999999,-108.39540394960503,-0.5653844,13
-0.7456702,0.001,-0.33197877,0.19458589,0.14999999,100,3400,0.14999999,254322,34,16.074268805154787,2.6261137,74.80058823529411,-1.7444199,84.80593586603136,-109.36358477358647,0.14999999,-109.36358477358647,2.955631,0.14999999,-108.42387985619271,-0.56545156,13
-0.7444641,0.001,-0.33181095,0.19518295,0.14999999,100,3500,0.14999999,261924,35,8.56818295466222,4.308327,74.83542857142857,-1.6721917,84.80593586603136,-107.78183761361123,0.14999999,-107.78183761361123,4.4995193,0.14999999,-108.40553579211897,-0.5680777,13
-0.7435408,0.001,-0.33097616,0.19554995,0.14999999,100,3600,0.14999999,269135,36,4.714183378146147,4.100556,74.75972222222222,-1.5662491,84.80593586603136,-106.0715921492619,0.14999999,-106.0715921492619,4.218331,0.14999999,-108.34070402426181,-0.572386,13
-0.7431905,0.001,-0.33190015,0.1956072,0.14999999,100,3700,0.14999999,277767,37,19.3167268624866,3.3080285,75.07216216216216,-1.467466,84.80593586603136,-111.55643477579913,0.14999999,-111.55643477579913,4.36368,0.14999999,-108.42761566619525,-0.5764866,13
-0.7419657,0.001,-0.3298853,0.19401382,0.14999999,100,3800,0.14999999,283993,38,4.221857294585706,4.813456,74.735,-1.8755021,84.80593586603136,-105.13918230970634,0.14999999,-105.13918230970634,5.202978,0.14999999,-108.34107794628765,-0.57979465,13
-0.74193835,0.001,-0.3297365,0.19882728,0.14999999,100,3900,0.14999999,290649,39,6.933150742172502,2.7683148,74.52538461538461,-1.0117565,84.80593586603136,-106.02717551270767,0.14999999,-106.02717551270767,4.04882,0.14999999,-108.2817471146574,-0.5817641,13
-0.73917,0.001,-0.32824808,0.19702777,0.14999999,100,4000,0.14999999,297179,40,2.9159776874752334,4.266369,74.29475,-1.342538,84.80593586603136,-104.61702148716688,0.14999999,-104.61702148716688,4.440598,0.14999999,-108.19012897397013,-0.583574,13
-0.73939365,0.001,-0.3290681,0.1927614,0.14999999,100,4100,0.14999999,303419,41,5.106181697716155,1.7234454,74.00463414634146,-1.4412938,84.80593586603136,-106.51182531265111,0.14999999,-106.51182531265111,2.4140825,0.14999999,-108.1491947383282,-0.5844654,13
-0.7376702,0.001,-0.32749528,0.19265918,0.14999999,100,4200,0.14999999,310827,42,1.8654934003918051,2.752597,74.00642857142857,-0.8741856,84.80593586603136,-103.84413318452307,0.14999999,-103.84413318452307,3.2758884,0.14999999,-108.0466932727614,-0.5838544,13
-0.73933595,0.001,-0.32769546,0.19541179,0.14999999,100,4300,0.14999999,316211,43,0.9560683516357287,1.0543164,73.53744186046512,-1.1718187,84.80593586603136,-105.57640913451252,0.14999999,-105.57640913451252,1.54687,0.14999999,-107.98924480443004,-0.5832715,13
-0.7397865,0.001,-0.32853594,0.19602157,0.14999999,100,4400,0.14999999,322868,44,6.550058739795215,0.78875995,73.3790909090909,-1.4339528,130.87825407286263,-101.03117930736231,0.14999999,-101.03117930736231,0.8690612,0.14999999,-107.83110695222395,-0.5822172,13
-0.7394415,0.001,-0.3284736,0.19592059,0.14999999,100,4500,0.14999999,330036,45,8.212490768259208,2.3911152,73.34133333333334,-1.9755365,130.87825407286263,-109.10990777464706,0.14999999,-109.10990777464706,2.8309991,0.14999999,-107.8595247482778,-0.58142847,13
-0.73985344,0.001,-0.32735667,0.19498257,0.14999999,100,4600,0.14999999,336014,46,1.5237739244112576,3.7227077,73.04652173913044,-1.2407825,130.87825407286263,-104.57037560978202,0.14999999,-104.57037560978202,4.8333154,0.14999999,-107.78802150613659,-0.58381957,13
-0.7400863,0.001,-0.32363397,0.194047,0.14999999,100,4700,0.14999999,341794,47,1.0785157569320076,0.6969615,72.72212765957447,-1.0256627,130.87825407286263,-104.54518320755453,0.14999999,-104.54518320755453,0.8245771,0.14999999,-107.71902494659228,-0.5867475,13
-0.73999035,0.001,-0.32370394,0.19335005,0.14999999,100,4800,0.14999999,348358,48,4.269095834762083,2.8926609,72.57458333333334,-1.3544642,130.87825407286263,-105.88853701397743,0.14999999,-105.88853701397743,4.3503942,0.14999999,-107.68088978132948,-0.58717185,13
-0.74276674,0.001,-0.32659662,0.19179767,0.14999999,100,4900,0.14999999,354499,49,2.400497034006632,4.149465,72.34673469387755,-1.2061795,130.87825407286263,-102.02889785119596,0.14999999,-102.02889785119596,4.565847,0.14999999,-107.56554300724513,-0.5878354,13
-0.7434309,0.001,-0.32749152,0.19594714,0.14999999,100,5000,0.14999999,359655,50,0.7989165682122896,2.8382196,71.931,-2.0182438,130.87825407286263,-103.48720022086763,0.14999999,-103.48720022086763,3.8770838,0.14999999,-107.48397615151757,-0.5893803,13
