InvPendulum_mu0_higher,StepSize,InvPendulum_mu1_higher,InvPendulum_mu2_higher,InvPendulum_std1_higher,BatchSize,NumTrajectories,InvPendulum_std3_higher,TimestepsSoFar,Iteration,VarJ,NatGradInftyNorm,AvgEpLen,ActionIn1,ReturnMax,J,InvPendulum_std2_higher,AvgRet,NatGrad2Norm,InvPendulum_std0_higher,ReturnMean,InvPendulum_mu3_higher,MinEpLen
-0.74931115,0.001,-0.3516885,0.21010771,0.14999999,100,100,0.14999999,7867,1,5.240870760127406,2.3024366,78.67,-1.6026189,-43.64646492871437,-108.89924047406988,0.14999999,-108.89924047406988,3.6689935,0.14999999,-108.89924047406988,-0.5202909,15
-0.74711066,0.001,-0.35399094,0.20917349,0.14999999,100,200,0.14999999,16052,2,17.796032874676,1.127721,80.26,-0.9897309,-43.64646492871437,-110.79567968030688,0.14999999,-110.79567968030688,1.3924807,0.14999999,-109.84746007718839,-0.52185464,13
-0.74598294,0.001,-0.35466337,0.20901668,0.14999999,100,300,0.14999999,25706,3,30.47063452595851,4.780435,85.68666666666667,-1.5733898,4.827946438405096,-115.6994724320979,0.14999999,-115.6994724320979,5.1577635,0.14999999,-111.79813086215822,-0.5222911,13
-0.74713093,0.001,-0.3537206,0.21025895,0.14999999,100,400,0.14999999,34626,4,13.85910587934683,3.59147,86.565,-1.7480439,84.80593586603136,-109.74094865111783,0.14999999,-109.74094865111783,4.6064634,0.14999999,-111.28383530939813,-0.52707154,13
-0.74478227,0.001,-0.3520463,0.21022397,0.14999999,100,500,0.14999999,40974,5,1.7399872011314899,0.9751515,81.948,-1.0286463,84.80593586603136,-103.85373126149783,0.14999999,-103.85373126149783,1.5861406,0.14999999,-109.79781449981805,-0.530663,13
-0.7440403,0.001,-0.35259816,0.21106651,0.14999999,100,600,0.14999999,49612,6,18.770263293792024,3.9545567,82.68666666666667,-1.6773312,84.80593586603136,-112.23660703840534,0.14999999,-112.23660703840534,4.823227,0.14999999,-110.20427992291593,-0.53163815,13
-0.74289846,0.001,-0.3486436,0.2088806,0.14999999,100,700,0.14999999,58431,7,13.50713458581041,4.164652,83.47285714285714,-1.365371,84.80593586603136,-109.61987829385133,0.14999999,-109.61987829385133,4.5196495,0.14999999,-110.12079397590671,-0.5328803,13
-0.7413106,0.001,-0.34891117,0.20818067,0.14999999,100,800,0.14999999,66271,8,6.804978592827512,4.3003936,82.83875,-1.8029553,84.80593586603136,-110.69288454984542,0.14999999,-110.69288454984542,6.2652497,0.14999999,-110.19230529764906,-0.53704494,13
-0.73908323,0.001,-0.3452845,0.20655403,0.14999999,100,900,0.14999999,71987,9,0.9336431352034497,4.3474765,79.98555555555555,-1.9785461,84.80593586603136,-105.56127625856085,0.14999999,-105.56127625856085,5.101706,0.14999999,-109.67774651552814,-0.54134536,13
-0.73957235,0.001,-0.3444506,0.2040656,0.14999999,100,1000,0.14999999,80873,10,15.01151207572282,3.3547366,80.873,-1.8577193,84.80593586603136,-113.44830770699939,0.14999999,-113.44830770699939,4.5577435,0.14999999,-110.05480263467526,-0.53699785,13
