InvPendulum_std3_higher,Iteration,StepSize,InvPendulum_std0_higher,NatGradInftyNorm,InvPendulum_mu3_higher,AvgEpLen,VarJ,NumTrajectories,InvPendulum_std2_higher,ActionIn1,InvPendulum_std1_higher,MinEpLen,InvPendulum_mu0_higher,InvPendulum_mu1_higher,BatchSize,NatGrad2Norm,AvgRet,ReturnMax,InvPendulum_mu2_higher,TimestepsSoFar,J,ReturnMean
0.14999999,1,2.0,0.14999999,2.3024366,-0.5202909,78.67,5.240870760127406,100,0.14999999,-1.6026189,0.14999999,15,-0.74931115,-0.3516885,100,3.6689935,-108.89924047406988,-43.64646492871437,0.21010771,7867,-108.89924047406988,-108.89924047406988
0.14999999,2,2.0,0.14999999,2.75809,-3.6477659,60.545,0.7888622558296717,200,0.14999999,-6.1869226,0.14999999,14,3.651706,-4.9565616,100,2.9670393,-100.75042539311067,-43.64646492871437,-1.658353,12109,-100.75042539311067,-104.8248329335903
0.14999999,3,2.0,0.14999999,2.901269,1.8684142,52.35,1.4078614677254202,300,0.14999999,-3.272263,0.14999999,13,4.3661366,-6.8431377,100,3.2307274,-129.38121507203365,-43.64646492871437,-2.5042071,15705,-129.38121507203365,-113.01029364640475
0.14999999,4,2.0,0.14999999,8.0646925,1.2890118,164.2625,1.0011565365468207,400,0.14999999,-8.126385,0.14999999,13,-1.4364014,-7.768936,100,10.641265,-488.525353187861,-43.64646492871437,0.12032056,65705,-488.525353187861,-206.88905853176882
0.14999999,5,2.0,0.14999999,1.347448,-14.840373,135.312,0.3618318513085299,500,0.14999999,-0.44623852,0.14999999,11,9.327313,-0.91405296,100,1.8782473,-105.85042219150753,-43.64646492871437,5.5922527,67656,-105.85042219150753,-186.68133126371657
0.14999999,6,2.0,0.14999999,2.4289467,-16.567106,116.18,0.1532121345326144,600,0.14999999,0.16283989,0.14999999,11,10.855116,-2.1521966,100,3.1512709,-106.24063058646881,-43.64646492871437,8.287148,69708,-106.24063058646881,-173.27454781750856
0.14999999,7,2.0,0.14999999,2.745032,-14.1958275,101.87142857142857,0.06686575666864086,700,0.14999999,7.426014,0.14999999,11,13.004084,2.7056968,100,3.4991946,-106.59307983442335,-43.64646492871437,5.86189,71310,-106.59307983442335,-163.748623819925
0.14999999,8,2.0,0.14999999,3.1478052,-19.685892,91.42125,0.24431687430079319,800,0.14999999,3.1570187,0.14999999,10,16.538113,0.25261235,100,4.7520065,-106.22366314940999,-43.64646492871437,6.4360547,73137,-106.22366314940999,-156.55800373611063
0.14999999,9,2.0,0.14999999,4.868081,-25.145884,83.10777777777778,0.0659106234393647,900,0.14999999,5.2025375,0.14999999,10,20.386795,6.5482225,100,5.495094,-106.76135077371215,-43.64646492871437,3.9727888,74797,-106.76135077371215,-151.02504229584412
0.14999999,10,2.0,0.14999999,2.6253068,-15.409721,76.262,0.03393076703513663,1000,0.14999999,10.618471,0.14999999,10,18.966074,8.155115,100,2.904712,-106.60460488637092,-43.64646492871437,-0.65223217,76262,-106.60460488637092,-146.58299855489682
0.14999999,11,2.0,0.14999999,1.689555,-15.18278,70.67454545454545,0.05014440030088608,1100,0.14999999,13.140573,0.14999999,10,24.216688,5.8311567,100,2.2081625,-107.18076104588731,-43.64646492871437,-1.5055642,77742,-107.18076104588731,-143.00097696316868
0.14999999,12,2.0,0.14999999,1.4896748,-11.80367,66.02833333333334,0.041279269502461455,1200,0.14999999,18.194155,0.14999999,10,22.42099,7.8410015,100,2.0153332,-107.04749674342298,-43.64646492871437,-0.59917957,79234,-107.04749674342298,-140.0048536115232
