InvPendulum_std3_higher,Iteration,StepSize,InvPendulum_std0_higher,NatGradInftyNorm,InvPendulum_mu3_higher,AvgEpLen,VarJ,NumTrajectories,InvPendulum_std2_higher,ActionIn1,InvPendulum_std1_higher,MinEpLen,InvPendulum_mu0_higher,InvPendulum_mu1_higher,BatchSize,NatGrad2Norm,AvgRet,ReturnMax,InvPendulum_mu2_higher,TimestepsSoFar,J,ReturnMean
0.14999999,13,2.0,0.14999999,2.791621,-10.419237,62.09923076923077,0.0658071007511439,1300,0.14999999,15.704955,0.14999999,10,23.793835,4.861652,100,2.832984,-107.5598529677512,-43.64646492871437,-2.4881995,80729,-107.5598529677512,-137.50908433123303
0.14999999,14,2.0,0.14999999,2.2505264,-16.00248,58.70357142857143,0.03532366947985559,1400,0.14999999,9.120846,0.14999999,10,23.032713,5.242623,100,2.6310852,-106.54372027855767,-43.64646492871437,-2.9422455,82185,-106.54372027855767,-135.2972726131848
0.14999999,15,2.0,0.14999999,2.1004915,-17.362862,55.79866666666667,0.06150527992404463,1500,0.14999999,1.5278072,0.14999999,10,18.53166,5.5564795,100,3.1952653,-107.0975089599008,-43.64646492871437,-5.283573,83698,-107.0975089599008,-133.41728836963253
0.14999999,16,2.0,0.14999999,1.5308107,-15.375804,53.24625,0.03929914348810759,1600,0.14999999,2.3904085,0.14999999,10,14.515211,9.7574625,100,1.8975936,-106.97898852103216,-43.64646492871437,-7.047195,85194,-106.97898852103216,-131.764894629095
0.14999999,17,2.0,0.14999999,2.331936,-14.670556,51.038823529411765,0.07825826350838995,1700,0.14999999,-1.1792879,0.14999999,10,15.709282,6.695841,100,3.1935651,-107.97300221809462,-43.64646492871437,-8.80979,86766,-107.97300221809462,-130.365371546095
0.14999999,18,2.0,0.14999999,1.975463,-19.334427,49.10055555555556,0.06514075622884888,1800,0.14999999,-12.60167,0.14999999,10,11.911441,4.7659087,100,3.1245363,-107.38643236914463,-43.64646492871437,-9.756097,88381,-107.38643236914463,-129.08876381404218
0.14999999,19,2.0,0.14999999,2.1336713,-23.285353,47.51157894736842,0.08057838103639992,1900,0.14999999,-24.327522,0.14999999,10,8.816406,1.7608247,100,2.295296,-107.46925785615176,-43.64646492871437,-11.9541235,90272,-107.46925785615176,-127.95089507941637
0.14999999,20,2.0,0.14999999,3.0838783,-19.01801,46.0125,0.0727606680134261,2000,0.14999999,-19.098988,0.14999999,10,9.730549,2.8456733,100,4.06446,-107.4831135605517,-43.64646492871437,-12.876494,92025,-107.4831135605517,-126.92750600347316
0.14999999,21,2.0,0.14999999,1.3091751,-15.1088085,44.60047619047619,0.09605762810538047,2100,0.14999999,-20.188549,0.14999999,10,3.5627923,5.9602795,100,2.0644865,-108.13885246629792,-43.64646492871437,-14.62449,93661,-108.13885246629792,-126.03280821598861
0.14999999,22,2.0,0.14999999,3.2280245,-15.564937,43.31727272727273,0.0971749841484968,2200,0.14999999,-19.011345,0.14999999,10,6.1051517,3.3419292,100,3.254381,-107.95619992870508,-43.64646492871437,-12.748053,95298,-107.95619992870508,-125.21114420293026
0.14999999,23,2.0,0.14999999,3.242766,-15.580168,42.170434782608694,0.09372998132136845,2300,0.14999999,-26.510418,0.14999999,10,6.028171,-3.1141198,100,3.40783,-107.90798777416212,-43.64646492871437,-13.571006,96992,-107.90798777416212,-124.4588330538534
0.14999999,24,2.0,0.14999999,1.8523834,-14.639002,41.2025,0.25772881974632805,2400,0.14999999,-19.764786,0.14999999,10,6.721345,-4.8533187,100,2.386459,-106.45032971889098,-43.64646492871437,-7.085474,98886,-106.45032971889098,-123.70847874822995
0.14999999,25,2.0,0.14999999,1.1878283,-10.934235,40.6572,0.8219492687055605,2500,0.14999999,-18.613255,0.14999999,10,5.618463,-7.157335,100,1.8586357,-105.49877923392881,-43.64646492871437,-5.4946837,101643,-105.49877923392881,-122.98009076765791
0.14999999,26,2.0,0.14999999,0.99863726,-9.519268,40.05230769230769,0.2887687012202256,2600,0.14999999,-10.796159,0.14999999,10,7.9941196,-6.0738025,100,1.2568194,-105.20418162265338,-43.64646492871437,-3.2590206,104136,-105.20418162265338,-122.29640195438851
0.14999999,27,2.0,0.14999999,4.599925,-10.185601,39.36185185185185,0.4487425583800785,2700,0.14999999,-13.02335,0.14999999,10,7.195832,-4.9566584,100,5.270071,-105.50575913118331,-43.64646492871437,-5.256295,106277,-105.50575913118331,-121.67452629426981
0.14999999,28,2.0,0.14999999,2.2918327,-0.98575115,38.63357142857143,0.40023480930409483,2800,0.14999999,3.3979578,0.14999999,10,8.55815,-3.3535855,100,2.649014,-111.62525248660346,-43.64646492871437,-0.5625124,108174,-111.62525248660346,-121.31562365828171
0.14999999,29,2.0,0.14999999,3.5904036,-0.8934371,37.966206896551725,0.3955487948388762,2900,0.14999999,9.293339,0.14999999,10,13.141815,-4.9572163,100,4.518607,-112.47679000356025,-43.64646492871437,1.5538421,110102,-112.47679000356025,-121.01083629087753
0.14999999,30,2.0,0.14999999,2.471694,1.022433,37.46933333333333,0.2306608671944128,3000,0.14999999,5.670466,0.14999999,10,5.961008,-7.4629107,100,3.1771307,-117.52762139400095,-43.64646492871437,6.043628,112408,-117.52762139400095,-120.8947291276483
0.14999999,31,2.0,0.14999999,2.4304307,2.305944,36.95903225806452,0.8187561400827689,3100,0.14999999,12.449318,0.14999999,10,10.904396,-4.528648,100,3.2071037,-115.53997955104961,-43.64646492871437,3.6598792,114573,-115.53997955104961,-120.72199527033868
0.14999999,32,2.0,0.14999999,4.0501237,2.539763,36.6309375,2.2279026197133285,3200,0.14999999,4.413782,0.14999999,10,6.73641,-4.2331734,100,4.260871,-122.45570470398408,-43.64646492871437,-1.2009821,117219,-122.45570470398408,-120.7761736901401
0.14999999,33,2.0,0.14999999,9.662476,1.1102298,50.67242424242424,1.5722562855632964,3300,0.14999999,-2.6536496,0.14999999,10,-1.3638372,-2.9158876,100,13.6675005,-485.6137877161098,-43.64646492871437,0.5954777,167219,-485.6137877161098,-131.83185896365433
0.14999999,34,2.0,0.14999999,1.5656706,18.748098,49.7464705882353,0.32699839732627045,3400,0.14999999,44.211876,0.14999999,10,1.3021951,16.409063,100,1.7022796,-113.09765260270147,-43.64646492871437,8.048425,169138,-113.09765260270147,-131.28085289421455
0.14999999,35,2.0,0.14999999,2.928555,18.059969,48.880857142857145,0.34645226807386964,3500,0.14999999,42.082436,0.14999999,10,2.0626824,13.277722,100,3.3123443,-113.23773264690516,-43.64646492871437,8.905082,171083,-113.23773264690516,-130.76533517286285
0.14999999,36,2.0,0.14999999,3.4755104,12.202859,48.0025,0.18430862534037476,3600,0.14999999,40.350353,0.14999999,10,3.8881779,12.98649,100,3.6713655,-109.26012523873756,-43.64646492871437,11.387724,172809,-109.26012523873756,-130.16796823024825
0.14999999,37,2.0,0.14999999,0.78805125,5.251838,47.1472972972973,0.09520129192744196,3700,0.14999999,31.273577,0.14999999,10,4.093646,10.630518,100,1.2530882,-108.67359336626129,-43.64646492871437,11.309071,174445,-108.67359336626129,-129.58703917987023
0.14999999,38,2.0,0.14999999,5.210136,4.50046,46.335,0.09506334277550564,3800,0.14999999,32.043232,0.14999999,10,5.5283747,12.20662,100,5.449711,-107.98056074945805,-43.64646492871437,10.225647,176073,-107.98056074945805,-129.0184476422278
0.14999999,39,2.0,0.14999999,2.0899367,1.381207,45.564358974358974,0.08311435611626018,3900,0.14999999,39.906918,0.14999999,10,4.909685,12.527246,100,3.0512357,-107.68283070189509,-43.64646492871437,20.64592,177701,-107.68283070189509,-128.47138054119364
0.14999999,40,2.0,0.14999999,4.120932,0.43892914,44.84,0.09511865424586224,4000,0.14999999,41.07915,0.14999999,10,9.089559,14.607965,100,4.324156,-108.32690103072876,-43.64646492871437,16.831272,179360,-108.32690103072876,-127.96776855343201
0.14999999,41,2.0,0.14999999,1.6717073,-0.0070614815,44.134878048780486,0.07282240654375176,4100,0.14999999,28.801458,0.14999999,10,7.8655887,12.33465,100,2.5379598,-107.20939180076792,-43.64646492871437,8.589408,180953,-107.20939180076792,-127.46146668141581
0.14999999,42,2.0,0.14999999,2.7982488,3.336353,43.458333333333336,0.08328664267584536,4200,0.14999999,37.942696,0.14999999,10,11.191246,14.212299,100,3.2384636,-107.45082589719357,-43.64646492871437,8.620624,182525,-107.45082589719357,-126.98502285322003
0.14999999,43,2.0,0.14999999,1.559751,4.717296,42.84162790697675,0.09570407214875304,4300,0.14999999,41.419033,0.14999999,10,8.249277,13.952265,100,2.0530388,-108.28871574880768,-43.64646492871437,14.217121,184219,-108.28871574880768,-126.55022501358253
0.14999999,44,2.0,0.14999999,0.6856155,7.836798,42.24818181818182,0.08006232751309802,4400,0.14999999,43.3381,0.14999999,10,7.183346,12.286502,100,0.99698496,-108.14396211359227,-43.64646492871437,16.01089,185892,-108.14396211359227,-126.13190085676456
0.14999999,45,2.0,0.14999999,0.6803237,9.174105,41.67688888888889,0.08446488847457195,4500,0.14999999,46.287292,0.14999999,10,8.554577,12.69318,100,0.97414464,-108.09609828055903,-43.64646492871437,16.38754,187546,-108.09609828055903,-125.73110524396003
0.14999999,46,2.0,0.14999999,3.516305,8.26847,41.12173913043478,0.07549481764577824,4600,0.14999999,45.998302,0.14999999,10,7.9301915,14.053827,100,4.509183,-108.11694058895604,-43.64646492871437,15.530547,189160,-108.11694058895604,-125.34818862102516
0.14999999,47,2.0,0.14999999,0.45936248,2.8864746,40.58085106382979,0.08611670643402196,4700,0.14999999,45.6263,0.14999999,10,7.2599554,21.086437,100,0.51542413,-108.02600909999983,-43.64646492871437,13.962673,190730,-108.02600909999983,-124.9796316099395
0.14999999,48,2.0,0.14999999,3.5967379,2.4372125,40.07541666666667,0.08518141394588769,4800,0.14999999,44.003727,0.14999999,10,7.3804283,21.039083,100,4.6598067,-108.27252893870458,-43.64646492871437,13.043948,192362,-108.27252893870458,-124.63156697095542
0.14999999,49,2.0,0.14999999,4.3754263,2.785039,39.586122448979594,0.08518247512803655,4900,0.14999999,29.085981,0.14999999,10,2.5126553,13.845608,100,4.793322,-107.86725910923782,-43.64646492871437,9.683458,193972,-107.86725910923782,-124.28943823908364
0.14999999,50,2.0,0.14999999,3.1893291,-0.44292736,39.12,0.07507908570034029,5000,0.14999999,30.707241,0.14999999,10,0.7065929,12.563154,100,4.0996275,-107.91426283734161,-43.64646492871437,18.43431,195600,-107.91426283734161,-123.96193473104881
