InvPendulum_std2_higher,ReturnMax,J,ReturnMean,ActionIn1,NatGrad2Norm,InvPendulum_mu2_higher,InvPendulum_mu3_higher,VarJ,BatchSize,InvPendulum_std3_higher,Iteration,InvPendulum_std0_higher,AvgRet,TimestepsSoFar,NatGradInftyNorm,MinEpLen,AvgEpLen,InvPendulum_mu0_higher,StepSize,InvPendulum_mu1_higher,NumTrajectories,InvPendulum_std1_higher
0.14999999,-112.92435437602366,-240.7315883439512,-240.7315883439512,-1.2503288,21.570786,-0.3480244,0.32162514,191.9498748370405,100,0.14999999,1,0.14999999,-240.7315883439512,18083,21.00378,19,180.83,-0.22476089,0.1,-0.85142165,100,0.14999999
0.14999999,-103.38079335382693,-108.24417418726729,-174.48788126560925,-3.025508,2.1173067,-2.4484024,0.28171116,0.07990136184376971,100,0.14999999,2,0.14999999,-108.24417418726729,19733,1.5565608,10,98.665,0.22532427,0.1,-1.0443733,200,0.14999999
0.14999999,-102.49719144381781,-107.82593185878945,-152.26723146333597,-3.3503556,2.6818824,-2.56513,0.24416167,0.08962577592011992,100,0.14999999,3,0.14999999,-107.82593185878945,21374,2.362995,10,71.24666666666667,0.15072036,0.1,-1.2000294,300,0.14999999
0.14999999,-101.9649561866502,-107.63817180184547,-141.10996654796335,-3.5128374,4.149914,-2.8014295,0.2066454,0.0723647228484033,100,0.14999999,4,0.14999999,-107.63817180184547,22947,2.533791,10,57.3675,0.25878367,0.1,-1.2548229,400,0.14999999
0.14999999,-101.9649561866502,-108.19714343284991,-134.52740192494068,-3.523678,4.9678354,-3.0548086,0.4329496,0.08095865573897416,100,0.14999999,5,0.14999999,-108.19714343284991,24576,3.84816,10,49.152,0.3563185,0.1,-1.472286,500,0.14999999
0.14999999,-101.9649561866502,-108.34776826732312,-130.16412964867106,-3.6053505,4.981157,-3.0012784,0.13066742,0.0877121625552755,100,0.14999999,6,0.14999999,-108.34776826732312,26232,4.179384,10,43.72,0.28945637,0.1,-1.0874699,600,0.14999999
0.14999999,-101.9649561866502,-107.85634022544872,-126.97730258821073,-2.8336663,4.624409,-2.9737601,0.24148372,0.08138194000052223,100,0.14999999,7,0.14999999,-107.85634022544872,27829,3.0023315,10,39.755714285714284,0.5352392,0.1,-0.66953146,700,0.14999999
0.14999999,-101.9649561866502,-108.2643744497928,-124.63818657090849,-2.958405,4.5601497,-3.0026581,0.42694622,0.08562699378402838,100,0.14999999,8,0.14999999,-108.2643744497928,29473,3.6068792,10,36.84125,0.23778293,0.1,-0.9697646,800,0.14999999
0.14999999,-101.9649561866502,-107.7105526578828,-122.75733835835008,-3.625183,1.93441,-3.0343332,0.15212771,0.07995004899717964,100,0.14999999,9,0.14999999,-107.7105526578828,31085,1.6120728,10,34.53888888888889,-0.122905016,0.1,-0.9333591,900,0.14999999
0.14999999,-101.9649561866502,-108.23642332980982,-121.30524685549607,-3.2428038,2.8214357,-3.0898404,0.24307117,0.07635617047540222,100,0.14999999,10,0.14999999,-108.23642332980982,32700,2.7017472,10,32.7,0.038302273,0.1,-0.9244218,1000,0.14999999
