NumTrajectories,Iteration,InvPendulum_mu0_higher,TimestepsSoFar,InvPendulum_mu3_higher,VarJ,StepSize,InvPendulum_mu2_higher,InvPendulum_std3_higher,ReturnMax,NatGrad2Norm,AvgEpLen,MinEpLen,BatchSize,AvgRet,InvPendulum_std2_higher,NatGradInftyNorm,InvPendulum_std1_higher,ActionIn1,InvPendulum_std0_higher,ReturnMean,J,InvPendulum_mu1_higher
1500,15,8.403582,86537,-9.73078,0.045504683195032404,1.0,-2.8203382,0.14999999,-43.64646492871437,3.24253,57.69133333333333,10,100,-106.74464784830913,0.14999999,2.1004605,0.14999999,-1.0748148,0.14999999,-134.48801643111608,-106.74464784830913,2.9866192
1600,16,6.333192,88037,-8.690992,0.05528738674636245,1.0,-3.677308,0.14999999,-43.64646492871437,1.9298792,55.023125,10,100,-107.09409730009152,0.14999999,1.5542628,0.14999999,-0.40729523,0.14999999,-132.77589648542704,-107.09409730009152,5.08708
1700,17,6.9121485,89589,-8.305811,0.06833365955422914,1.0,-4.585684,0.14999999,-43.64646492871437,3.2050896,52.699411764705886,10,100,-107.48930480215157,0.14999999,2.342661,0.14999999,-2.5505934,0.14999999,-131.2884499158226,-107.48930480215157,3.5328174
1800,18,4.9505234,91221,-10.648472,0.06788533456053368,1.0,-4.9508066,0.14999999,-43.64646492871437,3.0848312,50.678333333333335,10,100,-107.09634505088994,0.14999999,1.8976325,0.14999999,-8.200678,0.14999999,-129.94444408999303,-107.09634505088994,2.6365745
1900,19,3.3327231,93023,-12.546104,0.10518788491863271,1.0,-6.0783243,0.14999999,-43.64646492871437,2.314571,48.95947368421053,10,100,-107.15937474513471,0.14999999,2.1463675,0.14999999,-13.743996,0.14999999,-128.74522991394784,-107.15937474513471,1.212987
2000,20,3.757808,94734,-10.399736,0.08255296168789047,1.0,-6.491729,0.14999999,-43.64646492871437,4.060553,47.367,10,100,-107.76548457692773,0.14999999,3.1002932,0.14999999,-11.069914,0.14999999,-127.69624264709684,-107.76548457692773,1.844449
2100,21,0.6575148,96468,-8.437917,0.09937706210706439,1.0,-7.33205,0.14999999,-43.64646492871437,2.0902526,45.93714285714286,10,100,-108.19840836244471,0.14999999,1.3399035,0.14999999,-11.722712,0.14999999,-126.76777434782768,-108.19840836244471,3.3680623
2200,22,1.9961764,98111,-8.639229,0.10666659049322508,1.0,-6.4710774,0.14999999,-43.64646492871437,3.2832427,44.59590909090909,10,100,-108.2057210936912,0.14999999,3.2490885,0.14999999,-11.231407,0.14999999,-125.92404465445783,-108.2057210936912,2.0281587
2300,23,1.9127175,99740,-8.642733,0.065212328023333,1.0,-6.9359746,0.14999999,-43.64646492871437,3.4433668,43.36521739130435,10,100,-107.75919559795759,0.14999999,3.2867634,0.14999999,-15.160215,0.14999999,-125.13426860852303,-107.75919559795759,-1.2209299
2400,24,2.2018585,101989,-8.286474,0.30634345807116903,1.0,-3.6492112,0.14999999,-43.64646492871437,2.2895737,42.495416666666664,10,100,-106.0513903584914,0.14999999,1.7980393,0.14999999,-11.781483,0.14999999,-124.33914868143839,-106.0513903584914,-2.139319
2500,25,1.7657379,104592,-6.488435,0.49747085160482135,1.0,-2.7513878,0.14999999,-43.64646492871437,1.7528604,41.8368,10,100,-104.90863013784806,0.14999999,1.2600763,0.14999999,-11.265305,0.14999999,-123.5619279396948,-104.90863013784806,-3.1457553
2600,26,3.025814,106939,-5.92278,0.3941600756732539,1.0,-1.9019301,0.14999999,-43.64646492871437,1.2195047,41.130384615384614,10,100,-105.57813245901656,0.14999999,0.8612336,0.14999999,-7.2171187,0.14999999,-122.87024349813025,-105.57813245901656,-2.4800348
2700,27,2.4493554,109204,-6.2257743,0.3274049125226683,1.0,-2.7631636,0.14999999,-43.64646492871437,5.1141834,40.44592592592593,10,100,-106.25164801876905,0.14999999,4.483429,0.14999999,-8.273359,0.14999999,-122.2547399618576,-106.25164801876905,-1.91315
2800,28,3.1763444,111871,-1.7423453,0.4485149615065314,1.0,-0.48505044,0.14999999,-43.64646492871437,2.2976475,39.95392857142857,10,100,-104.23505324218752,0.14999999,1.8776917,0.14999999,-0.6433853,0.14999999,-121.61117972186938,-104.23505324218752,-1.3339901
2900,29,5.054036,114269,-1.5027652,0.4147510728410668,1.0,0.58611655,0.14999999,-43.64646492871437,4.039778,39.403103448275864,10,100,-108.48974498010826,0.14999999,3.3477466,0.14999999,2.5110166,0.14999999,-121.15871645491211,-108.48974498010826,-2.0747056
3000,30,1.7062895,116725,-0.79307055,0.20729664997814579,1.0,2.4701152,0.14999999,-43.64646492871437,3.1448011,38.90833333333333,10,100,-117.59994455545275,0.14999999,2.4577508,0.14999999,0.38572013,0.14999999,-121.04009072493012,-117.59994455545275,-3.1039214
3100,31,4.1640406,118585,-0.27456576,0.30264856941939566,1.0,1.3161473,0.14999999,-43.64646492871437,2.6991258,38.25322580645161,10,100,-110.18460837109946,0.14999999,2.2284257,0.14999999,3.709029,0.14999999,-120.68991387480656,-110.18460837109946,-1.6043394
3200,32,2.6613011,120434,-0.10957064,0.33817280814124856,1.0,-0.9122784,0.14999999,-43.64646492871437,3.653628,37.635625,10,100,-109.82717772300857,0.14999999,3.4172676,0.14999999,0.79113233,0.14999999,-120.35045337006287,-109.82717772300857,-1.4200842
3300,33,-0.7559664,124482,-1.1196231,0.6106779647953996,1.0,-0.40508264,0.14999999,-43.64646492871437,2.9767215,37.72181818181818,10,100,-102.82096001091361,0.14999999,2.0870965,0.14999999,-3.1528323,0.14999999,-119.81925660160381,-102.82096001091361,-0.7925276
3400,34,-0.62332714,126458,0.9674734,0.34786322611182713,1.0,0.75776917,0.14999999,-43.64646492871437,1.5602212,37.19352941176471,10,100,-111.62346054121892,0.14999999,1.2749572,0.14999999,1.7840986,0.14999999,-119.57820377629835,-111.62346054121892,0.9780887
3500,35,-0.17926902,128344,0.4275115,0.09566658898385798,1.0,1.3234794,0.14999999,-43.64646492871437,3.2657187,36.669714285714285,10,100,-110.63384934352021,0.14999999,2.800173,0.14999999,1.0518316,0.14999999,-119.32265079250469,-110.63384934352021,-0.2968685
3600,36,0.8842805,130046,-2.3726616,0.10214020540483867,1.0,2.62397,0.14999999,-43.64646492871437,3.5846455,36.12388888888889,10,100,-107.763636575477,0.14999999,3.4154027,0.14999999,0.6846428,0.14999999,-119.00156706425393,-107.763636575477,-0.33604997
3700,37,0.96749663,132476,-5.788064,0.2639555083558337,1.0,2.570708,0.14999999,-43.64646492871437,1.2289072,35.80432432432433,10,100,-104.8906479859531,0.14999999,0.8618034,0.14999999,-3.6813545,0.14999999,-118.6201908729485,-104.8906479859531,-1.4199991
3800,38,1.8293,134734,-6.2051783,0.28973634351120675,1.0,2.085087,0.14999999,-43.64646492871437,5.466312,35.456315789473685,10,100,-106.3173804073506,0.14999999,5.221317,0.14999999,-3.5305839,0.14999999,-118.29643270280117,-106.3173804073506,-0.8219224
3900,39,1.534936,136478,-7.7833314,0.10501225805540444,1.0,7.306404,0.14999999,-43.64646492871437,3.0651417,34.994358974358974,10,100,-107.92839155725675,0.14999999,2.0893607,0.14999999,0.881917,0.14999999,-118.03058549394108,-107.92839155725675,-0.6189471
4000,40,3.6242967,138296,-8.295252,0.0765909444449296,1.0,5.3951025,0.14999999,-43.64646492871437,4.257222,34.574,10,100,-106.7647010458283,0.14999999,4.0990863,0.14999999,1.2723398,0.14999999,-117.74893838273826,-106.7647010458283,0.43676585
4100,41,3.1360955,140435,-8.534126,0.2369427698321406,1.0,1.2960162,0.14999999,-43.64646492871437,2.547683,34.25243902439024,10,100,-105.73440716860914,0.14999999,1.7089825,0.14999999,-4.6593075,0.14999999,-117.45590103605218,-105.73440716860914,-0.576165
4200,42,4.7663255,142474,-6.825144,0.2033092422025353,1.0,1.3585572,0.14999999,-43.64646492871437,3.1588168,33.922380952380955,10,100,-105.35547962694187,0.14999999,2.7655158,0.14999999,0.25890446,0.14999999,-117.16779576440669,-105.35547962694187,0.37699097
4300,43,3.4020476,144253,-6.143301,0.07226246561452836,1.0,4.124073,0.14999999,-43.64646492871437,2.0492158,33.547209302325584,10,100,-107.14159397836767,0.14999999,1.59485,0.14999999,1.9805784,0.14999999,-116.93462828101045,-107.14159397836767,0.31468698
4400,44,2.7886515,145948,-4.548451,0.11022342825983188,1.0,4.9404187,0.14999999,-43.64646492871437,1.0785966,33.17,10,100,-107.78839428669836,0.14999999,0.7603786,0.14999999,2.7328873,0.14999999,-116.72675932659425,-107.78839428669836,-0.46829674
4500,45,3.54903,147622,-3.8513708,0.06707323900721106,1.0,5.192922,0.14999999,-43.64646492871437,1.0550433,32.80488888888889,10,100,-107.42892421010185,0.14999999,0.7551369,0.14999999,4.088629,0.14999999,-116.52014076844999,-107.42892421010185,-0.27983922
4600,46,3.2249737,149307,-4.3591146,0.07252831061958155,1.0,4.768577,0.14999999,-43.64646492871437,4.5131397,32.45804347826087,10,100,-107.87299801519444,0.14999999,3.5797274,0.14999999,4.324998,0.14999999,-116.33215940424878,-107.87299801519444,0.4752977
4700,47,2.9075503,150880,-7.01221,0.04371469758703633,1.0,4.124908,0.14999999,-43.64646492871437,0.5267034,32.10212765957447,10,100,-106.99071411266601,0.14999999,0.4365682,0.14999999,4.5060315,0.14999999,-116.1334052491087,-106.99071411266601,4.055025
4800,48,3.0736349,152495,-7.2550397,0.03988570948894458,1.0,3.6883397,0.14999999,-43.64646492871437,4.5996704,31.769791666666666,10,100,-106.70579144259338,0.14999999,3.5340698,0.14999999,3.681573,0.14999999,-115.93699662813965,-106.70579144259338,4.071586
4900,49,0.68283534,154464,-6.9598074,0.06772787750635632,1.0,1.9959346,0.14999999,-43.64646492871437,4.7230954,31.52326530612245,10,100,-106.23646805843667,0.14999999,4.3049297,0.14999999,-3.4842997,0.14999999,-115.73902665732936,-106.23646805843667,0.53751636
5000,50,-0.17491126,156370,-8.607746,0.11751258028259126,1.0,6.300864,0.14999999,-43.64646492871437,4.121521,31.274,10,100,-106.92580488789676,0.14999999,3.2516282,0.14999999,-3.0671835,0.14999999,-115.56276222194074,-106.92580488789676,-0.031502247
