NatGrad2Norm,VarJ,InvPendulum_mu2_higher,AvgEpLen,Iteration,InvPendulum_mu0_higher,ReturnMax,InvPendulum_std3_higher,ReturnMean,InvPendulum_mu3_higher,NatGradInftyNorm,MinEpLen,InvPendulum_std2_higher,StepSize,AvgRet,NumTrajectories,J,BatchSize,InvPendulum_std1_higher,InvPendulum_mu1_higher,InvPendulum_std0_higher,ActionIn1,TimestepsSoFar
2.4549313,0.8844233455683249,0.561099,29.16,1,0.278299,-97.60241650347758,0.14999999,-119.68763207232995,-0.24478999,2.2294436,13,0.14999999,0.0001,-119.68763207232995,100,-119.68763207232995,100,0.14999999,-0.74013203,0.14999999,-0.3919974,2916
1.6487826,0.8057528791213966,0.5611064,28.81,2,0.27838382,-96.064964559515,0.14999999,-118.90635183410555,-0.24484757,1.330119,12,0.14999999,0.0001,-118.12507159588117,200,-118.12507159588117,100,0.14999999,-0.7399091,0.14999999,0.6730067,5762
4.5953493,0.696798755552772,0.56097335,28.74,3,0.27839008,-96.064964559515,0.14999999,-118.8770846555295,-0.24483682,2.9359803,12,0.14999999,0.0001,-118.81855029837739,300,-118.81855029837739,100,0.14999999,-0.74000573,0.14999999,-0.06943381,8622
4.642312,1.7097326675390472,0.56115717,28.98,4,0.27827153,-96.064964559515,0.14999999,-119.23221571461073,-0.24455911,4.217109,12,0.14999999,0.0001,-120.29760889185447,400,-120.29760889185447,100,0.14999999,-0.7397121,0.14999999,0.20650281,11592
2.9771,0.5567101127749174,0.56100386,28.734,5,0.27832562,-96.064964559515,0.14999999,-118.88188961622762,-0.24466516,2.5437176,12,0.14999999,0.0001,-117.48058522269508,500,-117.48058522269508,100,0.14999999,-0.7392904,0.14999999,-0.17032434,14367
2.8513381,1.1755976236516583,0.56101114,28.825,6,0.27830148,-94.52967314243058,0.14999999,-119.02036800618981,-0.24451254,2.4721353,12,0.14999999,0.0001,-119.7127599560009,600,-119.7127599560009,100,0.14999999,-0.7395448,0.14999999,-0.24515352,17295
4.8808446,1.0118909642109524,0.56091833,28.967142857142857,7,0.2785487,-86.74396817723658,0.14999999,-119.14694000447597,-0.24450608,4.4955,12,0.14999999,0.0001,-119.90637199419284,700,-119.90637199419284,100,0.14999999,-0.7394374,0.14999999,-0.26550084,20277
4.228871,0.7610674456600399,0.56098044,29.04375,8,0.2787026,-86.74396817723658,0.14999999,-119.39549644816547,-0.24495563,3.4973536,12,0.14999999,0.0001,-121.13539155399201,800,-121.13539155399201,100,0.14999999,-0.7393447,0.14999999,-0.050059065,23235
4.1958685,3.524996777734918,0.56099904,29.238888888888887,9,0.27869266,-86.74396817723658,0.14999999,-119.43945691179938,-0.24519242,2.912955,12,0.14999999,0.0001,-119.7911406208707,900,-119.7911406208707,100,0.14999999,-0.73899496,0.14999999,-0.010887191,26315
1.970212,0.7556970641087293,0.5610862,29.177,10,0.27898395,-86.74396817723658,0.14999999,-119.35874366629447,-0.24545315,1.4611505,12,0.14999999,0.0001,-118.63232445675017,1000,-118.63232445675017,100,0.14999999,-0.73911995,0.14999999,-0.44250748,29177
1.6876023,1.0756059393381185,0.5610052,29.166363636363638,11,0.27913007,-86.74396817723658,0.14999999,-119.29799366284377,-0.24552758,1.2958742,12,0.14999999,0.0001,-118.69049362833681,1100,-118.69049362833681,100,0.14999999,-0.7391932,0.14999999,-0.693869,32083
3.0489297,1.1083346530343348,0.5610133,29.163333333333334,12,0.2790005,-86.74396817723658,0.14999999,-119.34474478078153,-0.24541993,2.571579,12,0.14999999,0.0001,-119.85900707809678,1200,-119.85900707809678,100,0.14999999,-0.7391873,0.14999999,0.13759169,34996
2.6868863,0.9610257357881501,0.56086946,29.198461538461537,13,0.2790779,-86.74396817723658,0.14999999,-119.3469802819753,-0.24540743,1.80853,12,0.14999999,0.0001,-119.37380629630083,1300,-119.37380629630083,100,0.14999999,-0.73893017,0.14999999,-0.75669396,37958
2.1495996,1.2027578543770585,0.56096333,29.240714285714287,14,0.27889705,-86.74396817723658,0.14999999,-119.43841013911408,-0.24529111,1.9312271,12,0.14999999,0.0001,-120.6269982819179,1400,-120.6269982819179,100,0.14999999,-0.7387993,0.14999999,0.10381119,40937
3.0952897,0.9309231689818107,0.5609584,29.286,15,0.27899113,-86.74396817723658,0.14999999,-119.40252498731242,-0.24548423,2.5071554,12,0.14999999,0.0001,-118.90013286208941,1500,-118.90013286208941,100,0.14999999,-0.73879355,0.14999999,-0.2677911,43929
4.3683367,0.7293739677428994,0.5609496,29.266875,16,0.27924186,-86.74396817723658,0.14999999,-119.42923643589631,-0.24544995,3.0945542,12,0.14999999,0.0001,-119.82990816465482,1600,-119.82990816465482,100,0.14999999,-0.7389716,0.14999999,-0.12948067,46827
6.3363314,0.8394458336006819,0.56112283,29.246470588235294,17,0.27955133,-86.74396817723658,0.14999999,-119.50641311207036,-0.24566725,4.5891156,12,0.14999999,0.0001,-120.74123993085516,1700,-120.74123993085516,100,0.14999999,-0.73910517,0.14999999,0.14563853,49719
4.577417,0.659964200432212,0.56101036,29.245555555555555,18,0.27978557,-86.74396817723658,0.14999999,-119.49115431873525,-0.2460185,3.7119317,12,0.14999999,0.0001,-119.23175483203845,1800,-119.23175483203845,100,0.14999999,-0.73864627,0.14999999,0.07485968,52642
1.850678,0.9570229954625898,0.56063914,29.28684210526316,19,0.28001353,-86.74396817723658,0.14999999,-119.43708262715835,-0.2461529,1.3368176,12,0.14999999,0.0001,-118.46379217877372,1900,-118.46379217877372,100,0.14999999,-0.7386049,0.14999999,-0.38245866,55645
5.501907,0.669200388602688,0.56077284,29.3445,20,0.27993032,-86.74396817723658,0.14999999,-119.43719410560577,-0.24606405,3.3115206,12,0.14999999,0.0001,-119.43931219610687,2000,-119.43931219610687,100,0.14999999,-0.7385654,0.14999999,-0.5339572,58689
2.8283217,1.0323620892799519,0.561104,29.36047619047619,21,0.28020594,-86.74396817723658,0.14999999,-119.44918490108975,-0.24574569,2.341209,12,0.14999999,0.0001,-119.68900081076927,2100,-119.68900081076927,100,0.14999999,-0.73844,0.14999999,-0.22654766,61657
2.2341838,0.7476894633835574,0.5611098,29.368181818181817,22,0.28026736,-86.22999829693622,0.14999999,-119.40324813597137,-0.24597982,1.9307646,12,0.14999999,0.0001,-118.43857606848562,2200,-118.43857606848562,100,0.14999999,-0.73829377,0.14999999,-0.22596672,64610
3.2334037,0.9538473546948206,0.5611042,29.35913043478261,23,0.28016743,-78.84007062967783,0.14999999,-119.3572526915174,-0.24592862,2.173688,12,0.14999999,0.0001,-118.34535291353014,2300,-118.34535291353014,100,0.14999999,-0.7381007,0.14999999,0.01214397,67526
2.7980974,0.6980307389851064,0.56132156,29.372083333333332,24,0.28006747,-78.84007062967783,0.14999999,-119.38643747687031,-0.24580294,2.2066872,12,0.14999999,0.0001,-120.05768753998689,2400,-120.05768753998689,100,0.14999999,-0.7379232,0.14999999,-0.61192477,70493
