InvPendulum_mu3_higher,ReturnMax,InvPendulum_std2_higher,InvPendulum_std1_higher,InvPendulum_mu2_higher,InvPendulum_std0_higher,StepSize,NumTrajectories,InvPendulum_mu0_higher,ActionIn1,AvgRet,MinEpLen,ReturnMean,BatchSize,NatGradInftyNorm,Iteration,TimestepsSoFar,InvPendulum_std3_higher,AvgEpLen,J,InvPendulum_mu1_higher,VarJ,NatGrad2Norm
0.32162514,-112.92435437602366,0.14999999,0.14999999,-0.3480244,0.14999999,0.001,100,-0.22476089,-1.2503288,-240.7315883439512,19,-240.7315883439512,100,21.00378,1,18083,0.14999999,180.83,-240.7315883439512,-0.85142165,191.9498748370405,21.570786
0.321226,-111.06856561444481,0.14999999,0.14999999,-0.36902818,0.14999999,0.001,200,-0.22026004,-1.161181,-231.45706749261421,18,-236.09432791828277,100,17.31436,2,34996,0.14999999,174.98,-231.45706749261421,-0.8533512,193.84665284668662,18.55116
0.3237133,-109.2770249196151,0.14999999,0.14999999,-0.38634256,0.14999999,0.001,300,-0.21408609,-1.1103773,-228.7060873417204,16,-233.6315810594286,100,21.910362,3,51005,0.14999999,170.01666666666668,-228.7060873417204,-0.8535837,194.7946140530322,23.251524
0.32268026,-107.63906314752613,0.14999999,0.14999999,-0.40825292,0.14999999,0.001,400,-0.20637302,-1.0674387,-197.96924228383847,14,-224.7159963655311,100,15.342752,4,64332,0.14999999,160.83,-197.96924228383847,-0.85347927,136.61366775656904,20.693748
0.33163846,-106.46437404004172,0.14999999,0.14999999,-0.42359567,0.14999999,0.001,500,-0.19620498,-0.93052495,-172.10978130225737,14,-214.19475335287635,100,7.805827,5,73399,0.14999999,146.798,-172.10978130225737,-0.8565113,83.47640754621708,11.599068
0.32692504,-106.46437404004172,0.14999999,0.14999999,-0.4314015,0.14999999,0.001,600,-0.19531576,-1.085916,-180.0682209297986,14,-208.50699794903005,100,9.347345,6,84243,0.14999999,140.405,-180.0682209297986,-0.8493979,99.88620556780423,14.374724
0.3282039,-106.46437404004172,0.14999999,0.14999999,-0.43907988,0.14999999,0.001,700,-0.18596841,-1.1056805,-178.92850209357258,14,-204.28149854110754,100,13.505388,7,94468,0.14999999,134.9542857142857,-178.92850209357258,-0.84173846,113.97371738532021,14.562599
0.332707,-104.92823269391862,0.14999999,0.14999999,-0.45258528,0.14999999,0.001,800,-0.18639486,-0.8017584,-161.8110019278669,12,-198.9726864644525,100,6.719596,8,102366,0.14999999,127.9575,-161.8110019278669,-0.8447739,60.4066732085863,8.363191
0.3283123,-104.92823269391862,0.14999999,0.14999999,-0.45930487,0.14999999,0.001,900,-0.18645653,-0.84659684,-157.2628703674344,12,-194.33826245367268,100,6.798507,9,110023,0.14999999,122.24777777777778,-157.2628703674344,-0.8424344,34.97637408306543,8.606385
0.329675,-104.92823269391862,0.14999999,0.14999999,-0.46438605,0.14999999,0.001,1000,-0.17965803,-0.66713667,-152.0327952597718,12,-190.10771573428264,100,3.8813202,10,116668,0.14999999,116.668,-152.0327952597718,-0.84285253,45.82511058638729,6.5111656
0.3328388,-104.92823269391862,0.14999999,0.14999999,-0.46826738,0.14999999,0.001,1100,-0.17636952,-1.1609569,-160.04578261371898,12,-187.37481272332226,100,7.667676,11,124355,0.14999999,113.05,-160.04578261371898,-0.84030175,79.63096348937621,9.335612
0.3293968,-104.29957507885977,0.14999999,0.14999999,-0.47593507,0.14999999,0.001,1200,-0.17265241,-0.92014223,-165.72567414569392,12,-185.57071784185322,100,10.603909,12,132767,0.14999999,110.63916666666667,-165.72567414569392,-0.83865976,91.95334658299394,12.032135
0.3289318,-104.29957507885977,0.14999999,0.14999999,-0.48653898,0.14999999,0.001,1300,-0.1676109,-1.1547294,-163.14922801746206,12,-183.8459878553616,100,8.422445,13,140778,0.14999999,108.29076923076923,-163.14922801746206,-0.836072,79.48628924945007,9.797548
0.3261489,-104.29957507885977,0.14999999,0.14999999,-0.4949614,0.14999999,0.001,1400,-0.16425765,-1.3584957,-153.03085677359522,12,-181.64490706380684,100,9.934686,14,147257,0.14999999,105.18357142857143,-153.03085677359522,-0.8336092,55.57997203532145,10.714514
