Delta,ReturnMin,DenMISELogLast,ReturnLastEpisode,LQGmu1_actor,TimestepsSoFar,LQGmu1_higher,IWLastEpisode,ReturnAbsMax,IWMean,IWFirstEpisode,Bound,IWMin,Iteration,IWMax,Regret/t,ReturnStepMax,Regret,ReturnMax,LQGsigma_higher,TimeElapsed,DenMISEMeanLog,DenMISELogFirst,ReturnMean
1.1492007e-06,,-0.69032353,0.9172725,0.5100964,460,0.5151515,1.7785956e-07,0.9212722,1.2018043,0.0001865655,4.6122913,,23,7.343022,0.3193521,0.96594566,7.3450975,0.9212722,0.14999999,16.913066625595093,-0.87967306,-0.60709107,0.6457679
1.055429e-06,,-0.8112364,0.36013997,-0.66237897,480,-0.57575756,2.4995271e-11,0.9212722,0.6674599,0.112217814,4.5973544,,24,4.1461563,0.3312533,0.96594566,7.950078,0.9212722,0.14999999,17.35550618171692,-0.8730636,-0.6496425,0.6338667
9.726833e-07,,-0.7106452,0.922595,-1.2520101,500,-0.83838385,2.7194586,0.922595,1.2063595,0.00019939503,4.43097,,25,5.3755374,0.31970406,0.9671884,7.9926014,0.922595,0.14999999,17.795889616012573,-0.8803187,-0.6857997,0.64541596
8.993004e-07,,-2.532313,0.9079348,-0.7781748,520,-1.0,8.159486,0.922595,1.3193219,8.971107e-07,4.3425183,,26,8.159486,0.3096072,0.9671884,8.0497875,0.922595,0.14999999,18.78382682800293,-0.93862224,-0.7250124,0.6555128
8.3391916e-07,,-0.5400453,0.9203482,0.6588948,540,0.75757575,7.892387e-23,0.922595,0.7158413,4.031091e-08,4.3017325,,27,7.0153313,0.29979855,0.9671884,8.094561,0.922595,0.14999999,19.400974988937378,-0.9161177,-0.7627527,0.66532147
7.754171e-07,,-0.88240993,0.27775404,0.046944417,560,0.07070707,0.0029453868,0.922595,0.866253,1.7859871,4.2349067,,28,6.70527,0.31364024,0.9671884,8.781927,0.922595,0.14999999,20.331485748291016,-0.92616683,-0.79912037,0.6514798
7.2286224e-07,,-0.77350795,0.48480344,-0.38176748,580,-0.41414142,0.05116197,0.922595,0.861625,1.3926284,4.201597,,29,5.8091784,0.31938767,0.9671884,9.262241,0.922595,0.14999999,20.995065212249756,-0.9271563,-0.77237815,0.64573234
6.754746e-07,,-0.68677926,0.91774285,0.5150486,600,0.37373737,1.6383941e-05,0.922595,1.10879,0.0097881565,4.0680313,,30,7.158192,0.31032062,0.9671884,9.309618,0.922595,0.14999999,21.753293991088867,-0.9251265,-0.75937545,0.6547994
6.325984e-07,,-0.86123943,0.35773543,-0.7622505,620,-0.67676765,1.23121e-13,0.922595,0.95922095,0.01605102,4.065588,,31,5.65732,0.31990337,0.9671884,9.917004,0.922595,0.14999999,22.256475687026978,-0.92166907,-0.79183906,0.64521664
5.936788e-07,,-0.57991916,0.9203815,-0.23232819,640,-0.1919192,0.003446849,0.922595,1.0160306,5.933246,4.0437365,,32,5.933246,0.3113045,0.9671884,9.961744,0.922595,0.14999999,23.232640981674194,-0.9135641,-0.8230701,0.6538155
5.582434e-07,,-0.658579,0.8947635,1.1874098,660,1.0,1.1337803e-14,0.922595,0.9251568,5.055134e-13,3.89245,,33,14.19504,0.30400306,0.9671884,10.032101,0.922595,0.14999999,24.132830381393433,-0.90663195,-0.68374974,0.66111696
5.258885e-07,,-2.149878,0.00487205,-0.9250913,680,-1.0,,0.922595,1.1350657,8.8693304e-07,3.8694162,,34,8.116297,0.32330436,0.9671884,10.992346,0.922595,0.14999999,24.591093063354492,-0.94865555,-0.7136027,0.64181566
4.9626703e-07,,-0.58321726,0.9162225,0.7091555,700,0.61616164,5.65666e-23,0.922595,1.1657721,8.1679555e-06,3.8353596,,35,7.312135,0.31546408,0.9671884,11.0412445,0.922595,0.14999999,25.04707956314087,-0.93633693,-0.7425902,0.64965594
4.6907957e-07,,-0.9197663,0.24518727,-1.0018253,720,-0.7777778,3.0634973e-21,0.922595,1.1479765,0.0012390671,3.80723,,36,5.098897,0.32669938,0.9671884,11.761177,0.922595,0.14999999,25.504961013793945,-0.9332606,-0.77076083,0.63842064
4.4406656e-07,,-0.6963867,0.9136928,-0.44743347,740,-0.33333334,0.00025966088,0.922595,1.0397784,3.0633092,3.8052142,,37,5.7803974,0.31925958,0.9671884,11.812607,0.922595,0.14999999,25.961890697479248,-0.92419827,-0.7981254,0.64586043
4.2100217e-07,,-0.7165751,0.9217462,0.23353255,760,0.11111111,0.005311101,0.922595,0.8167029,1.0757276,3.6925938,,38,7.246258,0.3119995,0.9671884,11.85598,0.922595,0.14999999,26.420015335083008,-0.9189852,-0.74525064,0.6531205
3.996891e-07,,-0.9120842,0.45754814,-0.4797553,780,-0.5151515,2.578008e-05,0.922595,0.78077084,0.34673643,3.6667163,,39,5.0464606,0.3170141,0.9671884,12.363548,0.922595,0.14999999,26.881553888320923,-0.92442733,-0.7433108,0.6481059
3.799544e-07,,-0.6511358,0.9206555,-0.9739191,800,-1.0,0.012460027,0.922595,1.1714876,9.2884653e-07,3.6454134,,40,7.6675,0.3102004,0.9671884,12.408016,0.922595,0.14999999,27.344786643981934,-0.92344266,-0.7597772,0.6549196
