DenMISELogLast,IWLastEpisode,LQGsigma_higher,IWFirstEpisode,IWMax,LQGmu1_higher,Regret/t,IWMin,ReturnMax,Delta,DenMISEMeanLog,LQGmu1_actor,ReturnMean,TimeElapsed,TimestepsSoFar,ReturnStepMax,DenMISELogFirst,ReturnAbsMax,Regret,IWMean,ReturnMin,Bound,Iteration,ReturnLastEpisode
-0.8960824,3.9926365e-32,0.14999999,2.8497608e-12,9.376099,-1.0,0.3581618,,0.93388104,1.5198176e-06,-0.8981827,-0.9449717,0.6069582,15.473422050476074,400,0.9779234,-0.84763753,0.93388104,7.1632366,1.1800922,,4.9223566,20,0.17127979
-0.6048787,0.08026726,0.14999999,0.00061482075,4.920489,-0.5151515,0.3428219,,0.93388104,1.3785193e-06,-0.8820775,-0.566624,0.6222981,16.09577250480652,420,0.9779234,-0.89642775,0.93388104,7.1992607,0.80334765,,4.8223,21,0.9290963
-0.66120714,0.00034623814,0.14999999,6.5926433,6.5926433,0.09090909,0.32862037,,0.9347324,1.2560477e-06,-0.88276154,-0.2433089,0.63649964,17.043423891067505,440,0.9787392,-0.9429185,0.9347324,7.2296486,1.0755911,,4.7442255,22,0.9347324
-0.85408044,6.1144023,0.14999999,0.40336454,6.1144023,-0.21212122,0.31628144,,0.9347324,1.1492007e-06,-0.8812089,-0.21160151,0.6488386,18.034168004989624,460,0.9787392,-0.72526324,0.9347324,7.274472,0.88641584,,4.6740675,23,0.920294
-0.6703133,0.0111698415,0.14999999,3.010093e-07,5.2677846,-0.7373737,0.3052361,,0.9347324,1.055429e-06,-0.87966824,-0.8071252,0.6598839,18.960762977600098,480,0.9787392,-0.75043726,0.9347324,7.3256664,1.0192155,,4.570368,24,0.91392577
-0.592153,2.6983958e-21,0.14999999,0.0077695614,8.411522,0.67676765,0.2943554,,0.9347324,9.726833e-07,-0.8695305,0.3423181,0.6707646,19.744338035583496,500,0.9787392,-0.7912592,0.9347324,7.358885,0.81624186,,4.575813,25,0.93190247
-0.8864918,5.3467064,0.14999999,0.78598017,6.725768,0.43434343,0.3033687,,0.9347324,8.993004e-07,-0.87936807,0.4480953,0.66175133,20.487691402435303,520,0.9787392,-0.8301692,0.9347324,7.8875866,1.3123806,,4.3414097,26,0.4364195
-0.74368274,3.2349098e-20,0.14999999,2.822788e-12,8.581665,-1.0,0.3131857,,0.9347324,8.3391916e-07,-0.86596984,-0.90966696,0.6519343,21.42664098739624,540,0.9787392,-0.83812743,0.9347324,8.456015,1.1088197,,4.3039746,27,0.39669147
-0.6024604,0.0082129985,0.14999999,0.022338852,5.9806833,-0.37373737,0.30324852,,0.9347324,7.754171e-07,-0.8556773,-0.36250716,0.6618715,22.172061681747437,560,0.9787392,-0.8744951,0.9347324,8.490959,0.9523712,,4.2808623,28,0.9301743
-0.65227777,0.7697398,0.14999999,2.6797652,4.9081287,-0.07070707,0.2939636,,0.9347324,7.2286224e-07,-0.8519469,-0.29661244,0.6711564,22.89099383354187,580,0.9787392,-0.9087889,0.9347324,8.524944,0.6708959,,4.1449575,29,0.9311351
-0.6491181,0.012059346,0.14999999,1.2785606e-08,5.2931867,-0.8181818,0.28561348,,0.9347324,6.754746e-07,-0.8566317,-0.6510807,0.67950654,23.64163827896118,600,0.9787392,-0.8543081,0.9347324,8.568403,1.1288011,,4.1456037,30,0.9216614
-0.69164604,4.6821055,0.14999999,9.857026e-05,5.56844,-0.57575756,0.2774228,,0.9347324,6.325984e-07,-0.8488922,-0.8180878,0.68769723,24.374581813812256,620,0.9787392,-0.88709795,0.9347324,8.600105,1.0081012,,4.1700788,31,0.9334183
-0.5484945,1.0339031e-10,0.14999999,5.2985296,6.7134266,0.23232323,0.26979834,,0.9347324,5.936788e-07,-0.8404569,0.16853428,0.6953217,25.123717308044434,640,0.9787392,-0.9188435,0.9347324,8.633547,1.4199419,,4.097612,32,0.9316783
-0.78391516,0.00027219832,0.14999999,8.649913e-05,8.940837,0.83838385,0.2762584,,0.9347324,5.582434e-07,-0.8287938,0.6774576,0.6888616,25.873194217681885,660,0.9787392,-0.79639715,0.9347324,9.116528,0.8282458,,4.0484004,33,0.4821411
-0.9944434,5.872733e-09,0.14999999,0.11268128,5.5948863,-0.2929293,0.28839463,,0.9347324,5.258885e-07,-0.84064037,-0.28353536,0.6767254,26.69172692298889,680,0.9787392,-0.82624745,0.9347324,9.805416,1.0903286,,3.9949129,34,0.276227
-0.6247814,0.008658711,0.14999999,1.2755208e-08,5.03279,-0.8181818,0.28130913,,0.9347324,4.9626703e-07,-0.83346426,-0.9975641,0.6838109,27.442591190338135,700,0.9787392,-0.8519263,0.9347324,9.845821,1.1670616,,3.8611355,35,0.92471737
-0.776746,5.7822657,0.14999999,2.9437798e-12,8.4023905,-1.0,0.274539,,0.9347324,4.6907957e-07,-0.82858026,-1.1671925,0.690581,28.18894648551941,720,0.9787392,-0.8800972,0.9347324,9.883404,1.102406,,3.827828,36,0.92753816
-1.5457966,2.8402416e-28,0.14999999,0.11932501,6.557087,0.5555556,0.26830572,,0.9347324,4.4406656e-07,-0.8467491,0.5072028,0.6968143,28.917161464691162,740,0.9787392,-0.9074962,0.9347324,9.927313,0.9388987,,3.8334649,37,0.9212121
-0.88249177,0.02913039,0.14999999,3.432936e-07,11.655177,1.0,0.276897,,0.9347324,4.2100217e-07,-0.8502824,0.9630648,0.688223,29.677883625030518,760,0.9787392,-0.9309446,0.9347324,10.522087,0.59785753,,3.8193107,38,0.37034318
-1.097852,1.1366925e-18,0.14999999,0.005745606,4.9971724,-0.43434343,0.2930671,,0.9347324,3.996891e-07,-0.86803555,-0.16942742,0.6720529,30.43303370475769,780,0.9787392,-0.9569201,0.9347324,11.429615,0.9626774,,3.7328262,39,0.05759061
-0.80748826,5.9628778,0.14999999,0.930728,6.003333,-0.17171717,0.2872588,,0.9347324,3.799544e-07,-0.8681677,-0.2497795,0.6778612,31.19408941268921,800,0.9787392,-0.9820906,0.9347324,11.490353,0.9767021,,3.779521,40,0.9043866
-0.6220778,0.13829726,0.14999999,7.0449724,7.0449724,0.15151516,0.28138262,,0.9347324,3.6164613e-07,-0.863635,0.0417467,0.6837374,31.95392894744873,820,0.9787392,-0.9837816,0.9347324,11.536686,1.1082252,,3.6902666,41,0.9187856
-0.856292,2.104252e-10,0.14999999,2.8545428e-12,7.9477763,-1.0,0.28523368,,0.9347324,3.4462983e-07,-0.8621325,-1.05398,0.67988634,32.72189116477966,840,0.9787392,-0.8493137,0.9347324,11.979815,1.1458948,,3.6471024,42,0.5219928
-0.8523036,3.94322e-06,0.14999999,0.24361002,5.187387,-0.25252524,0.2795093,,0.9347324,3.2878697e-07,-0.85981447,-0.3580585,0.6856107,33.54949688911438,860,0.9787392,-0.8728442,0.9347324,12.0189,1.1409211,,3.582879,43,0.92603225
-0.5824305,0.8516476,0.14999999,1.3590565e-05,5.6045594,-0.6363636,0.27400726,,0.9347324,3.140119e-07,-0.8513059,-0.8102747,0.69111276,34.32091450691223,880,0.9787392,-0.89018434,0.9347324,12.05632,0.8438712,,3.5871143,44,0.92770267
-0.5868285,1.4128713e-13,0.14999999,1.7824601,7.051809,0.37373737,0.2686836,,0.9347324,3.0021093e-07,-0.8494046,0.25676468,0.6964364,35.094714641571045,900,0.9787392,-0.9126569,0.9347324,12.090763,1.3169519,,3.5764155,45,0.9306729
-0.84290653,3.5282812e-15,0.14999999,2.9903428e-12,7.3183217,-1.0,0.2738062,,0.9347324,2.8730017e-07,-0.8437326,-1.199795,0.6913138,35.87317705154419,920,0.9787392,-0.89579,0.9347324,12.595085,1.1810973,,3.500516,46,0.46079808
-1.757852,3.376797e-13,0.14999999,4.284753,6.3799324,-0.01010101,0.26896423,,0.9347324,2.7520463e-07,-0.8603932,-0.040217675,0.6961558,36.65584897994995,940,0.9787392,-0.9172962,0.9347324,12.641319,0.7732885,,3.498225,47,0.9188863
-0.77768314,8.454877e-06,0.14999999,0.0017462727,7.8056717,0.7373737,0.26662922,,0.9347324,2.6385726e-07,-0.86367846,0.765104,0.6984908,37.44533658027649,960,0.9787392,-0.85110366,0.9347324,12.7982025,0.7858005,,3.4699988,48,0.80823714
-1.0484816,1.720387e-11,0.14999999,0.05314572,5.11047,-0.33333334,0.27645093,,0.9347324,2.531974e-07,-0.87248886,-0.302727,0.6886691,38.226804971694946,980,0.9787392,-0.8716866,0.9347324,13.546097,1.0838144,,3.3955913,49,0.21722868
-0.5710559,0.031250373,0.14999999,7.027673e-08,4.983344,-0.7777778,0.27171087,,0.9347324,2.4317083e-07,-0.8654576,-0.93034875,0.69340914,38.99191737174988,1000,0.9787392,-0.89080524,0.9347324,13.585545,0.982784,,3.3814561,50,0.9256685
-0.58104783,4.269184,0.14999999,3.0349842e-12,6.9702516,-1.0,0.26709354,,0.9347324,2.3372819e-07,-0.86071897,-1.2899419,0.6980265,39.78494310379028,1020,0.9787392,-0.9106079,0.9347324,13.621773,1.2367781,,3.3943353,51,0.92889476
-2.7359996,,0.14999999,3.4297847e-07,11.743291,1.0,0.26291394,,0.9347324,2.248251e-07,-0.8931407,1.3057958,0.7022061,40.5674307346344,1040,0.9787392,-0.930026,0.9347324,13.671524,0.68493474,,3.3371491,52,0.9153654
-3.6429248,7.6854445e-10,0.14999999,5.461153,6.905713,0.23232323,0.27590644,,0.9347324,2.1642118e-07,-0.9517076,0.062368035,0.6892136,41.35707950592041,1060,0.9787392,-0.94907415,0.9347324,14.623039,1.261913,,3.3282974,53,0.013603981
-0.8854363,3.8248968,0.14999999,2.1313374,5.9082355,-0.09090909,0.27897805,,0.9347324,2.0847979e-07,-0.94658357,0.19050136,0.68614197,42.129679918289185,1080,0.9787392,-0.8696957,0.9347324,15.0648155,0.92978215,,3.32788,54,0.5233475
-0.8526381,1.3086702e-13,0.14999999,2.8546026e-12,6.7001514,-1.0,0.28274655,,0.9347324,2.0096763e-07,-0.9465006,-0.93419474,0.68237346,42.888734102249146,1100,0.9787392,-0.84933466,0.9347324,15.55106,1.2482275,,3.2864084,55,0.47887084
-0.52123076,6.4444115e-21,0.14999999,0.16635484,7.6938,0.53535354,0.27834094,,0.9347324,1.9385428e-07,-0.9352704,0.4465584,0.6867791,43.65398049354553,1120,0.9787392,-0.86735314,0.9347324,15.587093,0.89016587,,3.2801623,56,0.9290912
-0.93754935,1.8923275e-08,0.14999999,0.001072543,5.374326,-0.4949495,0.2834189,,0.9347324,1.8711206e-07,-0.93771166,-0.66815436,0.6817011,44.424442291259766,1140,0.9787392,-0.8820865,0.9347324,16.154877,0.7638128,,3.2516222,57,0.3973331
-0.73102283,5.4235616,0.14999999,1.601466e-06,5.4466944,-0.6969697,0.2790929,,0.9347324,1.8071556e-07,-0.9384189,-0.6321253,0.6860271,45.180351972579956,1160,0.9787392,-0.8994594,0.9347324,16.187386,0.88276625,,3.218867,58,0.93261373
-0.6773041,4.716674e-05,0.14999999,6.4211025,6.4543138,0.09090909,0.27489048,,0.9347324,1.7464151e-07,-0.9362974,0.21716122,0.69022954,45.958210468292236,1180,0.9787392,-0.91655385,0.9347324,16.21854,1.0518316,,3.194468,59,0.93396866
-0.8546219,0.030187579,0.14999999,0.16396335,5.211317,-0.27272728,0.27847397,,0.9347324,1.6886865e-07,-0.93457276,-0.31946415,0.68664604,46.73410725593567,1200,0.9787392,-0.83005357,0.9347324,16.708439,1.0381896,,3.1649265,60,0.475219
-0.6106961,0.00016610675,0.14999999,2.8389973e-12,6.6222343,-1.0,0.27452016,,0.9347324,1.6337734e-07,-0.9291002,-0.9876013,0.69059986,47.507493019104004,1220,0.9787392,-0.84385383,0.9347324,16.745731,1.2032238,,3.1482105,61,0.9278275
-0.584736,2.0894706e-17,0.14999999,2.084685,6.966703,0.35353535,0.2706923,,0.9347324,1.581496e-07,-0.92087764,0.4710326,0.6944277,48.28086066246033,1240,0.9787392,-0.8601144,0.9347324,16.78292,1.2889876,,3.1469874,62,0.92792976
-0.9602576,0.85855186,0.14999999,0.0005619622,8.860517,0.7777778,0.2755744,,0.9347324,1.5316883e-07,-0.9176026,0.64487684,0.68954563,49.26056480407715,1260,0.9787392,-0.8430437,0.9347324,17.361187,0.78739685,,3.1039839,63,0.38685387
-1.0621021,6.227536e-20,0.14999999,2.9834897e-08,4.907577,-0.7979798,0.2817183,,0.9347324,1.484197e-07,-0.9236451,-0.822148,0.6834017,50.2506377696991,1280,0.9787392,-0.8587831,0.9347324,18.029972,1.003416,,3.1011777,64,0.29633057
