LQGsigma_higher,IWFirstEpisode,ReturnMean,Iteration,IWMax,DenMISEMeanLog,IWMin,IWLastEpisode,ReturnLastEpisode,LQGmu1_higher,Regret/t,TimeElapsed,DenMISELogFirst,ReturnStepMax,IWMean,ReturnMin,Delta,Bound,Regret,DenMISELogLast,ReturnAbsMax,LQGmu1_actor,TimestepsSoFar,ReturnMax
0.14999999,3.58745e-10,0.76102537,1,3.58745e-10,0.73249876,,3.58745e-10,0.76102537,1.0,0.20409465,0.04402923583984375,0.73249876,0.79486597,3.58745e-10,,0.0006079271,1723065600000.0,0.20409465,0.73249876,0.76102537,0.9833401,20,0.76102537
0.14999999,4.5410034e-10,0.4054757,2,4.5410034e-10,0.15910903,,2.1888295e-38,0.049926028,-1.0,0.55964434,0.9678115844726562,0.039351568,0.79486597,2.2705017e-10,,0.00015198177,258920930.0,1.1192887,0.27886647,0.76102537,-0.8608532,40,0.76102537
0.14999999,0.043122962,0.5838415,3,0.043122962,-0.34780064,,9.2284306e-17,0.9405731,0.45454547,0.3812785,1.6501362323760986,-0.36611354,0.9843204,0.016388195,,6.754746e-05,2956.7156,1.1438355,-0.5506898,0.9405731,0.4903405,60,0.9405731
0.14999999,0.004660361,0.53566015,4,0.7751446,-0.58077717,,1.1366862e-10,0.39111605,-0.5555556,0.42945987,2.3274338245391846,-0.6395236,0.9843204,0.19495124,,3.7995444e-05,330.12976,1.7178395,-0.4329444,0.9405731,-0.48061115,80,0.9405731
0.14999999,3.3977337,0.6170546,5,3.3977337,-0.7492914,,0.00042262638,0.9426324,0.17171717,0.34806544,3.0410361289978027,-0.86150277,0.9862475,0.78703254,,2.4317082e-05,21.435143,1.7403274,-0.7090685,0.9426324,0.4039058,100,0.9426324
0.14999999,5.7556143e-05,0.58584404,6,1.7703695,-0.7712712,,0.5420367,0.4297913,0.7171717,0.37927598,3.7442679405212402,-0.5253003,0.9862475,0.59341604,,1.6886865e-05,20.076403,2.2756557,-0.590187,0.9426324,0.89457905,120,0.9426324
0.14999999,0.41133744,0.52026564,7,4.6721573,-0.8186234,,1.5223428e-14,0.12679544,-0.33333334,0.44485438,4.419131517410278,-0.67944145,0.9862475,0.7288742,,1.2406674e-05,13.046584,3.1139808,-0.7118598,0.9426324,-0.43223935,140,0.9426324
0.14999999,6.875806e-06,0.5727799,8,8.815846,-0.8402724,,0.351013,0.9403799,-0.7777778,0.39234012,5.133207559585571,-0.7558721,0.9862475,1.2369426,,9.498861e-06,13.028365,3.138721,-0.62814975,0.9426324,-0.4104759,160,0.9426324
0.14999999,0.087124944,0.6135857,9,5.371325,-0.83302,,5.318829,0.9400318,-0.43434343,0.3515343,5.8520238399505615,-0.87365425,0.9862475,1.7746849,,7.505273e-06,6.903749,3.1638088,-0.70573086,0.9426324,-0.44516343,180,0.9426324
0.14999999,0.8518684,0.6462927,10,6.107939,-0.7384305,,1.0549203e-05,0.94065523,0.3131313,0.31882733,6.547315835952759,-0.9693808,0.9862475,1.0521761,,6.0792704e-06,6.7575226,3.1882734,-0.34037915,0.9426324,0.32966003,200,0.9426324
