TimestepsSoFar,ReturnMax,Regret/t,IWMean,Iteration,ReturnMin,ReturnAbsMax,IWMin,DenMISELogFirst,ReturnMean,IWFirstEpisode,ReturnStepMax,Delta,LQGmu1_higher,TimeElapsed,LQGmu1_actor,IWMax,Regret,ReturnLastEpisode,LQGsigma_higher,DenMISEMeanLog,Bound,DenMISELogLast,IWLastEpisode
20,0.56116974,0.40395027,4.235253e-08,1,,0.56116974,,0.06478553,0.56116974,4.235253e-08,0.58013564,0.0006079271,1.0,0.051059722900390625,1.1606165,4.235253e-08,0.40395027,0.56116974,0.14999999,0.06478553,1270565200000.0,0.06478553,4.235253e-08
40,0.56116974,0.66779053,4.579035e-12,2,,0.56116974,,-0.6283616,0.2973295,9.15807e-12,0.58013564,0.00015198177,-1.0,1.1547439098358154,-0.93870485,9.15807e-12,1.3355811,0.03348921,0.14999999,-0.4583044,190924750.0,-0.2882472,
60,0.9412025,0.4531662,0.15932024,3,,0.9412025,,-1.0338267,0.51195383,0.47787854,0.9849037,6.754746e-05,0.45454547,1.8838684558868408,0.4892797,0.47787854,1.3594985,0.9412025,0.14999999,-0.6438202,2958.7727,-0.20392159,6.0172473e-19
80,0.9412025,0.4816875,0.041776642,4,,0.9412025,,-1.1736985,0.48343253,0.000565308,0.9849037,3.7995444e-05,-0.5555556,2.307870626449585,-0.67595184,0.16654126,1.92675,0.3978686,0.14999999,-0.769505,330.20667,-0.43135095,1.1922052e-10
100,0.9438293,0.38960814,2.04308,5,,0.9438293,,-1.3967009,0.5755119,9.671149,0.98742884,2.4317082e-05,0.17171717,2.7256152629852295,0.0879642,9.671149,1.9480407,0.9438293,0.14999999,-0.9513381,22.031153,-0.8270295,7.068793e-07
120,0.9438293,0.39273822,0.31379434,6,,0.9438293,,-0.50257736,0.5723818,0.0009989938,0.98742884,1.6886865e-05,0.7171717,3.1441383361816406,0.8293553,1.7464195,2.3564293,0.5567313,0.14999999,-0.8321552,20.053776,-0.5044017,0.00066531915
140,0.9438293,0.44879037,1.5529126,7,,0.9438293,,-0.65656155,0.51632965,1.6883592e-07,0.98742884,1.2406674e-05,-0.7777778,3.602834701538086,-0.61958456,6.7616806,3.141533,0.18001667,0.14999999,-0.9038797,13.210039,-0.68726987,6.2513933e-25
160,0.94422543,0.39530343,0.17654522,8,,0.94422543,,-0.79009295,0.5698166,0.08565138,0.9877794,9.498861e-06,-0.33333334,4.037425994873047,-0.34632874,0.847023,3.1624274,0.94422543,0.14999999,-0.85009444,12.68897,-0.67667496,0.847023
180,0.94422543,0.3539856,1.4118862,9,,0.94422543,,-0.89722645,0.6111344,6.139718,0.9877794,7.505273e-06,0.05050505,4.854600667953491,-0.42563286,6.313194,3.1858702,0.94167733,0.14999999,-0.9210663,6.8094645,-0.71671927,0.16454205
200,0.94422543,0.32092237,1.5937427,10,,0.94422543,,-0.48248994,0.64419764,0.0026052818,0.9877794,6.0792704e-06,-0.47474748,5.310832977294922,-0.46966648,5.6397886,3.2092237,0.9417663,0.14999999,-0.89635086,6.770691,-0.80527055,5.6397886
