ReturnLastEpisode,TimestepsSoFar,ReturnAbsMax,LQGsigma_higher,IWLastEpisode,IWMax,ReturnMax,TimeElapsed,LQGmu1_higher,Bound,Iteration,ReturnStepMax,DenMISELogLast,Regret,Delta,Regret/t,IWMin,ReturnMin,IWMean,IWFirstEpisode,DenMISEMeanLog,ReturnMean,LQGmu1_actor,DenMISELogFirst
0.95662475,20,0.95662475,0.14999999,3.61276e-14,3.61276e-14,0.95662475,0.0329287052154541,1.0,2165929300000.0,1,0.9995906,0.8247111,0.008495271,0.0006079271,0.008495271,,,3.61276e-14,3.61276e-14,0.8247111,0.95662475,0.87265664,0.8247111
0.31198108,40,0.95662475,0.14999999,4.102311e-34,8.460205e-07,0.95662475,1.0324065685272217,-1.0,325469000.0,2,0.9995906,-0.0753286,0.6616342,0.00015198177,0.3308171,,,4.2301025e-07,8.460205e-07,0.028117657,0.6343029,-1.222717,0.13156392
0.9566229,60,0.95662475,0.14999999,6.3911685e-27,0.088403225,0.95662475,1.865170955657959,0.45454547,3007.1724,3,0.9995906,-1.2227173,0.6701312,6.754746e-05,0.22337711,,,0.029606609,0.0004165991,-0.65913725,0.7417429,0.32471776,-0.27390078
0.7052422,80,0.95662475,0.14999999,1.883711e-07,0.21372691,0.95662475,2.579423427581787,-0.5555556,335.6287,4,0.9995906,-0.7565497,0.9300091,3.7995444e-05,0.23250228,,,0.05358419,0.21372691,-0.89195675,0.73261774,-0.44048676,-0.561444
0.9563868,100,0.95662475,0.14999999,0.0014686275,4.210875,0.95662475,3.291729211807251,0.17171717,21.84453,5,0.9995906,-0.8271401,0.9387424,2.4317082e-05,0.18774849,,,0.9099388,0.3372238,-1.047067,0.7773715,-0.0046812445,-0.7325344
0.95292586,120,0.95662475,0.14999999,2.1905074e-05,5.564214,0.95662475,3.9993622303009033,0.7373737,20.509157,6,0.9995906,-0.52959675,0.9509363,1.6886865e-05,0.1584894,,,0.944854,4.1373326e-08,-1.0000011,0.8066306,0.8529817,-0.8495882
0.33254918,140,0.95662475,0.14999999,1.316755e-13,6.5952373,0.95662475,4.77512001991272,-0.33333334,14.120579,7,0.9995906,-0.63768524,1.5835075,1.2406674e-05,0.22621536,,,1.6383047,4.394641,-0.984158,0.73890465,-0.19825658,-1.0037389
0.9564875,160,0.95662475,0.14999999,0.0029053255,0.39975867,0.95662475,5.601647138595581,-0.7777778,12.124625,8,0.9995906,-0.6438273,1.5921397,9.498861e-06,0.19901747,,,0.08756609,0.0019686678,-0.90631473,0.76610255,-0.68897665,-0.6500373
0.9564564,180,0.95662475,0.14999999,0.0001023073,6.3112907,0.95662475,6.418663263320923,0.01010101,7.2760563,9,0.9995906,-0.69450444,1.6008034,7.505273e-06,0.17786705,,,1.3104653,2.4998891,-0.97795516,0.78725296,-0.21526644,-0.7675743
0.9567116,200,0.9567116,0.14999999,5.1896253,5.1896253,0.9567116,6.926628112792969,-0.23232323,7.1081123,10,0.9996789,-0.6749453,1.6092119,6.0792704e-06,0.16092116,,,1.8515007,4.721695,-0.9345312,0.80419886,-0.14680853,-0.627822
0.95645314,220,0.9567116,0.14999999,0.03362506,7.6435204,0.9567116,7.691204309463501,0.3131313,6.9053736,11,0.9996789,-0.3303281,1.6178789,5.0241906e-06,0.14707989,,,0.7416677,0.015644742,-0.8261145,0.81804013,0.3216736,-0.33639497
0.7768474,240,0.9567116,0.14999999,0.92481333,1.9852581,0.9567116,8.385779619216919,0.5959596,6.5848265,12,0.9996789,-0.61549544,1.8061504,4.221716e-06,0.15051258,,,0.45453778,5.6301596e-06,-0.84051806,0.81460744,0.5476305,-0.42198512
0.6368109,260,0.9567116,0.14999999,0.44156086,8.287995,0.9567116,9.093003034591675,0.8787879,6.462766,13,0.9996789,-0.6413843,2.1344604,3.5972016e-06,0.16418928,,,1.2794137,5.7579302e-11,-0.8661368,0.80093074,0.9705791,-0.50202733
0.2520839,280,0.9567116,0.14999999,2.1675675e-37,13.498608,0.9567116,9.799887418746948,-1.0,6.428908,14,0.9996789,-0.89271283,2.847496,3.1016684e-06,0.20339257,,,1.0332128,1.7168445e-06,-0.8652901,0.76172745,-0.8898601,-0.57613534
0.95658123,300,0.9567116,0.14999999,1.8896219,8.069614,0.9567116,10.520260095596313,-0.65656567,6.329918,15,0.9996789,-0.8676685,2.8560343,2.7018984e-06,0.19040233,,,0.84737575,0.034798857,-0.880385,0.7747177,-0.5246677,-0.6451281
0.9561788,320,0.9567116,0.14999999,5.285256,6.592457,0.9567116,11.330658435821533,-0.43434343,6.1462955,16,0.9996789,-0.86803883,2.864976,2.3747152e-06,0.179061,,,1.1889889,1.3268781,-0.89515793,0.786059,-0.6424638,-0.70734936
0.9565982,340,0.9567116,0.14999999,0.025462337,5.4046373,0.9567116,12.421948671340942,-0.15151516,5.4711943,17,0.9996789,-0.70749927,2.873497,2.103554e-06,0.1690293,,,1.4795945,5.177445,-0.87893885,0.7960907,-0.23353861,-0.68830377
0.9562259,360,0.9567116,0.14999999,0.0021756156,5.999202,0.9567116,13.599684476852417,-0.8181818,5.3666553,18,0.9996789,-0.48710114,2.882392,1.8763183e-06,0.16013288,,,0.8147231,0.0005503313,-0.8384891,0.80498713,-0.92886585,-0.47959974
0.9564341,380,0.9567116,0.14999999,6.940084e-36,8.6455145,0.9567116,14.280223369598389,1.0,5.149401,19,0.9996789,-0.7443862,2.891078,1.6840087e-06,0.15216202,,,0.9679533,1.4052762e-13,-0.8461635,0.812958,0.8180256,-0.5336364
