IWLastEpisode,ReturnStepMax,Regret/t,DenMISELogFirst,Regret,ReturnLastEpisode,DenMISEMeanLog,LQGmu1_higher,TimeElapsed,LQGsigma_higher,Bound,IWMax,Iteration,ReturnMean,ReturnMax,Delta,IWMean,ReturnMin,DenMISELogLast,IWFirstEpisode,ReturnAbsMax,LQGmu1_actor,IWMin,TimestepsSoFar
4.760346,0.9768977,0.31623727,-0.8899411,6.324745,0.9057892,-0.8013937,-0.05050505,13.993642091751099,0.14999999,5.1645956,6.504641,20,0.64888275,0.93285364,1.5198176e-06,1.3559526,,-0.7916152,6.462155,0.93285364,-0.18724886,,400
0.009638455,0.9768977,0.30360717,-0.6587479,6.3757515,0.9141137,-0.78200275,-0.7171717,15.007574081420898,0.14999999,4.854686,5.2630806,21,0.66151285,0.93285364,1.3785193e-06,1.2568679,,-0.62023044,0.0003527766,0.93285364,-0.7763094,,420
1.7403394e-09,0.9768977,0.29131258,-0.70525116,6.4088774,0.93199515,-0.76452756,0.21212122,15.57348370552063,0.14999999,4.6595764,7.3029146,22,0.67380744,0.93285364,1.2560477e-06,0.6171593,,-0.563634,1.0340464,0.93285364,-0.06417352,,440
3.7400944,0.9768977,0.28432465,-0.70377195,6.539466,0.83452976,-0.7800232,-0.1919192,16.0766544342041,0.14999999,4.768728,5.3744907,23,0.6807954,0.93285364,1.1492007e-06,1.4043486,,-0.703573,3.6596048,0.93285364,-0.2771987,,460
7.612895e-09,0.9768977,0.2742715,-0.5986763,6.5825157,0.92206967,-0.7572959,0.67676765,16.536539316177368,0.14999999,4.603825,7.5718174,24,0.6908485,0.93285364,1.055429e-06,1.008242,,-0.551772,2.759544e-05,0.93285364,0.785012,,480
2.4518191e-25,0.9768977,0.29380906,-0.63949716,7.3452263,0.20241113,-0.7666345,-0.83838385,17.029720783233643,0.14999999,4.426373,5.574787,25,0.67131096,0.93285364,9.726833e-07,1.1433544,,-0.9187931,7.2552375e-06,0.93285364,-0.57654345,,500
5.1433153,0.97719985,0.2837388,-0.67871755,7.3772087,0.93313843,-0.7614617,-0.53535354,17.477525234222412,0.14999999,4.533553,5.1433153,26,0.6813812,0.93313843,8.993004e-07,1.1458262,,-0.69721884,0.03484722,0.93313843,-0.6088092,,520
1.4441101e-10,0.97719985,0.2744695,-0.7151185,7.410677,0.93165207,-0.74999565,0.43434343,17.9237117767334,0.14999999,4.313318,4.5142975,27,0.6906505,0.93313843,8.3391916e-07,0.487315,,-0.54496044,0.023629637,0.93313843,0.5268795,,540
1.7583254e-05,0.97719985,0.2862599,-0.75061136,8.015278,0.3605185,-0.77347535,-0.23232323,18.373011827468872,0.14999999,4.2676754,5.1566057,28,0.6788601,0.93313843,7.754171e-07,1.2906649,,-0.8818958,2.9202747,0.93313843,-0.42470545,,560
2.5113988,0.97719985,0.27757335,-0.6864951,8.049625,0.9307694,-0.7593919,-0.5959596,18.90397334098816,0.14999999,4.1980214,4.872842,29,0.6875467,0.93313843,7.2286224e-07,1.2563308,,-0.5943914,0.009004202,0.93313843,-0.7961298,,580
