ReturnMax,IWMax,ReturnAbsMax,Regret/t,DenMISEMeanLog,Delta,IWFirstEpisode,ReturnStepMax,ReturnMin,Iteration,IWMean,ReturnMean,LQGmu1_higher,Bound,IWMin,Regret,LQGmu1_actor,ReturnLastEpisode,LQGsigma_higher,TimestepsSoFar,DenMISELogFirst,DenMISELogLast,TimeElapsed,IWLastEpisode
0.95065975,5.6081095e-13,0.95065975,0.014460266,0.9619692,0.0006079271,5.6081095e-13,0.99342924,,1,5.6081095e-13,0.95065975,1.0,2152423800000.0,,0.014460266,1.107094,0.95065975,0.14999999,20,0.9619692,0.9619692,0.03769040107727051,5.6081095e-13
0.95065975,8.973147e-08,0.95065975,0.4203148,0.14949329,0.00015198177,8.973147e-08,0.99342924,,2,4.4865736e-08,0.5448052,-1.0,323439520.0,,0.8406296,-0.9697506,0.13895068,0.14999999,40,0.26882198,0.03016459,1.0645337104797363,
0.95601827,0.0016600802,0.95601827,0.28324383,-0.21756943,6.754746e-05,0.0016600802,0.9990237,,3,0.00065361545,0.6818762,0.45454547,3005.257,,0.84973145,0.32786596,0.95601827,0.14999999,60,-0.13664307,-0.14076467,1.9256575107574463,8.0867154e-20
0.95601827,0.09019685,0.95601827,0.28351086,-0.56390595,3.7995444e-05,0.06861919,0.9990237,,4,0.03970405,0.68160915,-0.5555556,335.40253,,1.1340435,-0.6152117,0.680808,0.14999999,80,-0.42377195,-0.7405228,2.8598413467407227,1.6385769e-07
0.95601827,4.055263,0.95601827,0.22863156,-0.75537294,2.4317082e-05,0.68730235,0.9990237,,5,0.94851416,0.73648846,0.17171717,21.855204,,1.143158,0.23239401,0.95600563,0.14999999,100,-0.6299062,-0.6679749,3.5196847915649414,5.4761176e-06
0.95601827,0.2639158,0.95601827,0.23032904,-0.7476222,1.6886865e-05,6.9809573e-07,0.9990237,,6,0.074537896,0.734791,0.7171717,20.221632,,1.3819742,0.6054616,0.7263033,0.14999999,120,-0.6834296,-0.5199678,4.074753999710083,0.024130397
0.95601827,2.3863833,0.95601827,0.26911384,-0.8519109,1.2406674e-05,2.3863833,0.9990237,,7,0.5191546,0.6960062,-0.33333334,13.040207,,1.8837972,-0.4024235,0.4632977,0.14999999,140,-0.83758014,-0.625983,5.041043758392334,1.5520829e-08
0.95601827,3.9177158,0.95601827,0.23663235,-0.882025,9.498861e-06,0.00042853592,0.9990237,,8,0.95660955,0.7284877,-0.7777778,12.947761,,1.8930588,-0.8168073,0.9558584,0.14999999,160,-0.6777616,-0.61559534,5.652804851531982,0.21499708
0.95605266,6.717203,0.95605266,0.21134734,-0.87969553,7.505273e-06,0.07955401,0.9990542,,9,1.5036302,0.7537727,0.3131313,7.356476,,1.9021258,0.5244461,0.95605266,0.14999999,180,-0.7954911,-0.70857316,6.623166561126709,2.5735822e-12
0.95605266,4.2736397,0.95605266,0.23109132,-0.84523886,6.0792704e-06,4.2736397,0.9990542,,10,0.63920534,0.7340287,0.01010101,6.6008453,,2.3109136,-0.09567598,0.5563325,0.14999999,200,-0.8920511,-0.750259,7.405092000961304,0.01575702
0.95605266,6.3427715,0.95605266,0.21101177,-0.85769105,5.0241906e-06,1.7564784e-05,0.9990542,,11,1.2578254,0.75410825,-0.8787879,6.6082077,,2.3211298,-0.90761167,0.9549043,0.14999999,220,-0.63153195,-0.5853489,8.026294469833374,5.760048e-06
0.9561721,7.6892447,0.9561721,0.19417304,-0.82842857,4.221716e-06,4.925447e-05,0.99915063,,12,1.2503762,0.770947,0.5959596,6.643828,,2.3300762,0.56754166,0.9561721,0.14999999,240,-0.7185417,-0.56640244,8.49694013595581,7.121238e-22
0.9561721,5.026148,0.9561721,0.21563655,-0.80893004,3.5972016e-06,1.0195493e-09,0.99915063,,13,0.5286945,0.74948347,0.8787879,6.492864,,2.803275,0.7288549,0.49192166,0.14999999,260,-0.7985803,-0.62054193,9.537421703338623,0.57462525
0.9561721,5.0036893,0.9561721,0.24127895,-0.8348361,3.1016684e-06,4.485189,0.99915063,,14,0.95995533,0.7238411,-0.25252524,6.4225435,,3.3779058,-0.25088367,0.39048967,0.14999999,280,-0.8726883,-0.67330664,10.441057205200195,2.6442222e-09
0.9561721,7.6593585,0.9561721,0.22584277,-0.8336243,2.7018984e-06,0.025345823,0.99915063,,15,0.93311405,0.73927724,-0.61616164,6.260709,,3.387641,-0.50955105,0.9553849,0.14999999,300,-0.6637687,-0.6889143,11.374719142913818,0.27308527
0.956183,5.8639383,0.956183,0.21228617,-0.8404337,2.3747152e-06,0.674239,0.9991885,,16,1.1008422,0.75283384,-0.43434343,5.763999,,3.3965788,-0.51694477,0.956183,0.14999999,320,-0.7266189,-0.78477764,12.344283103942871,5.1410947
0.956183,7.122121,0.956183,0.20032853,-0.8239772,2.103554e-06,2.4754942e-07,0.9991885,,17,0.8933706,0.7647915,-1.0,5.581129,,3.4055843,-1.0321426,0.9561127,0.14999999,340,-0.7459673,-0.5690645,12.97767186164856,0.026301213
0.956183,5.8589063,0.956183,0.18970007,-0.8379222,1.8763183e-06,5.8589063,0.9991885,,18,0.99674386,0.77541995,-0.15151516,5.1273613,,3.4146004,0.016163543,0.95610464,0.14999999,360,-0.8031257,-0.8778671,13.876276969909668,2.0974072e-07
0.956183,6.2174788,0.956183,0.1804986,-0.83922654,1.6840087e-06,0.84338486,0.9991885,,19,0.8644058,0.7846214,0.15151516,5.225065,,3.4294739,0.36495447,0.9502463,0.14999999,380,-0.5754071,-0.7741203,14.86084508895874,3.8389132
0.956183,6.4588733,0.956183,0.1869523,-0.8524205,1.5198176e-06,0.0025947536,0.9991885,,20,1.482512,0.7781677,0.45454547,5.2679415,,3.739046,0.47470668,0.6555481,0.14999999,400,-0.5832687,-0.9115842,15.79857349395752,5.5366955
0.956183,14.450357,0.956183,0.19793278,-0.82996243,1.3785193e-06,2.760819e-12,0.9991885,,21,0.7722724,0.76718724,1.0,5.0531454,,4.1565895,1.1126128,0.54757804,0.14999999,420,-0.6319291,-0.7313686,16.863531351089478,0.012006611
0.956183,5.031256,0.956183,0.22599453,-0.8774593,1.2560477e-06,0.0022809587,0.9991885,,22,0.940559,0.7391255,-0.7171717,5.053388,,4.97188,-0.6767309,0.14982788,0.14999999,440,-0.6784491,-1.50348,17.767816305160522,5.823452e-32
0.9563299,7.4731903,0.9563299,0.21655089,-0.8735373,1.1492007e-06,7.2612625e-07,0.9993064,,23,0.9722931,0.74856913,0.7171717,4.830139,,4.980669,0.7752456,0.9563299,0.14999999,460,-0.7227972,-0.682717,18.67133593559265,9.328018e-19
0.9563299,5.7360897,0.9563299,0.2327714,-0.8750193,1.055429e-06,0.38922432,0.9993064,,24,1.0679698,0.7323486,-0.47474748,4.783901,,5.5865135,-0.4584516,0.35927483,0.14999999,480,-0.7653568,-0.8144164,19.551878929138184,5.0004484e-15
0.9563299,8.354441,0.9563299,0.22382605,-0.8652158,9.726833e-07,2.58717e-07,0.9993064,,25,0.9541171,0.74129397,-1.0,4.7233047,,5.5956516,-1.0418437,0.9559835,0.14999999,500,-0.7900912,-0.63032395,20.424368381500244,0.007382005
0.9563299,6.667999,0.9563299,0.21557587,-0.87351745,8.993004e-07,0.08229059,0.9993064,,26,1.094419,0.74954414,0.3131313,4.5824504,,5.604973,0.22620592,0.9558005,0.14999999,520,-0.8293119,-0.95232505,20.87104892730713,1.3170588e-17
0.9563299,6.549171,0.9563299,0.2127747,-0.86890143,8.3391916e-07,4.1549773,0.9993064,,27,0.8202834,0.7523453,0.01010101,4.5448203,,5.744917,0.09641333,0.8251746,0.14999999,540,-0.8638922,-0.7715751,21.314077854156494,2.0379596
0.9563299,5.7188296,0.9563299,0.20623755,-0.87159,7.754171e-07,0.00025630483,0.9993064,,28,0.95455426,0.75888246,-0.7979798,4.372262,,5.7746525,-0.84479046,0.93538636,0.14999999,560,-0.7571227,-0.72459775,21.798057079315186,1.0454558e-07
0.9563299,5.6065555,0.9563299,0.19943202,-0.8660449,7.2286224e-07,2.7198734,0.9993064,,29,0.8641648,0.765688,-0.3131313,4.326446,,5.7835274,-0.35280865,0.9562445,0.14999999,580,-0.79220486,-0.6263549,22.365986824035645,0.009308472
0.9563299,6.826655,0.9563299,0.19307745,-0.8649614,6.754746e-07,0.00017713364,0.9993076,,30,1.25731,0.7720426,0.5555556,4.2957797,,5.792322,0.6154234,0.9563256,0.14999999,600,-0.73645884,-0.66523695,22.91678547859192,5.6292357e-08
0.9563299,5.331924,0.9563299,0.20337701,-0.85737944,6.325984e-07,0.09693524,0.9993076,,31,1.0588152,0.761743,-0.5555556,4.239212,,6.3046875,-0.2036829,0.4527543,0.14999999,620,-0.76924276,-0.8067295,23.374194145202637,3.4819218e-13
0.9563978,7.6111875,0.9563978,0.19729406,-0.85402817,5.936788e-07,2.6073718e-07,0.99939334,,32,1.007899,0.76782596,-1.0,4.1992865,,6.31341,-0.7064127,0.9563978,0.14999999,640,-0.7978694,-0.7608432,23.849093437194824,4.318708e-06
0.9563978,6.0103216,0.9563978,0.1915893,-0.8497337,5.582434e-07,6.0103216,0.99939334,,33,0.9734823,0.7735307,-0.15151516,4.1951675,,6.322447,0.037813038,0.95608264,0.14999999,660,-0.82864106,-0.6538698,24.61312460899353,0.0054593636
0.9563978,5.897013,0.9563978,0.18625623,-0.850899,5.258885e-07,0.94689816,0.99939334,,34,1.0385101,0.7788638,0.15151516,4.235143,,6.3327103,0.32335544,0.95485413,0.14999999,680,-0.6911753,-0.81860656,25.087167739868164,4.5244465
