TimeElapsed,IWMin,ReturnMean,Iteration,ReturnLastEpisode,Regret/t,Regret,Delta,ReturnAbsMax,DenMISELogLast,IWMax,DenMISEMeanLog,Bound,LQGmu1_higher,IWLastEpisode,LQGmu1_actor,IWFirstEpisode,ReturnMin,TimestepsSoFar,ReturnStepMax,LQGsigma_higher,IWMean,ReturnMax,DenMISELogFirst
0.05599379539489746,,0.92184573,1,0.92184573,0.043274283,0.043274283,0.0006079271,0.92184573,0.8989275,1.13324904e-13,0.8989275,2087184900000.0,1.0,1.13324904e-13,0.966789,1.13324904e-13,,20,0.9653756,0.14999999,1.13324904e-13,0.92184573,0.8989275
1.0189738273620605,,0.49412918,2,0.06641264,0.47099084,0.9419817,0.00015198177,0.92184573,0.26052386,3.3202025e-07,0.23315209,313636260.0,-1.0,9.531227e-38,-0.8331039,3.3202025e-07,,40,0.9653756,0.14999999,1.6601012e-07,0.92184573,0.20578033
1.6715433597564697,,0.64351994,3,0.9423015,0.32160008,0.9648001,6.754746e-05,0.9423015,-0.7394034,0.00902422,-0.36134312,2962.1384,0.45454547,5.548857e-16,0.38888386,0.0007413336,,60,0.9859606,0.14999999,0.0032551845,0.9423015,-0.1996846
2.5579922199249268,,0.5925755,4,0.43974212,0.37254453,1.4901781,3.7995444e-05,0.9423015,-0.4982334,1.341007,-0.6105146,330.8995,-0.5555556,1.0785654e-08,-0.44666517,0.13310553,,80,0.9859606,0.14999999,0.36852813,0.9423015,-0.4871196
3.4243953227996826,,0.66276824,5,0.9435394,0.30235177,1.5117588,2.4317082e-05,0.9435394,-0.80717707,1.9184699,-0.763991,21.149008,0.17171717,0.0012158073,-0.024629518,0.4559332,,100,0.98708963,0.14999999,0.4751246,0.9435394,-0.67752844
4.162936210632324,,0.7008206,6,0.89108247,0.2642994,1.5857964,1.6886865e-05,0.9435394,-0.5405428,1.5351464,-0.80997324,19.979643,0.7171717,2.2332215e-05,0.7617759,2.1843951e-07,,120,0.98708963,0.14999999,0.32796946,0.9435394,-0.77258426
4.622276306152344,,0.6334956,7,0.22954541,0.3316244,2.321371,1.2406674e-05,0.9435394,-0.65783745,6.2724247,-0.87787586,13.767108,-0.33333334,1.3690742e-11,-0.35850465,3.4387217,,140,0.98708963,0.14999999,1.4842764,0.9435394,-0.92673486
5.054798603057861,,0.6720052,8,0.94157237,0.29311484,2.3449187,9.498861e-06,0.9435394,-0.6086908,10.338587,-0.8195185,13.157514,-0.7777778,0.0983157,-0.37422466,0.0010594921,,160,0.98708963,0.14999999,1.3597462,0.9435394,-0.66065425
5.484373331069946,,0.7021133,9,0.9429779,0.26300675,2.3670607,7.505273e-06,0.9435394,-0.7113533,4.783099,-0.8127012,7.13056,-0.25252524,3.8977795,-0.3972472,4.783099,,180,0.98708963,0.14999999,1.9130111,0.9435394,-0.7783049
5.947535514831543,,0.726194,10,0.942921,0.238926,2.3892598,6.0792704e-06,0.9435394,-0.4934403,5.3449297,-0.71558905,6.6826377,0.030303031,0.07497627,0.0021370202,1.8836567,,200,0.98708963,0.14999999,0.80106926,0.9435394,-0.45744678
6.823347091674805,,0.7354203,11,0.8276832,0.22969973,2.5266972,5.0241906e-06,0.9435394,-0.4513395,6.85202,-0.71658266,6.5805635,0.3131313,0.4868711,0.5072144,0.027044736,,220,0.98708963,0.14999999,0.70761883,0.9435394,-0.380178
7.686017751693726,,0.70657706,12,0.38930124,0.25854295,3.1025152,4.221716e-06,0.9435394,-0.8959677,7.525946,-0.76399916,6.586138,0.85858583,0.4191829,1.0027623,4.160015e-10,,240,0.98708963,0.14999999,1.2559987,0.9435394,-0.46473378
