DenMISELogFirst,LQGmu1_higher,IWFirstEpisode,ReturnMax,Bound,LQGsigma_higher,Regret,DenMISEMeanLog,Iteration,TimestepsSoFar,IWMean,IWLastEpisode,DenMISELogLast,LQGmu1_actor,ReturnAbsMax,IWMin,ReturnMean,TimeElapsed,ReturnLastEpisode,Regret/t,ReturnMin,ReturnStepMax,Delta,IWMax
-0.7297092,0.4949495,0.001643043,0.9206487,4.5933347,0.14999999,7.6922874,-0.87836814,23,460,1.1093533,7.7590066e-16,-0.6561075,0.5272487,0.9206487,,0.6306727,17.14935564994812,0.918847,0.33444732,,0.96527374,1.1492007e-06,7.7113047
-0.7721974,-1.0,1.2795029e-07,0.9206487,4.4460387,0.14999999,8.306766,-0.87582207,24,480,0.85211676,1.8861702e-22,-0.83256996,-0.87339616,0.9206487,,0.6190048,17.894161701202393,0.35064247,0.34611523,,0.96527374,1.055429e-06,9.635871
-0.8130194,0.05050505,3.3949037,0.9206487,4.342151,0.14999999,8.354942,-0.8762485,25,500,1.0170768,2.9872194e-08,-0.6642265,0.08382875,0.9206487,,0.6309223,18.63967728614807,0.91694427,0.3341977,,0.96527374,9.726833e-07,6.4428606
-0.72490627,-0.7979798,0.0001462279,0.9206487,4.331929,0.14999999,8.840855,-0.8715854,26,520,1.083729,1.691644e-07,-0.70911914,-1.023705,0.9206487,,0.62508714,19.619019746780396,0.47920734,0.34003288,,0.96527374,8.993004e-07,5.345931
-0.76264095,0.7373737,6.829455e-07,0.9206487,4.2842655,0.14999999,8.895319,-0.8701435,27,540,0.5420317,7.3489146e-30,-0.8587894,0.58349115,0.9206487,,0.63566375,20.76463294029236,0.910656,0.32945627,,0.96527374,8.3391916e-07,6.199119
-0.7990086,-0.3131313,2.3530922,0.9206487,4.2295084,0.14999999,9.539438,-0.8875671,28,560,0.877336,1.1241954e-07,-0.8859417,-0.41298428,0.9206487,,0.6244258,21.509873151779175,0.32100183,0.3406942,,0.96527374,7.754171e-07,5.171876
-0.75340605,-0.5151515,0.14585418,0.9206487,4.186658,0.14999999,9.588207,-0.88568604,29,580,1.1442024,4.1393843,-0.6743242,-0.45457765,0.9206487,,0.63449216,22.282493114471436,0.91634876,0.33062786,,0.96527374,7.2286224e-07,5.1624026
-0.7822907,0.33333334,0.074471526,0.9206487,4.139168,0.14999999,9.633234,-0.87191695,30,600,1.1775823,4.748758e-06,-0.55983204,0.30906063,0.9206487,,0.6440122,23.067039966583252,0.92009294,0.3211078,,0.96527374,6.754746e-07,7.081309
-0.8126012,-1.0,1.3322577e-07,0.9206487,3.983736,0.14999999,10.161135,-0.8663794,31,620,0.952853,1.7308589e-16,-0.8099561,-1.1258003,0.9206487,,0.63734144,23.54210925102234,0.4372207,0.32777858,,0.96527374,6.325984e-07,8.559814
-0.8443499,1.0,8.1515576e-12,0.9206487,3.874289,0.14999999,10.218754,-0.8836209,32,640,1.1875,,-1.3085278,1.1597149,0.9206487,,0.64578396,24.027257919311523,0.90750104,0.31933606,,0.96527374,5.936788e-07,12.876549
-0.8751216,-0.47474748,0.32914132,0.9206487,3.8587017,0.14999999,11.179838,-0.913583,33,660,1.1533309,2.916298e-25,-1.8934512,-0.42085126,0.9206487,,0.62633705,24.50427484512329,0.004034651,0.33878297,,0.96527374,5.582434e-07,5.0823097
-0.89505,-0.17171717,5.972765,0.9206487,3.844431,0.14999999,11.226921,-0.90022784,34,680,0.7925301,1.1711329,-0.5590746,0.124002516,0.9206487,,0.6349164,24.975470066070557,0.9180346,0.3302036,,0.96527374,5.258885e-07,5.972765
-0.7621997,0.13131313,1.5709683,0.9206487,3.84849,0.14999999,11.716799,-0.90739125,35,700,1.2269776,6.6589975,-0.9189751,0.022093944,0.9206487,,0.63035434,25.447694301605225,0.47524577,0.33476567,,0.96527374,4.9626703e-07,6.6589975
-0.74646395,0.57575756,0.00016485859,0.9206487,3.8141332,0.14999999,12.1909485,-0.8989683,36,720,1.024376,0.006296908,-0.7661986,0.6350582,0.9206487,,0.62648255,25.988104104995728,0.49097008,0.33863747,,0.96527374,4.6907957e-07,7.7791266
-0.7738583,-0.7979798,0.00015356416,0.9206487,3.747339,0.14999999,12.864883,-0.90104437,37,740,0.9008955,1.02800126e-19,-0.935831,-0.7737082,0.9206487,,0.6174205,26.459410429000854,0.2911874,0.34769952,,0.96527374,4.4406656e-07,5.6514273
-0.80052245,-1.0,1.3162631e-07,0.9206487,3.6685286,0.14999999,12.910469,-0.8976813,38,760,0.9915211,1.6203699,-0.64242786,-0.87287915,0.9206487,,0.6253708,26.931180953979492,0.91953236,0.33974922,,0.96527374,4.2100217e-07,7.996537
-0.8264979,-0.61616164,0.020243965,0.9206487,3.6501758,0.14999999,12.958906,-0.8915465,39,780,1.0035338,1.1146196,-0.59486234,-0.7819484,0.9206487,,0.63284034,27.43635058403015,0.9166812,0.33227968,,0.96527374,3.996891e-07,4.918742
-0.8512968,-0.01010101,5.0024056,0.9206487,3.5805502,0.14999999,13.005339,-0.8843547,40,800,1.0441166,8.466674e-06,-0.58130115,-0.12042623,0.9206487,,0.6399866,28.38238549232483,0.9186893,0.32513344,,0.96527374,3.799544e-07,6.3404703
-0.7581529,-0.33333334,1.8644595,0.9206487,3.5674963,0.14999999,13.110462,-0.8813767,41,820,0.9181565,2.0776997,-0.7604007,-0.25219962,0.9206487,,0.6453526,29.341536283493042,0.85999525,0.31976742,,0.96527374,3.6164613e-07,4.5950017
-0.7377795,0.35353535,0.047428906,0.9206487,3.5672178,0.14999999,13.173515,-0.8789716,42,840,1.1092703,0.001500115,-0.673269,0.42391756,0.9206487,,0.65146494,30.30154013633728,0.9020699,0.31365508,,0.96527374,3.4462983e-07,7.1556425
-0.76018137,0.7979798,6.414789e-08,0.9206487,3.5610416,0.14999999,13.741356,-0.87762064,43,860,0.5344106,0.2869112,-0.88262576,0.57734907,0.9206487,,0.6455536,31.269392013549805,0.397276,0.31956643,,0.96527374,3.2878697e-07,4.4195366
-0.7831709,-0.8181818,8.278092e-05,0.9206487,3.547727,0.14999999,14.382095,-0.89032215,44,880,1.0632722,1.1181267e-18,-0.9648714,-0.80025554,0.9206487,,0.6382542,32.25805354118347,0.3243848,0.3268658,,0.96527374,3.140119e-07,5.167308
