IWLastEpisode,IWMax,DenMISELogLast,Delta,IWFirstEpisode,IWMin,DenMISELogFirst,ReturnStepMax,Regret/t,ReturnAbsMax,DenMISEMeanLog,Regret,ReturnMean,TimeElapsed,ReturnMin,TimestepsSoFar,LQGmu1_higher,Iteration,ReturnLastEpisode,ReturnMax,LQGsigma_higher,LQGmu1_actor,IWMean,Bound
4.2480324e-17,4.2480324e-17,-0.10800837,0.0006079271,4.2480324e-17,,-0.10800837,0.9982371,0.009896278,0.95522374,-0.10800837,0.009896278,0.95522374,0.11615157127380371,,20,1.0,1,0.95522374,0.95522374,0.14999999,1.1763701,4.2480324e-17,2162757200000.0
,0.00021104122,-0.4062197,0.00015198177,0.00021104122,,-0.80115557,0.9982371,0.4238115,0.95522374,-0.60368764,0.847623,0.5413085,1.4353570938110352,,40,-1.0,2,0.12739328,0.95522374,0.14999999,-0.9220235,0.00010552061,324992320.0
1.7690397e-18,5.6087472e-05,-0.2555491,6.754746e-05,1.3891285e-05,,-1.2065152,0.9987572,0.2856645,0.9557495,-0.7579164,0.85699344,0.6794555,2.4163522720336914,,60,0.45454547,3,0.9557495,0.9557495,0.14999999,0.42670262,2.3326253e-05,3004.412
1.9803479e-09,3.4926963,-0.42252073,3.7995444e-05,3.4926963,,-1.4941926,0.9987572,0.32179987,0.9557495,-0.8898232,1.2871995,0.64332014,3.1453495025634766,,80,-0.5555556,4,0.53491396,0.9557495,0.14999999,-0.52065945,0.931059,336.1598
0.00011827111,1.1960332,-0.63229626,2.4317082e-05,0.035833545,,-1.0897018,0.9990138,0.25926036,0.9560177,-0.88005143,1.2963018,0.70585966,4.20020318031311,,100,0.17171717,5,0.9560177,0.9560177,0.14999999,0.2388049,0.24639702,21.307165
0.02774033,0.7533357,-0.52216953,1.6886865e-05,3.720552e-10,,-1.2648822,0.9990138,0.26319444,0.9560177,-0.9353997,1.5791664,0.7019256,4.920103073120117,,120,0.7171717,6,0.682255,0.9560177,0.14999999,0.83631,0.14859389,20.267187
3.3213325e-13,10.955925,-0.69004107,1.2406674e-05,10.955925,,-1.4190328,0.9990138,0.32288808,0.9560177,-1.0123152,2.2602167,0.64223194,5.616894245147705,,140,-0.33333334,7,0.28407007,0.9560177,0.14999999,-0.30093062,2.025102,14.480508
0.03139447,5.448962,-0.613656,9.498861e-06,0.04754314,,-0.6105542,0.9990138,0.28378373,0.9560177,-0.91423,2.2702699,0.6813363,6.3160719871521,,160,-0.7777778,8,0.95506686,0.9560177,0.14999999,-0.7009521,0.8488837,12.844586
6.335962e-10,5.917555,-0.6947681,7.505273e-06,0.00071885035,,-0.72241193,0.9990138,0.25331467,0.9560177,-0.91944057,2.279832,0.71180534,7.024226903915405,,180,0.3131313,9,0.9555578,0.9560177,0.14999999,0.23487416,1.2055439,7.0655
0.00038776943,5.020053,-0.52719235,6.0792704e-06,5.020053,,-0.82769257,0.9990138,0.25700742,0.9560177,-0.88074124,2.570074,0.7081126,7.767517328262329,,200,-0.41414142,10,0.67487794,0.9560177,0.14999999,-0.39388147,1.5198354,6.794663
