Delta,LQGsigma_higher,LQGmu1_actor,LQGmu1_higher,ReturnLastEpisode,IWFirstEpisode,IWMean,DenMISELogLast,ReturnMin,DenMISELogFirst,TimestepsSoFar,Iteration,ReturnMax,IWMax,IWMin,Bound,ReturnStepMax,ReturnAbsMax,TimeElapsed,DenMISEMeanLog,Regret,ReturnMean,Regret/t,IWLastEpisode
0.0006079271,0.14999999,1.0576253,1.0,0.9470422,8.077294e-17,8.077294e-17,0.017305799,,0.017305799,20,1,0.9470422,8.077294e-17,,2144233000000.0,0.9904122,0.9470422,0.03494429588317871,0.017305799,0.01807779,0.9470422,0.01807779,8.077294e-17
0.00015198177,0.14999999,-1.0754952,-1.0,0.05820852,0.00012474728,6.237364e-05,0.21124153,,-0.6758414,40,2,0.9470422,0.00012474728,,322208770.0,0.9904122,0.9470422,1.1059703826904297,-0.23229992,0.92498934,0.50262535,0.46249467,
6.754746e-05,0.14999999,0.47996986,0.45454547,0.9464006,1.9206698e-05,0.00033900992,-0.24708705,,-1.0812441,60,3,0.9470422,0.0009978231,,2977.0405,0.9904122,0.9470422,2.0047101974487305,-0.50751823,0.94370866,0.6505504,0.3145696,8.6880205e-23
3.7995444e-05,0.14999999,-0.5815062,-0.5555556,0.42062527,2.6767101,0.67196995,-0.41941595,,-1.3689197,80,4,0.9470422,2.6767101,,332.8523,0.9904122,0.9470422,2.982325792312622,-0.7011695,1.4882033,0.5930692,0.37205082,1.8117069e-10
2.4317082e-05,0.14999999,0.043902293,0.17171717,0.9494663,0.047132436,0.13185602,-0.6199814,,-1.0797323,100,5,0.9494663,0.612131,,21.087679,0.9927386,0.9494663,3.897876501083374,-0.7604228,1.5038571,0.6643486,0.30077142,1.6543556e-05
1.6886865e-05,0.14999999,0.6488755,0.7171717,0.8003294,6.7150346e-10,0.3400006,-0.5129874,,-1.2526715,120,6,0.9494663,1.5484314,,20.169481,0.9927386,0.9494663,4.641342401504517,-0.85030514,1.6686478,0.687012,0.278108,0.00018745278
1.2406674e-05,0.14999999,0.042402357,-0.33333334,0.32777476,10.704618,1.8121665,-0.6280246,,-1.4068222,140,7,0.9494663,10.704618,,14.172095,0.9927386,0.9494663,5.349341630935669,-0.9066331,2.305993,0.6356925,0.32942754,2.4373985e-09
9.498861e-06,0.14999999,-0.57435757,-0.7777778,0.7727706,0.036338966,0.4980664,-0.76937705,,-0.6124382,160,8,0.9494663,2.685022,,12.42317,0.9927386,0.9494663,6.136652708053589,-0.85841686,2.4983425,0.6528272,0.3122928,1.8483174e-06
7.505273e-06,0.14999999,-0.007043682,0.030303031,0.94967437,0.4323368,1.48667,-0.6940379,,-0.7256892,180,9,0.94967437,6.4371643,,7.235863,0.9929849,0.94967437,6.850462436676025,-0.8958999,2.5137877,0.68581027,0.27930975,0.0015765
6.0792704e-06,0.14999999,0.6253371,0.3131313,0.8780224,0.0011032646,0.64958847,-0.45299935,,-0.7841304,200,10,0.94967437,3.8277583,,6.578952,0.9929849,0.94967437,7.696419715881348,-0.83300626,2.6008854,0.7050315,0.2600885,0.42875722
5.0241906e-06,0.14999999,0.7611499,0.85858583,0.34314322,4.718351e-13,0.88305223,-0.9999431,,-0.8793302,220,11,0.94967437,4.536988,,6.5732903,0.9929849,0.94967437,8.507212400436401,-0.88192993,3.2228632,0.6721325,0.29298753,2.157878
4.221716e-06,0.14999999,-0.59609866,-0.4949495,0.25633243,3.2135053,1.286426,-0.72510815,,-0.9663416,240,12,0.94967437,6.1693954,,6.567573,0.9929849,0.94967437,9.375892639160156,-0.8843582,3.9316502,0.63748246,0.32763755,3.2549215e-15
3.5972016e-06,0.14999999,0.4190947,0.5959596,0.94932187,7.780423e-08,1.6733049,-0.67544454,,-0.8091074,260,13,0.94967437,7.0067544,,6.4252005,0.9929849,0.94967437,10.332828283309937,-0.86049247,3.9474478,0.6614702,0.30364984,1.0094255e-13
3.1016684e-06,0.14999999,-1.2694125,-1.0,0.4479575,0.00015349431,0.8864891,-0.6684866,,-0.8832154,280,14,0.94967437,12.050581,,6.338102,0.9929849,0.94967437,11.256133317947388,-0.81654996,4.464611,0.64621925,0.31890076,1.904109e-19
2.7018984e-06,0.14999999,-0.22889388,-0.23232323,0.9439633,6.0697145,0.7531259,-2.6380508,,-0.9521973,300,15,0.94967437,6.0697145,,6.110246,0.9929849,0.94967437,12.157564163208008,-0.9592699,4.4857674,0.66606885,0.29905117,1.5500496e-09
2.3747152e-06,0.14999999,-0.9241671,-0.6969697,0.94544166,0.18121743,0.9013366,-0.6850999,,-0.6769493,320,16,0.94967437,4.9714346,,5.979021,0.9929849,0.94967437,13.174756050109863,-0.96047103,4.5054455,0.6835297,0.28159034,0.040538788
2.103554e-06,0.14999999,-1.1452961,-1.0,0.9483059,0.00013120491,1.2837094,-0.8380935,,-0.72631156,340,17,0.94967437,8.387423,,5.3272123,0.9929849,0.94967437,13.811662912368774,-0.96350455,4.5222588,0.6991048,0.26601523,5.411267
1.8763183e-06,0.14999999,0.1990163,0.01010101,0.9459417,0.61499035,1.194173,-1.2503512,,-0.7834622,360,18,0.94967437,6.3372145,,5.276467,0.9929849,0.94967437,14.685787439346313,-0.9739756,4.541438,0.7128179,0.2523021,1.2142953e-12
1.6840087e-06,0.14999999,0.9385385,1.0,0.5389678,1.836224e-16,0.79316443,-0.82263976,,-0.80393404,380,19,0.94967437,12.353004,,5.119558,0.9929849,0.94967437,15.63752794265747,-0.9625768,4.9675903,0.7036679,0.26145214,3.8927296e-06
1.5198176e-06,0.14999999,-0.35037512,-0.3939394,0.11539183,5.3071704,0.84463614,-0.87893546,,-0.8552273,400,20,0.94967437,5.3071704,,4.939421,0.9929849,0.94967437,16.5730459690094,-0.97519743,5.817319,0.67425406,0.29086596,4.6906236e-17
1.3785193e-06,0.14999999,0.21537505,0.43434343,0.94803756,2.49836e-05,1.142021,-0.64566034,,-0.668662,420,21,0.94967437,7.673442,,4.9120746,0.9929849,0.94967437,17.612468719482422,-0.9689204,5.834402,0.6872914,0.27782863,5.7850693e-06
