LQGsigma_higher,TimeElapsed,LQGmu1_actor,ReturnLastEpisode,IWMean,DenMISEMeanLog,Bound,ReturnStepMax,ReturnMax,LQGmu1_higher,ReturnMin,DenMISELogFirst,ReturnMean,ReturnAbsMax,Delta,IWMax,IWFirstEpisode,Regret/t,TimestepsSoFar,Regret,IWMin,Iteration,DenMISELogLast,IWLastEpisode
0.14999999,14.381331443786621,-0.18396488,0.43036985,0.9555586,-1.0448124,5.026039,0.9871244,0.94356054,-0.17171717,,-0.89227426,0.62578404,0.94356054,1.5198176e-06,6.4395638,6.4259143,0.33933598,400,6.7867203,,20,-0.83893913,0.0031317752
0.14999999,15.113291263580322,-0.97150743,0.9355646,0.71131957,-1.0318149,4.869043,0.9871244,0.94356054,-0.8181818,,-0.66245157,0.6405355,0.94356054,1.3785193e-06,4.774845,0.0002561973,0.32458454,420,6.8162756,,21,-0.6485072,0.00066762604
0.14999999,15.844924688339233,0.51103354,0.9415678,1.2696738,-1.0308423,4.719741,0.9871244,0.94356054,0.47474748,,-0.7089594,0.65421873,0.94356054,1.2560477e-06,6.5677013,0.000914652,0.31090128,440,6.8398285,,22,-0.6914459,3.4560718e-20
0.14999999,16.595635414123535,-0.43419477,0.38675597,0.92715454,-1.0126772,4.69932,0.9871244,0.94356054,-0.41414142,,-0.75336957,0.64259,0.94356054,1.1492007e-06,5.8690557,1.2038844,0.32253003,460,7.41819,,23,-0.78128284,3.1869398e-08
0.14999999,17.868497848510742,-0.89761776,0.943026,1.354834,-1.0032307,4.613843,0.9871244,0.94356054,-1.0,,-0.7449103,0.65510815,0.94356054,1.055429e-06,7.861704,6.049627e-07,0.31001186,480,7.4402847,,24,-0.6572884,0.0041749477
0.14999999,18.709429025650024,0.78713715,0.9426789,0.84588957,-0.97786987,4.5790434,0.9871244,0.94356054,0.7171717,,-0.78573227,0.66661096,0.94356054,9.726833e-07,7.8481283,3.1788733e-07,0.29850906,500,7.4627266,,25,-0.5927022,3.2872857e-25
0.14999999,19.477739095687866,0.2510879,0.21205884,0.5853248,-0.9825836,4.5270915,0.9871244,0.94356054,0.05050505,,-0.82495296,0.6491282,0.94356054,8.993004e-07,4.533456,2.4752903,0.31599182,520,8.215788,,26,-0.8946694,3.7712274e-05
0.14999999,20.270864009857178,-0.8946757,0.49083877,0.6919005,-0.9929188,4.395763,0.9871244,0.94356054,-0.5959596,,-0.77175313,0.6432656,0.94356054,8.3391916e-07,5.4235845,0.069802545,0.3218544,540,8.690069,,27,-0.838041,7.3163153e-07
0.14999999,21.002285718917847,-0.0851866,0.94273585,0.9634532,-0.99371594,4.2621903,0.9871244,0.94356054,-0.23232323,,-0.80553883,0.653961,0.94356054,7.754171e-07,5.5912914,5.126926,0.311159,560,8.712454,,28,-0.68139946,0.00030672803
0.14999999,21.73938822746277,-1.0544988,0.91756785,1.3587506,-0.9877031,4.2494774,0.9871244,0.94356054,-1.0,,-0.6724882,0.6630509,0.94356054,7.2286224e-07,7.1554346,5.62699e-07,0.30206913,580,8.760004,,29,-0.73067087,4.627975e-08
0.14999999,22.477717876434326,0.22452927,0.93938035,1.347831,-0.97187716,4.2174034,0.9871244,0.94356054,0.33333334,,-0.7063898,0.6722619,0.94356054,6.754746e-07,6.85189,0.029748928,0.29285812,600,8.785744,,30,-0.77284825,1.4856005e-18
0.14999999,23.215984106063843,-0.9225992,0.5003867,0.8688479,-0.95837265,4.0777707,0.9871244,0.94356054,-0.8181818,,-0.73818845,0.6667175,0.94356054,6.325984e-07,4.456697,0.0002763546,0.2984025,620,9.250477,,31,-0.8086196,1.9186494e-10
0.14999999,23.920671939849854,0.6889535,0.94192004,1.2249917,-0.9503907,4.059856,0.9871244,0.94356054,1.0,,-0.7699282,0.6753176,0.94356054,5.936788e-07,14.720961,9.712167e-13,0.28980243,640,9.273678,,32,-0.5430969,9.702554e-36
0.14999999,24.66399335861206,0.04365001,0.28527164,0.7761946,-0.9511714,4.01562,0.9871244,0.94356054,-0.05050505,,-0.8006999,0.663498,0.94356054,5.582434e-07,6.0949297,4.745576,0.30162203,660,9.953527,,33,-1.0445192,3.992973e-05
0.14999999,25.386631727218628,0.6966964,0.68185616,1.1491419,-0.9542838,3.965807,0.9871244,0.94356054,0.61616164,,-0.69619215,0.66403794,0.94356054,5.258885e-07,7.3562183,1.1386182e-05,0.30108207,680,10.23679,,34,-0.8058234,0.0040877364
0.14999999,26.128178358078003,-0.90525514,0.28106403,1.3485568,-0.95105785,3.9268084,0.9871244,0.94356054,-1.0,,-0.7251793,0.6530958,0.94356054,4.9626703e-07,6.8762794,5.9314345e-07,0.31202424,700,10.920849,,35,-0.9237363,1.1038985e-27
0.14999999,26.867717266082764,0.2030616,0.94210345,1.0391148,-0.932365,3.9018843,0.9871244,0.94356054,0.15151516,,-0.7533502,0.6611238,0.94356054,4.6907957e-07,6.491432,0.74540925,0.3039962,720,10.943863,,36,-0.5490354,7.680488e-11
0.14999999,27.614224195480347,-0.5749185,0.506014,0.78964037,-0.92861426,3.8947225,0.9871244,0.94356054,-0.41414142,,-0.7602548,0.6569317,0.94356054,4.4406656e-07,6.4064436,1.212202,0.30818832,740,11.402969,,37,-0.7860549,0.0012295735
0.14999999,28.365517377853394,-0.56807464,0.94404507,0.67667466,-0.932768,3.8122592,0.98758864,0.94404507,-0.65656567,,-0.75468606,0.66448724,0.94404507,4.2100217e-07,5.863146,0.019044247,0.30063277,760,11.424046,,38,-0.8420596,5.3233457
0.14999999,28.98733162879944,0.8549168,0.94453454,0.9800804,-0.9364525,3.7910094,0.9880711,0.94453454,0.8181818,,-0.78016055,0.671668,0.94453454,3.996891e-07,7.8003583,5.1276947e-09,0.29345202,780,11.444628,,39,-0.7370493,1.5795747e-18
0.14999999,29.942626953125,-0.71504164,0.16093512,0.9932231,-0.93906736,3.6819835,0.9880711,0.94453454,-0.83838385,,-0.80547833,0.65889966,0.94453454,3.799544e-07,4.627129,0.00016082339,0.30622035,800,12.248814,,40,-0.9715026,1.4954417e-27
0.14999999,30.949069261550903,0.31553474,0.94339633,1.2157758,-0.9332519,3.6841314,0.9880711,0.94453454,0.37373737,,-0.83016694,0.6658386,0.94453454,3.6164613e-07,6.7535386,0.013621812,0.29928142,820,12.270536,,41,-0.66443163,1.8737562e-11
0.14999999,31.91806936264038,-0.49145964,0.47148922,0.847741,-0.92652094,3.672631,0.9880711,0.94453454,-0.53535354,,-0.85393226,0.6612113,0.94453454,3.4462983e-07,5.862355,0.23193069,0.3039087,840,12.764168,,42,-0.81188744,6.1658926e-07
0.14999999,32.80712056159973,0.04611841,0.9437309,0.8284246,-0.9253789,3.667089,0.9880711,0.94453454,-0.1919192,,-0.8719558,0.6677815,0.94453454,3.2878697e-07,6.2759705,6.121416,0.29733855,860,12.785557,,43,-0.69613695,0.7264691
0.14999999,33.82165312767029,0.09798282,0.6688401,1.0345689,-0.9289159,3.6068938,0.9880711,0.94453454,0.09090909,,-0.76185036,0.66780555,0.94453454,3.140119e-07,6.127305,1.562427,0.29731447,880,13.081839,,44,-0.8791559,6.127305
0.14999999,34.784400939941406,-0.9958594,0.57547903,1.1865063,-0.9254916,3.550723,0.9880711,0.94453454,-1.0,,-0.7494294,0.66575384,0.94453454,3.0021093e-07,7.319367,6.07703e-07,0.29936618,900,13.4714775,,45,-0.7752575,1.3384492e-11
0.14999999,35.80069661140442,-0.282346,0.9413279,0.828701,-0.91631085,3.4728923,0.9880711,0.94453454,-0.3939394,,-0.7714083,0.6717445,0.94453454,2.8730017e-07,5.6553555,1.5393269,0.2933755,920,13.49527,,46,-0.6369192,0.0016025126
0.14999999,36.76358604431152,0.27603012,0.93812555,1.0460832,-0.91574013,3.4511576,0.9880711,0.94453454,0.5555556,,-0.7599986,0.6774123,0.94453454,2.7520463e-07,7.3195972,8.817666e-05,0.28770775,940,13.5222645,,47,-0.695028,8.931165e-07
0.14999999,37.757590770721436,0.41572416,0.4796897,1.3687898,-0.91440326,3.468167,0.9880711,0.94453454,0.23232323,,-0.78105015,0.67329305,0.94453454,2.6385726e-07,6.232116,0.22414076,0.29182696,960,14.007694,,48,-0.858954,6.017576
0.14999999,38.50317335128784,1.1029869,0.42903,0.95559055,-0.9062805,3.4282784,0.9880711,0.94453454,1.0,,-0.7970107,0.668308,0.94453454,2.531974e-07,15.070687,9.97879e-13,0.296812,980,14.543789,,49,-0.8284437,0.003090076
0.14999999,39.21787118911743,-0.9963331,0.03540473,0.7922029,-0.9232466,3.4274123,0.9880711,0.94453454,-0.7171717,,-0.8172134,0.65565,0.94453454,2.4317083e-07,5.7542324,0.0047788816,0.30947,1000,15.473499,,50,-1.6330782,1.4472464e-31
0.14999999,39.83803057670593,-1.0430427,0.94104856,1.2488737,-0.9236609,3.4650128,0.9880711,0.94453454,-1.0,,-0.83692044,0.66124606,0.94453454,2.3372819e-07,7.1316433,6.632668e-07,0.30387396,1020,15.497574,,51,-0.7218076,5.472253
0.14999999,40.493191957473755,-0.40264246,0.94014525,0.8376983,-0.91670793,3.4241378,0.9880711,0.94453454,-0.09090909,,-0.85633856,0.6666095,0.94453454,2.248251e-07,6.3759403,5.7887926,0.2985105,1040,15.522545,,52,-0.76111704,1.01434185e-08
