TimestepsSoFar,ReturnAbsMax,IWLastEpisode,ReturnMean,DenMISELogLast,LQGmu1_higher,DenMISEMeanLog,ReturnStepMax,Bound,Iteration,IWMin,IWMax,DenMISELogFirst,Regret/t,IWMean,IWFirstEpisode,LQGmu1_actor,ReturnMin,ReturnLastEpisode,Regret,ReturnMax,TimeElapsed,Delta,LQGsigma_higher
460,0.953255,6.893501e-17,0.72376966,-0.7359687,0.33333334,-0.9396755,0.99639696,4.806299,23,,7.8500147,-0.7186808,0.24135035,0.71404207,0.21882883,0.18018381,,0.95184994,5.551058,0.953255,16.484766006469727,1.1492007e-06,0.14999999
480,0.953255,0.015191049,0.71792036,-0.7696064,0.6969697,-0.9466916,0.99639696,4.6741953,24,,7.3265305,-0.7517711,0.24719965,0.8450775,2.5588217e-05,0.8437026,,0.5833871,5.9327908,0.953255,17.438026905059814,1.055429e-06,0.14999999
500,0.953255,8.0666455e-23,0.697529,-0.89835536,-0.6969697,-0.95343137,0.99639696,4.6064672,25,,5.7016,-0.792592,0.267591,0.76770765,0.0004934171,-0.58199155,,0.20813589,6.6897755,0.953255,18.44163489341736,9.726833e-07,0.14999999
520,0.953255,0.8305092,0.7073419,-0.6929244,-0.2929293,-0.95357406,0.99639696,4.562966,26,,5.39923,-0.831793,0.2577781,1.2957118,1.5953842,-0.3261981,,0.952665,6.7022305,0.953255,18.975630044937134,8.993004e-07,0.14999999
540,0.953255,0.6596099,0.71635234,-0.5513542,-0.030303031,-0.93050236,0.99639696,4.46292,27,,5.9410625,-0.80998135,0.24876767,1.0393065,5.9410625,-0.2394741,,0.9506219,6.716728,0.953255,19.423906803131104,8.3391916e-07,0.14999999
560,0.953255,1.0932335,0.72467995,-0.56135136,-0.4949495,-0.9176641,0.99639696,4.3888865,28,,5.1007867,-0.6474659,0.24044007,1.1485656,0.058935624,-0.5523687,,0.9495263,6.7323227,0.953255,19.932926654815674,7.754171e-07,0.14999999
580,0.953255,0.055864178,0.7325338,-0.58973795,-1.0,-0.9029149,0.99639696,4.2933054,29,,8.739628,-0.68045455,0.2325862,1.0154543,9.061201e-09,-1.1373149,,0.9524436,6.744999,0.953255,20.384679317474365,7.2286224e-07,0.14999999
600,0.953255,4.6079387e-26,0.7397911,-1.3633947,0.5151515,-0.92055935,0.99639696,4.2363696,30,,3.6298394,-0.7143561,0.22532892,0.33289015,0.004831141,0.10131177,,0.9502507,6.7598667,0.953255,20.82813811302185,6.754746e-07,0.14999999
620,0.953255,5.2303753,0.7368853,-0.85873944,0.1919192,-0.9399043,0.99639696,4.298654,31,,6.691706,-0.7469849,0.22823471,1.1167798,1.5770159,0.0770367,,0.64971095,7.0752754,0.953255,21.63775062561035,6.325984e-07,0.14999999
640,0.953255,0.6591336,0.73560536,-0.7317358,-0.23232323,-0.9319284,0.99639696,4.1766834,32,,5.1093187,-0.7291138,0.22951466,1.253613,2.5727084,-0.15890872,,0.69592845,7.344469,0.953255,22.210364818572998,5.936788e-07,0.14999999
660,0.953255,1.2105554e-09,0.74202865,-0.5916898,0.83838385,-0.9155138,0.99639696,4.1165733,33,,8.423041,-0.68255675,0.22309136,1.2428919,1.42551e-07,0.9737458,,0.947574,7.362015,0.953255,22.654746294021606,5.582434e-07,0.14999999
680,0.953255,2.1090937e-29,0.72335327,-1.1672289,-0.7777778,-0.91910577,0.99639696,4.0537844,34,,5.9759293,-0.71240973,0.24176675,0.75841844,3.817192e-05,-0.72944427,,0.1070641,8.220068,0.953255,23.10460376739502,5.258885e-07,0.14999999
700,0.953255,2.793253,0.7299029,-0.72096497,-0.5555556,-0.9210602,0.99639696,4.0280166,35,,5.3970785,-0.7413961,0.2352171,1.041096,0.017857784,-0.52681065,,0.9525912,8.232599,0.953255,23.727980852127075,4.9626703e-07,0.14999999
720,0.953255,0.030798884,0.73609394,-0.58303195,-0.05050505,-0.91155815,0.99639696,4.0175056,36,,5.737261,-0.7690569,0.22902608,1.1524603,5.737261,-0.17249385,,0.95277923,8.244938,0.953255,24.19589853286743,4.6907957e-07,0.14999999
740,0.953255,2.3193429,0.7418052,-0.5914587,-0.35353535,-0.89987195,0.99639696,3.9343057,37,,4.6885614,-0.64858055,0.22331482,1.2954296,0.63136554,-0.46003208,,0.9474128,8.26265,0.953255,24.657003164291382,4.4406656e-07,0.14999999
760,0.953255,0.0068672546,0.74736357,-0.52005816,-1.0,-0.88326263,0.99639696,3.9287815,38,,8.664945,-0.65832883,0.21775645,1.0206032,8.862921e-09,-1.0908204,,0.9530223,8.274744,0.953255,25.103157997131348,4.2100217e-07,0.14999999
780,0.953255,,0.75259095,-1.1289605,1.0,-0.8908087,0.99639696,3.9291997,39,,17.746323,-0.68430436,0.21252906,1.2789183,1.3814874e-10,0.9036226,,0.95123124,8.288631,0.953255,25.556299209594727,3.996891e-07,0.14999999
800,0.953255,4.9775786e-05,0.7378663,-1.0179638,0.17171717,-0.8902073,0.99639696,3.7905679,40,,6.6853437,-0.70962214,0.22725374,1.0419354,1.8658487,0.18534978,,0.16360465,9.090149,0.953255,26.003831148147583,3.799544e-07,0.14999999
820,0.953255,1.5164653e-05,0.7346612,-0.7982626,-0.57575756,-0.8881657,0.99639696,3.7709723,41,,5.3026676,-0.6887238,0.2304588,1.0604105,0.010635304,-0.5713927,,0.60645753,9.448809,0.953255,26.4548237323761,3.6164613e-07,0.14999999
840,0.953255,0.13726272,0.7398476,-0.58575046,-0.17171717,-0.8803239,0.99639696,3.7162333,42,,5.0988626,-0.71256196,0.22527242,1.1322507,3.840807,-0.271432,,0.95248824,9.461443,0.953255,26.91963005065918,3.4462983e-07,0.14999999
860,0.953255,3.3587476e-05,0.74477386,-0.5162695,-1.0,-0.8695439,0.99639696,3.6899462,43,,7.9831643,-0.6485874,0.22034615,1.0341645,8.777008e-09,-1.0107814,,0.9516752,9.474884,0.953255,27.852917909622192,3.2878697e-07,0.14999999
880,0.953255,0.0012660788,0.74947566,-0.8054134,-0.3939394,-0.86867714,0.99639696,3.6822248,44,,4.520647,-0.6715769,0.21564436,1.2693337,0.35936522,-0.2699048,,0.95165503,9.488354,0.953255,28.874154567718506,3.140119e-07,0.14999999
900,0.953255,0.00013247783,0.75396895,-0.49092978,0.41414142,-0.8550678,0.99639696,3.6630132,45,,6.8208513,-0.6859155,0.21115106,0.3795038,0.046715435,0.44144854,,0.9516739,9.501797,0.953255,29.83479356765747,3.0021093e-07,0.14999999
920,0.953255,3.400587e-14,0.74757844,-1.043199,-0.7777778,-0.8727283,0.99639696,3.5931304,46,,5.6096253,-0.7068569,0.21754158,0.77088785,3.796053e-05,-0.8315796,,0.46000507,10.006912,0.953255,30.803719997406006,2.8730017e-07,0.14999999
940,0.953255,5.8042755e-22,0.75193524,-0.681576,0.67676765,-0.8738956,0.99639696,3.5894144,47,,7.4368496,-0.72836226,0.21318477,0.6689701,4.831475e-05,0.6973528,,0.9523491,10.019684,0.953255,31.83374047279358,2.7520463e-07,0.14999999
960,0.953255,1.4975397e-08,0.7428461,-1.0553728,-0.25252524,-0.8849949,0.99639696,3.5395598,48,,4.7048416,-0.7494146,0.22227395,1.2414495,2.203156,-0.21200623,,0.3156567,10.6691475,0.953255,32.79879879951477,2.6385726e-07,0.14999999
980,0.953255,0.9703332,0.7471195,-0.5230845,0.05050505,-0.87339115,0.99639696,3.5325546,49,,6.1296873,-0.725157,0.21800053,1.059462,4.444216,-0.0411309,,0.95224345,10.682026,0.953255,33.84282350540161,2.531974e-07,0.14999999
1000,0.953255,6.909721e-09,0.75092816,-0.6632586,-1.0,-0.8687031,0.99639696,3.500534,50,,7.7482038,-0.6585416,0.21419185,1.0528209,8.864798e-09,-0.98417646,,0.9375549,10.709591,0.953255,34.831077098846436,2.4317083e-07,0.14999999
1020,0.953255,5.632651e-38,0.75486845,-0.74009156,1.0,-0.8661296,0.99639696,3.4583917,51,,15.943984,-0.67834425,0.21025157,1.1339447,1.3732776e-10,1.1132332,,0.9518807,10.722832,0.953255,35.882896184921265,2.3372819e-07,0.14999999
1040,0.953255,1.6395995e-14,0.7418465,-1.6999837,-0.13131313,-0.88111466,0.99639696,3.452301,52,,4.8993344,-0.69776237,0.22327352,1.1498505,4.5647907,-0.2839547,,0.07772836,11.610222,0.953255,36.8647837638855,2.248251e-07,0.14999999
1060,0.953255,2.2957942,0.7458195,-0.499591,-0.45454547,-0.87157714,0.99639696,3.4496279,53,,4.8861237,-0.63266754,0.21930051,1.1605742,0.12515788,-0.51047516,,0.9524165,11.622925,0.953255,37.875028133392334,2.1642118e-07,0.14999999
1080,0.953255,2.9652805,0.7496471,-0.5830666,-0.65656567,-0.86375,0.99639696,3.418636,54,,5.361885,-0.649001,0.21547294,0.89873534,0.0013240722,-0.69264174,,0.9525066,11.63554,0.953255,38.8416953086853,2.0847979e-07,0.14999999
1100,0.953255,2.2198652e-09,0.7533438,-0.68156105,0.2929293,-0.8626145,0.99639696,3.395552,55,,7.6881375,-0.6673256,0.2117762,0.7347316,0.39695668,0.13955644,,0.9529688,11.64769,0.953255,39.84587240219116,2.0096763e-07,0.14999999
1120,0.953255,3.5978676e-09,0.75104606,-0.8315017,-0.83838385,-0.86719716,0.99639696,3.3623192,56,,5.5875525,-0.6781527,0.21407396,0.87529314,4.7496865e-06,-0.88785326,,0.6246694,11.988144,0.953255,40.843191146850586,1.9385428e-07,0.14999999
1140,0.953255,0.0033837175,0.7545753,-0.67315686,-0.3131313,-0.86631197,0.99639696,3.33612,57,,4.4787593,-0.69585216,0.2105447,1.2460806,1.1067064,-0.013732314,,0.9522118,12.001049,0.953255,41.8337664604187,1.8711206e-07,0.14999999
1160,0.953255,5.294589,0.75668293,-0.7315952,0.030303031,-0.8602233,0.99639696,3.356603,58,,5.8309755,-0.6940141,0.20843709,1.133076,4.6600847,0.059676506,,0.87682015,12.089348,0.953255,42.639015674591064,1.8071556e-07,0.14999999
1180,0.953255,7.984418e-11,0.7584029,-0.72453034,-1.0,-0.85619044,0.99639696,3.317195,59,,7.7297597,-0.63382685,0.20671713,1.057666,8.648402e-09,-1.1562331,,0.8581568,12.196312,0.953255,43.109874963760376,1.7464151e-07,0.14999999
