IWMin,Delta,Iteration,ReturnAbsMax,LQGmu1_actor,Bound,ReturnMin,DenMISELogLast,Regret,Regret/t,LQGmu1_higher,ReturnStepMax,TimeElapsed,DenMISELogFirst,LQGsigma_higher,IWLastEpisode,IWMean,IWMax,ReturnLastEpisode,ReturnMax,IWFirstEpisode,TimestepsSoFar,DenMISEMeanLog,ReturnMean
,3.1016684e-06,14,0.9505649,0.5271233,5.9959226,,-0.622937,4.5556984,0.32540703,0.57575756,0.99383134,10.28042221069336,-0.6741205,0.14999999,7.483082e-17,0.26266786,1.3476986,0.9502214,0.9505649,0.42948744,280,-0.84901625,0.639713
,2.7018984e-06,15,0.9505649,-0.5268204,5.801241,,-0.69708145,5.116295,0.34108633,-0.21212122,0.99383134,10.8641197681427,-0.7128968,0.14999999,2.8409386e-05,0.30030733,2.1090994,0.40452233,0.9505649,0.057162814,300,-0.8863274,0.6240337
,2.3747152e-06,16,0.9505649,-0.4333333,5.7162004,,-0.91350377,5.130967,0.32068545,-0.47474748,0.99383134,11.288972616195679,-0.77363175,0.14999999,6.242792,0.6754615,6.242792,0.9504474,0.9505649,6.6575994e-05,320,-0.93066514,0.6444346
,2.103554e-06,17,0.9505649,-0.72698075,5.435779,,-0.6765111,5.145645,0.30268502,-0.83838385,0.99383134,11.742808103561401,-0.8342522,0.14999999,0.13652906,1.0365641,4.897173,0.9504428,0.9505649,3.573619e-11,340,-0.93746436,0.662435
,1.8763183e-06,18,0.9505649,0.16640092,5.2898436,,-0.5696005,5.1609335,0.28671855,0.07070707,0.99383134,12.254939079284668,-0.89141065,0.14999999,3.3979068e-06,1.4595735,6.3817215,0.94983155,0.9505649,3.4171307,360,-0.9187528,0.67840147
,1.6840087e-06,19,0.9505649,0.82744426,5.1786785,,-0.68191284,5.5680046,0.29305285,1.0,0.99383134,12.760544061660767,-0.7716585,0.14999999,1.0342317e-06,1.5173765,14.521919,0.55804867,0.9505649,1.5599933e-05,380,-0.8898185,0.67206717
,1.5198176e-06,20,0.9505649,0.42543244,5.034957,,-0.89687055,6.322156,0.3161078,0.2929293,0.99383134,13.474367618560791,-0.82295096,0.14999999,0.01140188,1.4171833,6.5093336,0.2109687,0.9505649,5.6978445,400,-0.87886274,0.6490122
,1.3785193e-06,21,0.9505649,-0.5557798,4.95006,,-0.8041258,6.839075,0.32567024,-0.6363636,0.99383134,14.171148538589478,-0.6210663,0.14999999,7.82376e-11,1.2176775,5.4396152,0.4482011,0.9505649,1.8780231e-07,420,-0.8612382,0.6394498
,1.2560477e-06,22,0.9509597,-0.8691474,4.860176,,-0.63195795,6.8532352,0.31151068,-1.0,0.9941904,15.010195016860962,-0.66758627,0.14999999,0.062349055,0.9872761,9.011066,0.9509597,0.9509597,7.29459e-15,440,-0.84492326,0.65360934
,1.1492007e-06,23,0.9509597,-0.41078126,4.691303,,-0.6001251,6.868925,0.29864895,-0.3939394,0.9941904,15.979576826095581,-0.71203804,0.14999999,0.03206547,0.64189154,6.0379667,0.94942975,0.9509597,0.0007066205,460,-0.8397295,0.66647106
,1.055429e-06,24,0.9509597,0.5388415,4.634296,,-0.68325126,6.8841743,0.28684062,0.67676765,0.9941904,17.00665307044983,-0.7545669,0.14999999,2.026373e-11,0.6930006,4.722237,0.9498698,0.9509597,0.08237639,480,-0.8493045,0.6782794
,9.726833e-07,25,0.9509597,0.31040618,4.4987574,,-0.92175317,7.452175,0.298087,-0.09090909,0.9941904,17.987236738204956,-0.79196244,0.14999999,0.0009946855,0.636285,5.1635394,0.39712104,0.9509597,0.5112865,500,-0.8655922,0.667033
,8.993004e-07,26,0.9509597,0.43037754,4.5692835,,-0.8646133,7.9224358,0.30470908,0.45454547,0.9941904,18.90846824645996,-0.810938,0.14999999,3.9792876,1.3076584,6.747142,0.49485892,0.9509597,2.162283,520,-0.88035274,0.66041094
,8.3391916e-07,27,0.9509597,-0.6579006,4.4775953,,-0.75751114,8.442095,0.31267017,-0.75757575,0.9941904,19.64793372154236,-0.7687913,0.14999999,1.3614664e-13,1.1709785,5.5082455,0.44546232,0.9509597,1.3946968e-09,540,-0.86773807,0.65244985
,7.754171e-07,28,0.9509597,-0.39567336,4.337645,,-0.5948734,8.45697,0.30203462,-0.53535354,0.9941904,20.19170069694519,-0.8051589,0.14999999,3.453287,1.1376197,5.3350506,0.95024437,0.9509597,9.222148e-06,560,-0.85426015,0.6630854
,7.2286224e-07,29,0.9509597,0.08185985,4.3082027,,-0.7172252,8.472931,0.29217005,0.1919192,0.9941904,20.815618753433228,-0.84024996,0.14999999,0.002536045,1.4321774,6.0756273,0.9491563,0.9509597,5.8471074,580,-0.8467043,0.67294997
