DenMISEMeanLog,IWFirstEpisode,Iteration,DenMISELogFirst,delta,ReturnAbsMax,ReturnMean,ReturnMax,LQGmu1_higher,TimestepsSoFar,ReturnLastEpisode,TimeElapsed,Regret,IWMin,ReturnMin,LQGsigma_higher,DenMISELogLast,LQGmu1_actor,IWMax,ReturnStepMax,Regret/t,IWMean,IWLastEpisode,Bound
0.06478553,4.235253e-08,1,0.06478553,0.0012158542,9.008552,9.008552,9.008552,1.0,20,9.008552,0.11476540565490723,8.351449,,,0.14999999,0.06478553,1.1606165,4.235253e-08,9.894448,8.351449,4.235253e-08,4.235253e-08,19418590000000.0
-0.4583044,9.15807e-12,2,-0.6283616,0.00030396355,9.008552,4.504276,9.008552,-1.0,40,,0.828300952911377,25.711449,,,0.14999999,-0.2882472,-0.93870485,9.15807e-12,9.894448,12.855724,4.579035e-12,,2941645600.0
-0.6438202,0.37705424,3,-1.0338267,0.00013509492,17.25833,8.755627,17.25833,0.46938777,60,17.25833,1.0855200290679932,25.813122,,,0.14999999,-0.20392159,0.504122,0.37705424,19.04794,8.604374,0.12572818,2.3885065e-19,43773.047
-0.7765868,0.0006644904,4,-1.2031173,7.599089e-05,17.25833,8.264421,17.25833,-0.5510204,80,6.790806,1.3568153381347656,36.382317,,,0.14999999,-0.4302753,-0.67141664,0.15409307,19.04794,9.095579,0.03868939,7.361935e-11,5910.614
-0.9590851,9.570729,5,-1.4260948,4.8634163e-05,17.382969,10.088131,17.382969,0.18367347,100,17.382969,1.6951594352722168,36.35935,,,0.14999999,-0.83447,0.099920504,9.570729,19.172138,7.2718697,2.0185199,5.378023e-07,427.86813
-0.8462825,0.0011206188,6,-0.53883946,3.377373e-05,17.382969,9.909068,17.382969,0.71428573,120,9.013751,1.9615280628204346,44.705597,,,0.14999999,-0.5395169,0.8264693,2.0815542,19.172138,7.4509325,0.36848715,0.0010385168,316.73773
-0.909741,4.203703e-07,7,-0.6928034,2.4813347e-05,17.382969,8.90573,17.382969,-0.75510204,140,2.8857062,2.218627691268921,59.17989,,,0.14999999,-0.6847525,-0.5969088,7.341153,19.172138,8.45427,1.5436261,3.8152844e-24,234.56541
-0.8551146,0.14803463,8,-0.8263347,1.8997722e-05,17.382969,9.963047,17.382969,-0.30612245,160,17.364267,2.474337577819824,59.17563,,,0.14999999,-0.6572857,-0.31911784,0.7838238,19.172138,7.3969536,0.16689314,0.7838238,215.61703
-0.9258958,6.4602394,9,-0.92578256,1.5010546e-05,17.382969,10.763082,17.382969,0.06122449,180,17.163359,2.7535295486450195,59.37227,,,0.14999999,-0.71144485,-0.41491342,6.4909973,19.172138,6.596919,1.4720405,0.21761076,124.45772
-0.9003189,0.00819005,10,-0.49009615,1.2158541e-05,17.382969,11.421189,17.382969,-0.42857143,200,17.344156,3.0303313732147217,59.388115,,,0.14999999,-0.8386521,-0.42349043,6.126895,19.172138,5.9388113,1.5345987,6.126895,126.54418
