IWMax,DenMISELogLast,IWMean,DenMISEMeanLog,DenMISELogFirst,delta,ReturnLastEpisode,Regret/t,Bound,ReturnStepMax,ReturnMax,LQGmu1_higher,ReturnMin,IWFirstEpisode,IWLastEpisode,LQGmu1_actor,TimestepsSoFar,Regret,TimeElapsed,ReturnMean,IWMin,Iteration,LQGsigma_higher,ReturnAbsMax
1.4843447e-12,0.9770609,1.4843447e-12,0.9770609,0.9770609,0.0012158542,15.5986,1.7614002,33623921000000.0,17.285246,15.5986,1.0,,1.4843447e-12,1.4843447e-12,0.99314815,20,1.7614002,0.05460524559020996,15.5986,,1,0.14999999,15.5986
4.0465515e-08,0.283991,2.0232758e-08,0.2839524,0.28391376,0.00030396355,0.12434003,9.49853,5093554700.0,17.285246,15.5986,-1.0,,4.0465515e-08,,-0.85330135,40,18.99706,0.723823070526123,7.86147,,2,0.14999999,15.5986
0.006761874,-0.5986588,0.0028749474,-0.28056142,-0.121551335,0.00013509492,17.317568,6.3464975,43922.17,19.10612,17.317568,0.46938777,,0.0018629688,6.3146214e-17,0.743861,60,19.039494,0.916846752166748,11.013503,,3,0.14999999,17.317568
0.8470409,-1.2751653,0.22430174,-0.7442559,-0.4086126,7.599089e-05,4.0667825,8.083178,5934.0957,19.10612,17.317568,-0.5510204,,0.05016607,6.260849e-16,-0.63078237,80,32.33271,1.091991662979126,9.276823,,4,0.14999999,17.317568
0.75471854,-0.71635926,0.15317294,-0.8762838,-0.6192926,4.8634163e-05,17.387896,6.4609632,412.39545,19.175943,17.387896,0.18367347,,0.75471854,2.1580333e-06,0.3541878,100,32.304817,1.2659728527069092,10.899037,,5,0.14999999,17.387896
14.207615,-0.5675133,2.6734354,-0.95295525,-0.66103196,3.377373e-05,7.9624834,6.950389,324.31296,19.175943,17.387896,0.75510204,,3.4467797e-07,0.13184434,0.77430415,120,41.702335,1.4357059001922607,10.409612,,6,0.14999999,17.387896
7.521555,-0.6021502,1.8469083,-0.8227342,-0.81518257,2.4813347e-05,3.6459863,7.916621,239.89133,19.175943,17.387896,-0.75510204,,0.000532532,1.2937806e-22,-0.68515635,140,55.41635,1.6699073314666748,9.443379,,7,0.14999999,17.387896
2.8479724,-0.58341795,0.4403806,-0.74689806,-0.9486379,1.8997722e-05,17.398449,6.9222374,220.2456,19.187332,17.398449,-0.30612245,,2.8479724,0.19573495,-0.39967725,160,55.3779,1.8920304775238037,10.437763,,8,0.14999999,17.398449
5.7358065,-0.73569953,1.2212085,-0.8073555,-0.76188433,1.5010546e-05,17.331656,6.156249,118.874245,19.187332,17.398449,-0.8367347,,4.1480853e-05,0.07958011,-0.8068073,180,55.406242,2.0748579502105713,11.203752,,9,0.14999999,17.398449
7.64131,-0.37028039,0.8039424,-0.7579702,-0.8672402,1.2158541e-05,17.346924,5.541932,119.26106,19.187332,17.398449,0.3469388,,0.064846195,5.4815945e-13,0.34997636,200,55.41932,2.2466115951538086,11.8180685,,10,0.14999999,17.398449
4.8209276,-0.58402026,0.5256985,-0.77360636,-0.9560867,1.0048381e-05,7.989484,5.889985,119.62315,19.187332,17.398449,0.020408163,,4.8209276,0.42678714,-0.054096974,220,64.78983,2.4241220951080322,11.470016,,11,0.14999999,17.398449
7.114731,-0.6307772,0.9690173,-0.8040132,-0.6796598,8.443432e-06,14.054832,5.6745834,118.34081,19.187332,17.398449,-0.42857143,,0.5279912,0.22150964,-0.4917132,240,68.095,2.5995960235595703,11.685417,,12,0.14999999,17.398449
