IWMin,IWFirstEpisode,ReturnMin,ReturnMean,ReturnMax,Iteration,delta,ReturnLastEpisode,DenMISEMeanLog,ReturnStepMax,IWMax,DenMISELogFirst,ReturnAbsMax,Regret,IWMean,IWLastEpisode,DenMISELogLast,Bound,LQGmu1_actor,LQGmu1_higher,TimestepsSoFar,Regret/t,LQGsigma_higher,TimeElapsed
,1.04319175e-13,,16.523678,16.523678,1,0.0012158542,16.523678,0.8943683,18.273535,1.04319175e-13,0.8943683,16.523678,0.8363228,1.04319175e-13,1.04319175e-13,0.8943683,35617990000000.0,1.0040467,1.0,20,0.8363228,0.14999999,0.03411722183227539
,3.552938e-07,,8.261839,16.523678,2,0.00030396355,,0.24294579,18.273535,3.552938e-07,0.20122112,16.523678,18.196323,1.776469e-07,,0.28467047,5395628500.0,-1.1184936,-1.0,40,9.098162,0.14999999,0.5623619556427002
,0.00047129736,,11.240752,17.198578,3,0.00013509492,17.198578,-0.25249514,18.98805,0.0052293264,-0.20424381,17.198578,18.357746,0.0019002078,1.9008095e-24,-0.4324469,43620.37,0.59097624,0.46938777,60,6.1192484,0.14999999,0.8351290225982666
,0.14908442,,9.911771,17.198578,4,7.599089e-05,5.9248266,-0.58051586,18.98805,0.14908442,-0.4917688,17.198578,29.79292,0.038336813,1.392887e-12,-0.70343053,5890.12,-0.9571502,-0.5510204,80,7.44823,0.14999999,1.02541184425354
,0.3716397,,11.376255,17.234192,5,4.8634163e-05,17.234192,-0.76454526,19.023067,0.3716397,-0.67831904,17.234192,29.918728,0.10799481,1.3954185e-12,-0.64574707,407.83496,0.13720645,0.18367347,100,5.9837456,0.14999999,1.2102131843566895
,2.325964e-07,,10.969089,17.234192,6,3.377373e-05,8.933252,-0.86019546,19.023067,5.5626287,-0.7889453,17.234192,38.345474,1.0821234,0.0027652388,-0.5316466,317.18494,0.56623256,0.71428573,120,6.390912,0.14999999,1.3726813793182373
,4.2884603,,10.285722,17.234192,7,2.4813347e-05,6.1855254,-0.837339,19.023067,4.2884603,-0.9430959,17.234192,49.51995,0.62228215,2.1395297e-07,-0.57549274,218.87259,-0.29942086,-0.30612245,140,7.074279,0.14999999,1.5462796688079834
,0.0006300851,,11.141517,17.234192,8,1.8997722e-05,17.132076,-0.8626729,19.023067,4.5547338,-0.5987565,17.234192,49.74787,0.7070818,0.020099659,-0.5927616,220.764,-0.8169434,-0.79591835,160,6.218484,0.14999999,1.7693333625793457
,8.8947166e-07,,11.830526,17.34261,9,1.5010546e-05,17.34261,-0.8851476,19.132193,7.9200306,-0.71646076,17.34261,49.765266,1.7839922,2.5502958,-0.70268834,122.10565,-1.066662,-1.0,180,5.5294743,0.14999999,1.9378578662872314
,2.9018745,,12.367576,17.34261,10,1.2158541e-05,17.201021,-0.8176872,19.132193,5.515291,-0.8218212,17.34261,49.924248,0.9048855,1.958174e-11,-0.62587464,122.05207,-0.07878827,0.020408163,200,4.992425,0.14999999,2.1197469234466553
,0.01653653,,12.62843,17.34261,11,1.0048381e-05,15.236981,-0.8132839,19.132193,2.550012,-0.66234386,17.34261,52.04727,0.60164565,0.08391589,-0.5715129,117.05574,0.38319123,0.3469388,220,4.7315702,0.14999999,2.3014237880706787
,1.3624823e-09,,12.223374,17.34261,12,8.443432e-06,7.7677665,-0.83284235,19.132193,5.571582,-0.74785304,17.34261,61.63951,0.7257758,0.052189127,-0.64008695,115.84486,0.7059945,0.8367347,240,5.1366262,0.14999999,2.477834463119507
,1.9495903,,11.634395,17.34261,13,7.194403e-06,4.566637,-0.85664696,19.132193,6.1751356,-0.8278957,17.34261,74.43288,0.6848851,1.7014728e-11,-0.80906,112.086395,-0.40092066,-0.3877551,260,5.725606,0.14999999,2.724766969680786
,0.01680215,,12.040881,17.34261,14,6.203337e-06,17.325209,-0.87254196,19.132193,4.087974,-0.76226914,17.34261,74.46767,0.47462535,1.0307089,-0.70279413,109.494774,-0.8337194,-0.67346936,280,5.3191195,0.14999999,2.904400110244751
,2.0392828e-05,,12.39328,17.34261,15,5.403797e-06,17.326853,-0.89654773,19.132193,7.4594216,-0.83006257,17.34261,74.500824,1.5054358,1.306813e-19,-0.70052934,106.4892,0.58214885,0.59183675,300,4.9667206,0.14999999,3.0864293575286865
,6.4351153,,11.994894,17.34261,16,4.7494304e-06,6.0191107,-0.8654432,19.132193,6.4351153,-0.89459974,17.34261,85.841705,1.1651021,1.16236615e-05,-0.6923242,103.6102,0.26864672,-0.18367347,320,5.3651066,0.14999999,3.275489330291748
,5.5375647e-05,,11.786228,17.34261,17,4.207108e-06,8.44756,-0.8655593,19.132193,5.819128,-0.6171857,17.34261,94.75412,1.3940942,1.3910073e-12,-0.91570544,100.70313,-0.72440255,-0.877551,340,5.5737724,0.14999999,3.459243059158325
,5.007793e-13,,12.096148,17.364767,18,3.7526365e-06,17.364767,-0.8414997,19.152634,10.485914,-0.67434084,17.364767,94.74936,0.65271544,1.0567274e-28,-0.68382347,93.24943,1.0574664,1.0,360,5.263853,0.14999999,3.6807949542999268
,0.3907289,,11.459508,17.364767,19,3.3680174e-06,,-0.8807857,19.152634,7.0534825,-0.7284081,17.364767,112.109375,0.97351635,3.5677692e-07,-1.1426435,92.23349,0.0018107146,0.18367347,380,5.9004927,0.14999999,3.86387300491333
,9.284454e-07,,11.349185,17.364767,20,3.0396352e-06,9.253059,-0.8814808,19.152634,7.9077473,-0.7593453,17.364767,120.21631,1.3552622,1.195583e-09,-0.77995646,89.439926,-0.847363,-1.0,400,6.0108156,0.14999999,4.0455241203308105
,0.39966536,,11.633247,17.364767,21,2.7570386e-06,17.314476,-0.8574275,19.152634,5.1025953,-0.8081354,17.364767,120.26181,0.5506183,0.38394052,-0.5906874,87.371056,-0.472607,-0.5102041,420,5.726753,0.14999999,4.229053258895874
,0.00243307,,11.892028,17.364767,22,2.5120953e-06,17.326431,-0.8727713,19.152634,5.438617,-0.83580256,17.364767,120.29541,1.048985,0.93862873,-0.7318935,85.44227,-0.8472715,-0.75510204,440,5.4679728,0.14999999,4.413661003112793
,4.122637,,12.128053,17.364767,23,2.2984013e-06,17.320614,-0.856848,19.152634,6.593425,-0.88014376,17.364767,120.33481,1.0091497,1.0979027e-06,-0.4931107,84.15795,-0.02546332,-0.020408163,460,5.231948,0.14999999,4.604889631271362
,0.00025157575,,12.073298,17.364767,24,2.110858e-06,10.813929,-0.8531959,19.152634,7.310393,-0.7578289,17.364767,126.88086,1.3261095,0.009167593,-0.70617414,83.01119,0.42358267,0.5102041,480,5.286702,0.14999999,4.790037631988525
,4.650439,,11.889209,17.364767,25,1.9453666e-06,7.4710755,-0.8451389,19.152634,6.145743,-0.79864043,17.364767,136.76978,0.9121397,0.00016491362,-0.85768175,81.82082,-0.6789323,-0.26530612,500,5.470792,0.14999999,4.991445779800415
,0.00067476113,,12.101113,17.39871,26,1.7986008e-06,17.39871,-0.8452562,19.187853,4.913052,-0.66726005,17.39871,136.73108,1.300829,4.0070395,-0.7139985,79.61171,-0.57409316,-0.79591835,520,5.2588873,0.14999999,5.180831432342529
,4.208727e-08,,12.297042,17.39871,27,1.6678383e-06,17.39119,-0.83279717,19.187853,7.310766,-0.7049744,17.39871,136.69989,0.8395552,4.932957e-17,-0.73514813,78.35019,0.65642107,0.75510204,540,5.0629587,0.14999999,5.372061014175415
,0.043368332,,12.042917,17.39871,28,1.5508342e-06,5.181562,-0.8407078,19.187853,7.0554447,-0.74134207,17.39871,148.87833,0.98550946,0.40795052,-0.8520788,78.39838,0.2823598,0.30612245,560,5.3170834,0.14999999,5.689794063568115
,0.19787382,,11.916567,17.39871,29,1.4457245e-06,8.378766,-0.8422894,19.187853,5.888248,-0.7748857,17.39871,157.85956,0.90329045,1.1915473e-06,-0.8153983,78.45259,-0.5186464,-0.5510204,580,5.443434,0.14999999,6.093328237533569
,9.68892e-07,,12.098098,17.39871,30,1.3509492e-06,17.362473,-0.8416765,19.187853,8.024582,-0.8019872,17.39871,157.85712,1.0808095,0.030752584,-0.6889546,75.20232,-0.8586887,-1.0,600,5.261903,0.14999999,6.496565580368042
,1.254681,,12.266213,17.39871,31,1.2651968e-06,17.309683,-0.8307255,19.187853,5.721425,-0.834777,17.39871,157.90741,0.8864638,0.07294019,-0.5148344,73.625435,-0.5140543,-0.42857143,620,5.093787,0.14999999,6.906843423843384
,0.017923053,,12.4261055,17.39871,32,1.1873576e-06,17.38277,-0.82873136,19.187853,4.86773,-0.8268497,17.39871,157.88464,1.117926,2.7973075,-0.6152128,72.96654,-0.71387833,-0.67346936,640,4.933895,0.14999999,7.314568519592285
,2.0828578,,12.576827,17.3999,33,1.1164868e-06,17.3999,-0.8159165,19.189236,6.366148,-0.85706145,17.3999,157.84473,0.94189024,6.8951904e-06,-0.48789912,73.074036,0.24863428,0.06122449,660,4.7831736,0.14999999,7.7280590534210205
,5.826197e-13,,12.45815,17.3999,34,1.051777e-06,8.541813,-0.8211153,19.189236,13.10349,-0.82570934,17.3999,166.6629,0.78347063,2.3021941e-05,-0.8883242,73.09306,1.0749086,1.0,680,4.9018507,0.14999999,8.146549463272095
,2.090143e-05,,12.102202,17.3999,35,9.925341e-07,,-0.847806,19.189236,7.5008445,-0.85469687,17.3999,184.02295,1.2512759,0.06323699,-1.446696,70.27567,0.6848306,0.59183675,700,5.257798,0.14999999,8.52632999420166
,0.00025516585,,11.900326,17.3999,36,9.3815913e-07,4.834635,-0.8448733,19.189236,4.7918925,-0.88286716,17.3999,196.54828,1.2247038,2.9952024e-22,-0.9099856,69.838326,-1.0607823,-0.8367347,720,5.459675,0.14999999,8.939866542816162
,6.5366774,,12.043576,17.3999,37,8.881331e-07,17.200583,-0.84431535,19.189236,6.5366774,-0.910259,17.3999,196.7077,0.7522201,2.722314e-07,-1.0012058,69.53021,-0.2977736,-0.18367347,740,5.3164244,0.14999999,9.236068964004517
