ReturnLastEpisode,IWMax,ReturnMin,IWMin,IWFirstEpisode,delta,DenMISELogFirst,Iteration,DenMISEMeanLog,Bound,ReturnMax,IWLastEpisode,Regret,ReturnAbsMax,Regret/t,IWMean,TimestepsSoFar,LQGsigma_higher,LQGmu1_actor,ReturnMean,LQGmu1_higher,TimeElapsed,DenMISELogLast,ReturnStepMax
7.6633754,6.1872306,,,2.079384,2.110858e-06,-0.81191117,24,-0.9729989,84.296936,17.419645,0.00034596748,123.43436,17.419645,5.143098,0.82273483,480,0.14999999,-0.118573174,12.216903,-0.26530612,11.731154441833496,-0.826069,19.209023
15.956698,20.100216,,,1.5045555e-10,1.9453666e-06,-0.7696419,25,-0.9726825,83.21505,17.419645,4.707342e-12,124.83765,17.419645,4.9935064,1.4182651,500,0.14999999,1.1149782,12.366494,1.0,12.138245820999146,-0.7445038,19.209023
,5.282948,,,1.3195278e-06,1.7986008e-06,-0.80886257,26,-0.99074215,81.18309,17.419645,6.3503775e-38,142.19766,17.419645,5.469141,1.2719756,520,0.14999999,-0.9108198,11.89086,-0.877551,12.548100709915161,-1.5981606,19.209023
17.277855,7.5176506,,,3.8168514e-06,1.6678383e-06,-0.84660286,27,-0.96751064,78.802124,17.419645,7.672929e-27,142.27982,17.419645,5.269622,0.84304005,540,0.14999999,0.545931,12.090379,0.75510204,12.946527242660522,-0.5629636,19.209023
6.3910966,6.23351,,,6.0140038,1.5508342e-06,-0.88297033,28,-0.97338045,78.355736,17.419645,0.00059173355,153.24872,17.419645,5.4731684,1.0339583,560,0.14999999,-0.15946004,11.886832,-0.10204082,13.357400894165039,-0.9197533,19.209023
16.57071,7.20963,,,0.0820311,1.4457245e-06,-0.7234939,29,-0.96465325,75.23329,17.419645,0.006838913,154.03796,17.419645,5.311654,1.0190941,580,0.14999999,0.25044015,12.0483465,0.3877551,13.770424127578735,-0.691012,19.209023
8.533607,8.556541,,,9.758292e-09,1.3509492e-06,-0.7545707,30,-0.96249336,74.88251,17.419645,5.0728236e-15,162.86444,17.419645,5.428814,1.0390949,600,0.14999999,-1.4138397,11.931187,-1.0,14.181375980377197,-0.8536227,19.209023
17.179644,5.9618006,,,0.4434579,1.2651968e-06,-0.78736055,31,-1.0886277,74.810524,17.419645,2.3492209e-08,163.04477,17.419645,5.259508,0.7416789,620,0.14999999,-0.50263757,12.1004925,-0.3877551,14.582463502883911,-4.851884,19.209023
17.373627,5.43268,,,0.0029201407,1.1873576e-06,-0.80490553,32,-1.0868583,75.17453,17.419645,3.8556423,163.03113,17.419645,5.0947227,1.0330774,640,0.14999999,-0.55923855,12.265278,-0.63265306,14.836230039596558,-0.74700123,19.209023
17.35414,6.915392,,,2.7506828,1.1164868e-06,-0.8355859,33,-1.0733968,73.965416,17.419645,8.798832e-05,163.03699,17.419645,4.9405155,1.0144223,660,0.14999999,0.2782191,12.419485,0.14285715,15.031652688980103,-0.6376988,19.209023
8.3998995,4.777377,,,2.2615855e-05,1.051777e-06,-0.7853771,34,-1.0675305,70.4407,17.419645,4.505611e-11,171.99707,17.419645,5.0587387,1.1600285,680,0.14999999,-0.7475848,12.301262,-0.79591835,15.36034345626831,-0.83806986,19.209023
17.392094,5.1050873,,,0.021272931,9.925341e-07,-0.81436396,35,-1.0479736,69.68114,17.419645,1.8533247,171.96503,17.419645,4.913286,0.9842194,700,0.14999999,-0.52227545,12.446714,-0.5510204,15.743635416030884,-0.49741265,19.209023
17.376469,6.0229692,,,5.034794,9.3815913e-07,-0.84192723,36,-1.0362211,69.691605,17.419645,0.19289145,171.94855,17.419645,4.776348,0.9460904,720,0.14999999,-0.26484594,12.5836525,-0.14285715,16.161412954330444,-0.5752637,19.209023
17.022081,9.014775,,,9.602003e-09,8.881331e-07,-0.7384248,37,-1.029901,68.94909,17.419645,3.2679953e-05,172.28644,17.419645,4.65639,1.0576397,740,0.14999999,-1.1064967,12.70361,-1.0,16.58366894721985,-0.7031045,19.209023
17.20045,8.026671,,,0.00065627927,8.4200434e-07,-0.765093,38,-1.0325869,68.275314,17.419645,1.2012361e-27,172.44604,17.419645,4.5380526,0.82811534,760,0.14999999,0.50101626,12.821948,0.59183675,17.011507749557495,-1.1317433,19.209023
6.8192277,4.875233,,,0.7957045,7.993782e-07,-0.79105127,39,-1.0355604,68.03776,17.419645,7.7863206e-07,182.98676,17.419645,4.691968,0.87989515,780,0.14999999,-0.4433162,12.668033,-0.3469388,17.44573950767517,-0.9344897,19.209023
17.328762,17.782873,,,1.5450044e-10,7.599088e-07,-0.7961717,40,-1.028929,68.100525,17.419645,3.9159735e-20,183.018,17.419645,4.57545,1.203241,800,0.14999999,1.0136327,12.784551,1.0,17.874667167663574,-0.6276623,19.209023
,7.1175613,,,0.37770504,7.2329226e-07,-0.8208643,41,-1.033464,67.01629,17.419645,0.0001398279,200.37799,17.419645,4.887268,1.1391989,820,0.14999999,0.3104873,12.472733,0.30612245,18.30855417251587,-1.2705165,19.209023
8.226943,4.974522,,,0.008395633,6.8925965e-07,-0.83579177,42,-1.0275393,66.19765,17.419645,8.7658194e-08,209.51099,17.419645,4.9883575,1.0842788,840,0.14999999,-0.6915516,12.371643,-0.59183675,18.74215340614319,-0.8650836,19.209023
17.395206,8.424126,,,1.0833797e-08,6.5757393e-07,-0.85912234,43,-1.0150841,65.58391,17.419645,0.55360454,209.47589,17.419645,4.8715324,1.089214,860,0.14999999,-1.0107814,12.488468,-1.0,19.178165674209595,-0.544745,19.209023
17.198685,6.1946144,,,5.8066187,6.280238e-07,-0.8821119,44,-1.0075779,64.95172,17.419645,2.990762e-10,209.63715,17.419645,4.7644806,0.84018445,880,0.14999999,0.14444277,12.59552,0.020408163,19.616610765457153,-0.7215407,19.209023
8.914697,7.4057546,,,8.0346035e-07,6.0042186e-07,-0.7806265,45,-1.0084119,64.78959,17.419645,0.0005042443,218.08246,17.419645,4.846277,0.7333985,900,0.14999999,0.8232255,12.513723,0.79591835,20.081971168518066,-0.86093485,19.209023
2.9344277,4.8240848,,,8.6249696e-05,5.7460034e-07,-0.8026054,46,-1.0154788,64.543495,17.419645,6.812334e-24,232.50806,17.419645,5.0545225,1.132324,920,0.14999999,-0.8089039,12.305478,-0.75510204,20.556023120880127,-1.0366889,19.209023
