ReturnMin,DenMISEMeanLog,delta,Regret/t,ReturnAbsMax,TimeElapsed,TimestepsSoFar,IWFirstEpisode,ReturnMax,LQGmu1_higher,LQGsigma_higher,DenMISELogFirst,Iteration,Bound,LQGmu1_actor,DenMISELogLast,IWMean,Regret,ReturnStepMax,IWMax,IWLastEpisode,ReturnLastEpisode,ReturnMean,IWMin
,-0.7878871,2.110858e-06,5.1527605,17.387848,10.238465547561646,480,3.74207e-08,17.387848,-0.877551,0.14999999,-0.80947775,24,83.42442,-0.8259687,-0.78955686,1.1958094,123.66626,19.17718,5.7152996,8.694418e-12,8.624992,12.20724,
,-0.7723106,1.9453666e-06,4.9484873,17.387848,10.637075901031494,500,0.007976463,17.387848,0.59183675,0.14999999,-0.8502998,25,81.92904,0.5848998,-0.5192315,1.3253442,123.71216,19.17718,7.6345525,1.7789596e-19,17.314108,12.411513,
,-0.7673355,1.7986008e-06,5.1954737,17.387848,11.03698182106018,520,5.0503907,17.387848,-0.06122449,0.14999999,-0.88920146,26,80.9649,-0.025621463,-0.8413247,1.051604,135.0823,19.17718,6.415223,0.0005769521,5.9898806,12.164527,
,-0.7659213,1.6678383e-06,5.1821394,17.387848,11.439262866973877,540,1.5673271e-05,17.387848,-0.71428573,0.14999999,-0.74942696,27,78.396225,-0.7059535,-0.7131336,1.3682436,139.91779,19.17718,4.7329397,0.0001437027,12.524505,12.177861,
,-0.7440881,1.5508342e-06,4.9956074,17.400778,11.906819581985474,560,2.0671992e-05,17.400778,0.79591835,0.14999999,-0.785794,28,76.86038,0.9095345,-0.45312834,1.0000725,139.87701,19.190351,6.463207,7.122868e-22,17.400778,12.364393,
,-0.755307,1.4457245e-06,5.367731,17.400778,12.309247732162476,580,1.796083e-10,17.400778,-1.0,0.14999999,-0.8208846,29,74.486176,-0.8938493,-1.0122236,0.5758086,155.66418,19.190351,3.9525476,4.718541e-35,1.5728012,11.9922695,
,-0.76328087,1.3509492e-06,5.1911507,17.400778,12.716868162155151,600,0.043362387,17.400778,-0.42857143,0.14999999,-0.85478616,30,74.30171,-0.49847105,-0.5624368,0.76551056,155.73456,19.190351,5.8882723,0.038001616,17.289682,12.16885,
,-0.76671773,1.2651968e-06,5.024065,17.400778,13.1220121383667,620,4.19234,17.400778,0.18367347,0.14999999,-0.8861316,31,73.49796,0.17331141,-0.6104418,0.9159124,155.74603,19.190351,7.040319,0.00015816887,17.348494,12.335936,
,-0.77183986,1.1873576e-06,5.133589,17.400778,13.581487655639648,640,3.9758984e-06,17.400778,-0.75510204,0.14999999,-0.79103905,32,73.55377,-0.69149643,-0.79890645,1.4111657,164.27484,19.190351,4.536773,2.838532e-08,8.831178,12.226412,
,-0.75153065,1.1164868e-06,4.976961,17.400778,13.988627672195435,660,1.9041953,17.400778,-0.18367347,0.14999999,-0.8218106,33,72.46261,-0.10536755,-0.4507672,0.8914971,164.23972,19.190351,6.1712937,0.013543993,17.395134,12.383039,
,-0.75511116,1.051777e-06,4.874592,17.400778,14.397364139556885,680,9.063552e-09,17.400778,1.0,0.14999999,-0.7955641,34,72.58874,0.9113885,-0.7273445,0.75168127,165.73608,19.190351,9.3676,8.887114e-12,15.863602,12.485409,
,-0.77116036,9.925341e-07,5.1872587,17.400778,14.811618089675903,700,0.10959676,17.400778,0.46938777,0.14999999,-0.82455164,35,72.02768,0.634171,-1.0107496,1.0047005,181.55408,19.190351,6.391228,0.09513043,1.542064,12.172742,
,-0.77720267,9.3815913e-07,5.374196,17.400778,15.230822563171387,720,0.0007711076,17.400778,-0.59183675,0.14999999,-0.8495961,36,70.41406,-0.60674095,-0.94282234,1.1323947,193.47107,19.190351,4.966939,2.1277854e-14,5.4430084,11.985805,
,-0.7673633,8.881331e-07,5.228859,17.400778,15.649941682815552,740,6.311447,17.400778,0.020408163,0.14999999,-0.8769736,37,69.98125,-0.016406024,-0.5093429,1.0964491,193.46777,19.190351,6.311447,0.00070816505,17.363258,12.131142,
,-0.7650839,8.4200434e-07,5.2648125,17.400778,16.077795267105103,760,8.5897955e-07,17.400778,-0.79591835,0.14999999,-0.7461428,38,68.2349,-0.73618156,-0.7272538,1.3172872,200.0629,19.190351,4.608984,7.522097e-06,10.764926,12.095188,
,-0.74945873,7.993782e-07,5.1295404,17.400778,16.498697757720947,780,0.00026870662,17.400778,0.71428573,0.14999999,-0.7721183,39,66.29051,0.7985855,-0.42372882,1.2165365,200.0521,19.190351,7.551492,2.0163012e-20,17.370779,12.23046,
,-0.75038433,7.599088e-07,5.352846,17.400778,16.98364782333374,800,0.0002223988,17.400778,-0.63265306,0.14999999,-0.7974292,40,66.060745,-0.59062266,-0.9420326,1.2404602,214.11383,19.190351,4.4725113,1.159925e-19,3.2982628,12.007154,
,-0.7386529,7.2329226e-07,5.2212973,17.400778,17.410531282424927,820,0.3945381,17.400778,-0.30612245,0.14999999,-0.82211626,41,65.81667,-0.17393827,-0.47357583,0.7267343,214.07318,19.190351,5.689705,0.7068634,17.400633,12.138703,
,-0.7458503,6.8925965e-07,5.1145315,17.400778,17.832458972930908,840,3.8124516,17.400778,-0.10204082,0.14999999,-0.8366369,42,66.14393,0.091030754,-0.7520314,1.1362289,214.8103,19.190351,5.7544403,5.029601,16.622816,12.245469,
,-0.74565756,6.5757393e-07,5.189329,17.400778,18.258453607559204,860,1.2576647,17.400778,0.30612245,0.14999999,-0.7732811,43,65.221466,0.11230484,-0.8271433,0.8017078,223.14117,19.190351,6.726943,2.175429,9.029206,12.170671,
,-0.7523388,6.280238e-07,5.2616215,17.400778,18.747131824493408,880,1.7026164e-10,17.400778,-1.0,0.14999999,-0.76744217,44,64.929756,-1.1748348,-0.81491923,0.5181036,231.51135,19.190351,4.1532583,6.89156e-12,8.989821,12.098379,
,-0.79020315,6.0042186e-07,5.1483154,17.400778,19.177949905395508,900,5.82294,17.400778,0.06122449,0.14999999,-0.789915,45,63.539726,0.041939244,-1.969468,1.2236508,231.6742,19.190351,5.939894,3.4273298e-14,17.197153,12.211685,
,-0.78414744,5.7460034e-07,5.2158785,17.400778,19.61452579498291,920,0.005702683,17.400778,-0.5102041,0.14999999,-0.6902086,46,63.018826,-0.4380452,-0.6888507,0.9238297,239.93042,19.190351,5.220998,0.0060500666,9.103846,12.144122,
,-0.7834445,5.5040925e-07,5.1050787,17.400778,20.054313898086548,940,8.333538e-09,17.400778,1.0,0.14999999,-0.7115908,47,62.905643,1.0145695,-0.65324676,0.80238837,239.93872,19.190351,9.606255,5.6301893e-20,17.351646,12.254922,
,-0.7983854,5.277145e-07,5.3603897,17.400778,20.50101590156555,960,1.6443884e-10,17.400778,-1.0,0.14999999,-0.73264426,48,62.62289,-1.0356426,-1.2574967,0.6948355,257.2987,19.190351,10.30772,,,11.999611,
,-0.8090474,5.063948e-07,5.2543325,17.400778,20.94876265525818,980,3.8285066e-06,17.400778,-0.75510204,0.14999999,-0.75326353,49,61.71611,-0.5432125,-0.99208564,1.2261015,257.46228,19.190351,4.4212,1.2477112,17.1964,12.105668,
,-0.800427,4.8634166e-07,5.1482916,17.407722,21.392306089401245,1000,0.01921565,17.407722,0.5510204,0.14999999,-0.77346617,50,61.476646,0.6000276,-0.5715752,1.0261681,257.41455,19.196037,7.961456,1.31064e-11,17.407722,12.211709,
,-0.8043297,4.6745637e-07,5.273489,17.407722,21.844787120819092,1020,0.04075958,17.407722,-0.42857143,0.14999999,-0.7928845,51,61.524174,-0.3418545,-0.97648776,0.8570087,268.94794,19.196037,5.570774,4.3451057e-10,5.8266764,12.086512,
,-0.8058837,4.496502e-07,5.1743383,17.407722,22.314093589782715,1040,1.8846699,17.407722,-0.18367347,0.14999999,-0.81150377,52,61.08251,-0.17338508,-0.72440106,0.9754573,269.0656,19.196037,5.796054,3.1473308,17.242277,12.185662,
,-0.80471724,4.3284237e-07,5.090191,17.407722,22.750133991241455,1060,4.747926,17.407722,0.14285715,0.14999999,-0.79494965,53,59.546715,0.056614377,-0.69449025,1.0738786,269.7801,19.196037,6.5431967,0.5770919,16.645517,12.26981,
,-0.80270374,4.1695958e-07,5.1493454,17.407722,23.193577766418457,1080,0.0006827153,17.407722,-0.59183675,0.14999999,-0.72784626,54,59.357025,-0.6076935,-0.7338912,1.1088511,278.0647,19.196037,4.5696344,0.0004846288,9.075471,12.210655,
,-0.7950943,4.0193527e-07,5.0548,17.410635,23.637260913848877,1100,1.9869145e-05,17.410635,0.79591835,0.14999999,-0.74618274,55,59.115494,0.5001664,-0.46896192,1.1532136,278.01404,19.199747,8.421619,4.1192623e-19,17.410635,12.305201,
,-0.79750913,3.8770855e-07,5.152625,17.410635,24.10975670814514,1120,1.6971047e-10,17.410635,-1.0,0.14999999,-0.76420087,56,59.15873,-1.0511938,-1.0379317,0.72604287,288.547,19.199747,9.8296,1.4323311e-21,6.8269744,12.207376,
,-0.80719316,3.7422413e-07,5.065151,17.410635,24.550362586975098,1140,4.53654,17.410635,-0.06122449,0.14999999,-0.78190047,57,58.714336,-0.2138781,-1.0517834,1.2054293,288.71362,19.199747,5.6236877,2.6500389e-09,17.193356,12.294849,
,-0.8027009,3.6143112e-07,4.987974,17.410635,24.995635509490967,1160,0.3572057,17.410635,-0.30612245,0.14999999,-0.72271234,58,59.075787,-0.28535432,-0.7171086,0.8832024,289.3025,19.199747,5.3809934,4.509565,16.77119,12.372026,
,-0.80261797,3.4928303e-07,4.9087296,17.410635,25.493780851364136,1180,0.2084828,17.410635,0.42857143,0.14999999,-0.73366696,59,58.231567,0.7040194,-0.66492474,0.8450457,289.615,19.199747,7.509224,6.2313025e-05,17.047468,12.451271,
,-0.8096835,3.377373e-07,5.0397177,17.410635,25.830384731292725,1200,1.8039376e-07,17.410635,-0.8367347,0.14999999,-0.7469467,60,57.789543,-0.7117181,-1.0487033,1.0366035,302.38312,19.199747,4.93915,9.32309e-23,4.5919924,12.320283,
,-0.8043407,3.2675467e-07,4.957054,17.410635,26.042123317718506,1220,0.00021497451,17.410635,-0.63265306,0.14999999,-0.76347595,61,57.601185,-0.6986479,-0.49836373,1.1615633,302.38037,19.199747,4.4841313,3.809995,17.362682,12.402946,
,-0.7964428,3.162992e-07,4.8769274,17.410635,26.253087759017944,1240,1.1632568,17.410635,-0.2244898,0.14999999,-0.77973294,62,56.873737,-0.22462152,-0.4527217,0.99474555,302.3695,19.199747,5.380655,0.028290521,17.370876,12.483073,
