Bound,IWMax,LQGmu1_higher,DenMISELogFirst,ReturnLastEpisode,IWLastEpisode,ReturnStepMax,IWMean,Regret/t,DenMISELogLast,TimeElapsed,ReturnMin,Regret,ReturnMean,ReturnMax,delta,LQGsigma_higher,LQGmu1_actor,IWFirstEpisode,ReturnAbsMax,Iteration,DenMISEMeanLog,IWMin,TimestepsSoFar
86.400795,7.6836314,0.5510204,-0.53764176,9.077069,0.023661725,19.218979,0.909685,4.4594297,-0.7444593,7.650297164916992,,93.64801,12.900571,17.43024,2.7570386e-06,0.14999999,0.60004646,2.8643919e-05,17.43024,21,-0.85524786,,420
86.04337,9.793358,-1.0,-0.58416045,5.8264704,1.1929543e-24,19.218979,1.0645916,4.780979,-0.82840216,8.043725728988647,,105.18155,12.579021,17.43024,2.5120953e-06,0.14999999,-1.0311964,1.7306779e-06,17.43024,22,-0.8611828,,440
83.98674,5.271873,-0.3877551,-0.6286121,17.198694,0.00060698367,19.218979,1.1578826,4.580125,-0.8151803,8.434502124786377,,105.342896,12.779876,17.43024,2.2984013e-06,0.14999999,-0.3947425,1.966145,17.43024,23,-0.8620415,,460
83.09512,5.988215,1.0,-0.58914524,17.376852,7.7056067e-19,19.218979,0.5569673,4.388585,-0.543686,8.720085144042969,,105.32605,12.9714155,17.43024,2.110858e-06,0.14999999,0.91419905,1.4854882e-13,17.43024,24,-0.8445013,,480
83.184784,6.461131,0.020408163,-0.6299672,1.495349,1.391044e-07,19.218979,1.0319241,4.8476276,-0.9862716,9.11199951171875,,121.190674,12.512373,17.43024,1.9453666e-06,0.14999999,0.05525163,1.9892788,17.43024,25,-0.86924285,,500
82.5707,6.089037,-0.63265306,-0.59262407,9.0768585,0.00014865819,19.218979,0.9003163,4.979762,-0.7238017,9.51496434211731,,129.47382,12.380239,17.43024,1.7986008e-06,0.14999999,-0.67546105,0.05392324,17.43024,26,-0.8648171,,520
80.232834,7.5389485,0.75510204,-0.62829256,17.376026,9.363093e-20,19.218979,1.182841,4.794732,-0.6849094,9.914234638214111,,129.4578,12.5652685,17.43024,1.6678383e-06,0.14999999,0.759346,1.5944085e-08,17.43024,27,-0.863798,,540
79.04993,7.6979303,0.3469388,-0.6646602,3.8548522,0.14592512,19.218979,0.7772271,5.1058197,-0.87670606,10.31493353843689,,142.96295,12.254181,17.43024,1.5508342e-06,0.14999999,0.100452945,0.010048075,17.43024,28,-0.86084545,,560
77.461655,5.278397,-0.2244898,-0.69939274,9.01278,0.5774193,19.218979,1.3090448,5.217593,-0.81902754,10.775606393814087,,151.31018,12.142407,17.43024,1.4457245e-06,0.14999999,-0.224055,5.15265,17.43024,29,-0.8688615,,580
76.92139,9.237207,-1.0,-0.56974995,16.820827,7.1685918e-06,19.218979,1.0453894,5.0616455,-0.5558097,11.182406425476074,,151.8494,12.298355,17.43024,1.3509492e-06,0.14999999,-1.0831711,1.705916e-06,17.43024,30,-0.8502839,,600
74.42641,5.6119437,-0.5510204,-0.6025397,17.19733,0.014423474,19.218979,0.9890255,4.903613,-1.0759078,11.591699838638306,,152.01202,12.4563875,17.43024,1.2651968e-06,0.14999999,-0.78446704,0.23994535,17.43024,31,-0.8591571,,620
74.62962,5.7199163,-0.79591835,-0.62657803,17.35458,5.7199163,19.218979,0.84457904,4.7505455,-0.7686868,12.00378966331482,,152.01746,12.609455,17.43024,1.1873576e-06,0.14999999,-0.6853343,0.0011819067,17.43024,32,-0.85805416,,640
73.73083,6.115424,-0.020408163,-0.65731275,17.386887,0.00026849323,19.218979,1.2414465,4.605774,-0.6241738,12.415704488754272,,151.99054,12.754227,17.43024,1.1164868e-06,0.14999999,-0.11112703,2.8498833,17.43024,33,-0.85650915,,660
71.37045,4.972706,-0.30612245,-0.604333,15.823875,2.1211326,19.218979,1.1765127,4.5154905,-0.61872923,12.82452940940857,,153.52664,12.84451,17.43024,1.051777e-06,0.14999999,-0.554464,3.47714,17.43024,34,-0.84424156,,680
70.663536,5.2182646,-0.67346936,-0.5359499,17.380333,3.6453178,19.218979,1.0601197,4.385895,-0.6299795,13.234805822372437,,153.50635,12.974106,17.43024,9.925341e-07,0.14999999,-0.55068606,0.02172268,17.43024,35,-0.8343118,,700
