LQGmu1_actor,LQGmu1_higher,IWMax,ReturnAbsMax,ReturnLastEpisode,ReturnMin,Iteration,IWLastEpisode,IWMean,ReturnMax,Regret/t,DenMISEMeanLog,LQGsigma_higher,Bound,DenMISELogFirst,delta,DenMISELogLast,ReturnMean,TimeElapsed,Regret,IWFirstEpisode,TimestepsSoFar,IWMin,ReturnStepMax
0.785484,1.0,7.033218e-17,17.193502,17.193502,,1,7.033218e-17,7.033218e-17,17.193502,0.16649818,-0.009036538,0.14999999,37061843000000.0,-0.009036538,0.0012158542,-0.009036538,17.193502,0.04794168472290039,0.16649818,7.033218e-17,20,,18.975197
-1.1673982,-1.0,0.00013970527,17.193502,3.4872174,,2,9.511249e-31,6.9852635e-05,17.193502,7.019641,-0.71987593,0.14999999,5614353000.0,-0.7021837,0.00030396355,-0.7375682,10.34036,0.7586798667907715,14.039282,0.00013970527,40,,18.975197
0.45898235,0.46938777,0.9055983,17.193502,17.193375,,3,7.796559e-26,0.3018697,17.193502,4.735302,-0.99791926,0.14999999,43608.547,-1.107579,0.00013509492,-0.7431456,12.624699,1.2703523635864258,14.205906,1.07588885e-05,60,,18.982178
-0.48940206,-0.5510204,2.9766154,17.193502,7.186623,,4,5.714868e-10,0.7445555,17.193502,6.094821,-1.000264,0.14999999,5900.55,-1.3952575,7.599089e-05,-0.4080545,11.26518,1.7794520854949951,24.379284,2.9766154,80,,18.982178
0.18220556,0.18367347,0.9277867,17.330868,17.330868,,5,0.00022185734,0.19300929,17.330868,4.8816843,-1.0025303,0.14999999,410.13934,-1.0621314,4.8634163e-05,-0.67569256,12.478316,2.3247931003570557,24.40842,0.03362474,100,,19.115967
0.73601305,0.75510204,12.54558,17.330868,8.802389,,6,0.0030665186,2.2116086,17.330868,5.494339,-1.0457981,0.14999999,321.60114,-1.2377505,3.377373e-05,-0.528171,11.865662,2.6728949546813965,32.966034,9.954069e-11,120,,19.115967
-0.40425545,-0.3469388,10.39178,17.330868,4.172524,,7,2.3814698e-11,2.1519258,17.330868,6.593359,-0.9400305,0.14999999,245.64908,-1.3919013,2.4813347e-05,-0.6229817,10.766642,2.961984872817993,46.15351,10.39178,140,,19.115967
-0.92577976,-0.75510204,1.045673,17.330868,17.313822,,8,0.30928674,0.21964836,17.330868,5.7749615,-0.8345915,0.14999999,213.28207,-0.6153451,1.8997722e-05,-0.5837396,11.585039,3.248663902282715,46.19969,0.061188787,160,,19.115967
-0.9878373,-1.0,8.628549,17.330868,17.264505,,9,5.480754,1.5696228,17.330868,5.1439095,-0.91714764,0.14999999,121.242615,-0.72550863,1.5010546e-05,-0.8454755,12.216091,3.5354366302490234,46.29518,0.00014300218,180,,19.115967
0.5190099,0.30612245,5.333169,17.330868,17.213041,,10,3.004687e-16,0.9972822,17.330868,4.6442146,-0.85407686,0.14999999,120.48369,-0.8308533,1.2158541e-05,-0.48800644,12.715786,3.8229970932006836,46.442146,0.0012968387,200,,19.115967
0.7362157,0.63265306,6.0747986,17.330868,6.652121,,11,4.8849673,1.6769406,17.330868,5.1954565,-0.87048507,0.14999999,121.36752,-0.9260338,1.0048381e-05,-0.8949761,12.164544,4.1111719608306885,57.150024,1.7263194e-08,220,,19.115967
-0.43150604,-0.26530612,6.9956627,17.330868,4.1698074,,12,1.1303112e-09,1.1437349,17.330868,5.861684,-0.82099706,0.14999999,119.88969,-1.0130452,8.443432e-06,-0.7109578,11.498317,4.402435064315796,70.34021,6.9956627,240,,19.115967
0.04514253,0.020408163,3.5160143,17.361,17.361,,13,0.0601996,0.32520124,17.361,5.4107094,-0.8164143,0.14999999,114.13087,-0.6337839,7.194403e-06,-0.7500943,11.949291,4.69169282913208,70.33922,0.43807152,260,,19.14665
-0.53958046,-0.46938777,6.497451,17.361,9.0861,,14,0.014690499,1.4785967,17.361,5.615224,-0.85483515,0.14999999,113.04224,-0.6747494,6.203337e-06,-0.684408,11.744777,4.982134819030762,78.61313,2.9857235,280,,19.14665
0.9903239,0.9183673,4.9436793,17.385162,17.385162,,15,1.578218e-20,0.776475,17.385162,5.2391977,-0.82305616,0.14999999,105.04559,-0.55042636,5.403797e-06,-0.66223073,12.120803,5.274947643280029,78.58798,1.2114786e-14,300,,19.17328
-0.66742694,-0.79591835,4.6855083,17.385162,0.1753426,,16,1.1491416e-30,0.6732171,17.385162,5.9857883,-0.8506166,0.14999999,104.16263,-0.6149649,4.7494304e-06,-0.9868809,11.374212,5.568895578384399,95.77261,0.026325077,320,,19.17328
-0.5688311,-0.59183675,5.0941253,17.386335,17.386335,,17,4.9980707,1.2351815,17.386335,5.6321335,-0.865972,0.14999999,97.31227,-0.67394555,4.207108e-06,-0.7578455,11.727867,5.864116191864014,95.74626,0.90179145,340,,19.175259
-0.822455,-1.0,8.446373,17.393038,17.393038,,18,0.07106499,1.1404521,17.393038,5.317402,-0.8383088,0.14999999,91.62615,-0.67941654,3.7526365e-06,-0.5089167,12.042599,6.160677194595337,95.71324,0.00013656051,360,,19.181152
0.35102183,0.46938777,7.712022,17.393038,17.334846,,19,3.7681902e-16,1.0501477,17.393038,5.038863,-0.82557064,0.14999999,90.455185,-0.73347616,3.3680174e-06,-0.59278095,12.321137,6.4596498012542725,95.73842,7.4011073e-06,380,,19.181152
-0.60795236,-0.42857143,5.176147,17.393038,7.9828115,,20,8.371371e-06,1.3836117,17.393038,5.2557793,-0.82896674,0.14999999,88.50065,-0.78476906,3.0396352e-06,-0.8370302,12.104221,6.758212566375732,105.115585,4.282679,400,,19.181152
0.21623495,0.10204082,7.2834163,17.394503,17.394503,,21,6.317509e-05,0.76539594,17.394503,5.0038605,-0.8025845,0.14999999,87.51732,-0.6395282,2.7570386e-06,-0.55422693,12.35614,7.056632995605469,105.081055,0.11426023,420,,19.182564
-0.81913453,-0.67346936,5.180143,17.394503,8.678942,,22,1.3991038e-07,1.1907899,17.394503,5.1710052,-0.8176476,0.14999999,86.17867,-0.680622,2.5120953e-06,-0.8300849,12.188995,7.354798316955566,113.762115,0.2823755,440,,19.182564
0.7956498,0.75510204,7.9525833,17.394503,17.344635,,23,6.0454856e-24,1.2930442,17.394503,4.946848,-0.8038477,0.14999999,83.59235,-0.7123202,2.2984013e-06,-0.6306631,12.413153,7.661926031112671,113.77753,5.8858474e-11,460,,19.182564
-0.12603204,-0.18367347,3.9514523,17.394503,3.3408737,,24,3.5155354e-09,0.43568262,17.394503,5.3248596,-0.79997176,0.14999999,83.04867,-0.75487983,2.110858e-06,-0.86850166,12.035141,7.963333368301392,127.79663,3.9514523,480,,19.182564
-0.86721385,-0.8367347,5.4200807,17.394503,16.184937,,25,7.935805e-05,1.0769883,17.394503,5.158868,-0.8227067,0.14999999,82.33961,-0.64328647,1.9453666e-06,-0.80468464,12.201133,8.266279220581055,128.97168,0.010823668,500,,19.182564
0.85019785,1.0,10.226275,17.394503,17.306889,,26,1.0765519e-33,0.70339555,17.394503,4.962493,-0.81295216,0.14999999,81.73736,-0.68207437,1.7986008e-06,-0.58779466,12.397508,8.569034337997437,129.02481,1.3786404e-16,520,,19.182564
0.16329017,0.30612245,7.299901,17.394503,2.5234785,,27,0.008974613,1.0232459,17.394503,5.3281965,-0.82870567,0.14999999,81.09006,-0.71981466,1.6678383e-06,-0.88664216,12.031804,8.876196384429932,143.86133,0.0011605463,540,,19.182564
-0.89651275,-1.0,8.4759,17.394503,8.86189,,28,5.56796e-13,1.0236696,17.394503,5.441408,-0.8321213,0.14999999,76.73544,-0.75613934,1.5508342e-06,-0.8773336,11.918592,9.18189525604248,152.35944,0.00014745028,560,,19.182564
-0.5598042,-0.59183675,4.9668155,17.394503,17.291456,,29,0.6070636,1.1968781,17.394503,5.256138,-0.8252296,0.14999999,75.78711,-0.7912254,1.4457245e-06,-0.58552974,12.103863,9.492578506469727,152.42798,1.0140051,580,,19.182564
-0.13487786,-0.020408163,6.576338,17.394543,17.394543,,30,0.0069294763,0.7217149,17.394543,5.0797825,-0.8101161,0.14999999,75.43289,-0.79075867,1.3509492e-06,-0.51536185,12.280218,9.801105737686157,152.3935,0.9006483,600,,19.182741
-0.20577157,-0.30612245,5.8806643,17.394543,16.349346,,31,3.2314973,0.87574685,17.394543,4.9485197,-0.8212884,0.14999999,74.66901,-0.7939687,1.2651968e-06,-0.84642446,12.411481,10.112026929855347,153.40411,5.8806643,620,,19.182741
0.4046529,0.59183675,6.931012,17.394543,16.910141,,32,4.0112263e-06,1.0207216,17.394543,4.8079357,-0.8233321,0.14999999,74.534645,-0.6520172,1.1873576e-06,-0.7327183,12.552065,10.422473430633545,153.85394,7.003305e-08,640,,19.182741
-1.0184481,-0.8367347,5.1387057,17.394543,7.613821,,33,9.085679e-15,1.1158082,17.394543,4.9575796,-0.8276201,0.14999999,73.146355,-0.68278885,1.1164868e-06,-0.93515086,12.402421,10.733483076095581,163.6001,0.011259789,660,,19.182741
0.20436956,0.2244898,7.0631995,17.394543,17.201622,,34,7.483632e-15,1.0514299,17.394543,4.816427,-0.82560223,0.14999999,71.05884,-0.71230066,1.051777e-06,-0.8267521,12.543573,11.045582056045532,163.75848,0.009313423,680,,19.182741
-0.20774545,-0.14285715,6.266197,17.394543,8.72438,,35,0.41339448,0.81984496,17.394543,4.9255466,-0.82558453,0.14999999,70.81928,-0.7410143,9.925341e-07,-0.81771874,12.434454,11.359957933425903,172.39413,2.9821122,700,,19.182741
-0.44303045,-0.46938777,5.0636363,17.394543,16.797916,,36,1.1706269,1.1109071,17.394543,4.8043394,-0.8280568,0.14999999,70.315384,-0.6874179,9.3815913e-07,-0.70061827,12.555661,11.675440549850464,172.9562,3.023789,720,,19.182741
-1.2657427,-1.0,8.279542,17.394543,17.361128,,37,0.0047243545,1.0470623,17.394543,4.6744614,-0.8189525,0.14999999,69.59351,-0.6341644,8.881331e-07,-0.56046337,12.685539,11.990830659866333,172.95505,0.00013051863,740,,19.182741
0.7710478,0.8367347,8.579478,17.394543,17.195562,,38,,1.1749651,17.394543,4.5557766,-0.86546737,0.14999999,68.48032,-0.6608291,8.4200434e-07,-2.5774758,12.804224,12.305091381072998,173.11954,1.0084792e-12,760,,19.182741
0.22688185,0.42857143,7.247245,17.394543,3.6918032,,39,0.51719505,0.9718556,17.394543,4.7894287,-0.86581784,0.14999999,67.17381,-0.6868046,7.993782e-07,-0.96892875,12.570572,12.622560262680054,186.78775,2.8027682e-05,780,,19.182741
-0.22247936,-0.30612245,5.4185205,17.394543,8.635987,,40,0.01159695,0.98533565,17.394543,4.8877935,-0.86798227,0.14999999,67.136826,-0.7121217,7.599088e-07,-0.8779969,12.472207,12.941781044006348,195.51175,5.4185205,800,,19.182741
-0.92060447,-0.67346936,5.1932006,17.394543,16.831358,,41,0.05688034,0.97279114,17.394543,4.781474,-0.8643472,0.14999999,66.47708,-0.6097738,7.2329226e-07,-0.67483616,12.5785265,13.262229919433594,196.0404,0.263062,820,,19.182741
-0.95856744,-1.0,8.053014,17.394543,17.271675,,42,4.518389,1.1871965,17.394543,4.669731,-0.8609422,0.14999999,67.78133,-0.62747574,6.8925965e-07,-0.6700553,12.690269,13.584247827529907,196.12866,0.0001296485,840,,19.182741
0.19291979,0.10204082,6.483716,17.394543,17.237957,,43,6.933649e-11,1.0060253,17.394543,4.5639706,-0.85254925,0.14999999,66.39391,-0.6510031,6.5757393e-07,-0.6273225,12.79603,13.907895565032959,196.25073,0.1155789,860,,19.182741
1.3796868,1.0,10.561534,17.394543,8.765796,,44,3.2414273e-06,0.61819845,17.394543,4.655566,-0.85346276,0.14999999,65.608406,-0.6713084,6.280238e-07,-0.85740215,12.704434,14.232036113739014,204.84491,1.3638737e-16,880,,19.182741
-0.045654543,-0.14285715,6.0186915,17.394543,,,45,1.4414142e-20,0.87907696,17.394543,4.937887,-0.9513527,0.14999999,64.37085,-0.6937812,6.0042186e-07,-4.8499746,12.422113,14.556356430053711,222.2049,2.8445325,900,,19.182741
-0.8979268,-1.0,7.400925,17.394543,13.63118,,46,9.343824e-09,1.1616318,17.394543,4.911603,-0.9507173,0.14999999,64.036095,-0.6544658,5.7460034e-07,-0.7727177,12.448398,14.882684469223022,225.93378,0.00013319535,920,,19.182741
-0.66750824,-0.79591835,4.8701077,17.394543,17.289722,,47,3.7914197,1.0132531,17.394543,4.8085957,-0.94058406,0.14999999,63.457413,-0.67596906,5.5040925e-07,-0.5857974,12.551405,15.209298133850098,226.00403,0.027981013,940,,19.182741
-0.7241647,-0.46938777,5.1872473,17.394543,17.391703,,48,2.056941,1.032458,17.394543,4.707756,-0.9340227,0.14999999,63.55874,-0.69642735,5.277145e-07,-0.6152991,12.652245,15.537203788757324,225.97229,3.0511546,960,,19.182741
0.83151656,0.63265306,6.563592,17.396006,17.396006,,49,8.159388e-18,0.9307592,17.396006,4.6109447,-0.9268268,0.14999999,62.778057,-0.65541947,5.063948e-07,-0.58455586,12.749056,15.86594533920288,225.93628,1.3170296e-08,980,,19.184595
0.4155628,0.26530612,6.879336,17.396006,2.8095157,,50,0.00624442,1.1484025,17.396006,4.809737,-0.93175596,0.14999999,62.2997,-0.67562217,4.8634166e-07,-1.0700699,12.550263,16.19417929649353,240.48682,0.0032764478,1000,,19.184595
-0.9558017,-0.67346936,5.009596,17.396006,7.532348,,51,2.4631845e-11,1.0304437,17.396006,4.908128,-0.93017894,0.14999999,61.752853,-0.6953593,4.6745637e-07,-0.9501972,12.451873,16.52691674232483,250.31451,0.28656778,1020,,19.184595
-1.1638789,-0.877551,4.696901,17.396006,17.240942,,52,4.379081,1.1646144,17.396006,4.8160295,-0.9243441,0.14999999,61.2528,-0.7091741,4.496502e-07,-0.6347278,12.543971,16.858654737472534,250.43353,0.0042908085,1040,,19.184595
-0.3756008,-0.020408163,6.43392,17.396006,17.200697,,53,2.9366238e-12,0.86204296,17.396006,4.7281666,-0.9331534,0.14999999,60.772385,-0.7281398,4.3284237e-07,-1.5241822,12.631834,17.195669412612915,250.59283,0.8459802,1060,,19.184595
-0.9323793,-1.0,7.2759237,17.396006,17.242699,,54,0.0009258746,1.2125753,17.396006,4.6427813,-0.9317908,0.14999999,60.78939,-0.7309961,4.1695958e-07,-0.7009224,12.717219,17.531694889068604,250.7102,0.00014378906,1080,,19.184595
-0.5464049,-0.30612245,5.6240025,17.396006,17.257345,,55,0.0007210083,0.93977034,17.396006,4.560232,-0.9209001,0.14999999,60.734154,-0.74934256,4.0193527e-07,-0.5024634,12.799768,17.845731496810913,250.8128,5.6240025,1100,,19.184595
-0.508707,-0.5102041,4.966586,17.401302,17.401302,,56,4.826282,1.0437728,17.401302,4.4780626,-0.91709125,0.14999999,59.740303,-0.67000335,3.8770855e-07,-0.6250171,12.881938,18.180420875549316,250.77148,2.147568,1120,,19.18926
0.39485496,0.42857143,7.6868362,17.422728,17.422728,,57,1.5533416e-08,0.93171686,17.422728,4.3983994,-0.91056085,0.14999999,58.939434,-0.65007055,3.7422413e-07,-0.5635651,12.961601,18.519137859344482,250.70874,2.7016777e-05,1140,,19.210707
0.6499482,0.79591835,8.788963,17.422728,7.6851425,,58,0.1913903,1.1504681,17.422728,4.4893723,-0.9128648,0.14999999,58.743015,-0.6674618,3.6143112e-07,-0.942864,12.870628,18.85641837120056,260.38354,7.843583e-12,1160,,19.210707
-1.0365692,-1.0,7.005667,17.422728,5.2585506,,59,4.0256216e-26,1.1813593,17.422728,4.61839,-0.91359025,0.14999999,58.3898,-0.68455625,3.4928303e-07,-1.0434879,12.741611,19.196252584457397,272.485,0.00013726416,1180,,19.210707
-0.39815202,-0.5510204,4.894949,17.422728,17.195608,,60,0.02880885,1.0531366,17.422728,4.544158,-0.90785736,0.14999999,57.831245,-0.70136106,3.377373e-07,-0.7138064,12.815843,19.549362897872925,272.64954,1.4871931,1200,,19.210707
0.9576097,1.0,18.631618,17.422728,17.348763,,61,6.7119053e-19,0.8407342,17.422728,4.4698467,-0.9026102,0.14999999,57.616055,-0.693406,3.2675467e-07,-0.6172288,12.890154,19.89788317680359,272.6607,1.3943487e-16,1220,,19.210707
