IWLastEpisode,IWMean,ReturnMean,ReturnStepMax,delta,DenMISEMeanLog,IWMax,ReturnAbsMax,LQGmu1_higher,Regret/t,ReturnLastEpisode,TimeElapsed,ReturnMin,ReturnMax,LQGmu1_actor,DenMISELogLast,Iteration,Bound,TimestepsSoFar,IWFirstEpisode,Regret,IWMin,DenMISELogFirst,LQGsigma_higher
3.6907816e-10,3.6907816e-10,9.183431,10.09182,0.0012158542,0.729777,3.6907816e-10,9.183431,1.0,8.17657,9.183431,0.09247016906738281,,9.183431,0.92394245,0.729777,1,19795553000000.0,20,3.6907816e-10,8.17657,,0.729777,0.14999999
4.2972785e-36,2.218354e-10,5.2578588,10.09182,0.00030396355,0.09655702,4.436708e-10,9.183431,-1.0,12.102142,1.3322871,1.166285514831543,,9.183431,-0.97138184,0.15648425,2,2998750200.0,40,4.436708e-10,24.204285,,0.036629792,0.14999999
2.827055e-20,0.022319583,9.247542,19.01633,0.00013509492,-0.252149,0.034583002,17.226908,0.46938777,8.112458,17.226908,1.5156114101409912,,17.226908,0.5420448,-0.13863076,3,43692.336,60,0.032375745,24.337376,,-0.3688353,0.14999999
1.310505e-11,0.021362938,8.543055,19.01633,7.599089e-05,-0.5280056,0.08027826,17.226908,-0.5510204,8.816946,6.4295917,1.7916040420532227,,17.226908,-0.6887175,-0.514725,4,5899.5444,80,0.0051734895,35.267784,,-0.6457833,0.14999999
2.9235258e-07,0.6908007,10.309753,19.165398,4.8634163e-05,-0.77450544,3.1334994,17.37655,0.18367347,7.050247,17.37655,2.1349077224731445,,17.37655,0.2996997,-0.8890939,5,415.93167,100,3.1334994,35.251236,,-0.8676343,0.14999999
0.101438396,0.9809608,9.972607,19.165398,3.377373e-05,-0.798093,3.2445662,17.37655,0.71428573,7.387394,8.286874,2.5043246746063232,,17.37655,0.79901373,-0.55310655,6,318.44348,120,6.670679e-05,44.324364,,-0.56340253,0.14999999
2.5413444e-23,1.5264482,9.01824,19.165398,2.4813347e-05,-0.79704225,8.213806,17.37655,-0.75510204,8.341761,3.2920337,2.8541414737701416,,17.37655,-0.82053727,-0.66785234,7,234.18913,140,1.41209175e-05,58.392326,,-0.71754205,0.14999999
0.013991921,0.11472614,10.05736,19.165398,1.8997722e-05,-0.758551,0.7175875,17.37655,-0.30612245,7.302641,17.331203,3.2012856006622314,,17.37655,-0.13732277,-0.6330457,8,214.21375,160,0.7175875,58.421127,,-0.8510714,0.14999999
2.8535267e-05,1.4516965,10.74723,19.165398,1.5010546e-05,-0.8482058,5.460317,17.37655,-0.877551,6.612771,16.26618,3.5791993141174316,,17.37655,-1.0325277,-0.733846,9,124.54202,180,1.9000791e-07,59.51494,,-0.88295346,0.14999999
1.1408196e-10,1.2007675,11.39197,19.165398,1.2158541e-05,-0.81805676,7.1114464,17.37655,0.020408163,5.968031,17.194626,3.951843023300171,,17.37655,0.057831198,-0.76491535,10,124.892044,200,7.1114464,59.680313,,-0.988314,0.14999999
