DenMISEMeanLog,ReturnAbsMax,IWLastEpisode,ReturnLastEpisode,Iteration,delta,TimestepsSoFar,Regret,LQGmu1_actor,DenMISELogFirst,IWFirstEpisode,Bound,IWMean,LQGsigma_higher,DenMISELogLast,IWMin,ReturnMax,ReturnMin,ReturnStepMax,TimeElapsed,Regret/t,LQGmu1_higher,IWMax,ReturnMean
-0.8848355,17.393269,0.44933563,17.20275,24,2.110858e-06,480,137.17758,-0.8113955,-0.791621,5.086852e-08,82.82674,0.8426785,0.14999999,-0.8419378,,17.393269,,19.183083,6.291070222854614,5.7157326,-0.67346936,5.571332,11.644268
-0.8828514,17.393269,1.03896294e-23,17.340586,25,1.9453666e-06,500,137.19696,1.1564174,-0.832443,0.017013298,80.8814,0.5126635,0.14999999,-0.6320215,,17.393269,,19.183083,6.715242385864258,5.487879,0.75510204,6.2888336,11.872122
-0.9435727,17.393269,4.277899e-20,,26,1.7986008e-06,520,154.55698,-0.33029038,-0.8709834,0.008302704,79.42468,1.163327,0.14999999,-1.9574214,,17.393269,,19.183083,7.104742527008057,5.944499,-0.30612245,5.4607663,11.415502
-0.9257277,17.393269,0.30019125,17.251316,27,1.6678383e-06,540,154.66571,0.12008337,-0.90840447,2.2478201,78.32721,0.8661956,0.14999999,-0.55158216,,17.393269,,19.183083,7.564428091049194,5.728359,0.020408163,6.3697104,11.631641
-0.9270734,17.393269,4.567074e-12,8.973364,28,1.5508342e-06,560,163.0523,-0.86031985,-0.8648039,8.884863e-15,77.5923,1.0445813,0.14999999,-0.7893769,,17.393269,,19.183083,7.970712661743164,5.8232965,-1.0,8.040105,11.536704
-0.9195534,17.393269,3.0701214e-12,17.323282,29,1.4457245e-06,580,163.08899,0.15524676,-0.89989525,6.4522038,76.59163,1.4464417,0.14999999,-0.6688251,,17.393269,,19.183083,8.39097261428833,5.6237583,0.26530612,6.685787,11.736242
-0.9018328,17.393269,1.0207796e-08,8.885217,30,1.3509492e-06,600,171.56384,-0.9908366,-0.73290724,2.3770055e-10,76.42045,1.0413631,0.14999999,-0.72648287,,17.393269,,19.183083,8.792305946350098,5.718794,-0.79591835,5.4721103,11.641207
-0.8964493,17.393269,6.2240116e-23,17.204847,31,1.2651968e-06,620,171.719,0.44071415,-0.76569706,0.6712511,73.467926,0.47429082,0.14999999,-0.7201772,,17.393269,,19.183083,9.193556785583496,5.539322,0.5510204,7.516344,11.820679
-0.91159666,17.393269,6.349367e-06,7.3362656,32,1.1873576e-06,640,181.7427,-0.44850156,-0.77602357,0.0026992185,72.63811,1.1474862,0.14999999,-0.8412683,,17.393269,,19.183083,9.62346339225769,5.6794596,-0.3469388,5.3806763,11.680541
-0.9006013,17.393269,3.9617143,17.309946,33,1.1164868e-06,660,181.79272,-0.9924636,-0.8067109,5.351968e-06,71.36279,0.8161971,0.14999999,-0.63205343,,17.393269,,19.183083,10.25234842300415,5.508871,-0.5510204,3.9617143,11.85113
-0.9039057,17.393269,5.995149,17.205349,34,1.051777e-06,680,181.94739,-1.226033,-0.8365637,8.637463e-15,73.609856,1.2327033,0.14999999,-0.81403136,,17.393269,,19.183083,10.94100046157837,5.3513947,-1.0,7.3158226,12.008606
-0.93251514,17.393269,,17.19366,35,9.925341e-07,700,182.11377,0.7574218,-0.86555123,1.7135608e-05,70.38611,1.6721028,0.14999999,-2.0606782,,17.393269,,19.183083,11.447548151016235,5.20325,1.0,14.716164,12.156751
-0.923989,17.393269,5.7521515e-07,3.881425,36,9.3815913e-07,720,195.59232,-0.10092066,-0.89372164,0.47912648,70.19517,0.71576434,0.14999999,-1.06832,,17.393269,,19.183083,11.8609037399292,5.43312,-0.10204082,6.0525613,11.926881
-0.9278971,17.393269,9.076392e-08,15.30295,37,8.881331e-07,740,197.64935,-1.112786,-0.9078993,9.276123e-15,69.33722,1.2507895,0.14999999,-0.770009,,17.393269,,19.183083,12.407592296600342,5.341875,-1.0,7.0927696,12.018126
-0.9266045,17.393269,4.609685e-16,17.198639,38,8.4200434e-07,760,197.81079,0.09748465,-0.9345676,6.302482,68.63262,1.3599262,0.14999999,-1.0598929,,17.393269,,19.183083,12.892375469207764,5.2055464,0.18367347,6.5260735,12.154454
-0.9158075,17.393269,1.16217876e-07,9.018129,39,7.993782e-07,780,206.15265,-0.9513103,-0.8070885,2.560043e-10,66.310356,0.902316,0.14999999,-0.7911084,,17.393269,,19.183083,13.674399375915527,5.285965,-0.79591835,5.218801,12.074036
-0.91002226,17.393269,1.9517647e-18,17.242758,40,7.599088e-07,800,206.26987,0.2701537,-0.8324063,2.7863004,66.37523,0.9060296,0.14999999,-0.5567704,,17.393269,,19.183083,14.414490938186646,5.156747,0.42857143,7.35538,12.203254
-0.91033906,17.393269,0.012616554,8.440168,41,7.2329226e-07,820,215.18967,0.8167007,-0.7897604,0.0061768317,66.22633,0.65823585,0.14999999,-0.79192865,,17.393269,,19.183083,14.901758432388306,5.2485285,0.79591835,8.366396,12.111472
