ReturnMin,Iteration,TimestepsSoFar,IWLastEpisode,LQGmu1_actor,Regret/t,DenMISELogFirst,ReturnStepMax,ReturnLastEpisode,ReturnMean,delta,IWMean,Regret,Bound,DenMISEMeanLog,LQGsigma_higher,LQGmu1_higher,DenMISELogLast,ReturnAbsMax,IWFirstEpisode,IWMin,IWMax,ReturnMax,TimeElapsed
,24,480,1.302495,-0.5777507,5.247693,-0.76191294,19.171026,17.25544,12.112308,2.110858e-06,1.1237069,125.94464,83.96967,-0.9070258,0.14999999,-0.63265306,-0.63413155,17.383745,7.1362294e-05,,5.574649,17.383745,7.378138542175293
,25,500,3.598255e-15,0.5451745,5.037283,-0.802732,19.171026,17.372557,12.322718,1.9453666e-06,1.5731213,125.93207,82.21268,-0.8906151,0.14999999,0.67346936,-0.5535244,17.383745,0.0023710122,,7.7924433,17.383745,7.690052032470703
,26,520,4.8235878e-09,-0.7072538,5.265135,-0.84185785,19.171026,6.3986115,12.094866,1.7986008e-06,1.2095863,136.8935,78.51933,-0.87654424,0.14999999,-0.42857143,-0.9427656,17.383745,0.019665964,,5.029916,17.383745,7.994882106781006
,27,540,0.7767001,-1.0532426,5.069335,-0.87884206,19.171026,17.38143,12.290666,1.6678383e-06,1.1338729,136.87207,77.96417,-0.8635044,0.14999999,-1.0,-0.6735695,17.383745,3.5353817e-11,,8.252987,17.383745,8.300256490707397
,28,560,4.037705e-21,0.66416126,4.894067,-0.9152097,19.171026,17.198189,12.465934,1.5508342e-06,0.7172394,137.03387,77.696,-0.8623778,0.14999999,0.42857143,-0.8581566,17.383745,0.44672805,,5.435305,17.383745,8.59988808631897
,29,580,2.4137316e-19,-0.7865416,5.1484613,-0.9344724,19.171026,5.088498,12.211539,1.4457245e-06,0.8524517,149.30536,76.4046,-0.87486523,0.14999999,-0.75510204,-0.91629344,17.383745,1.2566514e-06,,5.1756897,17.383745,8.911113262176514
,30,600,2.5283966e-06,-0.27760273,4.9774084,-0.9683739,19.171026,17.343103,12.382592,1.3509492e-06,1.0090191,149.3223,76.15181,-0.871595,0.14999999,0.020408163,-0.6042929,17.383745,6.472062,,6.609505,17.383745,9.224212884902954
,31,620,5.8327934e-12,0.7465683,4.826188,-0.80581456,19.171026,17.070427,12.5338125,1.2651968e-06,1.2956631,149.61185,75.10213,-0.86951095,0.14999999,0.8367347,-0.74869716,17.383745,1.7740524e-05,,8.45755,17.383745,9.533774614334106
,32,640,3.3497192e-17,-0.45290226,5.0919313,-0.8375627,19.171026,4.030045,12.268069,1.1873576e-06,1.2365583,162.9418,73.498856,-0.86399984,0.14999999,-0.59183675,-0.89405113,17.383745,0.0002702344,,4.9001923,17.383745,9.844876527786255
,33,660,2.1439297,-0.07987966,4.9384766,-0.8683259,19.171026,17.332075,12.421524,1.1164868e-06,0.9243078,162.96973,74.00045,-0.84947795,0.14999999,-0.26530612,-0.5665104,17.383745,0.4475215,,5.939625,17.383745,10.156720876693726
