LQGsigma_higher,ReturnMax,IWLastEpisode,IWMax,DenMISELogLast,ReturnStepMax,TimestepsSoFar,IWMin,DenMISELogFirst,TimeElapsed,Regret,Iteration,IWMean,delta,ReturnAbsMax,Bound,IWFirstEpisode,LQGmu1_higher,LQGmu1_actor,ReturnMin,Regret/t,ReturnLastEpisode,DenMISEMeanLog,ReturnMean
0.14999999,9.367901,5.734063e-10,5.734063e-10,0.6856245,10.299355,20,,0.6856245,0.0833890438079834,7.9921,1,5.734063e-10,0.0012158542,9.367901,20193191000000.0,5.734063e-10,1.0,0.7334943,,7.9921,9.367901,0.6856245,9.367901
0.14999999,9.367901,9.665979e-29,3.0938851e-10,-1.2933049,10.299355,40,,-0.0075226733,0.8114945888519287,21.145878,2,1.5469426e-10,0.00030396355,9.367901,3058987000.0,3.0938851e-10,-1.0,-0.8276637,,10.572939,4.2062235,-0.6504138,6.787062
0.14999999,17.326397,3.3688274e-16,3.0860784,-0.78041124,19.11533,60,,-0.41298777,1.0687270164489746,21.179482,3,1.0422492,0.00013509492,17.326397,43949.008,0.040669195,0.46938777,0.58118474,,7.059827,17.326397,-0.9640563,10.300174
0.14999999,17.326397,2.1862297e-12,1.4128002,-0.65939015,19.11533,80,,-0.68720454,1.4001529216766357,32.51016,4,0.35427672,7.599089e-05,17.326397,5939.386,0.0043066777,-0.5510204,-0.7152252,,8.12754,6.0293226,-0.9234371,9.232461
0.14999999,17.386702,1.1138587e-07,3.5017314,-0.96753126,19.175673,100,,-0.90927196,1.7984817028045654,32.483456,5,0.7416169,4.8634163e-05,17.386702,416.80804,3.5017314,0.18367347,-0.07955578,,6.4966908,17.386702,-1.050061,10.86331
0.14999999,17.386702,4.094318e-06,14.17703,-0.62000453,19.175673,120,,-0.56076163,2.159301996231079,34.928734,6,3.1980636,3.377373e-05,17.386702,329.4206,8.8205e-05,0.71428573,0.61901104,,5.821456,14.914723,-1.0350896,11.538545
0.14999999,17.386702,2.8312775e-18,9.457878,-0.5757234,19.175673,140,,-0.7148976,2.534470558166504,46.67276,7,2.6230493,2.4813347e-05,17.386702,253.36832,1.0365338e-05,-0.75510204,-0.88419724,,6.6675367,5.6159806,-0.84160084,10.692464
0.14999999,17.386702,0.0031393766,2.1066806,-0.6840986,19.175673,160,,-0.84842753,2.905191421508789,46.733597,8,0.35847265,1.8997722e-05,17.386702,218.03113,0.63051575,-0.30612245,-0.4537276,,5.8416996,17.299166,-0.7293105,11.518301
0.14999999,17.386702,0.2129233,5.6451764,-0.7348725,19.175673,180,,-0.89034784,3.3026580810546875,46.725266,9,1.7001128,1.5010546e-05,17.386702,127.08194,6.523054e-07,-0.8367347,-1.0088252,,5.191696,17.36833,-0.7984205,12.168304
0.14999999,17.386702,3.386968e-10,7.1934834,-0.756378,19.175673,200,,-0.9957083,3.7390661239624023,46.89486,10,1.2466367,1.2158541e-05,17.386702,126.15146,7.1934834,0.020408163,-0.02837831,,4.6894855,17.190405,-0.75411403,12.670515
0.14999999,17.386702,2.7480098e-07,6.1491046,-0.5461685,19.175673,220,,-0.5490731,4.090507507324219,50.973007,11,0.9525626,1.0048381e-05,17.386702,118.32204,1.3878063e-06,0.8367347,0.9448173,,4.63391,13.281844,-0.7339344,12.72609
0.14999999,17.386702,0.0021091558,2.064151,-0.803879,19.175673,240,,-0.6360843,4.472751617431641,67.355896,12,0.3559508,8.443432e-06,17.386702,116.32679,0.43253002,0.3469388,0.15026411,,5.6129913,0.9771137,-0.75266844,11.747009
0.14999999,17.386702,0.0030993624,7.684978,-0.69082904,19.175673,260,,-0.6807173,4.853646516799927,75.81682,13,0.7185509,7.194403e-06,17.386702,114.610535,0.06664955,-0.42857143,-0.28157872,,5.8320627,8.899076,-0.795913,11.527938
0.14999999,17.386702,6.0087517e-05,7.916759,-0.77164745,19.175673,280,,-0.74971145,5.236034154891968,76.082214,14,1.1265576,6.203337e-06,17.386702,109.145386,6.4987965e-10,-1.0,-0.9461572,,5.4344435,17.094599,-0.82090867,11.925557
0.14999999,17.386702,7.133034e-23,7.433363,-0.5921061,19.175673,300,,-0.8187043,5.616981744766235,76.193665,15,1.3050343,5.403797e-06,17.386702,104.93817,0.003682947,0.59183675,0.53863025,,5.0795765,17.248583,-0.80654347,12.280424
0.14999999,17.386702,4.9273825e-05,5.3140078,-0.69753987,19.175673,320,,-0.88299733,6.0028581619262695,87.090454,16,1.1710607,4.7494304e-06,17.386702,104.360466,2.6814137,-0.18367347,-0.20478225,,5.4431534,6.463188,-0.7923042,11.916847
0.14999999,17.386702,0.038732335,5.9422765,-0.65224075,19.175673,340,,-0.78868157,6.389126777648926,87.560486,17,0.8768845,4.207108e-06,17.386702,98.360146,0.00015715667,-0.67346936,-0.53855467,,5.1506176,16.889946,-0.7798331,12.209383
0.14999999,17.402496,7.754984e-23,8.077578,-0.714041,19.19029,360,,-0.84583074,6.779928684234619,87.518005,18,0.5433681,3.7526365e-06,17.402496,93.97548,2.6519502e-09,1.0,0.88894933,,4.862111,17.402496,-0.7859276,12.4978895
0.14999999,17.402496,6.4100072e-06,7.0833535,-0.82472485,19.19029,380,,-0.899898,7.167620420455933,102.968155,19,1.0945227,3.3680174e-06,17.402496,93.753426,5.5218387,0.10204082,0.09393776,,5.4193754,1.9098747,-0.81483597,11.940625
0.14999999,17.402496,0.031535763,5.68069,-0.72136414,19.19029,400,,-0.6960662,7.524596691131592,111.30383,20,0.9257746,3.0396352e-06,17.402496,88.97983,0.14576076,-0.3877551,-0.53915834,,5.5651913,9.024311,-0.8103841,11.794809
0.14999999,17.402496,0.4209453,5.829879,-0.7012244,19.19029,420,,-0.7375947,7.709552049636841,111.2758,21,1.232985,2.7570386e-06,17.402496,88.341415,1.1513599e-07,-0.877551,-0.94839287,,5.298848,17.388021,-0.8114913,12.061152
0.14999999,17.402496,0.31110615,5.1779647,-0.679359,19.19029,440,,-0.7841147,7.954517126083374,111.38986,22,0.9607471,2.5120953e-06,17.402496,84.855736,0.0016384199,-0.59183675,-0.40179303,,5.063175,17.245947,-0.799594,12.296825
0.14999999,17.402496,1.1184663,5.523371,-0.6237277,19.19029,460,,-0.82849205,8.136860370635986,111.45999,23,1.1822377,2.2984013e-06,17.402496,84.227715,3.5069594,-0.14285715,-0.20038104,,4.8460855,17.289886,-0.7959311,12.513915
0.14999999,17.402496,0.016405324,3.835958,-0.61268675,19.19029,480,,-0.72913855,8.319897413253784,112.12045,24,0.5192652,2.110858e-06,17.402496,82.75318,0.83573705,0.30612245,0.38368124,,4.671685,16.699528,-0.7836571,12.688315
0.14999999,17.402496,2.179495e-18,7.032486,-0.90047187,19.19029,500,,-0.73573077,8.504701375961304,121.716095,25,1.018932,1.9453666e-06,17.402496,82.35632,6.40857e-10,-1.0,-1.1429138,,4.8686447,7.764345,-0.8076916,12.491356
