Iteration,ReturnMean,IWMean,TimestepsSoFar,ReturnLastEpisode,LQGsigma_higher,DenMISELogLast,delta,IWFirstEpisode,ReturnAbsMax,LQGmu1_actor,DenMISELogFirst,DenMISEMeanLog,ReturnMax,TimeElapsed,IWMin,Bound,IWLastEpisode,LQGmu1_higher,ReturnStepMax,Regret,Regret/t,IWMax,ReturnMin
24,10.947022,0.5540586,480,6.262691,0.14999999,-0.8777425,2.110858e-06,0.011220101,17.394188,-0.5325921,-0.7155861,-0.99398184,17.394188,7.553653001785278,,82.110275,2.507155e-09,-0.42857143,19.18149,153.91147,6.412978,6.063344,
25,11.204868,1.3464546,500,17.393167,0.14999999,-0.71094483,1.9453666e-06,1.2527056e-11,17.394188,-1.1505188,-0.7559407,-1.0016476,17.394188,7.860399961471558,,82.19989,0.04218184,-1.0,19.18149,153.8783,6.1551323,8.17094,
26,11.435192,1.2624003,520,17.193306,0.14999999,-1.3211243,1.7986008e-06,0.0013056919,17.394188,0.6542824,-0.7951614,-1.0052071,17.394188,8.167411804199219,,80.64393,2.7371426e-33,0.71428573,19.18149,154.04501,5.9248085,8.046432,
27,11.204522,0.79488397,540,5.2070837,0.14999999,-0.85703206,1.6678383e-06,0.00015180679,17.394188,-0.60428655,-0.8328515,-0.99372077,17.394188,8.469353199005127,,75.41093,6.4690617e-15,-0.59183675,19.18149,166.19794,6.1554785,5.4000225,
28,11.4243,1.3070267,560,17.358292,0.14999999,-0.61044025,1.5508342e-06,1.4029503e-11,17.394188,-1.0476458,-0.8692135,-0.98867387,17.394188,8.781555891036987,,74.97784,0.15090005,-1.0,19.18149,166.19962,5.9357004,6.8971252,
29,11.6232195,0.47564742,580,17.19295,0.14999999,-0.68589574,1.4457245e-06,0.6426491,17.394188,-0.27828634,-0.90430486,-0.9708694,17.394188,9.092794179916382,,74.76102,1.5251971e-06,-0.2244898,19.18149,166.36664,5.736781,6.5316324,
30,11.803106,1.0782125,600,17.019842,0.14999999,-0.78382057,1.3509492e-06,3.5946035,17.394188,0.12230438,-0.9162881,-0.9824323,17.394188,9.403512716293335,,74.74663,0.008192756,0.26530612,19.18149,166.70685,5.5568943,6.7979903,
31,11.711666,0.71614134,620,8.968462,0.14999999,-0.8256483,1.2651968e-06,8.9573476e-08,17.394188,0.80842507,-0.83590984,-0.9765762,17.394188,9.719148874282837,,73.883484,2.2323228e-07,1.0,19.18149,175.09839,5.6483345,11.85448,
32,11.444248,1.1943109,640,3.154297,0.14999999,-0.99839073,1.1873576e-06,5.522213,17.394188,-0.16778864,-0.8676585,-0.9881379,17.394188,10.033894062042236,,73.369225,7.335553e-06,0.020408163,19.18149,189.30408,5.9157524,6.431403,
33,11.598954,1.3445324,660,16.549538,0.14999999,-0.8097826,1.1164868e-06,0.025189158,17.394188,0.6879973,-0.73923296,-0.97898054,17.394188,10.348482131958008,,72.47258,1.6128193e-05,0.59183675,19.18149,190.1145,5.7610464,7.33267,
34,11.39884,0.8734093,680,4.7950544,0.14999999,-0.89454997,1.051777e-06,5.237573e-07,17.394188,-0.8333408,-0.7683229,-0.968899,17.394188,10.663700580596924,,71.938644,5.1854676e-20,-0.75510204,19.18149,202.67944,5.9611607,5.5622506,
35,11.568267,0.67630875,700,17.328808,0.14999999,-0.6064065,9.925341e-07,0.07118123,17.394188,-0.5716397,-0.7973104,-0.9630285,17.394188,10.982013702392578,,71.18514,0.025402695,-0.3469388,19.18149,202.7107,5.7917337,5.950999,
36,11.729843,1.2969301,720,17.38501,0.14999999,-0.7259435,9.3815913e-07,1.340194e-11,17.394188,-1.1545852,-0.8234496,-0.96595407,17.394188,11.302478551864624,,70.36982,0.093155324,-1.0,19.18149,202.68567,5.6301575,7.1073685,
37,11.877606,0.9072051,740,17.19709,0.14999999,-1.3144337,8.881331e-07,0.0005214956,17.394188,-0.2807482,-0.8508486,-0.9693789,17.394188,11.622820138931274,,69.242836,0.003019296,-0.5510204,19.18149,202.84857,5.482394,5.662172,
38,12.014494,1.1381586,760,17.079315,0.14999999,-0.8032957,8.4200434e-07,3.5688616e-05,17.394188,0.80724144,-0.87750274,-0.96847534,17.394188,11.950629949569702,,68.65661,5.270344e-12,0.8367347,19.18149,203.12927,5.3455067,7.8853903,
39,11.787756,0.8773605,780,3.1717083,0.14999999,-0.93259853,7.993782e-07,1.7902993,17.394188,0.01671344,-0.9034773,-0.9656798,17.394188,12.274455547332764,,68.41785,1.3122454e-08,-0.14285715,19.18149,217.31757,5.5722446,6.369286,
40,11.723738,1.2764281,800,9.227054,0.14999999,-0.83145595,7.599088e-07,1.4237259e-11,17.394188,-1.1884701,-0.88391244,-0.96616954,17.394188,12.598018407821655,,66.53692,6.4510275e-10,-1.0,19.18149,225.4505,5.636263,6.595028,
41,11.857078,1.2290126,820,17.190636,0.14999999,-1.5416744,7.2329226e-07,6.596725,17.394188,0.1007403,-0.9086051,-0.9750418,17.394188,12.92099404335022,,66.45136,1.0505687e-15,0.10204082,19.18149,225.61981,5.502923,6.6349635,
42,11.789344,0.9214965,840,9.012254,0.14999999,-0.7844698,6.8925965e-07,0.5205558,17.394188,0.076979905,-0.78351074,-0.9665583,17.394188,13.246126890182495,,65.07358,0.5349168,0.42857143,19.18149,233.96756,5.570657,7.5140896,
43,11.725654,0.8321879,860,9.0507,0.14999999,-0.78802925,6.5757393e-07,5.37769e-07,17.394188,-0.78816265,-0.7947232,-0.9650516,17.394188,13.572717189788818,,64.53076,1.216449e-06,-0.75510204,19.18149,242.27692,5.634347,5.2935095,
44,11.85371,0.70407075,880,17.360142,0.14999999,-0.5996042,6.280238e-07,0.0311793,17.394188,-0.18816999,-0.8177127,-0.9610415,17.394188,13.90211272239685,,63.641846,0.13737798,-0.3877551,19.18149,242.2768,5.5062904,4.805274,
