ReturnStepMax,IWFirstEpisode,DenMISELogLast,LQGmu1_actor,DenMISELogFirst,Regret/t,Iteration,IWLastEpisode,Regret,ReturnMax,ReturnAbsMax,IWMin,TimestepsSoFar,LQGmu1_higher,delta,IWMean,Bound,DenMISEMeanLog,ReturnMean,LQGsigma_higher,ReturnMin,TimeElapsed,ReturnLastEpisode,IWMax
9.999762,2.027415e-09,0.5390625,0.64306664,0.5390625,8.255654,1,2.027415e-09,8.255654,9.104346,9.104346,,20,1.0,0.0012158542,2.027415e-09,19625081000000.0,0.5390625,9.104346,0.14999999,,0.04479408264160156,9.104346,2.027415e-09
9.999762,1.10091165e-10,-2.546029,-0.8595416,-0.15408468,10.138046,2,2.9927992e-25,20.276093,9.104346,9.104346,,40,-1.0,0.00030396355,5.5045583e-11,2972926000.0,-1.3500569,7.2219543,0.14999999,,0.8543891906738281,5.339563,1.10091165e-10
19.100088,0.07819369,-0.55883914,0.46139175,-0.5595498,6.774987,3,4.2010247e-17,20.32496,17.31113,17.31113,,60,0.46938777,0.00013509492,8.70366,43952.402,-1.3566278,10.585013,0.14999999,,1.1126787662506104,17.31113,26.032785
19.100088,0.0025347187,-0.40703878,-0.7012276,-0.8215012,7.629632,4,5.123175e-10,30.518528,17.31113,17.31113,,80,-0.5510204,7.599089e-05,0.18760094,5931.2705,-0.761106,9.730369,0.14999999,,1.3253936767578125,7.1664333,0.747869
19.180521,4.7928357,-0.92753345,0.07154196,-1.0440112,6.0973988,5,1.8639557e-07,30.486996,17.391533,17.391533,,100,0.18367347,4.8634163e-05,1.1546335,420.22043,-0.93849933,11.262602,0.14999999,,1.6036784648895264,17.391533,4.7928357
19.180521,0.00019274086,-0.5465407,0.8944809,-0.55411965,6.4630156,6,0.0004733315,38.77809,17.391533,17.391533,,120,0.71428573,3.377373e-05,1.7456832,324.22842,-0.8828289,10.896985,0.14999999,,1.9505023956298828,9.068901,9.247168
19.180521,9.537998e-07,-0.7170921,-0.76996,-0.7082382,7.75972,7,1.4422341e-27,54.31804,17.391533,17.391533,,140,-0.79591835,2.4813347e-05,2.2955823,247.72441,-0.83146584,9.600281,0.14999999,,2.3101351261138916,1.8200561,8.355861
19.180521,0.42695063,-0.6075644,-0.23017916,-0.84176946,6.7926245,8,0.040955856,54.340996,17.391533,17.391533,,160,-0.30612245,1.8997722e-05,0.11124818,214.41588,-0.7292653,10.567376,0.14999999,,2.6657614707946777,17.337044,0.42695063
19.180521,6.529052,-0.69402325,0.14407107,-0.90755904,6.0752707,9,0.806687,54.677437,17.391533,17.391533,,180,0.06122449,1.5010546e-05,1.5754397,126.05645,-0.817917,11.28473,0.14999999,,2.9558889865875244,17.023561,6.659725
19.180521,1.3446097e-05,-0.5371178,-0.417578,-0.46743158,6.3121767,10,3.527478e-07,63.121765,17.391533,17.391533,,200,-0.71428573,1.2158541e-05,1.5670406,125.72833,-0.76412296,11.047824,0.14999999,,3.143307685852051,8.915672,6.2495117
