IWMean,ReturnMin,Regret,LQGmu1_higher,TimeElapsed,Bound,ReturnStepMax,IWFirstEpisode,TimestepsSoFar,Iteration,ReturnMax,IWMax,IWMin,ReturnLastEpisode,DenMISELogLast,ReturnAbsMax,delta,DenMISELogFirst,LQGmu1_actor,Regret/t,ReturnMean,LQGsigma_higher,IWLastEpisode,DenMISEMeanLog
0.87776226,,165.09201,-1.0,11.65079140663147,81.97654,19.161251,1.0812921e-09,480,24,17.373825,9.689583,,2.7644243,-0.81825143,17.373825,2.110858e-06,-0.8282408,-1.0993692,6.878834,10.481167,0.14999999,2.0008345e-32,-0.84556884
0.6896144,,165.25293,-0.67346936,12.042390584945679,81.255066,19.161251,0.00022792027,500,25,17.373825,5.2967424,,17.199072,-1.1718442,17.373825,1.9453666e-06,-0.86906284,-0.6310175,6.610118,10.749883,0.14999999,0.15245622,-0.8666628
1.3823637,,165.21014,0.020408163,12.441763877868652,81.074486,19.191618,6.561897,520,26,17.402782,6.616485,,17.402782,-0.6732143,17.402782,1.7986008e-06,-0.9082744,-0.013357455,6.3542366,11.005764,0.14999999,0.00041854582,-0.87202317
0.9243596,,172.43967,-0.26530612,12.902849912643433,77.92418,19.191618,1.076503,540,27,17.402782,5.729621,,10.130494,-0.7214383,17.402782,1.6678383e-06,-0.7209685,-0.03212975,6.386654,10.973347,0.14999999,1.3350847,-0.8567029
1.0624684,,175.81592,0.5510204,13.300658464431763,75.79731,19.191618,0.0072603566,560,28,17.402782,6.7210827,,13.983759,-0.7017171,17.402782,1.5508342e-06,-0.71823996,0.851832,6.2791395,11.080861,0.14999999,0.0028029527,-0.8552337
0.9412584,,190.67773,-1.0,13.695091724395752,74.160065,19.191618,1.0029925e-09,580,29,17.402782,8.311136,,2.4981556,-0.98069584,17.402782,1.4457245e-06,-0.753072,-1.2037296,6.575095,10.784905,0.14999999,5.6855334e-33,-0.85941786
0.89504075,,190.84723,0.26530612,14.098001480102539,73.674736,19.191618,1.2983366,600,30,17.402782,5.2443533,,17.190544,-1.8829671,17.402782,1.3509492e-06,-0.78697354,0.35988644,6.361573,10.998427,0.14999999,2.6008108e-20,-0.8978679
0.7720281,,200.2818,-0.59183675,14.552146673202515,73.216644,19.191618,0.002103461,620,31,17.402782,6.09864,,7.9254346,-0.764417,17.402782,1.2651968e-06,-0.7773958,-0.5311316,6.460703,10.899298,0.14999999,1.0355146e-08,-0.8978277
1.3704189,,200.24176,-0.06122449,14.970568895339966,73.14762,19.191618,5.4160557,640,32,17.402782,5.8583546,,17.400003,-0.68637997,17.402782,1.1873576e-06,-0.80907667,0.14407696,6.257555,11.102446,0.14999999,0.039070453,-0.8993586
0.9850967,,208.6861,1.0,15.393699645996094,71.43676,19.191618,1.4782217e-09,660,33,17.402782,9.836793,,8.915657,-0.763209,17.402782,1.1164868e-06,-0.6834843,1.0028799,6.323822,11.036179,0.14999999,4.851999e-07,-0.88653433
0.84751487,,226.04608,-0.42857143,15.809042692184448,70.55403,19.191618,0.083015725,680,34,17.402782,5.3998804,,,-1.1241858,17.402782,1.051777e-06,-0.7133373,-0.5226817,6.6484146,10.711586,0.14999999,1.3729597e-19,-0.89605474
0.74994856,,225.99716,-0.79591835,16.213053226470947,70.36206,19.197159,3.5732564e-06,700,35,17.408974,5.850765,,17.408974,-0.6490859,17.408974,9.925341e-07,-0.73988616,-0.8262699,6.457062,10.902939,0.14999999,0.9686953,-0.8943286
1.0112556,,226.01483,-1.0,16.623597145080566,68.825035,19.197159,1.0181347e-09,720,36,17.408974,8.2203665,,17.342297,-0.6656343,17.408974,9.3815913e-07,-0.7680569,-0.99239993,6.2781897,11.081811,0.14999999,2.6461387,-0.89559937
1.2028004,,226.16357,0.10204082,17.03221368789673,67.74182,19.197159,4.7826867,740,37,17.408974,6.1497726,,17.21125,-0.6982916,17.408974,8.881331e-07,-0.79545593,0.27505004,6.1125298,11.247471,0.14999999,1.4727324e-11,-0.89167786
1.2120816,,235.10776,0.79591835,17.44645667076111,67.463615,19.197159,4.9443165e-06,760,38,17.408974,7.832479,,8.415863,-0.86226183,17.408974,8.4200434e-07,-0.70056003,0.7039238,6.187045,11.1729555,0.14999999,0.01516856,-0.88692653
1.2508498,,247.87451,0.3877551,17.863322973251343,67.146545,19.197159,0.21259099,780,39,17.408974,6.969903,,4.593218,-0.9734268,17.408974,7.993782e-07,-0.7265354,0.35311273,6.3557568,11.004244,0.14999999,0.7635441,-0.88571244
0.87491065,,257.2651,-0.59183675,18.286805629730225,66.39778,19.197159,0.0020392975,800,40,17.408974,5.666404,,7.9694066,-0.810782,17.408974,7.599088e-07,-0.7464169,-0.6358839,6.4316273,10.928373,0.14999999,1.44305705e-08,-0.8793937
0.7559474,,257.23114,-0.2244898,18.711082220077515,65.04461,19.197159,1.7814053,820,41,17.408974,6.178561,,17.393919,-0.6548916,17.408974,7.2329226e-07,-0.77105856,-0.2711199,6.2739305,11.08607,0.14999999,0.119083524,-0.8777078
0.85102284,,257.60986,-0.79591835,19.14698553085327,64.98973,19.197159,3.6190645e-06,840,42,17.408974,5.399046,,16.981293,-0.72323173,17.408974,6.8925965e-07,-0.75262463,-1.0200629,6.133569,11.226432,0.14999999,0.012047649,-0.8802053
1.0985425,,257.77655,-1.0,19.569479942321777,65.70402,19.197159,1.0264136e-09,860,43,17.408974,7.9008875,,17.193354,-0.8639566,17.408974,6.5757393e-07,-0.77615505,-1.0037777,5.9948034,11.365197,0.14999999,6.2538238,-0.883841
0.93389493,,257.93774,0.59183675,19.990734338760376,64.05839,19.197159,0.0028181006,880,44,17.408974,6.0748844,,17.198807,-0.7074168,17.408974,6.280238e-07,-0.79914457,0.6878636,5.8622217,11.497779,0.14999999,1.4479971e-24,-0.87889934
0.8275188,,270.501,-0.3877551,20.415716648101807,63.61337,19.197159,0.19578445,900,45,17.408974,5.6972656,,4.796729,-0.9629014,17.408974,6.0042186e-07,-0.82155335,-0.42734808,6.011134,11.348866,0.14999999,4.7559248e-11,-0.88283646
1.0668055,,270.52924,0.2244898,20.837425470352173,62.50162,19.197159,2.1132464,920,46,17.408974,6.298192,,17.33181,-0.6607539,17.408974,5.7460034e-07,-0.83919096,0.06919272,5.88107,11.47893,0.14999999,0.0004084566,-0.88226664
1.0885446,,278.82812,-1.0,21.262303113937378,62.341103,19.197159,1.067902e-09,940,47,17.408974,7.295387,,9.061064,-0.8073095,17.408974,5.5040925e-07,-0.815781,-1.0459479,5.932513,11.427487,0.14999999,5.5293894e-11,-0.87989825
1.1386923,,278.99872,-0.06122449,21.684877395629883,62.331005,19.197159,5.568499,960,48,17.408974,6.0433197,,17.189434,-0.7988044,17.408974,5.277145e-07,-0.83683443,0.02316875,5.8124733,11.547527,0.14999999,2.5903695e-09,-0.877388
0.8937892,,287.07898,-0.5510204,22.10990309715271,61.367954,19.197159,0.00581141,980,49,17.408974,5.4055505,,9.279759,-0.75188345,17.408974,5.063948e-07,-0.74769354,-0.3011266,5.858755,11.5012455,0.14999999,0.0037110131,-0.8728811
0.9442836,,287.35974,1.0,22.540741205215454,61.16419,19.197159,1.6082282e-09,1000,50,17.408974,10.954874,,17.079227,-0.7290957,17.408974,4.8634166e-07,-0.7677776,1.1175357,5.7471952,11.612805,0.14999999,2.5293412e-16,-0.872648
0.8704512,,304.7198,-0.30612245,22.99895453453064,60.516003,19.197159,0.6788814,1020,51,17.408974,5.6210876,,,-1.7277377,17.408974,4.6745637e-07,-0.78758025,-0.58060193,5.9748974,11.385103,0.14999999,4.1164033e-19,-0.8915782
1.0878673,,304.6526,-1.0,23.478044271469116,59.846725,19.21565,1.0446594e-09,1040,52,17.427168,6.986785,,17.427168,-0.65800315,17.427168,4.496502e-07,-0.7937748,-1.1943126,5.8587036,11.501297,0.14999999,0.10304515,-0.88999295
0.7795734,,304.81482,-0.71428573,23.91310477256775,59.115196,19.21565,6.0623624e-05,1060,53,17.427168,4.6456456,,17.197752,-1.6941185,17.427168,4.3284237e-07,-0.812823,-0.68643403,5.7512236,11.608777,0.14999999,0.08644273,-0.90433687
1.2093824,,304.79065,0.06122449,24.351065397262573,59.161877,19.21565,5.696269,1080,54,17.427168,6.2616663,,17.384178,-0.6278087,17.427168,4.1695958e-07,-0.83151394,0.2915356,5.644271,11.71573,0.14999999,2.0074043e-05,-0.90354455
1.1474768,,313.81982,0.42857143,24.785242795944214,59.51583,19.21565,0.10472262,1100,55,17.427168,7.3788013,,8.330821,-0.92699736,17.427168,4.0193527e-07,-0.74957764,0.23774348,5.7058144,11.654186,0.14999999,4.427662,-0.9009644
1.0833428,,322.58978,0.75510204,25.221578121185303,59.002636,19.21565,2.1345835e-05,1120,56,17.427168,8.181902,,8.59004,-0.8514149,17.427168,3.8770855e-07,-0.7656939,0.4647379,5.7605314,11.599469,0.14999999,0.016270502,-0.8982878
0.9184964,,332.81152,-0.46938777,25.660051584243774,58.401142,19.21565,0.03906685,1140,57,17.427168,5.32222,,7.1382184,-0.93047583,17.427168,3.7422413e-07,-0.7833931,-0.2716893,5.8387985,11.521202,0.14999999,2.5559668e-08,-0.89822835
1.0903809,,333.18945,-1.0,26.096070528030396,57.774284,19.21565,1.0512875e-09,1160,58,17.427168,6.859926,,16.982082,-0.73547554,17.427168,3.6143112e-07,-0.8000997,-0.98498553,5.744646,11.615355,0.14999999,4.2169133e-05,-0.8971988
0.896789,,333.33057,-0.18367347,26.53696584701538,57.80395,19.21565,2.7266934,1180,59,17.427168,5.6295223,,17.218845,-0.6398098,17.427168,3.4928303e-07,-0.8171941,-0.0017271787,5.6496716,11.710329,0.14999999,3.2045987e-06,-0.89198524
1.2208683,,341.23352,0.26530612,26.983293056488037,57.805054,19.21565,1.300739,1200,60,17.427168,6.7301445,,9.457156,-0.78569335,17.427168,3.377373e-07,-0.78882223,0.4214913,5.6872244,11.672776,0.14999999,1.1963553,-0.8922053
0.78437257,,351.10638,-0.75510204,27.435049057006836,56.375862,19.21565,1.5389014e-05,1220,61,17.427168,4.9276476,,7.487167,-0.91636163,17.427168,3.2675467e-07,-0.7839042,-0.6290397,5.7558413,11.604159,0.14999999,2.8988856e-13,-0.8895707
0.99559844,,351.0821,0.5510204,27.887696027755737,56.00787,19.21565,0.007880201,1240,62,17.427168,6.9020004,,17.384253,-0.65135145,17.427168,3.162992e-07,-0.80016446,0.5384428,5.662614,11.697387,0.14999999,1.8547665e-13,-0.88940084
0.91501784,,361.97705,-0.5510204,28.337253093719482,55.954628,19.21565,0.0062224725,1260,63,17.427168,5.15828,,6.4650264,-0.9300117,17.427168,3.0633765e-07,-0.8160377,-0.47855383,5.7456675,11.614333,0.14999999,2.3641093e-11,-0.89051265
1.1899078,,361.9773,0.020408163,28.792786121368408,55.372852,19.21565,6.078102,1280,64,17.427168,6.131222,,17.359728,-0.6217696,17.427168,2.968394e-07,-0.8316873,0.104753025,5.655895,11.704105,0.14999999,0.019593406,-0.88794994
1.05576,,370.33252,-1.0,29.240593910217285,55.341187,19.21565,1.0063997e-09,1300,65,17.427168,6.8537827,,9.004746,-0.78679365,17.427168,2.8777617e-07,-0.7564642,-1.1194223,5.697424,11.662577,0.14999999,9.720437e-12,-0.88405037
0.88206357,,370.4901,-0.3877551,29.688560724258423,55.179295,19.21565,0.18626913,1320,66,17.427168,5.3478627,,17.20238,-1.1354315,17.427168,2.791217e-07,-0.7717317,-0.39473283,5.6134872,11.746513,0.14999999,5.641562e-05,-0.887537
0.9549011,,370.5824,1.0,30.143276691436768,54.95736,19.21565,1.6344487e-09,1340,67,17.427168,14.236885,,17.267704,-0.63126767,17.427168,2.708519e-07,-0.7839512,1.017656,5.531081,11.828919,0.14999999,8.415918e-19,-0.88572675
