Regret,ReturnAbsMax,IWFirstEpisode,ReturnMax,delta,DenMISELogLast,Bound,IWMean,LQGsigma_higher,TimestepsSoFar,ReturnMin,ReturnMean,IWLastEpisode,TimeElapsed,ReturnStepMax,LQGmu1_higher,IWMin,DenMISELogFirst,IWMax,Iteration,ReturnLastEpisode,DenMISEMeanLog,LQGmu1_actor,Regret/t
0.93058586,16.429415,1.7890302e-13,16.429415,0.0012158542,0.9217774,35414800000000.0,1.7890302e-13,0.14999999,20,,16.429415,1.7890302e-13,0.06148338317871094,18.172731,1.0,,0.9217774,1.7890302e-13,1,16.429415,0.9217774,1.0612043,0.93058586
18.290586,16.429415,2.2852063e-07,16.429415,0.00030396355,0.20179054,5364848000.0,1.1426032e-07,0.14999999,40,,8.214707,,0.9960830211639404,18.172731,-1.0,,0.22863021,2.2852063e-07,2,,0.21521038,-1.3167459,9.145293
18.448334,17.202251,0.0006230902,17.202251,0.00013509492,-2.3499408,43629.688,0.00066051516,0.14999999,60,,11.210556,4.5298843e-30,1.4150724411010742,18.991968,0.46938777,,-0.17683478,0.0013584553,3,17.202251,-0.91015005,0.33169988,6.1494446
27.705418,17.202251,0.119498424,17.202251,7.599089e-05,-0.8053866,5891.235,0.029895047,0.14999999,80,,10.433646,1.7971772e-07,1.7917470932006836,18.991968,-0.5510204,,-0.4643092,0.119498424,4,8.102916,-1.0995556,-0.69542897,6.9263544
27.695763,17.369658,0.43014854,17.369658,4.8634163e-05,-0.9099364,418.42325,1.0002757,0.14999999,100,,11.820848,2.2988503e-07,2.190084934234619,19.158703,0.18367347,,-0.65801567,4.57123,5,17.369658,-1.2342551,0.2848439,5.539152
36.689827,17.369658,3.4545656e-07,17.369658,3.377373e-05,-0.548955,314.48798,0.11768796,0.14999999,120,,11.245029,0.07645193,2.576458215713501,19.158703,0.71428573,,-0.7578086,0.44935158,6,8.365937,-1.1499976,0.6998516,6.114971
49.404564,17.369658,0.0019571497,17.369658,2.4813347e-05,-0.6028648,228.98993,1.2295247,0.14999999,140,,10.302206,1.8053196e-20,2.963430166244507,19.158703,-0.75510204,,-0.9119593,8.545966,7,4.6452646,-1.1876088,-0.7605299,7.0577946
49.38716,17.377401,4.4122257,17.377401,1.8997722e-05,-0.59682506,222.49513,0.57858264,0.14999999,160,,11.186605,0.049115818,3.3524160385131836,19.166576,-0.30612245,,-1.0452111,4.4122257,8,17.377401,-1.1297847,-0.46473747,6.173395
49.392975,17.377401,0.053447165,17.377401,1.5010546e-05,-0.73252505,124.21851,1.5216779,0.14999999,180,,11.871892,1.01880305e-05,3.8064467906951904,19.166576,0.30612245,,-0.72375375,6.750088,9,17.354185,-1.1385554,0.42213455,5.4881086
59.270752,17.377401,3.1682546,17.377401,1.2158541e-05,-0.568884,116.29638,0.47491732,0.14999999,200,,11.432925,0.13012646,4.202110528945923,19.166576,0.020408163,,-0.82319325,3.1682546,10,7.482226,-1.0620733,-0.02912916,5.9270754
63.43422,17.377401,5.4650127e-07,17.377401,1.0048381e-05,-0.5125511,116.94008,1.2347261,0.14999999,220,,11.593253,3.552128e-09,4.594440460205078,19.166576,-1.0,,-0.64327955,10.908224,11,13.196541,-1.0598483,-0.93473095,5.7667475
63.532974,17.377401,2.178175e-09,17.377401,8.443432e-06,-0.65416795,116.66219,0.78979784,0.14999999,240,,12.065586,2.6499701e-30,4.98542046546936,19.166576,0.8367347,,-0.7302909,5.3748503,12,17.261238,-1.0294076,1.0137901,5.2944145
80.892975,17.377401,1.0711482,17.377401,7.194403e-06,-1.0971653,116.82451,0.8459659,0.14999999,260,,11.137465,6.657714e-20,5.3902668952941895,19.166576,-0.42857143,,-0.81033355,7.729371,13,,-1.0571841,-0.34272304,6.222536
81.023926,17.377401,0.0017590862,17.377401,6.203337e-06,-0.7249796,113.268616,1.2229538,0.14999999,280,,11.572577,0.12544708,5.855778217315674,19.166576,-0.75510204,,-0.8052644,6.8844895,14,17.229061,-1.0517008,-0.7388631,5.787423
81.01935,17.377401,3.0750492e-05,17.377401,5.403797e-06,-0.62537587,104.377075,0.761799,0.14999999,300,,11.958712,4.0439868e-17,6.261776447296143,19.166576,0.59183675,,-0.8741317,5.42959,15,17.364588,-1.0188969,0.7482203,5.401289
94.371765,17.377401,6.0182743,17.377401,4.7494304e-06,-0.75354517,102.50981,0.9379931,0.14999999,320,,11.461765,4.174953e-09,6.663899660110474,19.166576,-0.2244898,,-0.93866813,6.0182743,16,4.0075617,-1.0204244,-0.14953074,5.8982353
95.27637,17.377401,0.029884685,17.377401,4.207108e-06,-0.6805752,95.187935,1.0673015,0.14999999,340,,11.755507,0.029361524,7.066782236099243,19.166576,-0.63265306,,-0.6800087,5.228014,17,16.455395,-1.0087243,-0.6511244,5.604493
95.253204,17.383162,9.382649e-13,17.383162,3.7526365e-06,-0.5456325,93.56194,1.4316128,0.14999999,360,,12.068156,2.2446167e-26,7.352192640304565,19.171537,1.0,,-0.73541075,12.515484,18,17.383162,-0.98360944,1.2269515,5.2918444
112.61322,17.383162,6.325346e-07,17.383162,3.3680174e-06,-2.3612864,90.682686,0.9852335,0.14999999,380,,11.43299,,7.754701375961304,19.171537,-1.0,,-0.789478,9.419512,19,,-1.0479512,-0.81987655,5.9270105
112.63641,17.383162,2.2794101,17.383162,3.0396352e-06,-0.63707495,88.91799,0.7403151,0.14999999,400,,11.72818,1.6182949e-07,8.164981842041016,19.171537,0.06122449,,-0.84077126,5.6840134,20,17.33681,-1.0337349,0.04897678,5.6318207
120.88634,17.383162,0.009320704,17.383162,2.7570386e-06,-0.7403481,88.565704,1.0284024,0.14999999,420,,11.603508,0.43520772,8.579062700271606,19.171537,0.3877551,,-0.78163075,7.406975,21,9.110045,-1.0336556,0.23442945,5.7564926
129.64206,17.383162,0.0005788063,17.383162,2.5120953e-06,-0.7893804,88.53794,1.2813066,0.14999999,440,,11.467179,3.3265235e-10,9.041751861572266,19.171537,-0.79591835,,-0.827707,5.461979,22,8.604287,-1.0259305,-0.7596323,5.8928213
129.64142,17.383162,6.3538203,17.383162,2.2984013e-06,-0.55191654,85.06027,1.0292007,0.14999999,460,,11.723418,0.0009843851,9.461378812789917,19.171537,-0.14285715,,-0.8721325,6.3538203,23,17.360672,-0.9972132,-0.1629105,5.6365824
130.48788,17.383162,0.931612,17.383162,2.110858e-06,-0.67566323,84.423096,0.78664464,0.14999999,480,,11.923005,1.0892558,9.87520432472229,19.171537,-0.42857143,,-0.6707636,6.1974306,24,16.513527,-0.9856758,-0.32618922,5.4369955
130.59766,17.383162,0.029690895,17.383162,1.9453666e-06,-0.6797606,78.898094,1.1076835,0.14999999,500,,12.136094,0.6510483,10.297600746154785,19.171537,-0.63265306,,-0.67350286,5.010168,25,17.250193,-0.9833867,-0.56268764,5.2239065
130.59634,17.383162,0.23856367,17.383162,1.7986008e-06,-0.5409986,78.53424,1.0220304,0.14999999,520,,12.337065,4.781368e-06,10.7267484664917,19.171537,0.2244898,,-0.71153665,6.8292212,26,17.361345,-0.9642425,0.42507267,5.022936
140.4968,17.383162,3.394074e-07,17.383162,1.6678383e-06,-0.8966365,78.77494,0.7995305,0.14999999,540,,12.156416,1.0161873,11.152553796768188,19.171537,0.71428573,,-0.7401433,8.505145,27,7.459563,-0.96345675,0.41556966,5.2035847
150.32446,17.383162,4.311056,17.383162,1.5508342e-06,-0.8890769,77.81786,1.0368439,0.14999999,560,,11.99127,0.00021718023,11.572670936584473,19.171537,-0.26530612,,-0.77651095,5.2748365,28,7.532296,-0.97033226,-0.11816949,5.3687305
151.52618,17.383162,0.00014746503,17.383162,1.4457245e-06,-0.6921558,76.19441,1.0430372,0.14999999,580,,12.134959,5.5241355e-05,11.99013638496399,19.171537,-0.8367347,,-0.6683973,5.2804255,29,16.15827,-0.9612392,-0.89123356,5.2250414
151.59317,17.383162,0.0003299142,17.383162,1.3509492e-06,-0.64272684,74.88509,0.9780675,0.14999999,600,,12.306896,5.6123295e-19,12.459317684173584,19.171537,0.5102041,,-0.70229375,5.942765,30,17.293053,-0.9508602,0.4014,5.0531044
161.31546,17.383162,4.6488256,17.383162,1.2651968e-06,-0.81824094,74.87782,1.0841229,0.14999999,620,,12.156277,0.051839143,12.887807369232178,19.171537,-0.06122449,,-0.7350726,5.941043,31,7.6376934,-0.9489022,-0.1656419,5.203724
162.2193,17.383162,5.377259e-07,17.383162,1.1873576e-06,-0.62662697,73.64437,0.8433374,0.14999999,640,,12.2906475,9.514595e-07,13.32388710975647,19.171537,-1.0,,-0.6270923,10.338214,32,16.456156,-0.9379451,-1.3110465,5.069353
162.3825,17.383162,8.682548e-13,17.383162,1.1164868e-06,-3.2573433,73.574425,1.3109823,0.14999999,660,,12.439318,,14.056364059448242,19.171537,1.0,,-0.6578639,15.527525,33,17.196802,-1.0145888,1.0941551,4.920683
179.7425,17.383162,0.29781514,17.383162,1.051777e-06,-1.5263574,71.8992,0.8468923,0.14999999,680,,12.073456,1.7634623e-24,14.576492547988892,19.171537,-0.5102041,,-0.6877169,5.6423025,34,,-1.0259843,-0.4296693,5.286545
179.75055,17.383162,4.025525,17.383162,9.925341e-07,-0.6863777,70.7932,1.0900314,0.14999999,700,,12.224271,2.8985777,15.006394386291504,19.171537,-0.26530612,,-0.7079833,4.963567,35,17.35196,-1.021377,-0.17056125,5.13573
180.64911,17.383162,0.020431578,17.383162,9.3815913e-07,-0.6140745,69.62638,1.270686,0.14999999,720,,12.3419695,0.012791225,15.43723440170288,19.171537,0.3469388,,-0.6272863,6.9828568,36,16.46143,-1.0086894,0.39848524,5.018031
190.35019,17.383162,5.524562e-07,17.383162,8.881331e-07,-0.82548636,69.230774,0.95052016,0.14999999,740,,12.215401,8.096443e-19,15.905375242233276,19.171537,-1.0,,-0.65411794,9.034708,37,7.658921,-0.9986434,-1.1607771,5.1446
190.51654,17.383162,4.988028,17.383162,8.4200434e-07,-1.5541352,68.257355,1.1463133,0.14999999,760,,12.346408,1.9131899e-10,16.34075379371643,19.171537,-0.10204082,,-0.68078613,5.3612027,38,17.193693,-1.0160835,-0.01354979,5.0135927
195.43979,17.383162,0.004067113,17.383162,7.993782e-07,-0.71886283,67.44996,1.0246557,0.14999999,780,,12.348724,9.95596e-05,16.7754647731781,19.171537,-0.71428573,,-0.5834261,5.2713413,39,12.436749,-1.0059705,-0.6775508,5.0112762
195.40988,17.389898,1.1863713,17.389898,7.599088e-07,-0.59705174,67.35902,0.86074334,0.14999999,800,,12.474753,6.5856702e-06,17.21272873878479,19.178797,0.10204082,,-0.60863966,5.750893,40,17.389898,-0.99609977,0.22538306,4.885247
204.12772,17.389898,1.9199535e-09,17.389898,7.2329226e-07,-0.83749086,67.175735,0.6826049,0.14999999,820,,12.381275,0.0015186963,17.692100048065186,19.178797,0.8367347,,-0.60410434,7.384032,41,8.642159,-0.9961165,0.7785321,4.9787254
217.90149,17.389898,0.89279294,17.389898,6.8925965e-07,-1.0495124,65.870285,0.84046865,0.14999999,840,,12.171869,6.57914e-14,18.127801418304443,19.178797,-0.42857143,,-0.62820184,5.650215,42,3.5862117,-1.0056049,-0.38467753,5.1881313
217.97736,17.389898,5.3966835e-07,17.389898,6.5757393e-07,-0.6438101,65.17992,0.9784372,0.14999999,860,,12.29076,0.0011229167,18.790477514266968,19.178797,-1.0,,-0.63069814,8.434287,43,17.284195,-1.001408,-0.7619624,5.0692406
217.96948,17.389898,0.011694663,17.389898,6.280238e-07,-0.63357276,64.96912,1.0809026,0.14999999,880,,12.406149,4.211132,19.267091512680054,19.178797,-0.67346936,,-0.65368766,5.0967407,44,17.367838,-0.99472135,-0.66639566,4.9538517
217.91968,17.409815,9.3416966e-05,17.409815,6.0042186e-07,-0.56608146,64.96779,0.89168775,0.14999999,900,,12.517341,2.3276311e-14,19.711894035339355,19.199152,0.5510204,,-0.6758948,5.1424103,45,17.409815,-0.98416305,0.555161,4.84266
228.98114,17.409815,4.7303724,17.409815,5.7460034e-07,-0.9608482,63.49082,1.0813873,0.14999999,920,,12.382151,9.455911e-06,20.15657377243042,19.199152,-0.2244898,,-0.6978716,4.9834185,46,6.298565,-0.98660624,-0.112896405,4.97785
230.58228,17.409815,0.10643518,17.409815,5.5040925e-07,-0.64867383,63.028183,1.1480811,0.14999999,940,,12.453995,0.21187718,20.628907918930054,19.199152,0.26530612,,-0.6214944,6.8927555,47,15.758791,-0.97838545,-0.014219344,4.906006
236.81311,17.409815,3.4662464,17.409815,5.277145e-07,-0.7568879,62.88505,1.1130229,0.14999999,960,,12.426394,5.664498,21.07037043571472,19.199152,-0.020408163,,-0.6402858,5.6670294,48,11.129207,-0.9716707,0.16299278,4.933606
245.3103,17.409815,0.00045688922,17.409815,5.063948e-07,-0.8098515,62.74553,1.0371702,0.14999999,980,,12.353667,7.9863e-09,21.741710424423218,19.199152,-0.79591835,,-0.5911799,5.111357,49,8.862773,-0.9667656,-0.6929314,5.0063334
245.27875,17.409815,0.13843034,17.409815,4.8634166e-07,-0.58728004,62.287224,0.9477855,0.14999999,1000,,12.454425,3.0585284,22.472657442092896,19.199152,-0.5510204,,-0.6113733,5.210697,50,17.391571,-0.95905924,-0.8301818,4.9055758
245.30646,17.409815,8.430548e-13,17.409815,4.6745637e-07,-0.59473985,61.157806,1.195741,0.14999999,1020,,12.550071,2.2724204e-32,22.907569885253906,19.199152,1.0,,-0.6284112,15.780052,51,17.332342,-0.9533178,0.9569574,4.80993
261.89954,17.409815,0.0004835188,17.409815,4.496502e-07,-1.193878,60.501816,1.0821208,0.14999999,1040,,12.323471,1.9495513e-29,23.42133378982544,19.199152,-0.79591835,,-0.64782923,4.8194118,52,0.766908,-0.95641696,-1.1076517,5.0365295
262.07098,17.409815,5.5954547e-07,17.409815,4.3284237e-07,-1.3114651,61.4356,1.0021045,0.14999999,1060,,12.415265,7.630213,23.90632939338684,19.199152,-1.0,,-0.66686815,8.626289,53,17.188513,-0.96212214,-1.0670042,4.9447355
262.2296,17.409815,1.48646e-06,17.409815,4.1695958e-07,-0.98379433,60.206116,0.75782675,0.14999999,1080,,12.503898,4.138425e-29,24.12487506866455,19.199152,0.67346936,,-0.6855603,8.542955,54,17.20143,-0.96329534,0.88499963,4.856103
277.61597,17.409815,5.370028,17.409815,4.0193527e-07,-1.1418984,59.536232,1.1285428,0.14999999,1100,,12.312438,5.3035765e-10,24.40364980697632,19.199152,-0.14285715,,-0.7039094,5.372247,55,1.9736671,-0.97143924,0.065305635,5.0475626
285.9101,17.409815,0.7379346,17.409815,3.8770855e-07,-0.83077914,59.799026,1.0480086,0.14999999,1120,,12.254463,5.340455,24.618518590927124,19.199152,0.14285715,,-0.6287683,6.6661444,56,9.065824,-0.9672349,0.25401568,5.1055374
294.75287,17.409815,0.008036424,17.409815,3.7422413e-07,-0.8955243,59.105576,1.1939671,0.14999999,1140,,12.188897,4.376433,24.83872675895691,19.199152,0.3877551,,-0.63337654,7.136693,57,8.517185,-0.96561563,0.5028366,5.1711035
305.3103,17.409815,5.5053124e-07,17.409815,3.6143112e-07,-0.9561484,59.11963,1.0195397,0.14999999,1160,,12.096029,1.1044283e-21,25.056785821914673,19.199152,-1.0,,-0.6506273,8.1186905,58,6.8025904,-0.96291935,-1.1847643,5.2639713
305.47803,17.409815,1.4825344,17.409815,3.4928303e-07,-1.7219893,58.679657,0.78189903,0.14999999,1180,,12.182406,1.1018777e-05,25.27639079093933,19.199152,-0.3877551,,-0.66772175,5.8230205,59,17.192225,-0.97612256,-0.40626013,5.177594
305.55298,17.409815,0.06768724,17.409815,3.377373e-07,-0.7102967,57.432613,0.91662514,0.14999999,1200,,12.267452,2.5172677,25.496482849121094,19.199152,-0.59183675,,-0.65971166,5.156912,60,17.28516,-0.97558486,-0.6814701,5.0925484
305.542,17.409815,5.6417826e-07,17.409815,3.2675467e-07,-0.56613797,57.260696,1.0427723,0.14999999,1220,,12.351116,0.49145934,25.721454858779907,19.199152,-1.0,,-0.6751135,7.490095,61,17.370945,-0.9705083,-1.0459958,5.0088844
305.71503,17.409815,2.0950341e-09,17.409815,3.162992e-07,-0.8250297,56.52912,0.8956606,0.14999999,1240,,12.429113,3.745498e-34,25.94388437271118,19.199152,0.8367347,,-0.691374,8.912827,62,17.186977,-0.96806467,0.70120275,4.930887
318.44702,17.409815,2.821763,17.409815,3.0633765e-07,-1.0876257,56.158585,1.0270724,0.14999999,1260,,12.305286,0.00026553124,26.165141820907593,19.199152,0.020408163,,-0.70737433,6.017482,63,4.628029,-0.9721782,-0.10905305,5.054714
