Regret/t,TimestepsSoFar,Regret,IWMean,ReturnMax,IWLastEpisode,IWMin,DenMISELogLast,Iteration,DenMISEMeanLog,ReturnStepMax,Bound,LQGmu1_actor,IWFirstEpisode,ReturnMean,delta,ReturnMin,IWMax,ReturnAbsMax,ReturnLastEpisode,LQGmu1_higher,DenMISELogFirst,LQGsigma_higher,TimeElapsed
5.2117224,480,125.08133,1.3493143,17.384777,2.6213543,,-0.69329405,24,-0.864553,19.172474,84.36542,-0.45782512,0.3397209,12.148278,2.110858e-06,,5.1402693,17.384777,17.323418,-0.67346936,-0.70162815,0.14999999,10.207125902175903
5.001973,500,125.04932,1.3789515,17.391998,4.4099627,,-0.6147917,25,-0.84381074,19.178879,85.546875,-0.5613311,4.991817,12.358027,1.9453666e-06,,5.0889263,17.391998,17.391998,-0.3877551,-0.7283944,0.14999999,10.60454511642456
4.8078766,520,125.00479,0.6863731,17.40456,6.278305e-13,,-0.47633982,26,-0.81808853,19.192053,77.75331,0.41875076,4.32256e-08,12.552124,1.7986008e-06,,6.08381,17.40456,17.40456,0.59183675,-0.58556634,0.14999999,11.032465696334839
4.994692,540,134.85669,0.52717364,17.40456,0.015134408,,-0.858232,27,-0.8321889,19.192053,77.182976,-0.2754985,1.7078902,12.365309,1.6678383e-06,,4.9768248,17.40456,7.508132,-0.10204082,-0.62330663,0.14999999,11.426195859909058
4.82689,560,135.15292,1.3861433,17.40456,2.934043,,-0.6188959,28,-0.8417953,19.192053,77.89244,-0.7042848,3.7425957,12.533111,1.5508342e-06,,4.654679,17.40456,17.063755,-0.42857143,-0.59833914,0.14999999,11.817621946334839
4.6596127,580,135.12875,1.0597368,17.40456,3.3289073,,-0.6143066,29,-0.8226625,19.192053,78.47341,-1.0631359,0.012002803,12.700388,1.4457245e-06,,5.73478,17.40456,17.38415,-0.8367347,-0.5079755,0.14999999,12.217469215393066
4.509598,600,135.28796,1.3150417,17.40456,6.8009297e-18,,-1.1560884,30,-0.83331865,19.192053,77.26174,0.16124801,0.0007300937,12.850403,1.3509492e-06,,7.1947765,17.40456,17.200838,0.30612245,-0.54146326,0.14999999,12.652940034866333
4.6380653,620,143.78003,0.7690455,17.40456,0.00025609176,,-0.89145154,31,-0.82822293,19.192053,75.47671,0.7694866,5.4526056e-13,12.721935,1.2651968e-06,,9.050378,17.40456,8.867924,0.8367347,-0.5742287,0.14999999,13.057204484939575
4.919572,640,157.4263,1.3081024,17.40456,7.48493e-19,,-0.97438574,32,-0.84169954,19.192053,74.62578,-0.78760827,0.5637994,12.440429,1.1873576e-06,,4.739747,17.40456,3.7137003,-0.63265306,-0.6059774,0.14999999,13.430792331695557
4.770116,660,157.41382,0.90319085,17.40456,1.7516681,,-0.584837,33,-0.8262087,19.192053,74.59643,-1.1684794,0.00017594686,12.589885,1.1164868e-06,,8.517905,17.40456,17.372442,-1.0,-0.6192838,0.14999999,13.833313941955566
4.6344156,680,157.5701,0.99729604,17.40456,1.9674646e-07,,-1.7076277,34,-0.8567199,19.192053,71.21922,-0.30907595,4.750137,12.725585,1.051777e-06,,5.5307655,17.40456,17.203703,-0.26530612,-0.6491314,0.14999999,14.244286298751831
4.505432,700,157.69012,1.2475351,17.40456,1.3419607e-16,,-0.55636513,35,-0.8494745,19.192053,70.21093,0.7886481,6.591565e-17,12.8545685,9.925341e-07,,15.040862,17.40456,17.240019,1.0,-0.54734516,0.14999999,14.658807754516602
4.7668953,720,171.60825,0.7774143,17.40456,0.0006958432,,-1.0191227,36,-0.8514504,19.192053,70.03245,0.3202923,0.039578713,12.593105,9.3815913e-07,,7.448236,17.40456,3.4418695,0.14285715,-0.57551605,0.14999999,15.077133178710938
4.886422,740,180.7976,0.993841,17.40456,9.903229e-17,,-0.90788025,37,-0.8599596,19.192053,69.84332,-1.1247349,0.0001729002,12.473578,8.881331e-07,,8.495881,17.40456,8.170632,-1.0,-0.60181624,0.14999999,15.480530977249146
4.7619963,760,180.95587,1.1351659,17.40456,2.9024267e-24,,-1.297044,38,-0.87321323,19.192053,69.2753,0.48903835,4.6491296e-06,12.598004,8.4200434e-07,,7.4298863,17.40456,17.201782,0.46938777,-0.6284798,0.14999999,15.899179697036743
4.907401,780,191.38867,1.1545751,17.40456,6.869204e-14,,-0.89021176,39,-0.8717503,19.192053,68.84014,-0.8466875,0.16479188,12.4526,7.993782e-07,,5.0352225,17.40456,6.927198,-0.71428573,-0.6544551,0.14999999,16.377859115600586
4.785634,800,191.42535,1.1430327,17.40456,0.099255815,,-0.5966763,40,-0.86202204,19.192053,67.38314,-0.47571576,4.0430393,12.574367,7.599088e-07,,4.9191256,17.40456,17.323326,-0.42857143,-0.6755564,0.14999999,16.813050270080566
4.6678457,820,191.38165,1.0731894,17.40456,0.009850979,,-0.5099456,41,-0.8507901,19.192053,66.54843,-0.9082003,0.00017327143,12.692155,7.2329226e-07,,7.628972,17.40456,17.40367,-1.0,-0.60396117,0.14999999,17.24655508995056
